"codBus","codLinea","sentido","lon","lat","codParIni"
"688","1.0","1","-4.4149256","36.72996","159"
"695","1.0","2","-4.41561","36.71965","117"
"698","1.0","2","-4.4452357","36.70226","1519"
"699","1.0","1","-4.42373","36.734932","153"
"701","1.0","1","-4.4443984","36.70298","312"
"700","1.0","1","-4.4142747","36.72012","163"
"693","1.0","2","-4.4300756","36.711166","362"
"691","1.0","2","-4.420996","36.731243","110"
"629","1.0","2","-4.4614716","36.694786","1251"
"689","1.0","2","-4.4165096","36.723526","103"
"545","1.0","1","-4.4267263","36.71531","306"
"687","1.0","1","-4.4214296","36.73835","151"
"557","2.0","2","-4.424353","36.73837","257"
"669","2.0","2","-4.4297323","36.7174","961"
"574","2.0","1","-4.4251547","36.719933","201"
"657","2.0","1","-4.4238973","36.749462","212"
"677","3.0","2","-4.4488745","36.697517","315"
"680","3.0","2","-4.398426","36.722954","1166"
"490","3.0","1","-4.4389687","36.70176","357"
"681","3.0","1","-4.3644357","36.721996","1129"
"471","3.0","2","-4.4503145","36.691353","319"
"538","3.0","1","-4.42872","36.71231","368"
"416","3.0","2","-4.3482","36.72202","1151"
"678","3.0","2","-4.4281073","36.716724","2301"
"679","3.0","1","-4.410451","36.721046","1103"
"540","3.0","1","-4.388892","36.722687","1110"
"598","3.0","2","-4.367704","36.722538","1157"
"535","3.0","1","-4.4533095","36.69109","351"
"619","4.0","2","-4.4564714","36.709198","463"
"596","4.0","1","-4.4321713","36.7143","417"
"567","4.0","1","-4.460631","36.707733","415"
"530","4.0","2","-4.4177823","36.719067","366"
"670","4.0","1","-4.418931","36.71882","1803"
"543","4.0","2","-4.4415474","36.712166","456"
"617","5.0","2","-4.4451876","36.700287","356"
"667","5.0","1","-4.4989805","36.66075","1024"
"616","5.0","1","-4.4344425","36.70879","309"
"512","6.0","1","-4.430157","36.721615","602"
"518","7.0","2","-4.4303565","36.72812","762"
"573","7.0","2","-4.4407506","36.728245","756"
"592","7.0","1","-4.451813","36.73233","711"
"577","7.0","1","-4.4293065","36.719208","621"
"548","7.0","2","-4.426507","36.716774","662"
"590","7.0","1","-4.4366155","36.731693","705"
"649","8.0","2","-4.462649","36.725582","851"
"611","8.0","1","-4.4525924","36.72317","808"
"606","8.0","2","-4.442294","36.72155","845"
"492","8.0","1","-4.4301577","36.721622","602"
"544","8.0","1","-4.4753256","36.716843","2011"
"607","8.0","1","-4.482502","36.722065","6252"
"659","9.0","2","-4.4384046","36.70272","1259"
"754","9.0","1","-4.4804645","36.668373","1045"
"618","10.0","2","-4.5034456","36.66712","1067"
"599","10.0","1","-4.4289804","36.716705","416"
"684","11.0","2","-4.3522406","36.71872","1119"
"533","11.0","1","-4.4029927","36.721622","1105"
"482","11.0","2","-4.4106874","36.721115","1170"
"542","11.0","1","-4.4227133","36.717484","3501"
"539","11.0","1","-4.4495583","36.714836","2055"
"466","11.0","2","-4.3522406","36.71872","1119"
"481","11.0","1","-4.3794527","36.72207","1124"
"531","11.0","2","-4.3958297","36.72365","1164"
"537","11.0","2","-4.4433575","36.716137","1405"
"463","11.0","1","-4.475028","36.716507","2056"
"469","11.0","2","-4.4603724","36.713593","2003"
"622","14.0","2","-4.4237833","36.7172","662"
"582","14.0","1","-4.4194655","36.71867","1803"
"637","14.0","1","-4.4143353","36.71487","1421"
"552","14.0","2","-4.4453044","36.714886","1853"
"496","14.0","2","-4.4601965","36.71968","1419"
"692","14.0","1","-4.4424725","36.71493","1417"
"682","15.0","2","-4.4449186","36.721786","844"
"673","15.0","1","-4.449031","36.718365","1513"
"480","15.0","2","-4.444186","36.694035","1554"
"488","15.0","2","-4.42834","36.731705","1569"
"672","15.0","1","-4.426404","36.748123","1761"
"464","15.0","2","-4.441263","36.70473","1559"
"475","15.0","1","-4.439026","36.721615","803"
"484","15.0","1","-4.4275813","36.733677","1505"
"485","15.0","1","-4.441793","36.70072","1526"
"556","16.0","1","-4.446665","36.6913","1524"
"561","16.0","2","-4.427073","36.715893","253"
"661","16.0","2","-4.436191","36.705883","360"
"554","16.0","1","-4.4409966","36.703636","312"
"560","16.0","1","-4.421716","36.718063","303"
"615","17.0","2","-4.4243054","36.716988","662"
"594","17.0","2","-4.430296","36.738125","1752"
"571","17.0","1","-4.424601","36.717247","601"
"627","17.0","2","-4.4296975","36.72702","702"
"639","17.0","1","-4.4264884","36.74602","1762"
"546","17.0","1","-4.4288363","36.740353","1755"
"597","18.0","1","-4.4623694","36.721474","811"
"652","18.0","2","-4.4263515","36.748306","1764"
"694","18.0","2","-4.4742312","36.71699","818"
"595","18.0","2","-4.427743","36.737553","1710"
"569","19.0","1","-4.424434","36.717285","1701"
"620","19.0","2","-4.4465346","36.71124","455"
"666","19.0","1","-4.4930887","36.70442","1918"
"621","19.0","2","-4.550482","36.73104","2575"
"656","20.0","2","-4.4254975","36.724545","203"
"626","20.0","1","-4.429457","36.718277","961"
"628","20.0","2","-4.4277277","36.70952","2466"
