APARCAMIENTO,"DEL MINUTO 0 AL 30","DEL MINUTO 31 AL 60","DEL MINUTO 61 AL 720","DEL MINUTO 721 AL 1440","A PARTIR DE LA HORA 24 A LA HORA 36","A PARTIR DE LA HORA 37 A LA HORA 48","PÉRDIDA TICKET"
TEJON,"0,0492","0,0056","0,00270","0,0001","0,0270","0,0001","19,1166"
ALCAZABA,"0,0492","0,0056","0,00270","0,0001","0,0270","0,0001","19,1166"
CAMAS,"0,0492","0,0056","0,00270","0,0001","0,0270","0,0001","19,1166"
ANDALUCIA,"0,0492","0,0056","0,00270","0,0001","0,0270","0,0001","19,1166"
CERVANTES,"0,0492","0,0056","0,00270","0,0001","0,0270","0,0001","19,1166"
SALITRE,"0,0492","0,0056","0,00270","0,0001","0,0270","0,0001","19,1166"
