Fecha de la visita,Distrito,Barrio,Dirección,Origen Petición,Área Actuación,Servicios Aplicados,Vectores Tratados
02/01/2013,CENTRO,OLLETAS,CL SANTA MARIA MICAELA Nr: 1,Actuación Programada,Lugares de Captura,Control de tórtolas;Control de Palomas,Tórtolas;Paloma
02/01/2013,CENTRO,CENTRO HISTORICO,PL OBISPO Nr: 1,Actuación Programada,Lugares de Captura,Control de Palomas,Paloma
02/01/2013,CENTRO,CENTRO HISTORICO,PL FELIX SAENZ Nr: 9,Actuación Programada,Lugares de Captura,Control de tórtolas;Control de Palomas,Tórtolas;Paloma
02/01/2013,CRUZ DE HUMILLADERO,SANTA MARTA,CL ANDARAX Nr: 5,Actuación Programada,Lugares de Captura,Control de tórtolas;Control de Palomas,Tórtolas;Paloma
02/01/2013,CAMPANILLAS,PARQUE TECNOLOGICO,CL SEVERO OCHOA Nr: 1,Actuación Programada,Lugares de Captura,Control de tórtolas;Control de Palomas,Tórtolas;Paloma
02/01/2013,CENTRO,EL EJIDO,CL PACO MIRANDA Nr: 1,Actuación Programada,Vía Pública,Control de tórtolas;Control de Palomas,Tórtolas;Paloma
02/01/2013,CENTRO,PLAZA DE TOROS VIEJA,CL CANALES Nr: 1,Actuación Programada,Vía Pública,Control de tórtolas;Control de Palomas,Tórtolas;Paloma
02/01/2013,CIUDAD JARDIN,CIUDAD JARDIN,CL DIAZ CAMACHO Nr: 1,Actuación Programada,Vía Pública,Control de tórtolas;Control de Palomas,Tórtolas;Paloma
02/01/2013,CENTRO,LA MALAGUETA,CL VELEZ MALAGA Nr: 1,Actuación Programada,Lugares de Captura,Control de Palomas,Paloma
02/01/2013,CENTRO,LA MANIA,CL FELIX REVELLO DE TORO Nr: 4,Actuación Programada,Vía Pública,Desratización,Ratas
02/01/2013,CENTRO,PUERTO,PSO CURAS DE LOS Nr: 2,Actuación Programada,Vía Pública,Desratización,Ratas
02/01/2013,CENTRO,VENTAJA ALTA,CL ENLACE Nr: 1,Actuación Programada,Vía Pública,Desratización,Ratas
02/01/2013,ESTE,FABRICA CEMENTO,CTRA ALMERIA LA ARAÑA Nr: 1,Actuación Programada,Vía Pública,Desratización,Ratas
02/01/2013,ESTE,LA ARAÑA,CL ESCRITOR CROUISELLES DIAZ Nr: 1,Actuación Programada,Vía Pública,Desratización,Ratas
02/01/2013,ESTE,PODADERA,CL ESCRITOR AMBROSIO DE ACUÑA Nr: 1,Actuación Programada,Vía Pública,Desratización,Ratas
02/01/2013,ESTE,OLIAS,PL AGUA Nr: 1,Actuación Programada,Vía Pública,Desratización,Ratas
02/01/2013,CHURRIANA,PIZARRILLO,CL BANGLADESH Nr: 1,Actuación Programada,Vía Pública,Desratización,Ratas
02/01/2013,CHURRIANA,LA LOMA,DSMO HUERTECILLA LA Nr: 1,Actuación Programada,Vía Pública,Desratización,Ratas
02/01/2013,CENTRO,PUERTO,AV MANUEL AGUSTIN HEREDIA Nr: 1,Linea 900,Vía Pública,Desratización,Ratas
02/01/2013,CRUZ DE HUMILLADERO,SANTA MARTA,CL PINTOR BERROBIANCO MELENDEZ Nr: 1,Linea 900,Vía Pública,Desratización,Ratas
02/01/2013,CARRETERA DE CADIZ,LA LUZ,CL EDUARDO TORROJA Nr: 9,Linea 900,Vía Pública,Desratización,Ratas
03/01/2013,CENTRO,CONDE DE UREÑA,CL AMARGURA Nr: 2,Actuación Programada,Vía Pública,Desratización,Ratas
03/01/2013,CENTRO,ENSANCHE CENTRO,CL CORDOBA Nr: 1,Actuación Programada,Vía Pública,Desratización,Ratas
03/01/2013,ESTE,LOS PINOS,CL MACIZO DEL HUMO Nr: 1,Actuación Programada,Vía Pública,Desratización,Ratas
03/01/2013,ESTE,LAS PALMERAS,CL PALMERAS DEL LIMONAR Nr: 1,Actuación Programada,Vía Pública,Desratización,Ratas
03/01/2013,ESTE,LA VAGUADA,CL CHARLOT Nr: 1,Actuación Programada,Vía Pública,Desratización,Ratas
03/01/2013,CHURRIANA,EL CUARTON,CMNO RETIRO DEL Nr: 1,Actuación Programada,Vía Pública,Desratización,Ratas
03/01/2013,CHURRIANA,SAN JULIAN,CL CRONOS Nr: 1,Actuación Programada,Vía Pública,Desratización,Ratas
03/01/2013,CHURRIANA,LA TOSCA,CL NIJAR Nr: 1,Actuación Programada,Vía Pública,Desratización,Ratas
03/01/2013,BAILEN-MIRAFLORES,HAZA DEL CAMPILLO,CL JORGE LORING Nr: 17,Linea 900,Vía Pública,Desratización,Ratas
04/01/2013,CENTRO,LOS ANTONIOS,CL DECANO JUAN JOSE DELICADO Nr: 1,Actuación Programada,Vía Pública,Desratización,Ratas
04/01/2013,CHURRIANA,CORTIJO DE MAZA,CL DINAMARCA Nr: 1,Actuación Programada,Vía Pública,Desratización,Ratas
04/01/2013,CHURRIANA,WITTEMBERG,CL DIPUTADO IGNACIO HUELIN Nr: 1,Actuación Programada,Vía Pública,Desratización,Ratas
04/01/2013,CENTRO,CENTRO HISTORICO,CL MEDINA CONDE Nr: 3,Linea 900,Vía Pública,Control de Palomas,Paloma
04/01/2013,PUERTO DE LA TORRE,HUERTA NUEVA-PTO TORRE,CL CENIT Nr: 16,Linea 900,Vía Pública,Desratización,Ratas
04/01/2013,ESTE,EL MORLACO,AV PINTOR JOAQUIN SOROLLA Nr: 121,Linea 900,Vía Pública,Desratización,Ratas
04/01/2013,CRUZ DE HUMILLADERO,MARMOLES,CL BLANCO CORIS Nr: 12,Linea 900,Vía Pública,Desratización,Ratas
04/01/2013,CRUZ DE HUMILLADERO,CAMINO DE ANTEQUERA,CL MARTIN DE LA PLAZA Nr: 43,Ciudadano,Vía Pública,Desratización,Ratas
04/01/2013,CENTRO,MONTE SANCHA,CL BARRANCO Nr: 1,Actuación Programada,Vía Pública,Desratización,Ratas
04/01/2013,ESTE,BELLAVISTA,CL IDRIS Nr: 1,Actuación Programada,Vía Pública,Desratización,Ratas
04/01/2013,ESTE,CASTILLO SANTA CATALINA,CL MIGUEL INDURAIN Nr: 1,Actuación Programada,Vía Pública,Desratización,Ratas
