FECHA, PRODUCCION
2013-09-24, 23.46
2013-09-25, 25.26
2013-09-26, 23.43
2013-09-27, 13.07
2013-09-28, 8.47
2013-09-29, 17.38
2013-09-30, 18.03
2013-10-01, 24.11
2013-10-02, 23.71
2013-10-03, 19.34
2013-10-04, 17.22
2013-10-05, 24.26
2013-10-06, 22.08
2013-10-07, 21.1
2013-10-08, 24.58
2013-10-09, 24.63
2013-10-10, 23.71
2013-10-11, 24.33
2013-10-12, 23.75
2013-10-13, 24.12
2013-10-14, 20.49
2013-10-15, 22.55
2013-10-16, 23.78
2013-10-17, 17.69
2013-10-18, 21.76
2013-10-19, 20.46
2013-10-20, 22.54
2013-10-21, 22.4
2013-10-22, 4.08
2013-10-23, 11.8
2013-10-24, 18.5
2013-10-25, 15.15
2013-10-26, 4.31
2013-10-27, 21.6
2013-10-28, 20.69
2013-10-29, 23.41
2013-10-30, 21.74
2013-10-31, 22.73
2013-11-01, 22.55
2013-11-02, 22.49
2013-11-03, 18.58
2013-11-04, 16.08
2013-11-05, 17.19
2013-11-06, 20.93
2013-11-07, 18.37
2013-11-08, 17.56
2013-11-09, 21.68
2013-11-10, 18.17
2013-11-11, 19.94
2013-11-12, 20.16
2013-11-13, 14.09
2013-11-14, 19
2013-11-15, 20.07
2013-11-16, 13.24
2013-11-17, 12.8
2013-11-18, 18.62
2013-11-19, 18.87
2013-11-20, 18.16
2013-11-21, 8.07
2013-11-22, 10.46
2013-11-23, 7.73
2013-11-24, 19.68
2013-11-25, 19.16
2013-11-26, 19.11
2013-11-27, 13.72
2013-11-28, 5.58
2013-11-29, 19.16
2013-11-30, 17.89
2013-12-01, 17.64
2013-12-02, 18.58
2013-12-03, 14.72
2013-12-04, 7.43
2013-12-05, 17.5
2013-12-06, 17.9
2013-12-07, 18.11
2013-12-08, 17.67
2013-12-09, 7.12
2013-12-10, 9.55
2013-12-11, 15.57
2013-12-12, 13.81
2013-12-13, 11.67
2013-12-14, 10.3
2013-12-15, 13.34
2013-12-16, 7.69
2013-12-17, 2.68
2013-12-18, 7.27
2013-12-19, 6.26
2013-12-20, 18.7
2013-12-21, 17.49
2013-12-22, 16.91
2013-12-23, 16.24
2013-12-24, 6.5
2013-12-25, 2.2
2013-12-26, 12.55
2013-12-27, 14.05
2013-12-28, 14.88
2013-12-29, 18.84
2013-12-30, 14.51
2013-12-31, 14.74
