APARCAMIENTO,"DEL MINUTO 0 AL 30","DEL MINUTO 31 AL 60","DEL MINUTO 61 AL 720","DEL MINUTO 721 AL 1440","A PARTIR DE LA HORA 24 A LA HORA 36","A PARTIR DE LA HORA 37 A LA HORA 48","PÉRDIDA TICKET"
TEJON,"0,0520","0,0062","0,00307","0,0001","0,0307","0,0001","21,5468"
ALCAZABA,"0,0520","0,0062","0,00307","0,0001","0,0307","0,0001","21,5468"
CAMAS,"0,0520","0,0062","0,00307","0,0001","0,0307","0,0001","21,5468"
ANDALUCIA,"0,0520","0,0062","0,00307","0,0001","0,0307","0,0001","21,5468"
CERVANTES,"0,0520","0,0062","0,00307","0,0001","0,0307","0,0001","21,5468"
SALITRE,"0,0520","0,0062","0,00307","0,0001","0,0307","0,0001","21,5468"
