FECHA, PRODUCCION
2013-08-21, 225.52
2013-08-22, 200.6
2013-08-23, 220.53
2013-08-24, 224.08
2013-08-25, 217.35
2013-08-26, 220.91
2013-08-27, 204.81
2013-08-28, 214.42
2013-08-29, 150.72
2013-08-30, 211.79
2013-08-31, 218.97
2013-09-01, 221.96
2013-09-02, 226.8
2013-09-03, 224.7
2013-09-04, 202.94
2013-09-05, 215.15
2013-09-06, 195.21
2013-09-07, 86.44
2013-09-08, 195.46
2013-09-09, 237.28
2013-09-10, 236.98
2013-09-11, 235.08
2013-09-12, 230.73
2013-09-13, 104.13
2013-09-14, 159.83
2013-09-15, 230.47
2013-09-16, 192.27
2013-09-17, 224.11
2013-09-18, 222.69
2013-09-19, 217.7
2013-09-20, 216.19
2013-09-21, 218.9
2013-09-22, 205.24
2013-09-23, 223.83
2013-09-24, 205.99
2013-09-25, 217.91
2013-09-26, 202.73
2013-09-27, 102.48
2013-09-28, 77.3
2013-09-29, 157.1
2013-09-30, 150.07
2013-10-01, 212.27
2013-10-02, 204.7
2013-10-03, 170.93
2013-10-04, 156.26
2013-10-05, 213.16
2013-10-06, 187.58
2013-10-07, 200.06
2013-10-08, 208.5
2013-10-09, 205.5
2013-10-10, 200.98
2013-10-11, 206.08
2013-10-12, 198.73
2013-10-13, 203.81
2013-10-14, 170.27
2013-10-15, 190.61
2013-10-16, 198.05
2013-10-17, 164.71
2013-10-18, 179.33
2013-10-19, 179.88
2013-10-20, 186.29
2013-10-21, 183.92
2013-10-22, 33.22
2013-10-23, 99.06
2013-10-24, 157.4
2013-10-25, 124.4
2013-10-26, 34.69
2013-10-27, 174.27
2013-10-28, 168.57
2013-10-29, 194.93
2013-10-30, 187.64
2013-10-31, 183.12
2013-11-01, 182.58
2013-11-02, 182.81
2013-11-03, 150.33
2013-11-04, 126.23
2013-11-05, 164.74
2013-11-06, 169.02
2013-11-07, 155.7
2013-11-08, 139.64
2013-11-09, 175
2013-11-10, 144.76
2013-11-11, 162.5
2013-11-12, 163.45
2013-11-13, 98.95
2013-11-14, 164.07
2013-11-15, 162.17
2013-11-16, 105.74
