"EPIGRAFE","SUBEPIGRAFE","TOTAL ESTABLECIMIENTOS","TOTAL ESTABLECIMIENTOS VISITADOS","TOTAL INSPECIONES","TOTAL ANOMALIAS","TOTAL ACTUACIONES","MES"
"COMERCIO MENOR ALIMENTARIO","CARNICERIAS CON ELABORACION",16,1,1,0,0,"MAYO"
"COMERCIO MENOR ALIMENTARIO","PASTELERIAS",59,2,2,0,0,"MAYO"
"COMERCIO MENOR NO ALIMENTARIO","VENTA COSMETICOS, PERFUMERIA, DROGUERIA",461,0,0,0,1,"MAYO"
"COMERCIO MENOR NO ALIMENTARIO","TIENDAS TODO A 100, BAZARES",253,2,2,0,0,"MAYO"
"COMERCIO MENOR NO ALIMENTARIO","GASOLINERAS, ESTACIONES DE SERVICIO",59,2,2,1,0,"MAYO"
"COMERCIO MENOR NO ALIMENTARIO","HERBORISTERIAS, ESPECIAS",164,1,1,1,1,"MAYO"
"HOSTELERIA","HELADERIAS",100,2,5,0,0,"MAYO"
"HOSTELERIA","CAFETERIAS CON COCINA, BARES, TABERNAS",2816,27,28,9,3,"MAYO"
"HOSTELERIA","CAFETERIAS SIN COCINA, BARES, TABERNAS",727,5,6,1,7,"MAYO"
"HOSTELERIA","RESTAURANTE, VENTA, CHIRINGUITO, PIZZERIA, CHINO",1123,21,42,7,1,"MAYO"
"HOSTELERIA","COMEDORES ESCOLARES",46,5,5,1,0,"MAYO"
"SERVICIOS PROFESIONALES","ESTETICA, BELLEZA",351,2,2,1,0,"MAYO"
"SERVICIOS PROFESIONALES","PELUQUERIAS",1449,13,14,7,0,"MAYO"
"SERVICIOS PROFESIONALES","PIERCING Y TATUAJES",49,2,2,0,0,"MAYO"
"ENSEÑANZA","COLEGIOS, INSTITUTOS",150,12,13,2,1,"MAYO"
"ENSEÑANZA","JARDIN INFANTIL",194,6,11,4,0,"MAYO"
"OCIO","GIMNASIOS",159,3,3,1,0,"MAYO"
"OCIO","SALONES RECREATIVOS, CLUBS SOCIALES, PEÑAS",114,1,1,0,0,"MAYO"
"HOTELES","HOTELES",166,2,3,0,0,"MAYO"
"HOTELES","HOSTALES",27,1,1,0,0,"MAYO"
"HOTELES","RESIDENCIAS Y ALBERGUES",37,1,1,0,0,"MAYO"
"HOTELES","RESIDENCIAS DE ANCIANOS",82,1,2,0,0,"MAYO"
"INDUSTRIA ALIMENTARIA ELABORADORA O ENVASADORA","MATADERO VACUNO,OVINO,CAPRINO",1,1,18,0,0,"JUNIO"
"INDUSTRIA ALIMENTARIA ELABORADORA O ENVASADORA","CONGELACION PESCADO, PRODUCTOS DE PESCA",13,1,1,1,0,"JUNIO"
"INDUSTRIA ALIMENTARIA ELABORADORA O ENVASADORA","CONSERVAS PESCADO, AHUMADOS, SALAZONES",3,2,12,1,0,"JUNIO"
"INDUSTRIA ALIMENTARIA ELABORADORA O ENVASADORA","ELABORACION ACEITES",7,2,7,0,0,"JUNIO"
"INDUSTRIA ALIMENTARIA ELABORADORA O ENVASADORA","CATERING ELABORACION COMIDAS",23,3,15,0,0,"JUNIO"
"INDUSTRIA ALIMENTARIA ELABORADORA O ENVASADORA","OBRADOR DE PANADERIA Y CONFITERIA",348,12,14,2,0,"JUNIO"
"INDUSTRIA ALIMENTARIA ELABORADORA O ENVASADORA","MATADERO DE AVES",2,1,35,0,0,"JUNIO"
"INDUSTRIA ALIMENTARIA ELABORADORA O ENVASADORA","SALA DESPIECE CARNE VACUNO PORCINO",16,3,4,0,1,"JUNIO"
"INDUSTRIA ALIMENTARIA ELABORADORA O ENVASADORA","SALA DESPIECE AVES",5,1,1,0,0,"JUNIO"
"INDUSTRIA ALIMENTARIA ELABORADORA O ENVASADORA","ELABORACION DE ADITIVOS",2,1,1,0,0,"JUNIO"
"INDUSTRIA ALIMENTARIA ELABORADORA O ENVASADORA","ELABORACION DE CAFE",3,1,2,0,0,"JUNIO"
"INDUSTRIA NO ALIMENTARIA FABRICACION","FABRICACION PRODUCTOS FARMACEUTICOS",2,1,2,0,0,"JUNIO"
"COMERCIO MAYOR ALIMENTARIO","ALMACEN CARNES FRESCAS, CONGELADOS, REFRIGERADOS",35,2,3,0,0,"JUNIO"
"COMERCIO MAYOR ALIMENTARIO","ALMACEN PESCADOS FRESCOS, CONGELADOS, CONSERVAS",46,3,5,1,1,"JUNIO"
"COMERCIO MAYOR ALIMENTARIO","ALMACEN FRUTAS,HORTALIZAS,TUBERCULOS,LEGUMBRES",76,4,5,1,1,"JUNIO"
"COMERCIO MAYOR ALIMENTARIO","ALMACEN HUEVOS",10,2,3,0,0,"JUNIO"
"COMERCIO MAYOR ALIMENTARIO","ALMACEN BEBIDAS ALCOHOLICAS, REFRESCANTES",68,1,1,0,0,"JUNIO"
"COMERCIO MAYOR ALIMENTARIO","ALMACEN ALIMENTARIOS FRIGORIFICOS POLIVALENTES",86,6,15,0,1,"JUNIO"
"COMERCIO MAYOR ALIMENTARIO","ALMACEN ALIMENTARIOS CONGELADOR POLIVALENTE",18,3,3,1,3,"JUNIO"
"COMERCIO MAYOR ALIMENTARIO","ALMACEN ALIMENTARIO POLIVALENTE NO FRIGORIFICO",137,2,2,0,3,"JUNIO"
"COMERCIO MENOR ALIMENTARIO","CARNICERIAS, CHARCUTERIAS, SALCHICHAS",499,23,27,10,1,"JUNIO"
"COMERCIO MENOR ALIMENTARIO","PESCADERIAS",420,3,5,1,0,"JUNIO"
"COMERCIO MENOR ALIMENTARIO","FRUTERIAS",425,1,1,0,2,"JUNIO"
"COMERCIO MENOR ALIMENTARIO","PANADERIAS",508,3,3,3,1,"JUNIO"
"COMERCIO MENOR ALIMENTARIO","ULTRAMARINOS, SUPERMERCADOS, TIENDAS COMESTIBLES",1542,17,17,2,5,"JUNIO"
"COMERCIO MENOR ALIMENTARIO","COMERCIO ALIMENTOS CONGELADOS POLIVALENTE",143,3,4,2,0,"JUNIO"
"COMERCIO MENOR ALIMENTARIO","MENOR VINOS, LICORES, AGUARDIENTES",34,0,0,0,1,"JUNIO"
"COMERCIO MENOR ALIMENTARIO","MENOR FRUTOS SECOS, CARAMELOS, GOLOSINAS",201,1,1,1,1,"JUNIO"
"COMERCIO MENOR ALIMENTARIO","ASADOR DE POLLOS Y COMIDAS ELABORADAS",299,2,5,1,0,"JUNIO"
"COMERCIO MENOR ALIMENTARIO","CARNICERIAS CON ELABORACION",16,1,1,1,0,"JUNIO"
"COMERCIO MENOR ALIMENTARIO","PASTELERIAS",59,1,1,0,0,"JUNIO"
"COMERCIO MENOR NO ALIMENTARIO","VENTA COSMETICOS, PERFUMERIA, DROGUERIA",461,1,1,0,0,"JUNIO"
"COMERCIO MENOR NO ALIMENTARIO","FARMACIAS",367,1,1,0,0,"JUNIO"
"COMERCIO MENOR NO ALIMENTARIO","HERBORISTERIAS, ESPECIAS",164,1,1,0,0,"JUNIO"
"HOSTELERIA","HELADERIAS",100,4,4,0,1,"JUNIO"
"HOSTELERIA","CAFETERIAS CON COCINA, BARES, TABERNAS",2816,21,22,3,7,"JUNIO "
"HOSTELERIA","CAFETERIAS SIN COCINA, BARES, TABERNAS",727,14,19,2,5,"JUNIO"
"HOSTELERIA","RESTAURANTE, VENTA, CHIRINGUITO, PIZZERIA, CHINO",1123,24,37,4,1,"JUNIO"
"HOSTELERIA","COMEDORES ESCOLARES",46,2,2,0,0,"JUNIO"
"SERVICIOS PROFESIONALES","ESTETICA, BELLEZA",351,4,4,1,0,"JUNIO"
"SERVICIOS PROFESIONALES","PELUQUERIAS",1449,8,8,1,0,"JUNIO"
"SERVICIOS PROFESIONALES","PIERCING Y TATUAJES",49,1,1,0,0,"JUNIO"
"ENSEÑANZA","COLEGIOS, INSTITUTOS",150,1,1,0,1,"JUNIO"
"ENSEÑANZA","JARDIN INFANTIL",194,5,11,1,2,"JUNIO"
"OCIO","GIMNASIOS",159,2,2,0,0,"JUNIO"
"OCIO","COMPLEJOS DEPORTIVOS Y RECREATIVOS",166,2,2,1,4,"JUNIO"
"HOTELES","HOTELES",166,15,17,8,0,"JUNIO"
"HOTELES","HOSTALES",27,1,1,0,0,"JUNIO"
"HOTELES","RESIDENCIAS DE ANCIANOS",82,1,1,0,0,"JUNIO "
"OTRAS EMPRESAS","GRANDES ALMACENES Y GRANDES SUPERFICIES",18,2,2,0,0,"JUNIO"
"INDUSTRIA ALIMENTARIA ELABORADORA O ENVASADORA","MATADERO VACUNO,OVINO,CAPRINO",1,1,22,0,0,"JULIO"
"INDUSTRIA ALIMENTARIA ELABORADORA O ENVASADORA","CONSERVAS CARNE, AHUMADOS, EMBUTIDOS, SALAZONES",15,2,4,2,0,"JULIO"
"INDUSTRIA ALIMENTARIA ELABORADORA O ENVASADORA","CONGELACION PESCADO, PRODUCTOS DE PESCA",13,4,6,0,1,"JULIO"
"INDUSTRIA ALIMENTARIA ELABORADORA O ENVASADORA","CONSERVAS PESCADO, AHUMADOS, SALAZONES",3,1,7,0,0,"JULIO"
"INDUSTRIA ALIMENTARIA ELABORADORA O ENVASADORA","ELABORACION BEBIDAS ALCOHOLICAS, REFRESCOS",13,1,2,0,0,"JULIO"
"INDUSTRIA ALIMENTARIA ELABORADORA O ENVASADORA","ELABORACION ACEITES",7,3,10,0,0,"JULIO"
"INDUSTRIA ALIMENTARIA ELABORADORA O ENVASADORA","ELABORACION POLIVALENTES",11,1,1,0,0,"JULIO"
"INDUSTRIA ALIMENTARIA ELABORADORA O ENVASADORA","CATERING ELABORACION COMIDAS",23,2,3,0,2,"JULIO"
"INDUSTRIA ALIMENTARIA ELABORADORA O ENVASADORA","OBRADOR DE PANADERIA Y CONFITERIA",348,4,5,0,3,"JULIO"
"INDUSTRIA ALIMENTARIA ELABORADORA O ENVASADORA","MATADERO DE AVES",2,1,25,0,0,"JULIO"
"INDUSTRIA ALIMENTARIA ELABORADORA O ENVASADORA","SALA DESPIECE CARNE VACUNO PORCINO",16,6,15,2,0,"JULIO"
"INDUSTRIA ALIMENTARIA ELABORADORA O ENVASADORA","SALA DESPIECE AVES",5,2,3,1,1,"JULIO"
"INDUSTRIA NO ALIMENTARIA FABRICACION","FABRICACION PRODUCTOS FARMACEUTICOS",2,1,4,0,0,"JULIO"
"COMERCIO MAYOR ALIMENTARIO","ALMACEN CARNES FRESCAS, CONGELADOS, REFRIGERADOS",35,2,3,0,0,"JULIO"
"COMERCIO MAYOR ALIMENTARIO","ALMACEN PESCADOS FRESCOS, CONGELADOS, CONSERVAS",46,1,3,0,1,"JULIO"
"COMERCIO MAYOR ALIMENTARIO","ALMACEN BEBIDAS ALCOHOLICAS, REFRESCANTES",68,1,1,0,0,"JULIO"
"COMERCIO MAYOR ALIMENTARIO","ALMACEN ACEITES",3,0,0,0,1,"JULIO"
"COMERCIO MAYOR ALIMENTARIO","ALMACEN ALIMENTARIOS FRIGORIFICOS POLIVALENTES",86,7,19,2,2,"JULIO"
"COMERCIO MAYOR ALIMENTARIO","ALMACEN ALIMENTARIOS CONGELADOR POLIVALENTE",18,2,2,0,1,"JULIO"
"COMERCIO MAYOR ALIMENTARIO","ALMACEN ALIMENTARIO POLIVALENTE NO FRIGORIFICO",137,3,3,0,4,"JULIO"
"COMERCIO MENOR ALIMENTARIO","CARNICERIAS, CHARCUTERIAS, SALCHICHAS",499,12,15,3,2,"JULIO"
"COMERCIO MENOR ALIMENTARIO","PESCADERIAS",420,7,7,2,0,"JULIO"
"COMERCIO MENOR ALIMENTARIO","FRUTERIAS",425,4,6,3,0,"JULIO"
"COMERCIO MENOR ALIMENTARIO","PANADERIAS",508,1,1,0,0,"JULIO"
"COMERCIO MENOR ALIMENTARIO","ULTRAMARINOS, SUPERMERCADOS, TIENDAS COMESTIBLES",1542,10,11,1,3,"JULIO"
"COMERCIO MENOR ALIMENTARIO","COMERCIO ALIMENTOS CONGELADOS POLIVALENTE",143,2,3,0,0,"JULIO"
"COMERCIO MENOR ALIMENTARIO","MENOR VINOS, LICORES, AGUARDIENTES",34,1,1,0,0,"JULIO"
"COMERCIO MENOR ALIMENTARIO","ASADOR DE POLLOS Y COMIDAS ELABORADAS",299,2,2,1,2,"JULIO"
"COMERCIO MENOR NO ALIMENTARIO","VENTA COSMETICOS, PERFUMERIA, DROGUERIA",461,0,0,0,1,"JULIO"
"COMERCIO MENOR NO ALIMENTARIO","TIENDAS TODO A 100, BAZARES",253,0,0,0,1,"JULIO"
"COMERCIO MENOR NO ALIMENTARIO","GASOLINERAS, ESTACIONES DE SERVICIO",59,0,0,0,1,"JULIO"
"HOSTELERIA","HELADERIAS",100,5,6,0,0,"JULIO"
"HOSTELERIA","CAFETERIAS CON COCINA, BARES, TABERNAS",2816,26,30,4,5,"JULIO"
"HOSTELERIA","CAFETERIAS SIN COCINA, BARES, TABERNAS",727,7,8,1,3,"JULIO"
"HOSTELERIA","RESTAURANTE, VENTA, CHIRINGUITO, PIZZERIA, CHINO",1123,21,37,1,2,"JULIO"
"SERVICIOS PROFESIONALES","ESTETICA, BELLEZA",351,3,3,0,0,"JULIO"
"SERVICIOS PROFESIONALES","PELUQUERIAS",1449,7,7,3,1,"JULIO"
"SERVICIOS PROFESIONALES","PIERCING Y TATUAJES",49,1,1,0,0,"JULIO"
"ENSEÑANZA","COLEGIOS, INSTITUTOS",150,1,2,0,0,"JULIO"
"ENSEÑANZA","JARDIN INFANTIL",194,7,11,1,0,"JULIO"
"OCIO","GIMNASIOS",159,1,1,0,0,"JULIO"
"OCIO","SALONES RECREATIVOS, CLUBS SOCIALES, PEÑAS",114,1,1,0,0,"JULIO"
"OCIO","COMPLEJOS DEPORTIVOS Y RECREATIVOS",166,2,2,0,0,"JULIO"
"HOTELES","HOTELES",166,13,16,5,0,"JULIO"
"HOTELES","APARTAHOTELES",2,1,1,0,0,"JULIO"
"HOTELES","RESIDENCIAS DE ANCIANOS",82,1,1,0,1,"JULIO"
"INDUSTRIA ALIMENTARIA ELABORADORA O ENVASADORA","MATADERO VACUNO,OVINO,CAPRINO",1,1,21,0,0,"AGOSTO"
"INDUSTRIA ALIMENTARIA ELABORADORA O ENVASADORA","CONSERVAS CARNE, AHUMADOS, EMBUTIDOS, SALAZONES",15,1,2,1,1,"AGOSTO"
"INDUSTRIA ALIMENTARIA ELABORADORA O ENVASADORA","CONGELACION PESCADO, PRODUCTOS DE PESCA",13,1,1,0,0,"AGOSTO"
"INDUSTRIA ALIMENTARIA ELABORADORA O ENVASADORA","CONSERVAS PESCADO, AHUMADOS, SALAZONES",3,3,4,0,0,"AGOSTO"
"INDUSTRIA ALIMENTARIA ELABORADORA O ENVASADORA","ELABORACION BEBIDAS ALCOHOLICAS, REFRESCOS",13,1,2,1,0,"AGOSTO"
"INDUSTRIA ALIMENTARIA ELABORADORA O ENVASADORA","ELABORACION ACEITES",7,2,6,0,1,"AGOSTO"
"INDUSTRIA ALIMENTARIA ELABORADORA O ENVASADORA","ELABORACION POLIVALENTES",11,1,1,0,1,"AGOSTO"
"INDUSTRIA ALIMENTARIA ELABORADORA O ENVASADORA","CATERING ELABORACION COMIDAS",23,2,3,0,1,"AGOSTO"
"INDUSTRIA ALIMENTARIA ELABORADORA O ENVASADORA","OBRADOR DE PANADERIA Y CONFITERIA",348,3,3,1,1,"AGOSTO"
"INDUSTRIA ALIMENTARIA ELABORADORA O ENVASADORA","ELABORACION HIELO, AGUA MINERAL",9,1,1,0,0,"AGOSTO"
"INDUSTRIA ALIMENTARIA ELABORADORA O ENVASADORA","ELABORACION DE HELADOS",10,1,1,0,0,"AGOSTO"
"INDUSTRIA ALIMENTARIA ELABORADORA O ENVASADORA","MATADERO DE AVES",2,1,18,1,0,"AGOSTO"
"INDUSTRIA ALIMENTARIA ELABORADORA O ENVASADORA","SALA DESPIECE CARNE VACUNO PORCINO",16,3,3,1,0,"AGOSTO"
"INDUSTRIA ALIMENTARIA ELABORADORA O ENVASADORA","ELABORACION PLATOS PREPARADOS,PRECOCINADOS",3,1,1,0,0,"AGOSTO"
"COMERCIO MAYOR ALIMENTARIO","ALMACEN CARNES FRESCAS, CONGELADOS, REFRIGERADOS",35,3,4,1,0,"AGOSTO"
"COMERCIO MAYOR ALIMENTARIO","ALMACEN PESCADOS FRESCOS, CONGELADOS, CONSERVAS",46,2,2,0,1,"AGOSTO"
"COMERCIO MAYOR ALIMENTARIO","ALMACEN FRUTAS,HORTALIZAS,TUBERCULOS,LEGUMBRES",76,3,3,0,0,"AGOSTO"
"COMERCIO MAYOR ALIMENTARIO","ALMACEN BEBIDAS ALCOHOLICAS, REFRESCANTES",68,4,4,0,0,"AGOSTO"
"COMERCIO MAYOR ALIMENTARIO","ALMACEN ALIMENTARIOS FRIGORIFICOS POLIVALENTES",86,2,11,0,3,"AGOSTO"
"COMERCIO MAYOR ALIMENTARIO","ALMACEN ALIMENTARIOS CONGELADOR POLIVALENTE",18,1,2,1,1,"AGOSTO"
"COMERCIO MAYOR ALIMENTARIO","ALMACEN ALIMENTARIO POLIVALENTE NO FRIGORIFICO",137,4,4,1,3,"AGOSTO"
"COMERCIO MAYOR ALIMENTARIO","ALMACEN ADITIVOS Y ESPECIAS",16,0,0,0,1,"AGOSTO"
"COMERCIO MENOR ALIMENTARIO","CARNICERIAS, CHARCUTERIAS, SALCHICHAS",499,10,12,2,2,"AGOSTO"
"COMERCIO MENOR ALIMENTARIO","PESCADERIAS",420,3,4,0,3,"AGOSTO"
"COMERCIO MENOR ALIMENTARIO","FRUTERIAS",425,2,3,1,0,"AGOSTO"
"COMERCIO MENOR ALIMENTARIO","PANADERIAS",508,4,4,0,0,"AGOSTO"
"COMERCIO MENOR ALIMENTARIO","ULTRAMARINOS, SUPERMERCADOS, TIENDAS COMESTIBLES",1542,21,22,1,2,"AGOSTO"
"COMERCIO MENOR ALIMENTARIO","COMERCIO ALIMENTOS CONGELADOS POLIVALENTE",143,1,1,0,0,"AGOSTO"
"COMERCIO MENOR ALIMENTARIO","MENOR FRUTOS SECOS, CARAMELOS, GOLOSINAS",201,0,0,0,1,"AGOSTO"
"COMERCIO MENOR ALIMENTARIO","ASADOR DE POLLOS Y COMIDAS ELABORADAS",299,1,1,0,0,"AGOSTO"
"COMERCIO MENOR ALIMENTARIO","CARNICERIAS CON ELABORACION",16,1,2,1,0,"AGOSTO"
"COMERCIO MENOR NO ALIMENTARIO","GASOLINERAS, ESTACIONES DE SERVICIO",59,2,2,0,1,"AGOSTO"
"COMERCIO MENOR NO ALIMENTARIO","HERBORISTERIAS, ESPECIAS",164,3,4,1,0,"AGOSTO"
"HOSTELERIA","HELADERIAS",100,3,3,0,0,"AGOSTO"
"HOSTELERIA","CAFETERIAS CON COCINA, BARES, TABERNAS",2816,15,17,4,3,"AGOSTO"
"HOSTELERIA","CAFETERIAS SIN COCINA, BARES, TABERNAS",727,8,8,2,8,"AGOSTO"
"HOSTELERIA","RESTAURANTE, VENTA, CHIRINGUITO, PIZZERIA, CHINO",1123,25,33,3,3,"AGOSTO"
"HOSTELERIA","BARES CON MUSICA Y PUBS",275,1,2,0,0,"AGOSTO"
"SERVICIOS PROFESIONALES","PELUQUERIAS",1449,5,5,1,0,"AGOSTO"
"ENSEÑANZA","JARDIN INFANTIL",194,2,2,1,0,"AGOSTO"
"OCIO","GIMNASIOS",159,4,4,0,1,"AGOSTO"
"HOTELES","HOTELES",166,14,22,6,0,"AGOSTO"
"HOTELES","RESIDENCIAS DE ANCIANOS",82,4,4,0,0,"AGOSTO"
"OTRAS EMPRESAS","GRANDES ALMACENES Y GRANDES SUPERFICIES",18,2,2,0,0,"AGOSTO"
"INDUSTRIA ALIMENTARIA ELABORADORA O ENVASADORA","MATADERO VACUNO,OVINO,CAPRINO",1,1,19,0,0,"SEPTIEMBRE"
"INDUSTRIA ALIMENTARIA ELABORADORA O ENVASADORA","CONSERVAS CARNE, AHUMADOS, EMBUTIDOS, SALAZONES",15,2,2,1,2,"SEPTIEMBRE"
"INDUSTRIA ALIMENTARIA ELABORADORA O ENVASADORA","CONGELACION PESCADO, PRODUCTOS DE PESCA",13,2,2,1,0,"SEPTIEMBRE"
"INDUSTRIA ALIMENTARIA ELABORADORA O ENVASADORA","CONSERVAS PESCADO, AHUMADOS, SALAZONES",3,2,6,0,1,"SEPTIEMBRE"
"INDUSTRIA ALIMENTARIA ELABORADORA O ENVASADORA","CONSERVAS FRUTAS, HORTALIZAS, TUBERCULOS",9,1,2,0,0,"SEPTIEMBRE"
"INDUSTRIA ALIMENTARIA ELABORADORA O ENVASADORA","ELABORACION P. LACTEOS, LECHE, YOGUR, MANTEQUILLA",3,1,2,0,0,"SEPTIEMBRE"
"INDUSTRIA ALIMENTARIA ELABORADORA O ENVASADORA","ELABORACION BEBIDAS ALCOHOLICAS, REFRESCOS",13,2,3,1,0,"SEPTIEMBRE"
"INDUSTRIA ALIMENTARIA ELABORADORA O ENVASADORA","ELABORACION ACEITES",7,1,1,0,1,"SEPTIEMBRE"
"INDUSTRIA ALIMENTARIA ELABORADORA O ENVASADORA","CATERING ELABORACION COMIDAS",23,3,3,0,1,"SEPTIEMBRE"
"INDUSTRIA ALIMENTARIA ELABORADORA O ENVASADORA","OBRADOR DE PANADERIA Y CONFITERIA",348,5,12,2,1,"SEPTIEMBRE"
"INDUSTRIA ALIMENTARIA ELABORADORA O ENVASADORA","ELABORACION DE HELADOS",10,2,3,1,1,"SEPTIEMBRE"
"INDUSTRIA ALIMENTARIA ELABORADORA O ENVASADORA","MATADERO DE AVES",2,1,17,1,0,"SEPTIEMBRE"
"INDUSTRIA ALIMENTARIA ELABORADORA O ENVASADORA","SALA DESPIECE CARNE VACUNO PORCINO",16,5,9,0,1,"SEPTIEMBRE"
"INDUSTRIA ALIMENTARIA ELABORADORA O ENVASADORA","SALA DESPIECE AVES",5,1,1,1,0,"SEPTIEMBRE"
"INDUSTRIA ALIMENTARIA ELABORADORA O ENVASADORA","ELABORACION DE ADITIVOS",2,1,2,0,0,"SEPTIEMBRE"
"INDUSTRIA ALIMENTARIA ELABORADORA O ENVASADORA","ELABORACION DE CAFE",3,1,1,0,0,"SEPTIEMBRE"
"INDUSTRIA ALIMENTARIA ELABORADORA O ENVASADORA","ELABORACION PLATOS PREPARADOS,PRECOCINADOS",3,0,0,0,1,"SEPTIEMBRE"
"COMERCIO MAYOR ALIMENTARIO","ALMACEN CARNES FRESCAS, CONGELADOS, REFRIGERADOS",35,3,4,0,1,"SEPTIEMBRE"
"COMERCIO MAYOR ALIMENTARIO","ALMACEN PESCADOS FRESCOS, CONGELADOS, CONSERVAS",46,3,3,1,0,"SEPTIEMBRE"
"COMERCIO MAYOR ALIMENTARIO","ALMACEN FRUTAS,HORTALIZAS,TUBERCULOS,LEGUMBRES",76,2,3,0,0,"SEPTIEMBRE"
"COMERCIO MAYOR ALIMENTARIO","ALMACEN PASTELERIA, PANADERIA",18,0,0,0,1,"SEPTIEMBRE"
"COMERCIO MAYOR ALIMENTARIO","ALMACEN LACTEOS",18,1,1,0,0,"SEPTIEMBRE"
"COMERCIO MAYOR ALIMENTARIO","ALMACEN HUEVOS",10,2,2,0,0,"SEPTIEMBRE"
"COMERCIO MAYOR ALIMENTARIO","ALMACEN ALIMENTARIOS FRIGORIFICOS POLIVALENTES",86,3,17,0,1,"SEPTIEMBRE"
"COMERCIO MAYOR ALIMENTARIO","ALMACEN ALIMENTARIOS CONGELADOR POLIVALENTE",18,1,1,0,0,"SEPTIEMBRE"
"COMERCIO MAYOR ALIMENTARIO","ALMACEN ALIMENTARIO POLIVALENTE NO FRIGORIFICO",137,3,4,0,4,"SEPTIEMBRE"
"COMERCIO MENOR ALIMENTARIO","CARNICERIAS, CHARCUTERIAS, SALCHICHAS",499,15,25,7,2,"SEPTIEMBRE"
"COMERCIO MENOR ALIMENTARIO","PESCADERIAS",420,4,4,1,0,"SEPTIEMBRE"
"COMERCIO MENOR ALIMENTARIO","FRUTERIAS",425,3,4,1,0,"SEPTIEMBRE"
"COMERCIO MENOR ALIMENTARIO","PANADERIAS",508,5,7,3,1,"SEPTIEMBRE"
"COMERCIO MENOR ALIMENTARIO","ULTRAMARINOS, SUPERMERCADOS, TIENDAS COMESTIBLES",1542,17,23,4,3,"SEPTIEMBRE"
"COMERCIO MENOR ALIMENTARIO","MENOR VINOS, LICORES, AGUARDIENTES",34,2,2,0,0,"SEPTIEMBRE"
"COMERCIO MENOR ALIMENTARIO","MENOR FRUTOS SECOS, CARAMELOS, GOLOSINAS",201,2,2,1,1,"SEPTIEMBRE"
"COMERCIO MENOR ALIMENTARIO","ASADOR DE POLLOS Y COMIDAS ELABORADAS",299,2,2,0,1,"SEPTIEMBRE"
"COMERCIO MENOR ALIMENTARIO","CARNICERIAS CON ELABORACION",16,1,1,0,1,"SEPTIEMBRE"
"COMERCIO MENOR NO ALIMENTARIO","HERBORISTERIAS, ESPECIAS",164,2,5,0,0,"SEPTIEMBRE"
"HOSTELERIA","HELADERIAS",100,2,2,0,0,"SEPTIEMBRE"
"HOSTELERIA","CAFETERIAS CON COCINA, BARES, TABERNAS",2816,17,22,4,1,"SEPTIEMBRE"
"HOSTELERIA","CAFETERIAS SIN COCINA, BARES, TABERNAS",727,7,7,0,0,"SEPTIEMBRE"
"HOSTELERIA","RESTAURANTE, VENTA, CHIRINGUITO, PIZZERIA, CHINO",1123,21,44,6,6,"SEPTIEMBRE"
"HOSTELERIA","BARES CON MUSICA Y PUBS",275,0,0,0,1,"SEPTIEMBRE"
"HOSTELERIA","COMEDORES ESCOLARES",46,2,3,0,0,"SEPTIEMBRE"
"SERVICIOS PROFESIONALES","PELUQUERIAS",1449,8,8,2,0,"SEPTIEMBRE"
"SERVICIOS PROFESIONALES","PIERCING Y TATUAJES",49,1,1,0,1,"SEPTIEMBRE"
"ENSEÑANZA","COLEGIOS, INSTITUTOS",150,1,1,0,0,"SEPTIEMBRE"
"ENSEÑANZA","JARDIN INFANTIL",194,7,12,1,4,"SEPTIEMBRE"
"OCIO","GIMNASIOS",159,1,1,0,0,"SEPTIEMBRE"
"OCIO","SALONES RECREATIVOS, CLUBS SOCIALES, PEÑAS",114,0,0,0,1,"SEPTIEMBRE"
"HOTELES","HOTELES",166,7,9,3,0,"SEPTIEMBRE"
"OTRAS EMPRESAS","GRANDES ALMACENES Y GRANDES SUPERFICIES",18,1,1,0,0,"SEPTIEMBRE"
"INDUSTRIA ALIMENTARIA ELABORADORA O ENVASADORA","MATADERO VACUNO,OVINO,CAPRINO",1,1,16,0,0,"OCTUBRE"
"INDUSTRIA ALIMENTARIA ELABORADORA O ENVASADORA","CONSERVAS CARNE, AHUMADOS, EMBUTIDOS, SALAZONES",15,3,3,0,0,"OCTUBRE"
"INDUSTRIA ALIMENTARIA ELABORADORA O ENVASADORA","CONGELACION PESCADO, PRODUCTOS DE PESCA",13,3,9,1,3,"OCTUBRE"
"INDUSTRIA ALIMENTARIA ELABORADORA O ENVASADORA","CONSERVAS PESCADO, AHUMADOS, SALAZONES",3,1,3,0,0,"OCTUBRE"
"INDUSTRIA ALIMENTARIA ELABORADORA O ENVASADORA","CONSERVAS FRUTAS, HORTALIZAS, TUBERCULOS",9,1,3,0,0,"OCTUBRE"
"INDUSTRIA ALIMENTARIA ELABORADORA O ENVASADORA","ELABORACION P. LACTEOS, LECHE, YOGUR, MANTEQUILLA",3,1,3,0,0,"OCTUBRE"
"INDUSTRIA ALIMENTARIA ELABORADORA O ENVASADORA","ELABORACION BEBIDAS ALCOHOLICAS, REFRESCOS",13,2,2,0,0,"OCTUBRE"
"INDUSTRIA ALIMENTARIA ELABORADORA O ENVASADORA","ELABORACION ACEITES",7,2,10,0,1,"OCTUBRE"
"INDUSTRIA ALIMENTARIA ELABORADORA O ENVASADORA","CATERING ELABORACION COMIDAS",23,3,12,0,3,"OCTUBRE"
