"EPIGRAFE","SUBEPIGRAFE","TOTAL ESTABLECIMIENTOS","TOTAL ESTABLECIMIENTOS VISITADOS","TOTAL INSPECIONES","TOTAL ANOMALIAS","TOTAL ACTUACIONES","MES"
"INDUSTRIA ALIMENTARIA ELABORADORA O ENVASADORA","SALA DESPIECE AVES",5,2,2,0,2,"FEBRERO"
"COMERCIO MAYOR ALIMENTARIO","ALMACEN CARNES FRESCAS, CONGELADOS, REFRIGERADOS",35,4,5,0,0,"FEBRERO"
"COMERCIO MAYOR ALIMENTARIO","ALMACEN FRUTAS,HORTALIZAS,TUBERCULOS,LEGUMBRES",76,0,0,0,1,"FEBRERO"
"COMERCIO MAYOR ALIMENTARIO","ALMACEN HUEVOS",10,3,5,0,1,"FEBRERO"
"COMERCIO MAYOR ALIMENTARIO","ALMACEN BEBIDAS ALCOHOLICAS, REFRESCANTES",68,3,3,0,2,"FEBRERO"
"COMERCIO MAYOR ALIMENTARIO","ALMACEN ALIMENTARIOS FRIGORIFICOS POLIVALENTES",86,6,15,1,3,"FEBRERO"
"COMERCIO MAYOR ALIMENTARIO","ALMACEN ALIMENTARIOS CONGELADOR POLIVALENTE",18,0,0,0,1,"FEBRERO"
"COMERCIO MAYOR ALIMENTARIO","ALMACEN ALIMENTARIO POLIVALENTE NO FRIGORIFICO",137,3,3,1,0,"FEBRERO"
"COMERCIO MAYOR ALIMENTARIO","ALMACEN ADITIVOS Y ESPECIAS",16,1,1,1,0,"FEBRERO"
"COMERCIO MENOR ALIMENTARIO","CARNICERIAS, CHARCUTERIAS, SALCHICHAS",499,20,28,8,6,"FEBRERO"
"COMERCIO MENOR ALIMENTARIO","PESCADERIAS",420,5,5,3,1,"FEBRERO"
"COMERCIO MENOR ALIMENTARIO","FRUTERIAS",425,4,6,3,2,"FEBRERO"
"COMERCIO MENOR ALIMENTARIO","PANADERIAS",508,2,2,0,0,"FEBRERO"
"COMERCIO MENOR ALIMENTARIO","ULTRAMARINOS, SUPERMERCADOS, TIENDAS COMESTIBLES",1542,11,11,3,1,"FEBRERO"
"COMERCIO MENOR ALIMENTARIO","COMERCIO ALIMENTOS CONGELADOS POLIVALENTE",143,2,2,1,0,"FEBRERO"
"COMERCIO MENOR ALIMENTARIO","MENOR VINOS, LICORES, AGUARDIENTES",34,1,1,1,0,"FEBRERO"
"COMERCIO MENOR ALIMENTARIO","MENOR FRUTOS SECOS, CARAMELOS, GOLOSINAS",201,2,3,1,0,"FEBRERO"
"COMERCIO MENOR ALIMENTARIO","ASADOR DE POLLOS Y COMIDAS ELABORADAS",299,2,2,1,0,"FEBRERO"
"COMERCIO MENOR ALIMENTARIO","CARNICERIAS CON ELABORACION",16,2,2,1,0,"FEBRERO"
"COMERCIO MENOR ALIMENTARIO","PASTELERIAS",59,2,2,1,0,"FEBRERO"
"COMERCIO MENOR NO ALIMENTARIO","VENTA COSMETICOS, PERFUMERIA, DROGUERIA",461,3,3,0,0,"FEBRERO"
"COMERCIO MENOR NO ALIMENTARIO","TIENDAS TODO A 100, BAZARES",253,0,0,0,1,"FEBRERO"
"COMERCIO MENOR NO ALIMENTARIO","HERBORISTERIAS, ESPECIAS",164,1,1,0,0,"FEBRERO"
"HOSTELERIA","CAFETERIAS CON COCINA, BARES, TABERNAS",2816,31,36,12,9,"FEBRERO"
"HOSTELERIA","CAFETERIAS SIN COCINA, BARES, TABERNAS",727,7,8,2,6,"FEBRERO"
"HOSTELERIA","RESTAURANTE, VENTA, CHIRINGUITO, PIZZERIA, CHINO",1123,16,22,3,2,"FEBRERO"
"HOSTELERIA","COMEDORES ESCOLARES",46,1,1,1,0,"FEBRERO"
"SERVICIOS PROFESIONALES","ESTETICA, BELLEZA",351,1,1,1,0,"FEBRERO"
"SERVICIOS PROFESIONALES","PELUQUERIAS",1449,11,11,3,0,"FEBRERO"
"SERVICIOS PROFESIONALES","PIERCING Y TATUAJES",49,1,1,1,1,"FEBRERO"
"ENSEÑANZA","COLEGIOS, INSTITUTOS",150,6,6,1,0,"FEBRERO"
"ENSEÑANZA","JARDIN INFANTIL",194,3,5,1,0,"FEBRERO"
"HOTELES","HOTELES",166,13,13,1,0,"FEBRERO"
"HOTELES","RESIDENCIAS Y ALBERGUES",37,1,1,0,0,"FEBRERO"
"HOTELES","RESIDENCIAS DE ANCIANOS",82,1,3,1,2,"FEBRERO"
"INDUSTRIA ALIMENTARIA ELABORADORA O ENVASADORA","MATADERO VACUNO,OVINO,CAPRINO",1,1,14,0,0,"MARZO"
"INDUSTRIA ALIMENTARIA ELABORADORA O ENVASADORA","CONSERVAS CARNE, AHUMADOS, EMBUTIDOS, SALAZONES",15,2,2,1,0,"MARZO"
"INDUSTRIA ALIMENTARIA ELABORADORA O ENVASADORA","CONGELACION PESCADO, PRODUCTOS DE PESCA",13,1,1,0,0,"MARZO"
"INDUSTRIA ALIMENTARIA ELABORADORA O ENVASADORA","CONSERVAS PESCADO, AHUMADOS, SALAZONES",3,1,8,0,1,"MARZO"
"INDUSTRIA ALIMENTARIA ELABORADORA O ENVASADORA","ELABORACION ACEITES",7,2,6,0,0,"MARZO"
"INDUSTRIA ALIMENTARIA ELABORADORA O ENVASADORA","CATERING ELABORACION COMIDAS",23,3,3,0,4,"MARZO"
"INDUSTRIA ALIMENTARIA ELABORADORA O ENVASADORA","OBRADOR DE PANADERIA Y CONFITERIA",348,10,11,4,1,"MARZO"
"INDUSTRIA ALIMENTARIA ELABORADORA O ENVASADORA","MATADERO DE AVES",2,1,20,0,0,"MARZO"
"INDUSTRIA ALIMENTARIA ELABORADORA O ENVASADORA","SALA DESPIECE CARNE VACUNO PORCINO",16,6,7,0,0,"MARZO"
"INDUSTRIA ALIMENTARIA ELABORADORA O ENVASADORA","SALA DESPIECE AVES",5,2,3,1,0,"MARZO"
"INDUSTRIA ALIMENTARIA ELABORADORA O ENVASADORA","ELABORACION DE ADITIVOS",2,1,1,0,2,"MARZO"
"COMERCIO MAYOR ALIMENTARIO","ALMACEN CARNES FRESCAS, CONGELADOS, REFRIGERADOS",35,2,3,1,0,"MARZO"
"COMERCIO MAYOR ALIMENTARIO","ALMACEN PESCADOS FRESCOS, CONGELADOS, CONSERVAS",46,2,6,1,0,"MARZO"
"COMERCIO MAYOR ALIMENTARIO","ALMACEN FRUTAS,HORTALIZAS,TUBERCULOS,LEGUMBRES",76,2,2,0,0,"MARZO"
"COMERCIO MAYOR ALIMENTARIO","ALMACEN BEBIDAS ALCOHOLICAS, REFRESCANTES",68,2,2,0,1,"MARZO"
"COMERCIO MAYOR ALIMENTARIO","ALMACEN ALIMENTARIOS FRIGORIFICOS POLIVALENTES",86,6,17,2,2,"MARZO"
"COMERCIO MAYOR ALIMENTARIO","ALMACEN ALIMENTARIO POLIVALENTE NO FRIGORIFICO",137,7,12,2,3,"MARZO"
"COMERCIO MENOR ALIMENTARIO","CARNICERIAS, CHARCUTERIAS, SALCHICHAS",499,16,18,8,2,"MARZO"
"COMERCIO MENOR ALIMENTARIO","PESCADERIAS",420,2,2,0,0,"MARZO"
"COMERCIO MENOR ALIMENTARIO","FRUTERIAS",425,4,6,2,1,"MARZO"
"COMERCIO MENOR ALIMENTARIO","PANADERIAS",508,3,3,0,0,"MARZO"
"COMERCIO MENOR ALIMENTARIO","ULTRAMARINOS, SUPERMERCADOS, TIENDAS COMESTIBLES",1542,18,22,3,9,"MARZO"
"COMERCIO MENOR ALIMENTARIO","COMERCIO ALIMENTOS CONGELADOS POLIVALENTE",143,2,2,0,0,"MARZO"
"COMERCIO MENOR ALIMENTARIO","MENOR VINOS, LICORES, AGUARDIENTES",34,1,2,0,0,"MARZO"
"COMERCIO MENOR ALIMENTARIO","MENOR FRUTOS SECOS, CARAMELOS, GOLOSINAS",201,9,12,0,1,"MARZO"
"COMERCIO MENOR ALIMENTARIO","ASADOR DE POLLOS Y COMIDAS ELABORADAS",299,2,3,1,1,"MARZO"
"COMERCIO MENOR ALIMENTARIO","CARNICERIAS CON ELABORACION",16,1,1,0,0,"MARZO"
"COMERCIO MENOR ALIMENTARIO","PASTELERIAS",59,2,2,1,2,"MARZO"
"COMERCIO MENOR NO ALIMENTARIO","TIENDAS TODO A 100, BAZARES",253,2,2,0,0,"MARZO"
"COMERCIO MENOR NO ALIMENTARIO","HERBORISTERIAS, ESPECIAS",164,9,9,0,0,"MARZO"
