CODIGO_CALLE,TIPO_VIA,NOMBRE_CALLE,PRIMER_NUM_TRAMO,ULTIMO_NUM_TRAMO,CODIGO_POSTAL,DISTRITO
3361,"CL","ACTRIZ ROSARIO PINO",1,41,29014,3
3361,"CL","ACTRIZ ROSARIO PINO",2,44,29014,1
3506,"CL","ACTUALIDAD",1,9,29013,3
3506,"CL","ACTUALIDAD",11,11,29014,3
3506,"CL","ACTUALIDAD",2,14,29013,3
3506,"CL","ACTUALIDAD",16,20,29014,3
3646,"CL","ADAJA",1,5,29006,6
3646,"CL","ADAJA",2,10,29006,6
3921,"CL","ADELA QUIGUISOLA",1,11,29009,1
3921,"CL","ADELA QUIGUISOLA",2,14,29009,1
4413,"CMNO","ADELFILLA DE LA",1,9,29014,3
4413,"CMNO","ADELFILLA DE LA",2,16,29014,3
4448,"CL","ADOLFO MARSILLACH",1,27,29018,2
4448,"CL","ADOLFO MARSILLACH",2,26,29018,2
216540,"BV","ADOLFO SUAREZ",1,9,29006,6
216540,"BV","ADOLFO SUAREZ",11,95,29003,7
216540,"BV","ADOLFO SUAREZ",2,34,29006,6
402770,"CL","ADONIS",1,31,29590,9
402770,"CL","ADONIS",2,6,29590,9
4481,"PJE","ADRA",1,7,29006,6
4481,"PJE","ADRA",2,6,29006,6
5045,"PL","ADUANA",1,3,29015,1
5045,"PL","ADUANA",2,4,29015,1
4766,"CL","ADUANAS",1,17,29590,9
4766,"CL","ADUANAS",2,18,29590,9
5321,"CTRA","AEROCLUB",1,7,29004,8
5321,"CTRA","AEROCLUB",2,28,29004,8
5461,"CL","AEROLITO",1,3,29190,10
5461,"CL","AEROLITO",2,6,29190,10
517968,"CL","AFGANISTAN",1,3,29004,7
517968,"CL","AFGANISTAN",2,2,29004,7
5606,"CL","AFLIGIDOS",1,5,29015,1
5606,"CL","AFLIGIDOS",2,2,29015,1
56898,"CL","AFRODITA",1,29,29190,10
56898,"CL","AFRODITA",2,20,29190,10
5673,"CL","AGAPANTO",1,27,29190,10
5673,"CL","AGAPANTO",2,20,29190,10
5886,"CL","AGATA",1,59,29590,9
5886,"CL","AGATA",2,70,29590,9
6025,"CL","AGATHA CHRISTIE",1,13,29006,6
6025,"CL","AGATHA CHRISTIE",2,12,29006,6
6165,"CL","AGATITA",1,17,29590,9
6165,"CL","AGATITA",2,20,29590,9
6441,"CMNO","AGROPECUARIO DE REALENGA",1,19,29140,8
6441,"CMNO","AGROPECUARIO DE REALENGA",2,4,29140,8
6807,"CL","AGUA",1,23,29012,1
6807,"CL","AGUA",2,26,29012,1
364703,"PL","AGUA",1,5,29197,2
364703,"PL","AGUA",2,10,29197,2
7005,"CL","AGUACATES LOS",1,17,29014,3
7005,"CL","AGUACATES LOS",2,24,29014,3
806536,"DSMO","AGUACIL",1,1,29193,2
817091,"DSMO","AGUELITO EL",1,1,29193,5
7285,"CL","AGUILA",1,19,29190,10
7285,"CL","AGUILA",2,14,29190,10
7561,"CL","AGUILA MARINA",1,13,29018,2
7561,"CL","AGUILA MARINA",2,12,29018,2
817694,"DSMO","AGUILAR",1,1,29010,5
7846,"CL","AGUILAR Y CANO",1,21,29018,2
7846,"CL","AGUILAR Y CANO",2,22,29018,2
7986,"CL","AGUILITA",1,3,29004,8
7986,"CL","AGUILITA",2,4,29004,8
8265,"CL","AGUJETA",1,3,29004,8
8265,"CL","AGUJETA",2,4,29004,8
8401,"CL","AGUSTIN DURAN",1,13,29003,7
8401,"CL","AGUSTIN DURAN",2,18,29003,7
8541,"CL","AGUSTIN MARTIN CARRION",1,15,29006,6
8541,"CL","AGUSTIN MARTIN CARRION",2,8,29006,6
727580,"CL","AGUSTIN MONTES FUENTES",1,7,29002,7
727580,"CL","AGUSTIN MONTES FUENTES",2,6,29002,7
269646,"CL","AGUSTIN MORETO",1,15,29012,1
269646,"CL","AGUSTIN MORETO",2,18,29012,1
8681,"CL","AGUSTIN PAREJO",1,47,29007,1
8681,"CL","AGUSTIN PAREJO",2,24,29007,1
805823,"DSMO","AHUMADA LA",1,1,29193,2
8915,"CL","AIDA",1,7,29590,9
8915,"CL","AIDA",2,10,29590,9
9385,"CL","ALABASTRO",1,23,29591,9
9385,"CL","ALABASTRO",2,12,29591,9
9873,"CL","ALAGON",1,7,29006,6
9873,"CL","ALAGON",2,8,29006,6
9806,"CL","ALAMOS",1,47,29012,1
9806,"CL","ALAMOS",2,42,29012,1
10081,"CL","ALARCON",1,7,29013,1
10081,"CL","ALARCON",2,8,29013,1
804495,"DSMO","ALARCON",1,1,29197,2
10367,"CL","ALARCON LUJAN",1,15,29005,1
10367,"CL","ALARCON LUJAN",2,12,29005,1
10928,"CL","ALAVA",1,35,29018,2
10928,"CL","ALAVA",2,30,29018,2
11061,"CL","ALAY",1,5,29004,7
11061,"CL","ALAY",2,8,29004,7
11207,"CL","ALAZORES",1,9,29003,7
11207,"CL","ALAZORES",2,8,29003,7
11487,"CL","ALBACETE",1,19,29010,4
11487,"CL","ALBACETE",2,60,29010,4
11622,"CL","ALBAHACA",1,5,29006,6
11622,"CL","ALBAHACA",2,6,29006,6
807613,"DSMO","ALBAHACA LA",1,1,29193,2
11347,"CL","ALBAN BERG",1,17,29004,7
11347,"CL","ALBAN BERG",2,14,29004,7
11703,"CL","ALBANIA",1,5,29196,9
11703,"CL","ALBANIA",2,6,29196,9
11762,"CL","ALBARICOCAL EL",1,15,29140,8
11762,"CL","ALBARICOCAL EL",2,14,29140,8
823384,"DSMO","ALBARICOCAL EL",1,3,29140,8
823384,"DSMO","ALBARICOCAL EL",2,4,29140,8
800589,"DSMO","ALBENDA ALTA",1,3,29197,2
800589,"DSMO","ALBENDA ALTA",2,2,29197,2
12041,"CL","ALBENIZ",1,23,29014,1
12041,"CL","ALBENIZ",25,43,29014,3
12041,"CL","ALBENIZ",2,40,29014,1
12327,"CL","ALBERCA",1,7,29014,3
12327,"CL","ALBERCA",2,10,29014,3
12467,"CL","ALBERCHE",1,3,29006,6
12467,"CL","ALBERCHE",2,4,29006,6
12505,"GTA","ALBERT CAMUS",1,1,29002,1
12505,"GTA","ALBERT CAMUS",3,3,29002,6
12505,"GTA","ALBERT CAMUS",2,2,29002,1
12505,"GTA","ALBERT CAMUS",4,4,29002,6
12513,"CL","ALBERT EINSTEIN",1,3,29010,11
12513,"CL","ALBERT EINSTEIN",2,4,29010,11
12530,"CL","ALBERTILLAS",1,7,29003,7
12530,"CL","ALBERTILLAS",2,8,29003,7
12556,"CL","ALBERTO DURERO",1,7,29190,10
12556,"CL","ALBERTO DURERO",2,6,29190,10
12564,"CL","ALBERTO GINASTERA",1,39,29018,2
12564,"CL","ALBERTO GINASTERA",2,36,29018,2
12572,"CL","ALBERTO INSUA",1,1,29003,7
12572,"CL","ALBERTO INSUA",2,2,29003,7
12602,"CL","ALBERTO LISTA",1,5,29017,2
12602,"CL","ALBERTO LISTA",7,13,29018,2
12602,"CL","ALBERTO LISTA",2,4,29017,2
12602,"CL","ALBERTO LISTA",6,8,29018,2
12785,"CL","ALBERTO PELAEZ DOMINGUEZ",1,17,29140,8
12785,"CL","ALBERTO PELAEZ DOMINGUEZ",2,26,29140,8
358789,"JDIN","ALBERTO SUAREZ"PIPI"",1,1,29018,2
358789,"JDIN","ALBERTO SUAREZ"PIPI"",2,2,29018,2
12971,"CL","ALBINONI",1,3,29590,9
12971,"CL","ALBINONI",2,10,29590,9
215530,"PJE","ALBORADA",1,1,29003,7
215530,"PJE","ALBORADA",2,2,29003,7
12882,"CL","ALCABALAS",1,11,29590,9
12882,"CL","ALCABALAS",2,16,29590,9
216290,"CMNO","ALCABUCEROS DE LOS",1,17,29010,10
216290,"CMNO","ALCABUCEROS DE LOS",19,81,29193,10
216290,"CMNO","ALCABUCEROS DE LOS",2,16,29010,10
216290,"CMNO","ALCABUCEROS DE LOS",18,72,29193,10
13161,"CL","ALCAIDE DE LOS DONCELES",1,23,29014,1
13161,"CL","ALCAIDE DE LOS DONCELES",2,14,29014,1
13307,"CL","ALCALAREÑO",1,9,29003,7
13307,"CL","ALCALAREÑO",2,10,29003,7
13447,"CL","ALCALDE ALBERT POMATA",1,3,29014,3
13447,"CL","ALCALDE ALBERT POMATA",2,4,29014,3
13722,"CL","ALCALDE ANDRES VILCHEZ",1,17,29006,6
13722,"CL","ALCALDE ANDRES VILCHEZ",2,22,29006,6
14001,"CL","ALCALDE ANTONIO VERDEJO",1,41,29006,6
14001,"CL","ALCALDE ANTONIO VERDEJO",2,54,29006,6
650722,"CL","ALCALDE BAEZA MEDINA",1,9,29014,1
650722,"CL","ALCALDE BAEZA MEDINA",2,6,29014,1
14281,"CL","ALCALDE BARRANCO CORDOBA",1,5,29014,3
14281,"CL","ALCALDE BARRANCO CORDOBA",2,4,29014,3
14427,"CL","ALCALDE BERNARDO MELENDEZ",1,25,29006,6
14427,"CL","ALCALDE BERNARDO MELENDEZ",2,22,29006,6
14567,"CL","ALCALDE CORRO DE BRESCA",1,13,29006,6
14567,"CL","ALCALDE CORRO DE BRESCA",2,8,29006,6
20729,"CL","ALCALDE DE LAS PEÑAS RODRIGUEZ",1,11,29014,3
20729,"CL","ALCALDE DE LAS PEÑAS RODRIGUEZ",2,10,29014,3
20869,"PJE","ALCALDE DE LAS PEÑAS RODRIGUEZ",1,3,29014,3
20869,"PJE","ALCALDE DE LAS PEÑAS RODRIGUEZ",2,6,29014,3
14842,"CL","ALCALDE DIAZ ZAFRA",1,47,29006,6
14842,"CL","ALCALDE DIAZ ZAFRA",2,26,29006,6
15261,"CL","ALCALDE EDUARDO CARVAJAL",1,27,29014,3
15261,"CL","ALCALDE EDUARDO CARVAJAL",2,10,29014,3
15121,"CL","ALCALDE ENCINA CANDEBAT",1,7,29014,3
15121,"CL","ALCALDE ENCINA CANDEBAT",2,8,29014,3
15334,"PL","ALCALDE ENRIQUE GOMEZ RODRIGUEZ",1,9,29006,6
15334,"PL","ALCALDE ENRIQUE GOMEZ RODRIGUEZ",2,8,29006,6
15369,"CL","ALCALDE EUGENIO ENTRAMBASAGUAS",1,37,29016,2
15369,"CL","ALCALDE EUGENIO ENTRAMBASAGUAS",2,36,29016,2
15407,"CL","ALCALDE GARCIA ASENSIO",1,19,29006,6
15407,"CL","ALCALDE GARCIA ASENSIO",2,18,29006,6
15687,"CL","ALCALDE GARCIA SEGOVIA",1,7,29006,6
15687,"CL","ALCALDE GARCIA SEGOVIA",2,8,29006,6
15962,"CL","ALCALDE GARRET Y SOUTO",1,97,29006,6
15962,"CL","ALCALDE GARRET Y SOUTO",2,92,29006,6
16241,"CL","ALCALDE GOMEZ DE LA RIVA",1,35,29006,6
16241,"CL","ALCALDE GOMEZ DE LA RIVA",2,30,29006,6
16527,"CL","ALCALDE GOMEZ GOMEZ",1,79,29006,6
16527,"CL","ALCALDE GOMEZ GOMEZ",2,92,29006,6
16802,"CL","ALCALDE GUILLERMO REIN",1,135,29006,6
16802,"CL","ALCALDE GUILLERMO REIN",2,162,29006,6
17086,"CL","ALCALDE GUTIERREZ BUENO",1,21,29010,11
17086,"CL","ALCALDE GUTIERREZ BUENO",2,20,29010,11
17361,"CL","ALCALDE ISIDORO ENCISO",1,11,29004,7
17361,"CL","ALCALDE ISIDORO ENCISO",2,16,29004,7
17647,"CL","ALCALDE JOAQUIN ALONSO",1,31,29003,7
17647,"CL","ALCALDE JOAQUIN ALONSO",2,32,29003,7
17752,"PJE","ALCALDE JOAQUIN ALONSO",1,7,29003,7
17752,"PJE","ALCALDE JOAQUIN ALONSO",2,18,29003,7
17922,"CL","ALCALDE JOAQUIN QUILES",1,31,29014,3
17922,"CL","ALCALDE JOAQUIN QUILES",2,22,29014,3
17990,"CL","ALCALDE JOSE HERNANDEZ",1,3,29014,3
17990,"CL","ALCALDE JOSE HERNANDEZ",2,4,29014,3
18066,"CL","ALCALDE JOSE LUIS ESTRADA",1,13,29010,4
18066,"CL","ALCALDE JOSE LUIS ESTRADA",2,16,29010,4
18201,"CL","ALCALDE JOSE MARIA CORONA",1,13,29004,7
18201,"CL","ALCALDE JOSE MARIA CORONA",2,12,29004,7
18481,"CL","ALCALDE JOSE MARIA DE LLANOS",1,17,29003,7
18481,"CL","ALCALDE JOSE MARIA DE LLANOS",2,16,29003,7
18767,"CL","ALCALDE MADOLELL PEREA",1,7,29014,3
18767,"CL","ALCALDE MADOLELL PEREA",2,8,29014,3
19046,"CL","ALCALDE MARTIN GIL",1,21,29010,11
19046,"CL","ALCALDE MARTIN GIL",2,8,29010,11
19321,"CL","ALCALDE MORENO MICO",1,11,29006,6
19321,"CL","ALCALDE MORENO MICO",2,6,29006,6
19607,"CL","ALCALDE NARCISO BRIALES",1,5,29014,3
19607,"CL","ALCALDE NARCISO BRIALES",2,8,29014,3
19887,"CL","ALCALDE NICOLAS MAROTO",1,17,29014,3
19887,"CL","ALCALDE NICOLAS MAROTO",2,18,29014,3
20265,"PJE","ALCALDE NICOLAS MAROTO",1,3,29014,3
20265,"PJE","ALCALDE NICOLAS MAROTO",2,2,29014,3
20168,"CL","ALCALDE OROZCO POADA",1,15,29006,6
20168,"CL","ALCALDE OROZCO POADA",2,16,29006,6
20443,"CL","ALCALDE ORTEGA MUÑOZ",1,7,29014,3
20443,"CL","ALCALDE ORTEGA MUÑOZ",2,10,29014,3
215330,"AV","ALCALDE PEDRO APARICIO",1,3,29590,9
215330,"AV","ALCALDE PEDRO APARICIO",2,2,29590,9
356867,"CL","ALCALDE PEDRO LUIS ALONSO",1,1,29016,1
356867,"CL","ALCALDE PEDRO LUIS ALONSO",2,2,29016,1
21075,"CL","ALCALDE RAFAEL DE LA TORRE PUER",1,1,29011,5
21075,"CL","ALCALDE RAFAEL DE LA TORRE PUER",2,14,29011,5
21148,"CL","ALCALDE ROMERO RAGGIO",1,19,29003,7
21148,"CL","ALCALDE ROMERO RAGGIO",2,36,29003,7
21288,"CL","ALCALDE RONQUILLO",1,31,29011,5
21288,"CL","ALCALDE RONQUILLO",2,36,29011,5
21563,"CL","ALCALDE RUIZ DEL PORTAL",1,9,29006,6
21563,"CL","ALCALDE RUIZ DEL PORTAL",2,6,29006,6
21849,"CL","ALCALDE SEGALERVA SIERRA",1,19,29006,6
21849,"CL","ALCALDE SEGALERVA SIERRA",2,18,29006,6
21989,"CL","ALCALDE TOMAS DOMINGUEZ",1,1,29007,6
21989,"CL","ALCALDE TOMAS DOMINGUEZ",2,4,29007,6
22128,"CL","ALCANTARA",1,3,29008,1
22128,"CL","ALCANTARA",2,2,29008,1
22195,"CL","ALCAPARRON",1,79,29018,2
22195,"CL","ALCAPARRON",2,74,29018,2
22268,"CL","ALCARRIA",1,3,29190,10
22268,"CL","ALCARRIA",2,6,29190,10
22403,"CL","ALCAUCIN",1,25,29018,2
22403,"CL","ALCAUCIN",2,26,29018,2
22683,"CL","ALCAZABILLA",1,15,29015,1
22683,"CL","ALCAZABILLA",2,8,29012,1
22683,"CL","ALCAZABILLA",10,14,29015,1
22829,"CL","ALCUBILLA",1,21,29014,3
22829,"CL","ALCUBILLA",2,24,29014,3
815217,"DSMO","ALCUCERO EL",1,1,29190,10
815217,"DSMO","ALCUCERO EL",2,2,29190,10
22896,"CL","ALDEBARAN",1,5,29190,10
22896,"CL","ALDEBARAN",2,6,29190,10
22969,"CL","ALDERETE",1,43,29013,1
22969,"CL","ALDERETE",2,40,29013,1
23108,"CL","ALDONZA LORENZO",1,9,29190,10
23108,"CL","ALDONZA LORENZO",2,8,29190,10
216920,"PQUE","ALEGRIA DE LA",1,1,29014,3
216920,"PQUE","ALEGRIA DE LA",2,2,29014,3
23523,"CL","ALEGRIAS",1,7,29006,6
23523,"CL","ALEGRIAS",2,6,29006,6
23949,"CL","ALEJANDRO CASONA",1,69,29004,8
23949,"CL","ALEJANDRO CASONA",2,62,29004,8
350826,"CL","ALEJANDRO DUMAS",1,19,29004,7
350826,"CL","ALEJANDRO DUMAS",2,24,29004,7
24023,"CL","ALEJANDRO PUSKIN",1,5,29011,5
24023,"CL","ALEJANDRO PUSKIN",2,4,29011,5
23965,"CL","ALEJO CARPENTIER",1,27,29190,10
23965,"CL","ALEJO CARPENTIER",2,34,29190,10
24082,"CL","ALEMANIA",1,23,29001,1
24082,"CL","ALEMANIA",2,16,29001,1
24150,"CL","ALESANDRO VOLTA",1,31,29590,9
24150,"CL","ALESANDRO VOLTA",2,4,29590,9
24368,"CL","ALFAMBRA",1,9,29006,6
24368,"CL","ALFAMBRA",2,8,29006,6
24643,"CL","ALFARNATE",1,43,29006,6
24643,"CL","ALFARNATE",2,36,29006,6
24929,"CL","ALFARNATEJO",1,35,29006,6
24929,"CL","ALFARNATEJO",2,34,29006,6
25208,"CL","ALFEREZ ALFONSO MARIN",1,7,29007,6
25208,"CL","ALFEREZ ALFONSO MARIN",2,8,29007,6
25488,"CL","ALFEREZ ANGEL ROSADO",1,3,29007,6
25488,"CL","ALFEREZ ANGEL ROSADO",2,6,29007,6
25763,"CL","ALFEREZ BELTRAN MONCHON",1,7,29007,6
25763,"CL","ALFEREZ BELTRAN MONCHON",2,8,29007,6
26042,"CL","ALFEREZ DELGADO ALES",1,7,29007,6
26042,"CL","ALFEREZ DELGADO ALES",2,8,29007,6
26328,"CL","ALFEREZ GARCIA VALDECASAS",1,7,29007,6
26328,"CL","ALFEREZ GARCIA VALDECASAS",2,8,29007,6
26603,"CL","ALFEREZ GONZALEZ BERROCAL",1,7,29007,6
26603,"CL","ALFEREZ GONZALEZ BERROCAL",2,8,29007,6
26883,"CL","ALFEREZ HERMINIO BORDALLO",1,5,29007,6
26883,"CL","ALFEREZ HERMINIO BORDALLO",2,2,29007,6
27162,"CL","ALFEREZ HUELIN VALLEJO",1,7,29007,6
27162,"CL","ALFEREZ HUELIN VALLEJO",2,8,29007,6
27448,"CL","ALFEREZ LUIS ESCASSI",1,7,29007,6
27448,"CL","ALFEREZ LUIS ESCASSI",2,8,29007,6
27723,"CL","ALFEREZ ORTEGA LEDESMA",1,7,29007,6
27723,"CL","ALFEREZ ORTEGA LEDESMA",2,8,29007,6
28002,"CL","ALFEREZ PATRICIO GUTIERREZ",1,5,29007,6
28002,"CL","ALFEREZ PATRICIO GUTIERREZ",2,8,29007,6
28282,"CL","ALFEREZ SIMO CASTILLO",1,7,29007,6
28282,"CL","ALFEREZ SIMO CASTILLO",2,8,29007,6
28568,"CL","ALFEREZ YAÑEZ JIMENEZ",1,7,29007,6
28568,"CL","ALFEREZ YAÑEZ JIMENEZ",2,8,29007,6
28631,"PL","ALFONSO COMIN",1,1,29017,2
28631,"PL","ALFONSO COMIN",2,2,29017,2
28771,"CL","ALFONSO DE LA TORRE MARIN",1,29,29140,8
28771,"CL","ALFONSO DE LA TORRE MARIN",2,36,29140,8
105562,"CL","ALFONSO DE VALDES",1,3,29007,6
105562,"CL","ALFONSO DE VALDES",2,4,29007,6
28703,"CL","ALFONSO PEÑA BOEUF",1,7,29003,7
28703,"CL","ALFONSO PEÑA BOEUF",2,8,29003,7
28738,"CL","ALFONSO PONCE DE LEON",1,7,29004,8
28738,"CL","ALFONSO PONCE DE LEON",2,6,29004,8
195243,"CL","ALFONSO REYES",1,5,29002,1
195243,"CL","ALFONSO REYES",2,8,29002,1
28843,"PL","ALFONSO XII",1,5,29012,1
28843,"PL","ALFONSO XII",2,6,29012,1
28924,"CL","ALFREDO CATALANI",1,5,29003,7
28924,"CL","ALFREDO CATALANI",2,4,29003,7
28983,"CL","ALFREDO CORROCHANO",1,143,29006,6
28983,"CL","ALFREDO CORROCHANO",2,2,29006,6
29017,"CL","ALFREDO KRAUS",1,1,29004,8
29017,"CL","ALFREDO KRAUS",2,2,29004,8
29050,"CL","ALFREDO MARQUERIE",1,9,29190,10
29050,"CL","ALFREDO MARQUERIE",2,10,29190,10
29122,"CL","ALFREDO NOBEL",1,7,29010,6
29122,"CL","ALFREDO NOBEL",2,8,29010,6
29548,"CL","ALGABEÑO EL",1,3,29003,7
29548,"CL","ALGABEÑO EL",2,2,29003,7
29688,"CL","ALGARROBO",1,41,29018,2
29688,"CL","ALGARROBO",43,47,29017,2
29688,"CL","ALGARROBO",2,36,29017,2
29963,"CL","ALGATOCIN",1,19,29004,7
29963,"CL","ALGATOCIN",2,16,29004,7
30244,"CL","ALGECIRAS",1,37,29140,8
30244,"CL","ALGECIRAS",2,44,29140,8
637700,"CL","ALHAMA",1,23,29197,2
637700,"CL","ALHAMA",2,28,29197,2
436526,"CL","ALHAURIN DE LA TORRE",1,33,29010,4
436526,"CL","ALHAURIN DE LA TORRE",2,26,29010,4
30805,"CL","ALHAURIN EL GRANDE",1,21,29007,6
30805,"CL","ALHAURIN EL GRANDE",2,20,29007,6
31224,"CL","ALHELI",1,7,29591,9
31224,"CL","ALHELI",2,8,29591,9
31364,"CL","ALHONDIGA",1,5,29005,1
31364,"CL","ALHONDIGA",2,6,29005,1
31500,"CL","ALHUCEMAS",1,9,29003,7
31500,"CL","ALHUCEMAS",2,10,29003,7
747742,"CL","ALICANTE",1,3,29197,2
747742,"CL","ALICANTE",2,8,29197,2
31542,"CL","ALICIA ALONSO",1,1,29010,11
31542,"CL","ALICIA ALONSO",2,8,29010,11
31585,"AV","ALICIA DE LARROCHA",1,17,29004,7
31585,"AV","ALICIA DE LARROCHA",2,6,29004,7
31640,"CL","ALISO",1,17,29590,9
31640,"CL","ALISO",2,2,29590,9
31925,"CL","ALJAIMA",1,1,29196,9
31925,"CL","ALJAIMA",2,76,29196,9
32069,"CL","ALJOFAINA",1,5,29018,2
32069,"CL","ALJOFAINA",2,8,29018,2
826073,"DSMO","ALLA ENFRENTE",1,7,29590,9
826073,"DSMO","ALLA ENFRENTE",2,6,29590,9
32131,"CL","ALLAN POE",1,45,29190,10
32131,"CL","ALLAN POE",2,32,29190,10
802522,"DSMO","ALMACEN FABRICA",1,1,29720,2
802522,"DSMO","ALMACEN FABRICA",2,2,29720,2
32204,"CL","ALMACENES",1,5,29005,1
32204,"CL","ALMACENES",2,2,29005,1
32484,"CL","ALMACHAR",1,29,29004,7
32484,"CL","ALMACHAR",2,28,29004,7
32760,"CL","ALMADRABAS",1,7,29590,9
32760,"CL","ALMADRABAS",2,10,29590,9
33049,"CL","ALMAGRO",1,1,29012,1
33049,"CL","ALMAGRO",2,2,29012,1
33324,"CL","ALMAGRO Y CARDENAS",1,81,29018,2
33324,"CL","ALMAGRO Y CARDENAS",2,88,29018,2
33600,"CL","ALMANSA",1,11,29007,1
33600,"CL","ALMANSA",2,16,29007,1
33880,"CL","ALMANZOR",1,7,29006,6
33880,"CL","ALMANZOR",2,10,29006,6
34029,"CL","ALMANZORA",1,1,29014,3
34029,"CL","ALMANZORA",2,22,29014,3
34169,"CL","ALMARGEN",1,51,29006,6
34169,"CL","ALMARGEN",2,36,29006,6
34444,"CL","ALMAYATE",1,3,29591,9
34444,"CL","ALMAYATE",2,10,29591,9
34720,"CL","ALMECINO",1,5,29590,9
34720,"CL","ALMECINO",2,20,29590,9
35009,"CL","ALMELLONES",1,5,29018,2
35009,"CL","ALMELLONES",2,8,29018,2
35289,"CMNO","ALMENDRALES DE LOS",1,113,29013,1
35289,"CMNO","ALMENDRALES DE LOS",115,141,29013,2
35289,"CMNO","ALMENDRALES DE LOS",2,8,29013,1
35289,"CMNO","ALMENDRALES DE LOS",10,16,29016,2
35424,"PJE","ALMENDRALES DE LOS",1,19,29013,1
35424,"PJE","ALMENDRALES DE LOS",2,6,29013,1
35564,"CL","ALMENDRILLO",1,15,29014,3
35564,"CL","ALMENDRILLO",2,32,29014,3
35700,"PJE","ALMENDRILLO",1,3,29014,3
35700,"PJE","ALMENDRILLO",2,6,29014,3
35840,"CL","ALMENDROS",1,25,29018,2
35840,"CL","ALMENDROS",2,40,29018,2
36129,"CL","ALMERIA",1,187,29018,2
36129,"CL","ALMERIA",2,72,29018,2
36129,"CL","ALMERIA",74,78,29017,2
36331,"CTRA","ALMERIA LA ARAÑA",1,93,29720,2
36331,"CTRA","ALMERIA LA ARAÑA",2,46,29720,2
36404,"CL","ALMIRANTE",1,9,29002,7
36404,"CL","ALMIRANTE",2,28,29002,7
36684,"CL","ALMIRANTE ENRIQUEZ",1,19,29017,2
36684,"CL","ALMIRANTE ENRIQUEZ",2,20,29017,2
36960,"CL","ALMOGIA",1,25,29007,6
36960,"CL","ALMOGIA",2,22,29007,6
