DATA_ACCIDENT,ANY_ACCIDENT,MES_ACCIDENT,HORA_ACCIDENT
02/11/2016,2016,11,15:00
27/09/2017,2017,9,18:45
07/11/2016,2016,11,08:15
07/11/2016,2016,11,08:25
07/11/2016,2016,11,12:00
26/04/2016,2016,4,12:15
24/04/2016,2016,4,14:07
08/04/2016,2016,4,08:40
08/04/2016,2016,4,09:05
07/04/2016,2016,4,13:35
07/04/2016,2016,4,12:20
05/02/2017,2017,2,12:15
06/02/2017,2017,2,10:15
06/02/2017,2017,2,16:40
04/02/2017,2017,2,11:35
05/02/2017,2017,2,17:32
05/02/2017,2017,2,19:00
08/02/2017,2017,2,17:30
09/02/2017,2017,2,17:40
14/02/2017,2017,2,19:55
18/02/2017,2017,2,07:15
19/02/2017,2017,2,21:15
20/02/2017,2017,2,23:03
22/02/2017,2017,2,09:30
24/02/2017,2017,2,14:50
24/02/2017,2017,2,15:50
26/02/2017,2017,2,02:05
29/04/2016,2016,4,00:00
28/04/2016,2016,4,09:40
15/04/2016,2016,4,10:15
14/04/2016,2016,4,18:40
13/04/2016,2016,4,15:25
13/04/2016,2016,4,10:20
12/04/2016,2016,4,22:15
12/04/2016,2016,4,15:30
12/04/2016,2016,4,09:15
09/04/2016,2016,4,10:45
09/04/2016,2016,4,01:15
08/04/2016,2016,4,12:45
08/04/2016,2016,4,13:30
08/04/2016,2016,4,18:25
08/04/2016,2016,4,20:00
02/02/2017,2017,2,08:50
02/02/2017,2017,2,14:20
02/02/2017,2017,2,18:00
03/02/2017,2017,2,02:15
03/02/2017,2017,2,08:55
03/02/2017,2017,2,08:50
03/02/2017,2017,2,13:35
04/02/2017,2017,2,06:50
13/02/2017,2017,2,10:05
13/02/2017,2017,2,22:50
15/02/2017,2017,2,16:15
15/02/2017,2017,2,19:30
20/02/2017,2017,2,16:26
21/02/2017,2017,2,19:50
03/03/2017,2017,3,15:35
03/03/2017,2017,3,18:25
03/03/2017,2017,3,21:30
04/03/2017,2017,3,14:30
05/03/2017,2017,3,05:45
02/05/2016,2016,5,08:45
02/05/2016,2016,5,08:35
01/05/2016,2016,5,20:30
25/11/2016,2016,11,09:52
25/11/2016,2016,11,05:38
24/11/2016,2016,11,15:15
24/11/2016,2016,11,12:03
24/11/2016,2016,11,15:49
24/11/2016,2016,11,19:00
24/11/2016,2016,11,10:25
22/11/2016,2016,11,21:20
21/11/2016,2016,11,10:35
21/11/2016,2016,11,10:35
21/11/2016,2016,11,11:40
21/11/2016,2016,11,13:45
21/11/2016,2016,11,19:40
20/11/2016,2016,11,20:40
19/11/2016,2016,11,15:00
19/11/2016,2016,11,23:40
18/11/2016,2016,11,16:55
17/11/2016,2016,11,16:40
17/11/2016,2016,11,09:15
17/11/2016,2016,11,16:40
03/03/2017,2017,3,11:43
07/03/2017,2017,3,16:40
07/03/2017,2017,3,18:00
10/03/2017,2017,3,07:48
04/05/2016,2016,5,17:30
03/05/2016,2016,5,17:15
01/03/2017,2017,3,07:45
12/03/2017,2017,3,10:14
12/03/2017,2017,3,13:52
13/03/2017,2017,3,13:15
14/03/2017,2017,3,08:25
14/03/2017,2017,3,13:02
13/03/2017,2017,3,12:05
16/03/2017,2017,3,02:15
16/03/2017,2017,3,06:30
16/03/2017,2017,3,13:49
16/03/2017,2017,3,18:10
17/03/2017,2017,3,12:50
18/03/2017,2017,3,05:30
18/03/2017,2017,3,21:10
19/03/2017,2017,3,15:14
19/03/2017,2017,3,22:15
20/03/2017,2017,3,20:00
21/03/2017,2017,3,11:20
21/03/2017,2017,3,08:35
24/03/2017,2017,3,15:05
29/03/2017,2017,3,09:10
29/03/2017,2017,3,13:35
22/03/2017,2017,3,23:10
22/03/2017,2017,3,16:15
17/10/2017,2017,10,06:05
17/10/2017,2017,10,08:30
17/10/2017,2017,10,13:00
09/05/2016,2016,5,11:00
09/05/2016,2016,5,12:30
09/05/2016,2016,5,18:00
09/05/2016,2016,5,18:20
08/05/2016,2016,5,14:15
08/05/2016,2016,5,15:44
08/05/2016,2016,5,09:05
08/05/2016,2016,5,21:30
08/05/2016,2016,5,23:15
08/05/2016,2016,5,23:15
07/05/2016,2016,5,14:45
07/05/2016,2016,5,09:20
06/05/2016,2016,5,11:56
06/05/2016,2016,5,14:10
06/05/2016,2016,5,19:45
05/05/2016,2016,5,07:11
01/03/2017,2017,3,08:15
01/03/2017,2017,3,13:00
02/03/2017,2017,3,21:10
02/03/2017,2017,3,12:40
03/03/2017,2017,3,10:25
07/03/2017,2017,3,19:10
08/03/2017,2017,3,08:30
08/03/2017,2017,3,10:50
09/03/2017,2017,3,08:00
10/03/2017,2017,3,17:45
12/03/2017,2017,3,00:20
23/03/2017,2017,3,13:35
28/03/2017,2017,3,20:26
28/05/2016,2016,5,23:00
27/05/2016,2016,5,15:45
27/05/2016,2016,5,20:20
25/05/2016,2016,5,12:00
25/05/2016,2016,5,07:25
23/05/2016,2016,5,14:45
23/05/2016,2016,5,15:40
23/05/2016,2016,5,15:07
22/05/2016,2016,5,12:05
22/05/2016,2016,5,11:05
21/05/2016,2016,5,11:45
21/05/2016,2016,5,11:13
20/05/2016,2016,5,12:30
20/05/2016,2016,5,13:30
20/05/2016,2016,5,15:20
20/05/2016,2016,5,19:00
20/05/2016,2016,5,19:05
18/05/2016,2016,5,16:30
18/05/2016,2016,5,08:45
16/05/2016,2016,5,07:45
15/05/2016,2016,5,07:18
16/05/2016,2016,5,00:35
23/03/2017,2017,3,15:00
24/03/2017,2017,3,00:00
24/03/2017,2017,3,10:47
24/03/2017,2017,3,13:13
24/03/2017,2017,3,22:15
28/03/2017,2017,3,07:25
28/03/2017,2017,3,12:35
01/10/2017,2017,10,11:45
01/10/2017,2017,10,18:45
02/10/2017,2017,10,11:08
02/10/2017,2017,10,21:35
03/10/2017,2017,10,15:00
04/10/2017,2017,10,07:10
04/10/2017,2017,10,12:36
04/10/2017,2017,10,15:15
06/10/2017,2017,10,18:45
07/10/2017,2017,10,11:40
07/10/2017,2017,10,13:30
