ID,DATA_CONVOCATORIA,ANY_CONVOCATORIA,CODI_TIPUS_CONVOCATORIA,TIPUS_CONVOCATORIA,CODIGO_CONVOCATORIA,CONVOCATORIA,MESA_CODI,MESA_DISTRICTE,MESA_SECCIO,MESA,MESA_OBERTA,MESA_COMUNICADA,MESA_HORA_COMUNICADA,MESA_CENS,MESA_AVANÇ1,MESA_AVANÇ2,MESA_AVANÇ3,MESA_VOTS_NULS,MESA_VOTS_BLANCS,MESA_TOTAL_VOTS,PARTIT_ENTEL,PARTIT_COLOR,PARTIT_CODI,PARTIT_SIGLES,PARTIT_NOM,PARTIT_VOTS,TOTAL_CENS,TOTAL_AVANC1,TOTAL_AVANC2,TOTAL_AVANC3,TOTAL_VOTS_NULS,TOTAL_VOTS_BLANCS,DADES,ESTAT
2016-C2016-3901-296,25/06/2016,2016,4,Congrés,C2016,Eleccions Generals 2016,3901,1,1,B,SI,SI,22:50,719,264,392,500,3,5,500,8,#97668B,296,ECP,En Comú Podem,150,53822,17497,24624,34742,199,265,12/10/2016 09:20:16 PM,1
2016-C2016-3901-14,25/06/2016,2016,4,Congrés,C2016,Eleccions Generals 2016,3901,1,1,B,SI,SI,22:50,719,264,392,500,3,5,500,9,#FF0000,14,PCPC,Partit Comunista del Poble de Catalunya,0,53822,17497,24624,34742,199,265,12/10/2016 09:20:16 PM,1
2016-C2016-3902-200,25/06/2016,2016,4,Congrés,C2016,Eleccions Generals 2016,3902,1,2,A,SI,SI,21:33,669,226,317,430,4,1,430,1,#DF0101,200,PSC,Partit Socialistes de Catalunya,103,53822,17497,24624,34742,199,265,12/10/2016 09:20:16 PM,1
2016-C2016-3902-4,25/06/2016,2016,4,Congrés,C2016,Eleccions Generals 2016,3902,1,2,A,SI,SI,21:33,669,226,317,430,4,1,430,2,#FFBF00,4,ERC-CATSÍ,Esquerra Republicana de Catalunya-Catalunya Sí,18,53822,17497,24624,34742,199,265,12/10/2016 09:20:16 PM,1
2016-C2016-3902-2,25/06/2016,2016,4,Congrés,C2016,Eleccions Generals 2016,3902,1,2,A,SI,SI,21:33,669,226,317,430,4,1,430,3,#2E9AFE,2,PP,Partit Popular,45,53822,17497,24624,34742,199,265,12/10/2016 09:20:16 PM,1
2016-C2016-3902-222,25/06/2016,2016,4,Congrés,C2016,Eleccions Generals 2016,3902,1,2,A,SI,SI,21:33,669,226,317,430,4,1,430,4,#6B8B23,222,PACMA,Partit Antitaurí Contra el Maltractament Animal,12,53822,17497,24624,34742,199,265,12/10/2016 09:20:16 PM,1
2016-C2016-3902-223,25/06/2016,2016,4,Congrés,C2016,Eleccions Generals 2016,3902,1,2,A,SI,SI,21:33,669,226,317,430,4,1,430,5,#EF7A36,223,Cs,Ciutadans - Partido de la Ciudadania,64,53822,17497,24624,34742,199,265,12/10/2016 09:20:16 PM,1
2016-C2016-3902-298,25/06/2016,2016,4,Congrés,C2016,Eleccions Generals 2016,3902,1,2,A,SI,SI,21:33,669,226,317,430,4,1,430,6,#08088A,298,CDC,Convergencia Democràtica de Catalunya,6,53822,17497,24624,34742,199,265,12/10/2016 09:20:16 PM,1
2016-C2016-3902-294,25/06/2016,2016,4,Congrés,C2016,Eleccions Generals 2016,3902,1,2,A,SI,SI,21:33,669,226,317,430,4,1,430,7,#008000,294,RECORTESCERO,Recortes Cero-Grupo Verde,1,53822,17497,24624,34742,199,265,12/10/2016 09:20:16 PM,1
2016-C2016-3902-296,25/06/2016,2016,4,Congrés,C2016,Eleccions Generals 2016,3902,1,2,A,SI,SI,21:33,669,226,317,430,4,1,430,8,#97668B,296,ECP,En Comú Podem,176,53822,17497,24624,34742,199,265,12/10/2016 09:20:16 PM,1
2016-C2016-3902-14,25/06/2016,2016,4,Congrés,C2016,Eleccions Generals 2016,3902,1,2,A,SI,SI,21:33,669,226,317,430,4,1,430,9,#FF0000,14,PCPC,Partit Comunista del Poble de Catalunya,0,53822,17497,24624,34742,199,265,12/10/2016 09:20:16 PM,1
2016-C2016-3903-200,25/06/2016,2016,4,Congrés,C2016,Eleccions Generals 2016,3903,1,2,B,SI,SI,21:37,679,216,306,413,2,2,413,1,#DF0101,200,PSC,Partit Socialistes de Catalunya,116,53822,17497,24624,34742,199,265,12/10/2016 09:20:16 PM,1
2016-C2016-3903-4,25/06/2016,2016,4,Congrés,C2016,Eleccions Generals 2016,3903,1,2,B,SI,SI,21:37,679,216,306,413,2,2,413,2,#FFBF00,4,ERC-CATSÍ,Esquerra Republicana de Catalunya-Catalunya Sí,19,53822,17497,24624,34742,199,265,12/10/2016 09:20:16 PM,1
2016-C2016-3903-2,25/06/2016,2016,4,Congrés,C2016,Eleccions Generals 2016,3903,1,2,B,SI,SI,21:37,679,216,306,413,2,2,413,3,#2E9AFE,2,PP,Partit Popular,50,53822,17497,24624,34742,199,265,12/10/2016 09:20:16 PM,1
2016-C2016-3903-222,25/06/2016,2016,4,Congrés,C2016,Eleccions Generals 2016,3903,1,2,B,SI,SI,21:37,679,216,306,413,2,2,413,4,#6B8B23,222,PACMA,Partit Antitaurí Contra el Maltractament Animal,11,53822,17497,24624,34742,199,265,12/10/2016 09:20:16 PM,1
2016-C2016-3903-223,25/06/2016,2016,4,Congrés,C2016,Eleccions Generals 2016,3903,1,2,B,SI,SI,21:37,679,216,306,413,2,2,413,5,#EF7A36,223,Cs,Ciutadans - Partido de la Ciudadania,59,53822,17497,24624,34742,199,265,12/10/2016 09:20:16 PM,1
2016-C2016-3903-298,25/06/2016,2016,4,Congrés,C2016,Eleccions Generals 2016,3903,1,2,B,SI,SI,21:37,679,216,306,413,2,2,413,6,#08088A,298,CDC,Convergencia Democràtica de Catalunya,7,53822,17497,24624,34742,199,265,12/10/2016 09:20:16 PM,1
2016-C2016-3903-294,25/06/2016,2016,4,Congrés,C2016,Eleccions Generals 2016,3903,1,2,B,SI,SI,21:37,679,216,306,413,2,2,413,7,#008000,294,RECORTESCERO,Recortes Cero-Grupo Verde,2,53822,17497,24624,34742,199,265,12/10/2016 09:20:16 PM,1
2016-C2016-3903-296,25/06/2016,2016,4,Congrés,C2016,Eleccions Generals 2016,3903,1,2,B,SI,SI,21:37,679,216,306,413,2,2,413,8,#97668B,296,ECP,En Comú Podem,141,53822,17497,24624,34742,199,265,12/10/2016 09:20:16 PM,1
2016-C2016-3903-14,25/06/2016,2016,4,Congrés,C2016,Eleccions Generals 2016,3903,1,2,B,SI,SI,21:37,679,216,306,413,2,2,413,9,#FF0000,14,PCPC,Partit Comunista del Poble de Catalunya,4,53822,17497,24624,34742,199,265,12/10/2016 09:20:16 PM,1
2016-C2016-3904-200,25/06/2016,2016,4,Congrés,C2016,Eleccions Generals 2016,3904,1,3,A,SI,SI,22:47,505,172,233,342,1,1,342,1,#DF0101,200,PSC,Partit Socialistes de Catalunya,81,53822,17497,24624,34742,199,265,12/10/2016 09:20:16 PM,1
2016-C2016-3904-4,25/06/2016,2016,4,Congrés,C2016,Eleccions Generals 2016,3904,1,3,A,SI,SI,22:47,505,172,233,342,1,1,342,2,#FFBF00,4,ERC-CATSÍ,Esquerra Republicana de Catalunya-Catalunya Sí,25,53822,17497,24624,34742,199,265,12/10/2016 09:20:16 PM,1
2016-C2016-3904-2,25/06/2016,2016,4,Congrés,C2016,Eleccions Generals 2016,3904,1,3,A,SI,SI,22:47,505,172,233,342,1,1,342,3,#2E9AFE,2,PP,Partit Popular,44,53822,17497,24624,34742,199,265,12/10/2016 09:20:16 PM,1
2016-C2016-3904-222,25/06/2016,2016,4,Congrés,C2016,Eleccions Generals 2016,3904,1,3,A,SI,SI,22:47,505,172,233,342,1,1,342,4,#6B8B23,222,PACMA,Partit Antitaurí Contra el Maltractament Animal,8,53822,17497,24624,34742,199,265,12/10/2016 09:20:16 PM,1
2016-C2016-3904-223,25/06/2016,2016,4,Congrés,C2016,Eleccions Generals 2016,3904,1,3,A,SI,SI,22:47,505,172,233,342,1,1,342,5,#EF7A36,223,Cs,Ciutadans - Partido de la Ciudadania,57,53822,17497,24624,34742,199,265,12/10/2016 09:20:16 PM,1
2016-C2016-3904-298,25/06/2016,2016,4,Congrés,C2016,Eleccions Generals 2016,3904,1,3,A,SI,SI,22:47,505,172,233,342,1,1,342,6,#08088A,298,CDC,Convergencia Democràtica de Catalunya,7,53822,17497,24624,34742,199,265,12/10/2016 09:20:16 PM,1
2016-C2016-3904-294,25/06/2016,2016,4,Congrés,C2016,Eleccions Generals 2016,3904,1,3,A,SI,SI,22:47,505,172,233,342,1,1,342,7,#008000,294,RECORTESCERO,Recortes Cero-Grupo Verde,1,53822,17497,24624,34742,199,265,12/10/2016 09:20:16 PM,1
