EXERCICI,CODI_ORGANIC,ORANIC,CODI_FUNCIONAL,FUNCIONAL,CODI_ECONOMIC,ECONOMIC,APLICACION,PRESSUPOST_INICIAL
2016,1U053,MERCAT,4312,"MERCATS, ABASTAMENTS I LLOTGES",13002,Altres remuneracions.,Retribucions compelmntaries,55678.14
2016,1U053,MERCAT,4312,"MERCATS, ABASTAMENTS I LLOTGES",15006,Productivitat 25perc. laborals,Productivitat 25%,1524.22
2016,1U053,MERCAT,4312,"MERCATS, ABASTAMENTS I LLOTGES",1600003,Seguretat social personal laboral,Seguretat social laborals,30292.18
2016,4U050,MOBILITAT,1340,MOBILITAT,22701,Seguretat.,Seguretat,28845.32
2016,2U022,SERVEIS JURÍDICS,9203,SERVEIS JURÍDICS,12006,Triennis.,Triennis,13591.83
2016,2U026,TRESORERIA,9340,TRESORERIA,15001,PRODUCTIVITAT 2. RENDIMENT,Productivitat 2on rendiment,721.7
2016,2U026,TRESORERIA,9340,TRESORERIA,12000,Sous del Grup A1.,Sous Grup A1,14824.08
2016,2U026,TRESORERIA,9340,TRESORERIA,12003,Sous del Grup C1.,Sous Grup C1,9983.68
2016,2U026,TRESORERIA,9340,TRESORERIA,12006,Triennis.,Triennis,8070.55
2016,2U026,TRESORERIA,9340,TRESORERIA,12103,Altres complements.,Altres complements,4475.1
2016,2U026,TRESORERIA,9340,TRESORERIA,13002,Altres remuneracions.,Altres remuneracions,20137.08
2016,2U026,TRESORERIA,9340,TRESORERIA,15005,Productivitat 25perc. funcionaris carrera,Productivitat 25% funcionaris,1602.69
2016,2U026,TRESORERIA,9340,TRESORERIA,15006,Productivitat 25perc. laborals,Productivitat 25% laborals,645.4
2016,2U026,TRESORERIA,9340,TRESORERIA,1600002,Seguretat social personal funcionari de carrera,Seguretat social personal funcionari,21840.72
2016,2U026,TRESORERIA,9340,TRESORERIA,1600003,Seguretat social personal laboral,Seguretat social personal laboral,12005.2
2016,2U026,TRESORERIA,9340,TRESORERIA,22001,"Premsa, revistes, llibres i altres publicacions.","Premsa, revistes, llibres i altres publicacions",11746.25
2016,2U026,TRESORERIA,9340,TRESORERIA,22201,Postals.,Comunicacions postals,50
2016,2U026,TRESORERIA,9340,TRESORERIA,22602,Publicitat i propaganda.,Publicitat i propaganda,500
2016,2U026,TRESORERIA,9340,TRESORERIA,22699,Altres despeses diverses,Altres despeses diverses,1000
2016,2U027,SECRETARIA GENERAL,9201,SECRETARIA I ARXIU,12000,Sous del Grup A1.,Sous del grup A1,29648.16
2016,2U027,SECRETARIA GENERAL,9201,SECRETARIA I ARXIU,12001,Sous del Grup A2.,Sous del grup A2,13035.6
2016,2U027,SECRETARIA GENERAL,9201,SECRETARIA I ARXIU,12003,Sous del Grup C1.,Sous del grup C1,9983.68
2016,2U027,SECRETARIA GENERAL,9201,SECRETARIA I ARXIU,1200401,Sous del Grup C2 interins,Sous grup C2 interins,15796.68
2016,2U027,SECRETARIA GENERAL,9201,SECRETARIA I ARXIU,12006,Triennis.,Triennis,20081.59
2016,2U027,SECRETARIA GENERAL,9201,SECRETARIA I ARXIU,12103,Altres complements.,Altres complements,13627.46
2016,2U027,SECRETARIA GENERAL,9201,SECRETARIA I ARXIU,13002,Altres remuneracions.,Altres remuneracions,27682.62
2016,2U027,SECRETARIA GENERAL,9201,SECRETARIA I ARXIU,15005,Productivitat 25perc. funcionaris carrera,Paga productivitat 25%,4619.42
2016,2U027,SECRETARIA GENERAL,9201,SECRETARIA I ARXIU,15006,Productivitat 25perc. laborals,Paga productivitat 25%,1040.32
2016,2U027,SECRETARIA GENERAL,9201,SECRETARIA I ARXIU,1600002,Seguretat social personal funcionari de carrera,Seguretat Social,39356.1
2016,2U027,SECRETARIA GENERAL,9201,SECRETARIA I ARXIU,1600003,Seguretat social personal laboral,Seguretat Social,16626.8
2016,2U027,SECRETARIA GENERAL,9201,SECRETARIA I ARXIU,1600005,Seguretat Social funcionari interi,Seguretat social personal interins,11872.96
2016,2U027,SECRETARIA GENERAL,9201,SECRETARIA I ARXIU,22001,"Premsa, revistes, llibres i altres publicacions.","Premsa, revistes, llibres i altres publicacions",2700
2016,2U027,SECRETARIA GENERAL,9201,SECRETARIA I ARXIU,22699,Altres despeses diverses,Altres despeses diverses,2800
2016,2U027,SECRETARIA GENERAL,9201,SECRETARIA I ARXIU,22705,Processos electorals.,Processos electorals,18000
2016,2U027,SECRETARIA GENERAL,9201,SECRETARIA I ARXIU,22799,Altres treballs realitzats per altres empreses i profes.,Altres treballs realitzats per altres empreses i profesional,16000
2016,2U028,ARXIU,9201,SECRETARIA I ARXIU,12004,Sous del Grup C2.,Sous del grup C2,8462.34
2016,2U028,ARXIU,9201,SECRETARIA I ARXIU,12006,Triennis.,Triennis,3285.94
2016,2U028,ARXIU,9201,SECRETARIA I ARXIU,12103,Altres complements.,Altres complements,2136.96
2016,2U028,ARXIU,9201,SECRETARIA I ARXIU,13002,Altres remuneracions.,Altres remuneracions,22760.78
