ANY_CONVOCATORIA,CODIGO_CONVOCATORIA,CONVOCATORIA,MESA_CENS,MESA_AVANÇ1,MESA_AVANÇ2,MESA_AVANÇ3,MESA_VOTS_NULS,MESA_VOTS_BLANCS,MESA_TOTAL_VOTS
2015,A2015,Eleccions al Parlament de Catalunya 2015,53643,18991,32864,40120,134,191,40120
1996,C96,Eleccions a Corts Generals 96,42017,16806,24931,31151,73,172,31151
2015,M2015,Eleccions Municipals 2015,53789,14927,20490,27440,177,416,27440
2004,E04,Eleccions al Parlament Europeu 04,49910,8739,12547,17060,30,95,17060
1987,E87,Eleccions al Parlament Europeu 87,,,,,,,
1996,S96,Eleccions al Senat 96,,0,0,0,,,
1987,M87,Eleccions Municipals 87,32335,20781,20781,20781,166,234,20781
1980,A80,Eleccions al Parlament de Catalunya 80,27744,17121,17121,17121,111,126,17121
2005,RE05,Referèndum Constitució Europea 05,50108,9502,13958,18087,82,1090,18087
1993,C93,Eleccions a Corts Generals 93,37297,15342,21346,27002,87,129,27002
1977,C77,Eleccions a Corts Generals 77,22311,17747,17747,17747,0,0,17747
1984,A84,Eleccions al Parlament de Catalunya 84,30750,17640,17640,17640,66,56,17640
1979,C79,Eleccions a Corts Generals 79,26230,18965,18965,18965,388,94,18965
1982,C82,Eleccions a Corts Generals 82,29364,23781,23781,23781,395,69,23781
2006,RE06,Referèndum Estatut de Catalunya 06,50375,8899,14759,21208,146,929,21208
1999,E99,Eleccions al Parlament Europeu 99,46590,21250,21259,21259,114,357,21259
2008,C08,Eleccions a Corts Generals 08,50720,19413,28373,35060,152,408,35060
1993,S93,Eleccions al Senat 93,,0,0,0,,,
2009,E09,Eleccions al Parlament Europeu 09,51195,8566,12090,17126,81,411,17126
2006,A06,Eleccions al Parlament de Catalunya 06,50600,10793,18940,23968,89,448,23968
2015,C2015,Eleccions Generals 2015,53690,18979,30510,37834,158,200,37834
1979,M79,Eleccions Municipals 79,26134,17325,17325,17325,47,70,17325
1995,M95,Eleccions Municipals 95,41045,12090,16285,21722,59,245,21722
1991,M91,Eleccions Municipals 91,36433,9426,12825,17160,51,118,17160
2014,E2014,Eleccions al Parlament Europeu 2014,53219,11660,16325,22159,228,379,22159
2003,M03,Eleccions Municipals  03,49489,15240,22181,28123,71,350,28123
2010,A2010,Eleccions al Parlament de Catalunya 2010,51420,10990,21239,26567,118,791,26567
1988,A88,Eleccions al Parlament de Catalunya 88,33146,16558,16558,16558,131,107,16558
1999,M99,Eleccions Municipals 99,46590,11513,16380,21433,125,386,21433
1989,S89,Eleccions al Senat 89,,,,,,,
1995,A95,Eleccions al Parlament de Catalunya 95,41627,9444,18450,22397,34,193,22397
1999,A99,Eleccions al Parlament de Catalunya 99,47096,9693,18631,24224,66,241,24224
1994,E94,Eleccions al Parlament Europeu 94,39873,9707,13251,18008,48,204,18008
2007,M07,Eleccions Municipals 07,51198,12289,17041,23382,92,603,23382
1983,M83,Eleccions Municipals 83,29922,19767,19767,19998,97,61,19982
2000,C00,Eleccions a Corts Generals 00,47473,14672,21324,27762,117,377,27762
2000,S00,Eleccions al Senat 00,,0,0,0,,,
2012,A2012,Eleccions al Parlament de Catalunya 2012,52420,14297,27152,33666,321,510,33666
1978,R78,Referèndum Constitucional 78,,,,,,,
1989,C89,Eleccions a Corts Generals 89,35101,12363,18279,22701,92,92,22701
1986,R86,Referèndum OTAN 86,,,,,,,
1986,C86,Eleccions a Corts Generals 86,32354,21744,21744,21744,179,63,21744
1976,RE76,Referendum 1976,21750,16883,16883,16883,96,803,16883
2011,M2011,Eleccions Municipals 2011,52111,12774,16991,24191,447,1079,24191
2011,C11,Eleccions a Corts Generals 2011,52133,18515,27079,33691,476,651,33691
1989,E89,Eleccions al Parlament Europeu 89,35101,17948,17948,17948,0,0,17948
1986,S86,Eleccions al Senat 86,,,,,,,
2003,A03,Eleccions al Parlament  de Catalunya 03,49734,10977,20978,26696,48,268,26696
1992,A92,Eleccions al Parlament de Catalunya 92,37446,7443,12805,16076,51,163,16076
2004,C04,Eleccions a Corts Generals 04,49684,20711,29959,36680,85,358,36680
