EXERCICI,CODI_ORGANIC,ORGANIC,CODI_FUNCIONAL,FUNCIONAL,CODI_ECONOMIC,ECONOMIC,APLICACIO,PRESSUPOST_INICIAL,MODIFICACIONS_CREDIT,CREDIT_DEFINITIU,OBLIGACIONS_RECONEGUDES,PAGAMENTS_LIQUIDS,PENDENTS_PAGAMENT,PERC_EXECUCIO
2017,1U005,ÀREA DE DESENVOLUPAMENT LOCAL,9202,SERVEIS GENERALS ÀREA DESENVOLUPAMENT ECONÒMIC LOCAL,1200001,Sous del Grup A1 interins,Sou grup A1 interins,14819.74,0,14819.74,0,0,0,0%
2017,1U005,ÀREA DE DESENVOLUPAMENT LOCAL,9202,SERVEIS GENERALS ÀREA DESENVOLUPAMENT ECONÒMIC LOCAL,1210001,Complement de destí interí,Complement de destí interí,0,0,0,0,0,0,
2017,1U005,ÀREA DE DESENVOLUPAMENT LOCAL,9202,SERVEIS GENERALS ÀREA DESENVOLUPAMENT ECONÒMIC LOCAL,1210031,Altres complements interins,Altres complements interins,0,0,0,0,0,0,
2017,09,Inversions exercici 2009,1500,ADMINISTRACIÓ GENERAL D'HABITATGE I URBANISME.,60901,OBRAS DE INVERSIONES,Projectes Pla d'inversió Local,0,36072.51,36072.51,0,0,0,0%
2017,09,Inversions exercici 2009,1500,ADMINISTRACIÓ GENERAL D'HABITATGE I URBANISME.,60903,OBRAS DE INVERSIONES,Redacció i direcció de projectes i estudis inversions 09-10,0,1505.78,1505.78,0,0,0,0%
2017,09,Inversions exercici 2009,1512,PLANEJAMENT I GESTIÓ URBANÍSTICA,60900,OBRAS DE INVERSIONES,Treballs elaboració POUM,0,95114.51,95114.51,0,0,0,0%
2017,09,Inversions exercici 2009,1521,PROMOCIÓ I GESTIÓ D'HABITATGE DE PROTECCIÓ PÚBLICA,61903,Altres inver de reposic en infraest i béns dest a l'ús gral,Barri el Pinar,0,10552.57,10552.57,0,0,0,0%
2017,1U005,ÀREA DE DESENVOLUPAMENT LOCAL,9202,SERVEIS GENERALS ÀREA DESENVOLUPAMENT ECONÒMIC LOCAL,1210101,Complement específic interí,Complement específic interí,0,0,0,0,0,0,
2017,1U005,ÀREA DE DESENVOLUPAMENT LOCAL,9202,SERVEIS GENERALS ÀREA DESENVOLUPAMENT ECONÒMIC LOCAL,15005,Productivitat 25% funcionaris carrera,Productivitat 25% funcionari,934.22,0,934.22,0,0,0,0%
2017,1U005,ÀREA DE DESENVOLUPAMENT LOCAL,9202,SERVEIS GENERALS ÀREA DESENVOLUPAMENT ECONÒMIC LOCAL,15006,Productivitat 25% laborals,Paga productivitat 25%,1429.5,0,1429.5,0,0,0,0%
2017,1U005,ÀREA DE DESENVOLUPAMENT LOCAL,9202,SERVEIS GENERALS ÀREA DESENVOLUPAMENT ECONÒMIC LOCAL,1600003,Seguretat social personal laboral,Seguretat social,24131.88,0,24131.88,0,0,0,0%
2017,1U005,ÀREA DE DESENVOLUPAMENT LOCAL,9202,SERVEIS GENERALS ÀREA DESENVOLUPAMENT ECONÒMIC LOCAL,1600004,Seguretat Social personal directiu,Seguretat social directius,13504.56,0,13504.56,0,0,0,0%
2017,1U005,ÀREA DE DESENVOLUPAMENT LOCAL,9202,SERVEIS GENERALS ÀREA DESENVOLUPAMENT ECONÒMIC LOCAL,1600005,Seguretat Social funcionari interi,Seguretat social personal interins,13417.08,0,13417.08,0,0,0,0%
2017,1U006,PROJECTES DE CIUTAT,4390,PROJECTES ESTRATÈGICS I SUPRAMUNICIPALS,15006,Productivitat 25% laborals,Paga productivitat 25%,1081.58,0,1081.58,0,0,0,0%
2017,1U006,PROJECTES DE CIUTAT,4390,PROJECTES ESTRATÈGICS I SUPRAMUNICIPALS,1530002,Complement dedicació especial laboral fix,Especial dedicació Laboral,2436.42,0,2436.42,0,0,0,0%
2017,1U006,PROJECTES DE CIUTAT,4390,PROJECTES ESTRATÈGICS I SUPRAMUNICIPALS,1600003,Seguretat social personal laboral,Seguretat Social,20610.46,0,20610.46,0,0,0,0%
2017,1U005,ÀREA DE DESENVOLUPAMENT LOCAL,9202,SERVEIS GENERALS ÀREA DESENVOLUPAMENT ECONÒMIC LOCAL,23010,Del personal directiu.,Del personal directiu.,0,0,0,28.98,28.98,0,
2017,1U005,ÀREA DE DESENVOLUPAMENT LOCAL,9202,SERVEIS GENERALS ÀREA DESENVOLUPAMENT ECONÒMIC LOCAL,22799,Altres treballs realitzats per altres empreses i profes.,Altres treballs realitzats per altres empreses i profes.,0,7253.95,7253.95,0,0,0,0%
2017,1U005,ÀREA DE DESENVOLUPAMENT LOCAL,9202,SERVEIS GENERALS ÀREA DESENVOLUPAMENT ECONÒMIC LOCAL,13000,Retribucions bàsiques.,Retribucions bàsiques,35218.5,0,35218.5,4297.55,4297.55,0,12.2%
2017,1U014,ÀMBIT DE PROMOCIÓ ECONÒMICA,4330,PROMOCIÓ ECONÒMICA I DESENVOLUPAMENT EMPRESARIAL,1310001,Laboral temporal per substitucions,Laboral temporal per substitucions,0,0,0,0,0,0,
2017,1U014,ÀMBIT DE PROMOCIÓ ECONÒMICA,4330,PROMOCIÓ ECONÒMICA I DESENVOLUPAMENT EMPRESARIAL,15005,Productivitat 25% funcionaris carrera,Paga productivitat 25%,1190.7,0,1190.7,0,0,0,0%
2017,1U014,ÀMBIT DE PROMOCIÓ ECONÒMICA,4330,PROMOCIÓ ECONÒMICA I DESENVOLUPAMENT EMPRESARIAL,15006,Productivitat 25% laborals,Paga productivitat 25%,467.66,0,467.66,0,0,0,0%
