PARTIT_SIGLES,PARTIT_NOM,PARTIT_COLOR,PARTIT_ENTEL,PARTIT_VOTS
PP,Partit Popular,#2E9AFE,3,4182
PACMA,Partit Antitaurí Contra el Maltractament Animal,#6B8B23,4,511
PCPC,Partit Comunista del Poble de Catalunya,#FF0000,9,84
UNIO,Unió Democràtica de Catalunya,#0D3991,1,403
Cs,Ciutadans - Partido de la Ciudadania,#EF7A36,5,6164
UPyD,Unión Progreso y Democracia,#FF1493,9,94
DL,Democràcia i Llibertat,#1E2364,8,2420
RECORTESCERO,Recortes Cero-Grupo Verde,#008000,7,174
PSC,Partit Socialistes de Catalunya,#DF0101,1,7413
ERC-CATSÍ,Esquerra Republicana de Catalunya-Catalunya Sí,#FFBF00,2,3895
ECP,En Comú Podem,#97668B,8,12136
