Unidad Organizativa,Denominación,Gr/SGr,Nivel Comp. Dest.,RELACIO,1 SOU BASE,2 COMPL. DESTI,COMPLEMENT ESPECIFIC MENSUAL,9 C. PERSONAL,109 ASSISTENCIA ORGANS COL·LEGIATS,56 PP EXTRA ,TOTAL MENSUAL,SOU BASE (per càlcul pagues extres),IMPORT PAGA EXTRAORDINARIA (Abonada en 2 mensualitats ESTIU / NADAL),PAGA PRODUCTIVITAT 25%,PAGA VALORACIO 25%,SOU ANUAL,% JORNADA
U001 - ORGANS DE GOVERN,ALCALDESA,0,0,AL,3928.57,,0,,,,3928.57,,3928.57,0,,54999.98,100%
U001 - ORGANS DE GOVERN,REGIDOR,0,0,RG,3600,,0,,,,3600,,3600,0,,50400,100%
U001 - ORGANS DE GOVERN,REGIDOR,0,0,RG,3600,,0,,,,3600,,3600,0,,50400,100%
U001 - ORGANS DE GOVERN,REGIDOR,0,0,RG,3600,,0,,,,3600,,3600,0,,50400,100%
U001 - ORGANS DE GOVERN,REGIDOR,0,0,RG,3600,,0,,,,3600,,3600,0,,50400,100%
U001 - ORGANS DE GOVERN,ASSESSOR DE GOVERNANÇA,A1,30,EV,2785.71,,0,,,,2785.71,,2785.71,0,,38999.94,100%
U001 - ORGANS DE GOVERN,ASSESOR DE DISTRICTES,A2,30,EV,2785.71,,0,,,,2785.71,,2785.71,0,,38999.94,100%
"U005 - ÀREA DE PLANIFICACIÓ ESTRATÈGICA, PROMOCIÓ ECONÒMICA I GOVERN","DIRECTOR/A PLANIF ESTRATEGICA, PROM ECONOMICA I GOVERN",A1,30,EV,3935.71,,0,,,,3935.71,,3935.71,0,,55099.94,100%
U001 - ORGANS DE GOVERN,COORD. PROJECTES ESTRATÈGICS,A1,30,EV,2785.71,,0,,,,2785.71,,2785.71,0,,38999.94,100%
"U042 - ÀREA DE PLANIFICACIÓ, ECOLOGIA URBANA I SEGURETAT","DIRECTOR/A AREA PLANIFICACIÓ, ECOLOGIA URBANA I SEGURETAT ",A1,30,EV,5357.14,,0,,,,5357.14,,5357.14,0,,74999.96,100%
U001 - ORGANS DE GOVERN,ASSESSOR GRUP MUNICIPAL,C1,0,EVP,1071.43,,0,,,,1071.43,,1071.43,0,,15000.02,100%
U001 - ORGANS DE GOVERN,ASSESSOR GRUP MUNICIPAL,C1,0,EVP,1071.43,,0,,,,1071.43,,1071.43,0,,15000.02,100%
U001 - ORGANS DE GOVERN,ASSESSOR GRUP MUNICIPAL,C1,0,EVP,1071.43,,0,,,,1071.43,,1071.43,0,,15000.02,100%
U001 - ORGANS DE GOVERN,ASSESSOR GRUP MUNICIPAL,C1,0,EVP,1071.43,,0,,,,1071.43,,1071.43,0,,15000.02,100%
U001 - ORGANS DE GOVERN,ASSESSOR GRUP MUNICIPAL,C1,0,EVP,1071.43,,0,,,,1071.43,,1071.43,0,,15000.02,100%
U001 - ORGANS DE GOVERN,REGIDOR SENSE DEDICACIO,0,0,CSD,,,0,,1250,,1250,,,0,,15000,
U001 - ORGANS DE GOVERN,REGIDOR SENSE DEDICACIO,0,0,CSD,,,0,,1250,,1250,,,0,,15000,
U001 - ORGANS DE GOVERN,REGIDOR SENSE DEDICACIO,0,0,CSD,,,0,,1250,,1250,,,0,,15000,
U001 - ORGANS DE GOVERN,REGIDOR SENSE DEDICACIO,0,0,CSD,,,0,,1250,,1250,,,0,,15000,
U001 - ORGANS DE GOVERN,REGIDOR SENSE DEDICACIO,0,0,CSD,,,0,,1250,,1250,,,0,,15000,
U001 - ORGANS DE GOVERN,REGIDOR SENSE DEDICACIO,0,0,CSD,,,0,,1250,,1250,,,0,,15000,
U001 - ORGANS DE GOVERN,REGIDOR SENSE DEDICACIO,0,0,CSD,,,0,,1250,,1250,,,0,,15000,
U001 - ORGANS DE GOVERN,REGIDOR SENSE DEDICACIO,0,0,CSD,,,0,,1250,,1250,,,0,,15000,
U001 - ORGANS DE GOVERN,REGIDOR SENSE DEDICACIO,0,0,CSD,,,0,,1250,,1250,,,0,,15000,
