CARRER_CODI,CARRER_TIPUS,CARRER_NOM
1001,PL,ERNEST LLUCH
1002,PL,NOVA CAN FATJO
1003,PL,NOVA ESTACIO
1004,RBLA,FERROCARRIL
1005,PL,CA N'ORIOL
1006,PL,ROSA OJEDA CREUS
1007,PL,PLA SEGADORS
1008,PL,MANUEL MIRALLES
1009,PL,SANTA ROSA
240,C,PONTEVEDRA
241,C,SARAGOSSA
242,C,ZAMORA
243,C,LLEO
244,C,OSCA
245,C,CORUNYA
246,C,AVILA
247,C,SORIA
248,C,TOLEDO
249,C,ESCORIAL (EL)
250,C,GETAFE
251,C,BILBAO
47,C,CREU
710,C,PISCINES
712,C,ANTON DE BORJA
713,C,MIQUEL GOMITA
714,C,JOSEP SENTIS
715,C,BECKETT
716,C,JACINTO BENAVENTE
717,C,ECHEGARAY
718,CAMI,CAN FELIU
800,PL,JOSEP SAPES
8001,CTRA,C 1413
838,C,PAISOS CATALANS
862,C,BISCAIA
863,C,GUIPUSCOA
870,C,VIA LACTIA
871,C,ESTELS
872,C,LLUNA
873,AV,ASTRONOMIA
874,C,ALABA
875,PL,ANDALUSIA
876,PL,ALFONS CARLES COMIN
877,PL,ARAGO
878,PL,ALMANSA
879,PTGE,ANWAR AL-SADAT
88,C,LLUIS RIBAS
880,PTGE,MENAHEM BEGIN
881,PTGE,SEAN MAC BRIDE
882,PTGE,ALCOVER
883,PL,POMPEU FABRA
932,PTGE,ESPIGOL
933,C,CASTANYERS
934,PTGE,CASTANYERS
935,C,MENTA
936,PTGE,MENTA
937,C,MIRANDA
938,PTGE,MORERES
939,C,ORDI
222,C,FOLCH I TORRES
223,C,MESTRE FELIU
224,C,MARIA BENLLIURE
225,PG,PINS
226,C,VIVER
227,C,SANTIAGO RUSIÑOL
228,C,TORRENT DE L'ALBA
229,C,MAGI RAMENTOL
23,PTGE,CIRCUMVAL.LACIO
230,CAMI,CA N'ORIOL
231,PL,PERE AGUILERA
232,C,JOAQUIM BLUME
233,C,FRANCESC LAYRET
234,C,GRANADA
235,C,FERROL
236,C,PALENCIA
237,C,VALLADOLID
238,C,VALENCIA
239,C,GIRONA
24,PL,CLAVE
252,C,SALAMANCA
253,C,JAEN
254,C,TARRAGONA
266,C,CASP
331,C,BRILLANT
333,AV,FLORS
334,C,SARDANA
336,C,TOPAZI
338,C,MARAGDA
34,PL,DOCTOR PEARSON
340,C,CIUDAD DE MENDOZA
341,C,MONTURIOL
342,C,SERVET
345,AV,CAN CABANYES
346,C,JOAN PUIG
347,C,ISAAC PERAL
348,C,GUTENBERG
349,C,AMPLE
35,C,DOCTOR TURRO
535,C,SERRA
536,C,ANETO
537,PTGE,ANETO
538,C,MONCAYO
539,PTGE,MONTSENY
54,C,JUSTICIA
540,C,PUIGMAL
541,C,PUJADA DEL CONGOST
542,C,CONGOST
543,C,MULHACEN
571,PL,CELSO EMILIO FERREIRO
573,PTGE,CRONOS
575,C,MENORCA
297,C,BACH
298,C,CHOPIN
299,C,MASSENET
3,PTGE,BARCELONA
30,C,DANT
301,C,COLOMA
548,C,ATLETISME
549,C,AVINYO
55,C,FONT DE LA VIA
550,C,BAGES
551,C,BARRANC
554,PL,CERDANYA
560,C,CORAL
561,C,CORDIALITAT
562,CTRA,RUBI A ULLASTRELL
564,C,DOCTOR FERRAN
565,PTGE,EGARA
566,C,EMPORDA
567,C,FUTBOL
568,C,GIMNAS
569,C,HALTEROFILIA
57,C,LOPE DE VEGA
