Estat,Data registre,Data Baixa,Tipus d'identificació,Identificador,Espècie,Sexe,Mida,Data Naixement,Nom,Esterilitzat,Raça,Perillós,Gos d'assistència,Municipi
Vigent,22/06/2016,,XIP,985111000919080,Gat,Mascle,Mitjà,,GRIS,No,europeu de pèl curt,No,No,Rubí
Vigent,22/06/2016,,XIP,985111000919075,Gat,Femella,Mitjà,10/09/2015,BIMBA,No,,No,No,Rubí
Vigent,22/06/2016,,XIP,985141000959187,Gat,Femella,Petit,04/10/2016,L,No,europeu de pèl curt,No,No,Rubí
Vigent,22/06/2016,,XIP,985111000918885,Gat,Mascle,Petit,04/06/2016,ALGODON,No,europeu de pèl curt,No,No,Rubí
Vigent,22/06/2016,,XIP,985111000919074,Gat,Femella,Mitjà,10/01/2015,MULAN,No,europeu de pèl curt,No,No,Rubí
Vigent,22/06/2016,,XIP,941000017429023,Gat,Mascle,Mitjà,13/10/2008,ATREYU,No,europeu de pèl curt,No,No,Rubí
Vigent,22/06/2016,,XIP,941000016164620,Gat,Mascle,Mitjà,15/09/2014,EUS,No,europeu de pèl curt,No,No,Rubí
Vigent,22/06/2016,,XIP,985111000919073,Gat,Femella,Mitjà,08/01/2006,LUNA,No,europeu de pèl curt,No,No,Rubí
Vigent,22/06/2016,,XIP,941000018366057,Gat,Mascle,Mitjà,07/08/2015,BUBU,No,europeu de pèl curt,No,No,Rubí
Vigent,22/06/2016,,XIP,985111000919071,Gat,Mascle,Gran,06/05/2013,KOAN,No,europeu de pèl curt,No,No,Rubí
Vigent,22/06/2016,,XIP,985111000919123,Gat,Mascle,Mitjà,27/09/2015,BONI,No,europeu de pèl curt,No,No,Rubí
Modificacio,22/06/2016,22/06/2016,XIP,985141000959187,Gat,Femella,Petit,04/10/2016,L,No,europeu de pèl curt,No,No,Rubí
Modificacio,20/06/2016,20/06/2016,XIP,938000000364617,Gos,Femella,,06/06/2009,ISIS,No,bull terrier,No,No,Rubí
Vigent,20/06/2016,,XIP,938000000364617,Gos,Femella,,06/06/2009,ISIS,No,bull terrier,No,No,Rubí
Vigent,18/06/2016,,XIP,941000018750809,Gos,Mascle,Petit,27/02/2013,HALO,No,ratoner andalús/bodeguero anda,No,No,Rubí
Vigent,18/06/2016,,XIP,982000192881036,Gos,Femella,Petit,20/09/2014,XICA,No,ratoner andalús/bodeguero anda,No,No,Rubí
Vigent,17/06/2016,,XIP,981098106201270,Gos,Mascle,,21/09/2015,THOR,No,dòberman,Si,No,Rubí
Vigent,17/06/2016,,XIP,985111000919077,Gat,Femella,,06/10/2015,NUKA,No,europeu de pèl curt,No,No,Rubí
