ANY_CONVOCATORIA,CODIGO_CONVOCATORIA,CONVOCATORIA,PARTIT_SIGLES,PARTIT_VOTS
2004,E04,Eleccions al Parlament Europeu 04,PSC,9109
1989,C89,Eleccions a Corts Generals 89,PP,1602
2009,E09,Eleccions al Parlament Europeu 09,PP,3328
2003,M03,Eleccions Municipals  03,PSC,10504
1988,A88,Eleccions al Parlament de Catalunya 88,ICV-EUiA,1974
2015,M2015,Eleccions Municipals 2015,PP,2327
1993,C93,Eleccions a Corts Generals 93,ERC,983
1996,C96,Eleccions a Corts Generals 96,ERC,979
2008,C08,Eleccions a Corts Generals 08,ERC,2315
2003,M03,Eleccions Municipals  03,PP,3483
1992,A92,Eleccions al Parlament de Catalunya 92,ERC,1113
1995,M95,Eleccions Municipals 95,ICV-EUiA,8886
2011,C11,Eleccions a Corts Generals 2011,ERC,1598
1999,M99,Eleccions Municipals 99,ERC,1169
1986,C86,Eleccions a Corts Generals 86,ERC,408
1980,A80,Eleccions al Parlament de Catalunya 80,PSC,3693
2007,M07,Eleccions Municipals 07,ICV-EUiA,2926
2004,C04,Eleccions a Corts Generals 04,PP,5985
1979,M79,Eleccions Municipals 79,ERC,1096
1983,M83,Eleccions Municipals 83,ERC,422
1995,A95,Eleccions al Parlament de Catalunya 95,ERC,1757
2004,C04,Eleccions a Corts Generals 04,PSC,18486
2003,A03,Eleccions al Parlament  de Catalunya 03,ERC,3719
2015,M2015,Eleccions Municipals 2015,PSC-CP,5636
2004,C04,Eleccions a Corts Generals 04,ICV-EUiA,2136
2007,M07,Eleccions Municipals 07,PP,2688
2007,M07,Eleccions Municipals 07,PSC,9418
2014,E2014,Eleccions al Parlament Europeu 2014,ERC-EPDD,4053
2000,C00,Eleccions a Corts Generals 00,ERC,1075
