Identificador,Junta de Gobierno Local,Fecha,Link Convocatoria,Link Acta,Link Video
26/05/17,SESION JUNTA DE GOBIERNO DIA 26 DE MAYO DE 2017,26/05/17,http://www.alhaurindelatorre.es/images/TABLON/Convocatorias_JGL/Conv_JGL_2017/DECRETO_725.pdf,http://www.alhaurindelatorre.es/images/AREAS/secretaria/Actas_JGL/Actas_JGL-2017/26-05-2017.pdf,No
19/05/17,SESION JUNTA DE GOBIERNO DIA 19 DE MAYO DE 2017,19/05/17,http://www.alhaurindelatorre.es/images/TABLON/Convocatorias_JGL/Conv_JGL_2017/Decreto_697.pdf,http://www.alhaurindelatorre.es/images/AREAS/secretaria/Actas_JGL/Actas_JGL-2017/19-05-2017.pdf,No
12/05/17,SESION JUNTA DE GOBIERNO DIA 12 DE MAYO DE 2017,12/05/17,http://www.alhaurindelatorre.es/images/DECRETO_666.pdf,http://www.alhaurindelatorre.es/images/AREAS/secretaria/Actas_JGL/Actas_JGL-2017/12-05-2017.pdf,No
05/05/17,SESION JUNTA DE GOBIERNO DIA 05 DE MAYO DE 2017,05/05/17,http://www.alhaurindelatorre.es/images/TABLON/Convocatorias_JGL/Conv_JGL_2017/Decreto_639.pdf,http://www.alhaurindelatorre.es/images/AREAS/secretaria/Actas_JGL/Actas_JGL-2017/05-05-2017.pdf,No
28/04/17,SESION JUNTA DE GOBIERNO DIA 28 DE ABRIL DE 2017,28/04/17,http://www.alhaurindelatorre.es/images/TABLON/Convocatorias_JGL/Conv_JGL_2017/DECRETO_602.pdf,http://www.alhaurindelatorre.es/images/AREAS/secretaria/Actas_JGL/Actas_JGL-2017/28-04-2017.pdf,No
21/04/17,SESION JUNTA DE GOBIERNO DIA 21 DE ABRIL DE 2017,21/04/17,http://www.alhaurindelatorre.es/images/DECRETO_573.pdf,http://www.alhaurindelatorre.es/images/AREAS/secretaria/Actas_JGL/Actas_JGL-2017/21-04-2017.pdf,No
12/04/17,SESION JUNTA DE GOBIERNO DIA 12 DE ABRIL DE 2017,12/04/17,http://www.alhaurindelatorre.es/images/DECRETO_529.pdf,http://www.alhaurindelatorre.es/images/AREAS/secretaria/Actas_JGL/Actas_JGL-2017/12-04-2017.pdf,No
07/04/17,SESION JUNTA DE GOBIERNO DIA 07 DE ABRIL DE 2017,07/04/17,http://www.alhaurindelatorre.es/images/DECRETO_499.pdf,http://www.alhaurindelatorre.es/images/AREAS/secretaria/Actas_JGL/Actas_JGL-2017/07-04-2017.pdf,No
31/03/17,SESION JUNTA DE GOBIERNO DIA 31 DE MARZO DE 2017,31/03/17,http://www.alhaurindelatorre.es/images/DECRETO_426.pdf,http://www.alhaurindelatorre.es/images/AREAS/secretaria/Actas_JGL/Actas_JGL-2017/31-03-2017.pdf,No
24/03/17,SESION JUNTA DE GOBIERNO DIA 24 DE MARZO DE 2017,24/03/17,http://www.alhaurindelatorre.es/images/DECRETO_359.pdf,http://www.alhaurindelatorre.es/images/AREAS/secretaria/Actas_JGL/Actas_JGL-2017/24-03-2017.pdf,No
17/03/17,SESION JUNTA DE GOBIERNO DIA 17 DE MARZO DE 2017,17/03/17,http://www.alhaurindelatorre.es/images/TABLON/Convocatorias_JGL/Conv_JGL_2017/Decreto_323.pdf,http://www.alhaurindelatorre.es/images/AREAS/secretaria/Actas_JGL/Actas_JGL-2017/17-03-2017.pdf,No
10/03/17,SESION JUNTA DE GOBIERNO DIA 10 DE MARZO DE 2017,10/03/17,http://www.alhaurindelatorre.es/images/DECRETO_285.pdf,http://www.alhaurindelatorre.es/images/AREAS/secretaria/Actas_JGL/Actas_JGL-2017/10-03-2017.pdf,No
03/03/17,SESION JUNTA DE GOBIERNO DIA 03 DE MARZO DE 2017,03/03/17,http://www.alhaurindelatorre.es/images/TABLON/Convocatorias_JGL/Conv_JGL_2017/Decreto_228.pdf,http://www.alhaurindelatorre.es/images/AREAS/secretaria/Actas_JGL/Actas_JGL-2017/03-03-2017.pdf,No
24/02/17,SESION JUNTA DE GOBIERNO DIA 24 DE FEBRERO DE 2017,24/02/17,http://www.alhaurindelatorre.es/images/TABLON/Convocatorias_JGL/Conv_JGL_2017/DECRETO_202.pdf,http://www.alhaurindelatorre.es/images/AREAS/secretaria/Actas_JGL/Actas_JGL-2017/24-02-2017.pdf,No
17/02/17,SESION JUNTA DE GOBIERNO DIA 17 DE FEBRERO DE 2017,17/02/17,http://www.alhaurindelatorre.es/images/DECRETO_158.pdf,http://www.alhaurindelatorre.es/images/AREAS/secretaria/Actas_JGL/Actas_JGL-2017/17-02-2017.pdf,No
09/02/17,SESION JUNTA DE GOBIERNO DIA 9 DE FEBRERO DE 2017,09/02/17,http://www.alhaurindelatorre.es/images/DECRETO_114.pdf,http://www.alhaurindelatorre.es/images/AREAS/secretaria/Actas_JGL/Actas_JGL-2017/09-02-2017.pdf,No
03/02/17,SESION JUNTA DE GOBIERNO DIA 3 DE FEBRERO DE 2017,03/02/17,http://www.alhaurindelatorre.es/images/DECRETO_98.pdf,http://www.alhaurindelatorre.es/images/AREAS/secretaria/Actas_JGL/Actas_JGL-2017/03-02-2017.pdf,No
