Identificador,Pleno,Fecha,Link Convocatoria,Link Acta,Link Video
13/01/17,SESION ORDINARIA DIA 13 DE ENERO DE 2017,13/01/17,http://www.alhaurindelatorre.es/images/PLENO_13_01_171.pdf,http://www.alhaurindelatorre.es/images/AREAS/secretaria/plenos/2017/Pleno_13-01-17_diligenciado.pdf,No
29/12/16,SESION EXTRAORDINARIA Y URGENTE DIA 29 DE DICIEMBRE DE 2016,29/12/16,http://www.alhaurindelatorre.es/images/CONVOCATORIA_PLENO_29-12-16.pdf,http://www.alhaurindelatorre.es/images/AREAS/secretaria/plenos/2016/Pleno_extraordinario_urgente_29-12-16.pdf,No
16/12/16,SESION ORDINARIA DIA 16 DE DICIEMBRE DE 2016,16/12/16,http://www.alhaurindelatorre.es/images/TABLON/Convocatorias_de_Plenos/Pleno_16-12-16_tablon.pdf,http://www.alhaurindelatorre.es/images/AREAS/secretaria/plenos/2016/Pleno_ordinario_16-12-16.pdf,No
12/12/16,SESION EXTRAORDINARIA DIA 12 DE DICIEMBRE DE 2016,12/12/16,http://www.alhaurindelatorre.es/images/PLENO_12-12-16.pdf,http://www.alhaurindelatorre.es/images/AREAS/secretaria/plenos/2016/Pleno_extraordinario_urgente_12-12-16.pdf,No
25/11/16,SESIÓN ORDINARIA DÍA 25 DE NOVIEMBRE DE 2016,25/11/16,http://www.alhaurindelatorre.es/images/Pleno_25-11-16_convocatoria.pdf,http://www.alhaurindelatorre.es/images/AREAS/secretaria/plenos/2016/Pleno_ordinario_25-11-16.pdf,No
07/10/16,SESION ORDINARIA DIA 7 DE OCTUBRE DE 2016,07/10/16,http://www.alhaurindelatorre.es/images/Pleno_07-10-16_convocatoria.pdf,http://www.alhaurindelatorre.es/images/AREAS/secretaria/plenos/2016/Pleno_ordinario_07-10-16.pdf,No
23/09/16,SESIÓN ORDINARIA DÍA 23 DE SEPTIEMBRE DE 2016,23/09/16,http://www.alhaurindelatorre.es/images/Convocatoria_pleno_23-09-16.pdf,http://www.alhaurindelatorre.es/images/AREAS/secretaria/plenos/2016/Pleno_ordinario_23-09-16.pdf,No
05/08/16,SESIÓN ORDINARIA DÍA 5 DE AGOSTO DE 2016,05/08/16,http://www.alhaurindelatorre.es/images/TABLON/Convocatorias_de_Plenos/Pleno_05-08-16_convocatoria.pdf,http://www.alhaurindelatorre.es/images/AREAS/secretaria/plenos/2016/Pleno_ordinario_05-08-16.pdf,No
28/07/16,SESIÓN EXTRAORDINARIA Y URGENTE DÍA 28 DE JULIO DE 2016,28/07/16,http://www.alhaurindelatorre.es/images/TABLON/Convocatorias_de_Plenos/Pleno_Extraordinario_urgente_28-07-16_convocatoria.pdf,http://www.alhaurindelatorre.es/images/AREAS/secretaria/plenos/2016/Pleno_extraordinario-urgente_28-07-16.pdf,No
14/07/16,SESIÓN ORDINARIA DÍA 14 DE JULIO DE 2016,14/07/16,http://www.alhaurindelatorre.es/images/TABLON/Convocatorias_de_Plenos/Convocatoria_Pleno_14-07-16.pdf,http://www.alhaurindelatorre.es/images/AREAS/secretaria/plenos/2016/Pleno_Ordinario_14-07-16.pdf,No
