Nß Inventario;Unidad Administrativa (WEB);Tipo de veh°culo;Modelo;A§o matriculaci¢n;;;;;;;;
1006;AGENCIA DE INNOVACI‡N Y DESARROLLO;AUTOM‡VIL;RENAULT TWIZZY;2012;;;;;;;;
1196;AGENCIA DE INNOVACI‡N Y DESARROLLO ECON‡MICO;AUTOM‡VIL;RENAULT ZOE ZEN R240;2017;;;;;;;;
1195;AGENCIA DE INNOVACI‡N Y DESARROLLO ECON‡MICO;AUTOM‡VIL;RENAULT ZOE ZEN R241;2017;;;;;;;;
369;AGUALID;OTROS TIPOS;VOLVO FL 7 (CEDIDO USO A AGUALID).;1992;;;;;;;;
515;AGUALID;FURGONETA;IVECO-DAILY CHASIS DO.CABINA GRUA(CEDIDO USO AGUALID);1994;;;;;;;;
498;AGUALID;FURGONETA;IVECO-DAILY CHASIS DOBLE CABINA(CEDIDO USO AGUALID).;1994;;;;;;;;
767;ALCALD÷A Y RêGIMEN INTERIOR;AUTOM‡VIL;RENAULT LAGUNA.;2005;;;;;;;;
766;ALCALD÷A Y RêGIMEN INTERIOR;AUTOM‡VIL;RENAULT LAGUNA.;2005;;;;;;;;
1004;ALCALD÷A Y RêGIMEN INTERIOR;AUTOM‡VIL;RENAULT LAGUNA.;2009;;;;;;;;
1001;ALCALD÷A Y RêGIMEN INTERIOR;AUTOM‡VIL;RENAULT LAGUNA.;2009;;;;;;;;
781;ALCALD÷A Y RêGIMEN INTERIOR;AUTOM‡VIL;RENAULT TRAFIC 1000 FURGON CORTO.;2005;;;;;;;;
1002;ALCALD÷A Y RêGIMEN INTERIOR;AUTOM‡VIL;RENAULT VELSATIS;2008;;;;;;;;
1005;ALCALD÷A Y RêGIMEN INTERIOR;AUTOM‡VIL;TOYOTA PRIUS;2004;;;;;;;;
423;ALCALD÷A Y RêGIMEN INTERIOR;MOTOCICLETA;VESPA 200 TX;1992;;;;;;;;
390;AUVASA;FURGONETA; WOLSKWAGEN MOD. KN29;1994;;;;;;;;
521;AUVASA;AUTOBÈS;MARCA MAN MOD. SL-242 GLP;1998;;;;;;;;
522;AUVASA;AUTOBÈS; MARCA MAN MOD. SL-242 GLP;1998;;;;;;;;
523;AUVASA;AUTOBÈS; MARCA MAN MOD. SL-242 GLP;1998;;;;;;;;
524;AUVASA;AUTOBÈS; MARCA MAN MOD. SL-242 GLP;1998;;;;;;;;
525;AUVASA;AUTOBÈS; MARCA MAN MOD. SL-242 GLP;1998;;;;;;;;
526;AUVASA;AUTOBÈS; MARCA MAN MOD. SL-242 GLP;1998;;;;;;;;
527;AUVASA;AUTOBÈS; MARCA MAN MOD. SL-242 GLP;1998;;;;;;;;
528;AUVASA;AUTOBÈS; MARCA MAN MOD. SL-242 GLP;1998;;;;;;;;
529;AUVASA;AUTOBÈS; MARCA MAN MOD. SL-242 GLP;1998;;;;;;;;
530;AUVASA;AUTOBÈS; MARCA MAN MOD. SL-242 GLP;1998;;;;;;;;
531;AUVASA;AUTOBÈS; MARCA MAN MOD. SL-242 GLP;1998;;;;;;;;
532;AUVASA;AUTOBÈS; MARCA MAN MOD. SL-242 GLP;1998;;;;;;;;
533;AUVASA;AUTOBÈS; MARCA MAN MOD. SL-242 GLP;1998;;;;;;;;
