ZONA;UBICACI‡N;COORDENADA X;COORDENADA Y;FECHA INSTALACI‡N
LA OVERUELA;Calle Arrabal, con Calle Yantar;357707,14;4617124,35;18/07/2012
FUENTE BERROCAL;Calle Flauta M†gica, 4 (lado opuesto);355240,08;4616432,44;17/06/2010
SOTO DE MEDINILLA;Avenida Santander, 127;358286,63;4614971,61;20/07/2012
LA VICTORIA;Calle Abedul, 2;356015,95;4614731,36;11/07/2012
SAN PEDRO REGALADO;Avenida Santander, 46;357915,35;4614550,71;11/07/2012
RONDILLA;Calle Cardenal Torquemada 54, Centro Salud;356919,85;4614165,15;02/06/2010
BARRIO ESPA•A;Avenida Santander (con Calle Cantabria);357482,11;4614147,53;11/07/2012
RONDILLA;Plaza Ribera de Castilla, 12;357049,51;4614112,43;02/06/2010
RONDILLA;Calle Mirabel, 11;356563,53;4614043,97;03/06/2010
RONDILLA;Calle Cardenal Torquemada, 48;356781,01;4614038,15;03/06/2010
LA VICTORIA;Calle D†rsena, 7;355706,01;4614036,76;23/07/2012
RONDILLA;Calle Olmo, 63;357174,05;4613983,20;02/06/2010
LA VICTORIA;Calle Neptuno, 16;355508,49;4613938,09;23/07/2012
RONDILLA;Calle Cardenal Torquemada, 21;356656,26;4613910,98;17/06/2010
RONDILLA;Calle Soto, 11;357035,14;4613872,83;02/06/2010
LA VICTORIA;Calle Pisuerga, 1;355863,93;4613856,40;26/07/2012
RONDILLA;Calle Cardenal Torquemada, 1;356533,32;4613765,90;17/06/2010
RONDILLA;Calle Rondilla de Santa Teresa, 34;356034,82;4613764,38;17/06/2010
RONDILLA;Calle Avda Palencia, 35B;357103,74;4613751,45;17/06/2010
RONDILLA;Calle Moradas, 20;356701,40;4613737,76;02/06/2010
RONDILLA;Calle Cerrada 11, con Portillo de Balboa;356842,63;4613686,47;03/06/2010
HUERTA DEL REY;Calle Morena, 4 (lado opuesto);355009,55;4613629,20;17/12/2009
HOSPITAL;Plaza Doctor JimÇnez D°az, con Calle Dr. Morales;357270,51;4613577,86;18/07/2012
RONDILLA;Calle Portillo de Balboa 3,con Pz. Alba de Tormes;356721,31;4613551,60;02/06/2010
S. NICOLµS - S. PABLO;Calle Puente Mayor (frente Plaza Carranza);356057,79;4613469,14;13/07/2012
HUERTA DEL REY;Avenida Ram¢n Pradera, 14;355525,77;4613437,71;22/01/2010
S. NICOLµS - S. PABLO;Calle Imperial, 7;356227,85;4613433,46;13/07/2012
SAN MART÷N;Calle Gondomar, 6;356862,26;4613404,47;03/07/2012
HOSPITAL;Calle Real de Burgos, 8 (lado opuesto);357059,48;4613352,13;18/07/2012
SAN MART÷N;Calle Torrecilla, 14;356640,51;4613265,20;13/07/2012
BELêN-PILARICA;Paseo Cauce, con CalleDoce de Octubre;357627,30;4613204,94;23/07/2012
BELêN-PILARICA;Calle Nueva del Carmen, 35;357892,83;4613188,69;23/07/2012
GIR‡N;Calle Tajahierro, con Avenida Cerros;354828,62;4613138,24;03/07/2012
S. NICOLµS - S. PABLO;Calle San Blas, con Calle Felipe II;356431,14;4613120,60;20/07/2012
HOSPITAL;Calle Para°so, 13;356908,75;4613073,91;23/07/2012
LAS BATALLAS;Calle Covadonga 10 (lado opuesto), con Plaza Batallas;357455,19;4613065,88;20/07/2012
HUERTA DEL REY;Calle Rigoberto Cortejoso, 6;355224,60;4612974,50;22/12/2009
HUERTA DEL REY;Calle Rastrojo, 9 ;354922,56;4612882,34;17/12/2009
HUERTA DEL REY;Calle Joaqu°n Velasco Mart°n, 1 ;355554,58;4612880,86;17/12/2009
PLAZA MAYOR;Plaza Poniente, 5;355920,41;4612868,16;03/07/2012
LAS BATALLAS;Calle Covadonga, 1;357410,57;4612829,85;24/07/2012
LA ANTIGUA;Calle Huelgas, 14;357184,58;4612822,81;03/07/2012
LOS SANTOS-PILARICA;Paseo Juan Carlos I, 136;358208,09;4612817,11;18/07/2012
PLAZA ESPA•A;Calle Doncellas, 1;356689,85;4612787,12;13/07/2012
LOS SANTOS-PILARICA;Calle Puente la Reina 8, con Calle Calatrava;357850,40;4612762,17;23/07/2012
VADILLOS;Calle Verbena, 3;357205,33;4612711,19;23/07/2012
VADILLOS;Plaza Vadillos 4 (lado opuesto);357498,07;4612633,94;23/07/2012
HUERTA DEL REY;Avenida JosÇ Luis Arrese, 3 ;355456,92;4612597,24;17/12/2009
HUERTA DEL REY;Calle P°o del R°o Hortega, con Esc. Arquitectura;355088,30;4612592,28;22/01/2010
HUERTA DEL REY;Calle Barbecho, 25 ;354679,98;4612583,16;17/12/2009
PLAZA ESPA•A;Calle Santuario 20 (lado op.), con Calle Sim¢n Aranda;356654,05;4612541,39;03/07/2012
LA ANTIGUA;Calle Fidel Recio, 5;356902,64;4612528,85;03/07/2012
PAJARILLOS BAJOS;Calle Salud, 19;357628,23;4612526,19;11/07/2012
PLAZA MAYOR;Calle Doctrinos, 8;355985,13;4612496,20;11/07/2012
CIRCULAR;Calle PÇrez Gald¢s, 20;357177,82;4612427,13;20/07/2012
CIRCULAR;Calle Don Sancho, 12;356978,38;4612421,55;03/07/2012
PAJARILLOS ALTOS;Calle Mirlo, 48;358211,51;4612401,86;20/07/2012
PAJARILLOS BAJOS;Calle Villaba§ez, 31;357978,63;4612365,27;20/07/2012
VADILLOS;Calle Uni¢n 21 (lado opuesto), con Calle Industrias;357418,38;4612364,80;24/07/2012
PAJARILLOS BAJOS;Calle Zorzal (con Calle Mart°n Pescador);357643,83;4612340,00;20/07/2012
CAMPO GRANDE;Calle Marina Escobar, con Calle Mantilla;356220,80;4612339,18;20/07/2012
CAMPO GRANDE;Calle Juan de Juni, 12;355759,96;4612292,85;03/07/2012
CA•O ARGALES;Calle Panaderos, 19;356588,91;4612269,99;13/07/2012
CA•O ARGALES;Calle Muro, 3;356441,63;4612243,82;11/07/2012
CIRCULAR;Calle CistÇrniga, 2;357203,54;4612212,51;13/07/2012
HUERTA DEL REY;Calle Monasterio Sta M¶ de Montserrat, con Pz. Juan Pablo II;354590,04;4612171,42;17/12/2009
CIRCULAR;Calle Nicol†s Salmer¢n, 30;356945,54;4612140,64;03/07/2012
HUERTA DEL REY;Calle Joaqu°n Velasco Mart°n, 15;355194,57;4612137,55;21/12/2009
PAJARILLOS BAJOS;Calle Salud, 3;357300,28;4612101,88;11/07/2012
PAJARILLOS BAJOS;Calle Gallo, 10;357781,14;4612068,37;12/03/2013
CAMPO GRANDE;Calle Francisco Su†rez, 2;355567,51;4612059,01;13/07/2012
PAJARILLOS BAJOS;Calle CigÅe§a, 19;357584,71;4612030,11;20/07/2012
CA•O ARGALES;Calle Panaderos, 61;356675,95;4612028,16;23/07/2012
PAJARILLOS ALTOS;Calle Santa M¶ de la Cabeza, 18;358465,92;4611987,40;11/07/2012
DELICIAS - CANTERAC;Paseo San Vicente (frente a Mercado  Delicias);357149,75;4611912,89;23/02/2011
PAJARILLOS BAJOS;Calle Trepador, 7;357484,20;4611860,76;20/07/2012
CAMPO GRANDE;Calle Gabilondo, 2;355635,77;4611844,76;13/07/2012
CAMPO GRANDE;Calle Francisco Su†rez, 25;355415,44;4611830,63;13/07/2012
CAMPO GRANDE;Paseo Arco de Ladrillo, 12;355859,82;4611795,21;03/07/2012
LAS FLORES;Calle Lirio, 19;359155,52;4611671,37;26/07/2012
DELICIAS - CANTERAC;Calle Huelva, con Pß Juan Carlos I;357352,64;4611649,89;18/02/2011
DELICIAS - CANTERAC;Calle Padre Manj¢n, con Granada;357045,49;4611624,07;18/02/2011
PLAZA TOROS;Calle Puente Colgante, 57;355261,48;4611543,79;23/02/2011
PARQUESOL;Calle Mart°n Santos Romero, 3 ;352783,07;4611511,29;22/12/2009
PARQUESOL;Calle Hernando de Acu§a, 3 ;353809,43;4611511,29;22/01/2010
PLAZA TOROS;Calle Gabilondo, 21;355261,48;4611503,74;23/02/2011
PLAZA TOROS;Calle Domingo Mart°nez, 3;355387,37;4611334,41;23/02/2011
DELICIAS - CANTERAC;Paseo Juan Carlos I, 31, con Carmelo;357133,91;4611333,20;18/02/2011
DELICIAS - CANTERAC;Avenida Segovia, 111;356749,11;4611317,20;23/02/2011
DELICIAS - ARCO DE LADRILLO;Calle Arca Real, 17;356657,22;4611315,36;16/02/2011
PARQUESOL;Calle Hernando de Acu§a, 32 ;353475,18;4611304,72;22/01/2010
PLAZA TOROS;Plaza Juan de Austria, 2;355224,82;4611301,95;23/02/2011
PARQUESOL;Calle Juan Garc°a Hortelano, 37;353087,67;4611195,49;22/01/2010
PARQUESOL;Calle Profesor Adolfo Miaja de la Muela, 8 ;353995,47;4611187,06;25/01/2010
DELICIAS - CANTERAC;Paseo Juan Carlos I, 11;357027,73;4611183,30;18/02/2011
DELICIAS - ARCO DE LADRILLO;Calle Argales, 13;356387,54;4611146,78;16/02/2011
PARQUESOL;Calle Mariano de los Cobos, 1 ;354259,70;4611144,45;22/12/2009
PARQUESOL;Calle Manuel Aza§a, 53 - 55;353360,02;4611094,61;21/12/2009
DELICIAS - ARCO DE LADRILLO;Calle Arca Real, 63;356558,70;4611072,36;17/02/2011
DELICIAS - CANTERAC;Calle Mariano Miguel L¢pez, 9;356892,85;4611067,13;18/02/2011
PARQUESOL;Calle Amadeo Arias, 25 ;353606,08;4611020,75;22/12/2009
PARQUESOL;Calle Mateo Seoane Sobral, (Res. Ancianos);353842,56;4611013,61;22/12/2009
ARTURO EYRIES;Calle Puerto Rico, 2 (lado opuesto) C.Salud;354554,32;4610969,52;22/01/2010
4 MARZO;Calle FÇlix Antonio, con Calle Falla;355079,80;4610938,97;23/02/2011
PLAZA TOROS;Calle Aurora, 12 (lado opuesto), con Calle Ingenieros;355444,72;4610903,41;23/02/2011
DELICIAS - CANTERAC;Calle Ebro, 16;356895,51;4610883,93;18/02/2011
PARQUESOL;CalleEusebio Gonz†lez Suarez,1;353899,31;4610827,29;21/12/2009
LA FAROLA;Calle Goya, 1;355212,58;4610732,19;23/02/2011
DELICIAS - CANTERAC;Calle Armonio, 3;357285,04;4610719,77;18/02/2011
DELICIAS - ARCO DE LADRILLO;Calle Hornija, 9;356564,86;4610714,14;16/02/2011
DELICIAS - ARCO DE LADRILLO;Calle Arca Real, con Zapadores;356345,39;4610575,01;16/02/2011
LA FAROLA;Calle Murillo, 8;355257,93;4610547,02;23/02/2011
ARTURO EYRIES;Plaza Uruguay, s/n ;354289,94;4610512,88;17/12/2009
DELICIAS - ARCO DE LADRILLO;Calle de la Transici¢n, 9;356254,14;4610497,64;16/02/2011
4 MARZO;Calle Gaud°, 4;355020,60;4610483,78;23/02/2011
ARTURO EYRIES;Calle Ecuador, 13 ;354607,09;4610465,03;17/12/2009
DELICIAS - ARCO DE LADRILLO;Calle de la Transici¢n, 6;356344,54;4610236,17;16/02/2011
LA RUBIA;Carretera Rueda, 1-3-5;355006,10;4610133,91;17/06/2010
LA RUBIA;Calle Montes y Mart°n-Bar¢, 9;355303,81;4610133,91;17/06/2010
LA RUBIA;Calle Doctor Moreno, con Mota;355133,80;4610095,64;17/06/2010
LAS VILLAS-VALPARA÷SO;Camino Viejo de Simancas, 15;354615,61;4610050,33;17/07/2012
LA RUBIA;Calle Joaqu°n M¶ Jal¢n, 29 (lado opuesto);355037,16;4609975,89;17/06/2010
DELICIAS - CANTERAC;Calle Arribes del Duero, 10 (lado opuesto);357447,64;4609820,57;18/02/2011
LA RUBIA;Calle Doctor Moreno, 28;355076,64;4609712,27;17/06/2010
DELICIAS - ARCO DE LADRILLO;Calle Viaje de Aguas;356122,50;4609524,72;21/06/2013
LAS VILLAS-VALPARA÷SO;Calle Barcelona, con Calle Atenas;353277,96;4609266,86;14/07/2013
PARQUE ALAMEDA / PAULA L‡PEZ;Calle Vinos Ribera de Duero, 12 (lado opuesto);354368,02;4609180,13;21/05/2010
LAS VILLAS-VALPARA÷SO;Calle Vega de Valdetronco, 32;353734,69;4609089,69;18/07/2012
PARQUE ALAMEDA / PAULA L‡PEZ;Calle Tierra de Sep£lveda, 2 (lado opuesto);354898,43;4609060,96;21/05/2010
PARQUE ALAMEDA / PAULA L‡PEZ;Calle Vinos de Rueda, 8;354308,43;4608855,96;21/05/2010
PARQUE ALAMEDA / PAULA L‡PEZ;Calle Campo de Gomara, 3;354637,88;4608823,05;21/05/2010
DELICIAS - ARCO DE LADRILLO;Calle Kilimanjaro, 8;356958,35;4608778,84;16/02/2011
COVARESA;Calle Miguel de Unamuno, 2;354182,76;4608493,67;21/05/2010
COVARESA;Calle Miguel Delibes, 24;354138,48;4608418,68;21/05/2010
COVARESA;Calle Santiago Alba, 9;354421,83;4607895,60;21/05/2010
CTRA. RUEDA;Calle Madro§o 65 (lado opuesto), con Calle Endrino ;354220,94;4607611,67;25/02/2011
EL PINAR;Calle Est°o, 14;353911,77;4605663,50;18/07/2012
PUENTE DUERO;Ca§ada de Simancas 2, Avenida Puentes;350892,94;4602604,09;18/07/2012
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
