DENOMINACION;DIRECCI‡N_TIPO VIA;DIRECCI‡N_NOMBRE VIA;DIRECCI‡N_NUMERO;DISTRITO POSTAL;TELEFONO;COORDENADA X;COORDENADA Y;HORARIO
Punto limpio Camino Viejo de Simancas;Cmno. ;Viejo de Simancas;233;47008;608258017;352662,05;4608643,73;http://www.valladolid.es/es/ayuntamiento/cartas-servicios/servicio-limpieza/punto-limpio-camino-viejo-simancas
Punto limpio Cabildo;Calle;Peseta;2;47009;639316991;356578,31;4614913,14;http://www.valladolid.es/es/ayuntamiento/cartas-servicios/servicio-limpieza/punto-limpio-cabildo
Punto limpio Lagunas de Villaf†fila;Calle;Lagunas de Villaf†fila;3;47012;608880613;357324,76;4609871,00;http://www.valladolid.es/es/ayuntamiento/cartas-servicios/servicio-limpieza/punto-limpio-lagunas-villafafila
Punto limpio Recinto Ferial;Avenida;Mundial 82;2;47014;649037203;353593,34;4612507,21;http://www.valladolid.es/es/ayuntamiento/cartas-servicios/servicio-limpieza/punto-limpio-recinto-ferial
Punto limpio Valle de Ar†n;Calle;Valle de Ar†n;s/n;47010;639380766;357210,38;4614435,79;http://www.valladolid.es/es/ayuntamiento/cartas-servicios/servicio-limpieza/punto-limpio-valle-aran
