DENOMINACION;LOCALIZACION_TIPO DE VIA;LOCALIZACION_DENOMINACION DE LA  VIA;LOCALIZACION_NUMERO;C‡DIGO POSTAL;COORDENADA X;COORDENADA Y;TELêFONO;USO PRINCIPAL;ENTIDAD RESPONSABLE
Casa Consistorial;Plaza;Mayor;1;47001;356169,66;4612831,34;983426100;Actividades Administrativas;Ayuntamiento de Valladolid
Centro Municipal de Difusi¢n Tecnol¢gica;Calle;Enrique IV;1;47002;356457,99;4612597,68;983426120;Actividades Administrativas;Ayuntamiento de Valladolid
Biblioteca Francisco Javier Mart°n Abril;Calle;L¢pez G¢mez;1;47002;356533,51;4612523,15;983211231;Actividades Culturales;Ayuntamiento de Valladolid
CEAS Centro;Calle;San Agust°n;1;47003;355966,99;4613224,10;983333288;Actividades Administrativas;Ayuntamiento de Valladolid
Oficina Municipal de San Benito;Calle;San Benito;1;47003;356090,92;4612996,33;983426100;Actividades Administrativas;Ayuntamiento de Valladolid
Aguas de Valladolid;Calle;General Ruiz;1;47004;356485,99;4612187,02;900353081;Actividades Administrativas;Ayuntamiento de Valladolid
Centro C°vico Campillo;Calle;Hostieros;1;47004;356606,12;4612313,87;983305525;Actividades de Participaci¢n Ciudadana;Ayuntamiento de Valladolid
Mercado del Campillo;Calle;Panaderos;1;47004;356563,16;4612328,51;983200754;Actividades Comerciales;Ayuntamiento de Valladolid
Centro C°vico Bailar°n Vicente Escudero;Calle;Traves°a de la Verbena;1;47005;357257,67;4612666,87;983132551;Actividades de Participaci¢n Ciudadana;Ayuntamiento de Valladolid
Centro Territorial de Educaci¢n de Adultos;Calle;Gaspar de Tordesillas;1;47006;355094,53;4610598,15;983239308;Actividades Educativas;Ayuntamiento de Valladolid
C.P. Francisco de Quevedo y Villegas;Calle;Granados;1;47006;355157,66;4610969,44;983233324;Actividades Educativas;Ayuntamiento de Valladolid
Parque de Bomberos Las Eras;Calle;Mieses;1;47009;355232,21;4613697,96;983426023;Actividades de Seguridad y Movilidad;Ayuntamiento de Valladolid
C.P. Miguel Delibes;Paseo ;Obreg¢n;1;47009;355874,41;4614395,48;983343699;Actividades Educativas;Ayuntamiento de Valladolid
Vivienda;Calle;Victoria;1;47009;355828,22;4613897,84;;Actividades Sociales;Ayuntamiento de Valladolid
C.P. Mac°as Picavea;Calle;Madre de Dios;1;47011;357070,75;4613432,84;983251385;Actividades Educativas;Ayuntamiento de Valladolid
Centro C°vico la Pilarica;Calle;Puente La Reina;1;47011;357818,81;4612792,33;983396577;Actividades de Participaci¢n Ciudadana;Ayuntamiento de Valladolid
Centro C°vico Integrado Zona Este;Plaza;Bi¢logo JosÇ Antonio Valverde;1;47012;357635,03;4611956,91;983143420;Actividades de Participaci¢n Ciudadana;Ayuntamiento de Valladolid
Local de Participaci¢n Ciudadana;Calle;Trepador;1;47012;357433,65;4611826,52;983391829;Actividades de Participaci¢n Ciudadana;Ayuntamiento de Valladolid
Local de Participaci¢n Ciudadana;Calle;Juan Mambrilla;2;47003;356715,83;4613008,41;983426100;Actividades de Participaci¢n Ciudadana;Ayuntamiento de Valladolid
Mercado del Val;Calle;Sandoval;2;47003;356178,41;4612961,98;983330219;Actividades Comerciales;Ayuntamiento de Valladolid
Vivienda;Calle;Padre Benito Menni;2;47008;356276,64;4610239,26;;Actividades Sociales;Ayuntamiento de Valladolid
Dep¢sito Municipal de Veh°culos El Peral;Calle;Padre Bernardo Hoyos;2;47008;352674,19;4608573,02;983276968;Actividades de Seguridad y Movilidad;Ayuntamiento de Valladolid
Agencia de Innovaci¢n y Desarrollo Econ¢mico;Calle;Vega Sicilia;2;47008;354517,67;4609141,83;983247401;Actividades Administrativas;Ayuntamiento de Valladolid
"Escuela Infantil Municipal ""Principito""";Paseo;Jard°n Bot†nico;2;47009;355743,72;4614518,43;983356942;Actividades Educativas;Ayuntamiento de Valladolid
Punto limpio Cabildo;Calle;Peseta;2;47009;356578,31;4614913,14;639316991;Limpieza y Tratamiento de Residuos;Ayuntamiento de Valladolid
Local de Participaci¢n Ciudadana;Plaza;Siete Partidas ;2;47009;355601,31;4611465,96;983426100;Actividades de Participaci¢n Ciudadana;Ayuntamiento de Valladolid
Centro de Iniciativas Ciudadanas El Empecinado;Calle;Tajahierro;2;47009;354794,46;4613087,10;983426154;Actividades de Participaci¢n Ciudadana;Ayuntamiento de Valladolid
C.P. Gonzalo de C¢rdoba;Calle;Victoria ;2;47009;355854,20;4614018,00;983334862;Actividades Educativas;Ayuntamiento de Valladolid
Local Asociaci¢n PROCOMAR Valladolid;Calle;Acequia;2;47010;357111,68;4614182,81;983309915;Actividades Sociales;Ayuntamiento de Valladolid
Vivienda;Calle;Acequia;2;47010;357111,15;4614182,04;;Actividades Sociales;Ayuntamiento de Valladolid
Vivienda;Calle;Gutierrez de Cetina;2;47010;356616,66;4613945,99;;Actividades Sociales;Ayuntamiento de Valladolid
Local de Participaci¢n Ciudadana;Plaza;MarquÇs de Suances;2;47010;357384,91;4614104,78;983258805;Actividades de Participaci¢n Ciudadana;Ayuntamiento de Valladolid
"Centro de Personas Mayores ""R°o Esgueva""";Plaza;Encuentro de los Pueblos;2;47011;357867,50;4612700,20;983214020;Actividades Sociales;Ayuntamiento de Valladolid
"Centro de estancias diurnas para Personas Mayores ""Zona Este""";Plaza;Bi¢logo JosÇ Antonio Valverde;2;47012;357635,03;4611956,91;983137990;Actividades Sociales;Ayuntamiento de Valladolid
Estaci¢n Potabilizadora San Isidro;Avenida;Soria;2;47012;357684,48;4611328,98;983293256;Limpieza y Tratamiento de Residuos;Ayuntamiento de Valladolid
Centro de Servicios Sociales Segundo Montes;Calle;Durat¢n;2;47013;356817,39;4610742,10;983426100;Actividades Sociales;Ayuntamiento de Valladolid
Vivienda;Calle;Guadiana;2;47013;356804,90;4610787,31;;Patrimonio Municipal;Ayuntamiento de Valladolid
C.P. Jorge GuillÇn ;Calle;Argentina;2;47014;354288,93;4610332,63;983688083;Actividades Educativas;Ayuntamiento de Valladolid
Antiguo C.P. Rosa Chacel-Claudio S†nchez Albornoz;Calle;Lucayas ;2;47014;354437,56;4610332,69;983279252;Actividades Educativas;Ayuntamiento de Valladolid
Punto limpio Recinto Ferial;Avenida;Mundial 82;2;47014;353593,34;4612507,21;649037203;Limpieza y Tratamiento de Residuos;Ayuntamiento de Valladolid
"Escuela Infantil Municipal ""Mafalda y Guille"" ";Calle;Remigio Caballero Toral;2;47014;354230,68;4611066,91;983337828;Actividades Educativas;Ayuntamiento de Valladolid
Centro C°vico Jose Luis Mar°a Luelmo;Calle;Armu§a;3;47008;354378,67;4609291,17;983130030;Actividades de Participaci¢n Ciudadana;Ayuntamiento de Valladolid
Estaci¢n Potabilizadora Las Eras;Calle;Las Eras;3;47009;355417,53;4613704,68;983361893;Limpieza y Tratamiento de Residuos;Ayuntamiento de Valladolid
Centro C°vico Rondilla;Calle;Alberto Fern†ndez;3;47010;356452,07;4614065,27;983426400;Actividades de Participaci¢n Ciudadana;Ayuntamiento de Valladolid
Vivienda;Calle;Misericordia;3;47010;356580,67;4613627,52;;Actividades Sociales;Ayuntamiento de Valladolid
Centro de Iniciativas Ciudadanas Natividad µlvarez Chac¢n;Plaza;Carmen Ferreiro;3;47011;358013,89;4614469,88;983426154;Actividades de Participaci¢n Ciudadana;Ayuntamiento de Valladolid
Vivienda;Calle;Albatros;3;47012;357684,76;4612402,91;;Actividades Sociales;Ayuntamiento de Valladolid
Punto limpio Lagunas de Villaf†fila;Calle;Lagunas de Villaf†fila;3;47012;357324,76;4609871,00;608880613;Limpieza y Tratamiento de Residuos;Ayuntamiento de Valladolid
Local de Participaci¢n Ciudadana;Calle;Pato ;3;47012;357597,20;4612192,94;983426100;Actividades de Participaci¢n Ciudadana;Ayuntamiento de Valladolid
CEAS Delicias-Argales;Calle;Monse§or Oscar Romero;3;47013;356296,68;4611201,74;983232689;Actividades Administrativas;Ayuntamiento de Valladolid
C.P. Profesor Tierno Galv†n;Calle;Manuel Silvela;3;47014;353707,24;4611203,57;983344567;Actividades Educativas;Ayuntamiento de Valladolid
Local de Participaci¢n Ciudadana;Calle;Aurora;4;47007;355260,13;4610950,79;983220128;Actividades de Participaci¢n Ciudadana;Ayuntamiento de Valladolid
Vivienda;Calle;Osa Menor;4;47009;355542,18;4614474,06;;Actividades Sociales;Ayuntamiento de Valladolid
Local de Participaci¢n Ciudadana;Plaza;Solidaridad;4;47009;355535,79;4614015,21;983380500;Actividades de Participaci¢n Ciudadana;Ayuntamiento de Valladolid
C.P. Miguel Iscar;Calle;Cantabria;4;47010;357400,03;4614223,77;983257590;Actividades Educativas;Ayuntamiento de Valladolid
Vivienda;Calle;Costa Dorada;4;47010;357660,94;4614823,48;;Actividades Sociales;Ayuntamiento de Valladolid
Local de Participaci¢n Ciudadana;Calle;Epifan°a;4;47011;357780,59;4613277,37;983310084;Actividades de Participaci¢n Ciudadana;Ayuntamiento de Valladolid
Local Dep¢sito de bienes y muebles abandonados;Calle;Madre de Dios;4;47011;357103,80;4613426,09;983426100;Actividades Administrativas;Ayuntamiento de Valladolid
Local de Participaci¢n Ciudadana;Calle;Mart°n Lutero King;4;47013;356311,96;4611149,77;983227351;Actividades de Participaci¢n Ciudadana;Ayuntamiento de Valladolid
Comisar°a de Distrito Tercero;Calle;Federico Landrove Moi§o;4;47014;353723,22;4610723,07;983426106;Actividades de Seguridad y Movilidad;Ayuntamiento de Valladolid
Vivienda;Calle;Tierra;5;47009;355783,67;4614216,14;;Actividades Sociales;Ayuntamiento de Valladolid
Vivienda;Calle;Pedroches;5;47010;357704,06;4614517,32;;Actividades Sociales;Ayuntamiento de Valladolid
Antiguo C.P. Luis Vives;Calle;Hornija;5;47013;356658,93;4610692,70;983426100;Sin actividad;Ayuntamiento de Valladolid
"Escuela Infantil Municipal ""Campanilla""";Calle;Monasterio Sto. Toribio de LiÇbana;5;47015;354872,97;4612304,74;983375777;Actividades Educativas;Ayuntamiento de Valladolid
Local de Participaci¢n Ciudadana;Calle;Acacias;5;47153;353788,43;4605656,09;983244135;Actividades de Participaci¢n Ciudadana;Ayuntamiento de Valladolid
Oficinas de Gesti¢n de Ingresos y Recaudaci¢n Municipal;Plaza;Santa Ana;6;47001;355974,66;4612709,63;983426426;Actividades Administrativas;Ayuntamiento de Valladolid
Vivienda;Plaza;Batallas;6;47005;357479,44;4613038,37;;Patrimonio Municipal;Ayuntamiento de Valladolid
Vivienda;Calle;Guarder°a;6;47007;355708,66;4611427,17;;Actividades Sociales;Ayuntamiento de Valladolid
Vivienda;Calle;Batuecas;6;47010;357298,20;4614239,86;;Actividades Sociales;Ayuntamiento de Valladolid
Vivienda;Calle;Priorato;6;47010;357438,77;4614614,34;;Actividades Sociales;Ayuntamiento de Valladolid
C.P. Francisco Giner de los R°os;Calle;Rastrojo;6;47014;354898,81;4612775,65;983342698;Actividades Educativas;Ayuntamiento de Valladolid
C.P. Antonio Garc°a Quintana;Plaza;Espa§a;7;47001;356490,32;4612481,75;983300273;Actividades Educativas;Ayuntamiento de Valladolid
C.P. Federico Garc°a Lorca;Calle;Huertas;7;47005;357561,33;4613166,22;983392701;Actividades Educativas;Ayuntamiento de Valladolid
Vivienda;Plaza;Churrer°a;7;47008;354152,87;4608957,23;;Actividades Sociales;Ayuntamiento de Valladolid
C.P. Vicente Aleixandre  ;Calle;Doctor Moreno;7;47008;355135,73;4610067,94;983223813;Actividades Educativas;Ayuntamiento de Valladolid
C.P. Vicente Aleixandre II;Calle;Doctor Moreno;7;47008;355135,73;4610067,94;983270672;Actividades Educativas;Ayuntamiento de Valladolid
"Escuela Infantil Municipal ""Tobog†n"" ";Calle;Doctor Moreno;7;47008;355135,73;4610067,94;983223813;Actividades Educativas;Ayuntamiento de Valladolid
Centro C°vico La Victoria;Calle;San Sebasti†n;7;47009;355902,72;4614088,16;983424200;Actividades de Participaci¢n Ciudadana;Ayuntamiento de Valladolid
Local de Participaci¢n Ciudadana;Calle;Villancico;7;47011;357918,34;4613402,71;983426100;Actividades de Participaci¢n Ciudadana;Ayuntamiento de Valladolid
Vivienda;Calle;Oriol;7;47012;357556,77;4611797,58;;Actividades Sociales;Ayuntamiento de Valladolid
Vivienda;Calle;Oriol;7;47012;357556,91;4611797,30;;Patrimonio Municipal;Ayuntamiento de Valladolid
C.P. Miguel Hern†ndez;Calle;Tordo;7;47012;358018,95;4612534,51;983303369;Actividades Educativas;Ayuntamiento de Valladolid
Local de Participaci¢n Ciudadana;Calle;AndrÇs de la Orden;8;47003;357021,03;4612998,39;983305148;Actividades de Participaci¢n Ciudadana;Ayuntamiento de Valladolid
Edificio San Agust°n. Archivo Municipal;Calle;Santo Domingo de Guzm†n;8;47003;356000,98;4613165,67;983363870;Actividades Administrativas;Ayuntamiento de Valladolid
Vivienda;Calle;Macizo de Gredos;8;47008;354247,54;4609206,30;;Actividades Sociales;Ayuntamiento de Valladolid
Vivienda;Calle;Costa Dorada;8;47010;357697,39;4614848,47;;Actividades Sociales;Ayuntamiento de Valladolid
Vivienda;Calle;Lope de Rueda;8;47010;356761,54;4613719,53;;Patrimonio Municipal;Ayuntamiento de Valladolid
Vivienda;Calle;Priorato;8;47010;357442,78;4614619,66;;Actividades Sociales;Ayuntamiento de Valladolid
Centro de Formaci¢n Ocupacional Jacinto Benavente;Avenida;Esgueva;8;47011;356039,82;4614031,65;983253556;Actividades Educativas;Ayuntamiento de Valladolid
"Escuela Infantil Municipal ""La Cometa""";Calle;Arca Real;8;47013;356610,42;4611323,79;983234285;Actividades Educativas;Ayuntamiento de Valladolid
Comedor Social;Calle;Arzobispo JosÇ Delicado;8;47014;355401,98;4612196,78;983344343;Actividades Sociales;Ayuntamiento de Valladolid
Vivienda;Calle;Prado;9;47003;356775,16;4613181,33;;Actividades Sociales;Ayuntamiento de Valladolid
Vivienda;Calle;Loza;9;47004;356738,73;4611979,65;;Patrimonio Municipal;Ayuntamiento de Valladolid
Vivienda;Calle;BÇcquer;9;47005;357592,89;4612654,27;;Actividades Sociales;Ayuntamiento de Valladolid
Vivienda;Paseo;Prado de la Magdalena;9;47005;357333,26;4613446,50;;Patrimonio Municipal;Ayuntamiento de Valladolid
Centro de estancias temporales personas mayores/ Centro integrado de servicios a la dependencia ;Paseo;Extremadura;9;47009;356039,82;4614031,65;983362732;Actividades Sociales;Ayuntamiento de Valladolid
Vivienda;Plaza;Nieves;9;47011;358005,26;4613454,65;;Actividades Sociales;Ayuntamiento de Valladolid
Local de Participaci¢n Ciudadana;Calle;Villancico;9;47011;357940,34;4613399,21;983426100;Actividades de Participaci¢n Ciudadana;Ayuntamiento de Valladolid
Antiguo C.P. Calder¢n de la Barca;Calle;Olmedo;9;47013;356818,46;4611339,28;983426100;Actividades de Participaci¢n Ciudadana;Ayuntamiento de Valladolid
Vivienda;Calle;Calzada (Simancas);9;47130;347693,14;4606111,92;;Patrimonio Municipal;Ayuntamiento de Valladolid
Parque Servicios-Protecci¢n Civil-Nave;Calle;Callej¢n de la Alcoholera;10;47008;354418,34;4610134,02;983276450;Actividades de Seguridad y Movilidad;Ayuntamiento de Valladolid
Local Banco de Alimentos;Cmno. ;Viejo de Simancas;10;47008;354698,52;4610113,64;983275300;Actividades Sociales;Ayuntamiento de Valladolid
C.P. Pedro G¢mez del Bosque;Calle;Manuel L¢pez Antol°;10;47009;355394,33;4614137,31;983379574;Actividades Educativas;Ayuntamiento de Valladolid
Galeria alimentaci¢n La Rondilla;calle;Moradas;10;47010;356648,89;4613670,64;983252836;Actividades Comerciales;Ayuntamiento de Valladolid
Vivienda;Plaza;Nieves;10;47011;358003,17;4613442,01;;Sociedad Municipal de Suelo y Vivienda de Valladolid (VIVA);Ayuntamiento de Valladolid
Local de Participaci¢n Ciudadana;Calle;Puente La Reina;10;47011;357876,38;4612747,21;983426100;Actividades de Participaci¢n Ciudadana;Ayuntamiento de Valladolid
Vivienda;Calle;Albacete;10;47012;357222,26;4611633,63;;Patrimonio Municipal;Ayuntamiento de Valladolid
C.P. Antonio All£e Morer;Calle;Transici¢n;10;47013;356382,13;4610493,94;983231030;Actividades Educativas;Ayuntamiento de Valladolid
C.P. Educaci¢n Infantil Ignacio Mart°n Bar¢;Calle;Juan de Valladolid;10;47014;353908,08;4611436,78;626957415;Actividades Educativas;Ayuntamiento de Valladolid
C.P. Ignacio Mart°n Bar¢;Calle;Juan de Valladolid;10;47014;353908,08;4611436,78;983354121;Actividades Educativas;Ayuntamiento de Valladolid
C.P. San Fernando;Calle;Padre Claret;11;47004;357095,88;4612083,26;983299533;Actividades Educativas;Ayuntamiento de Valladolid
Centro C°vico Zona Sur ;Plaza;Juan de Austria;11;47006;355203,76;4611242,86;983426336;Actividades de Participaci¢n Ciudadana;Ayuntamiento de Valladolid
Centro Ocupacional de Personas con Discapacidad Intelectual;Calle;Montes y Mart°n Bar¢;11;47008;355276,04;4610091,97;983426100;Actividades Sociales;Ayuntamiento de Valladolid
Edificio Polic°a Municipal;Avenida;Burgos;11;47009;355969,72;4614112,30;983426150;Actividades de Seguridad y Movilidad;Ayuntamiento de Valladolid
C.P. M¶ Teresa I§igo del Toro;Calle;Morena;11;47009;354966,76;4613495,29;983341028;Actividades Educativas;Ayuntamiento de Valladolid
Vivienda;Calle;Moradas;11;47010;356643,41;4613685,13;;Actividades Sociales;Ayuntamiento de Valladolid
Vivienda;Calle;Portillo de Balboa;11;47010;356764,41;4613631,32;;Patrimonio Municipal;Ayuntamiento de Valladolid
Vivienda;Calle;Villancico;11;47011;357975,65;4613391,67;;Actividades Sociales;Ayuntamiento de Valladolid
Centro Regional de Participaci¢n Juvenil;Callej¢n;Alcoholera;12;47008;354499,61;4610131,55;983274080;Actividades de Participaci¢n Ciudadana;Ayuntamiento de Valladolid
Vivienda;Calle;Yanguas;12;47008;354206,08;4609002,76;;Actividades Sociales;Ayuntamiento de Valladolid
Local de Participaci¢n Ciudadana;Paseo;Jard°n Bot†nico;12;47009;356066,92;4615071,94;983426100;Actividades de Participaci¢n Ciudadana;Ayuntamiento de Valladolid
Centro Municipal La Overuela;Calle;La 41;12;47009;357958,83;4617129,91;983358698;Actividades de Participaci¢n Ciudadana;Ayuntamiento de Valladolid
Mercado Delicias;Paseo;San Vicente ;12;47013;357136,12;4611924,34;983293523;Actividades Comerciales;Ayuntamiento de Valladolid
"Escuela Infantil Municipal ""Platero""";Calle;Ecuador;12;47014;354571,53;4610325,38;983473085;Actividades Educativas;Ayuntamiento de Valladolid
Vivienda;Calle;Arzobispo Garc°a Goldaraz;13;47007;355548,31;4611036,70;;Patrimonio Municipal;Ayuntamiento de Valladolid
Local de Participaci¢n Ciudadana;Calle;Peral;13;47007;355499,98;4611456,81;983426100;Actividades de Participaci¢n Ciudadana;Ayuntamiento de Valladolid
C.P. Parque Alameda;Calle;Boedo;13;47008;354219,05;4608997,63;983245329;Actividades Educativas;Ayuntamiento de Valladolid
Vivienda;Calle;C†diz;13;47012;357233,35;4611781,70;;Actividades Sociales;Ayuntamiento de Valladolid
Local de Participaci¢n Ciudadana;Calle;Santa Mar°a de la Cabeza;13;47012;358223,06;4611740,54;983426100;Actividades de Participaci¢n Ciudadana;Ayuntamiento de Valladolid
Vivienda;Calle;Urraca;13;47012;357419,63;4612093,70;;Actividades Sociales;Ayuntamiento de Valladolid
Vivienda;Calle;Urraca;13;47012;357419,63;4612093,70;;Actividades Sociales;Ayuntamiento de Valladolid
Centro C°vico Jose Luis Mosquera (Huerta del Rey);Calle;P÷o del R°o Hortega;13;47014;355059,20;4612523,36;983354735;Actividades de Participaci¢n Ciudadana;Ayuntamiento de Valladolid
C.P. Ponce de Le¢n;Calle;Padre Francisco Su†rez;14;47006;355388,22;4611822,67;983234587;Actividades Educativas;Ayuntamiento de Valladolid
Vivienda;Calle;Nebrija;14;47010;356785,84;4614002,41;;Patrimonio Municipal;Ayuntamiento de Valladolid
Hogar socio-cultural Cauce de BelÇn;Plaza;Nieves;14;47011;357939,67;4613423,11;983310266;Actividades de Participaci¢n Ciudadana;Ayuntamiento de Valladolid
Vivienda;Calle;Trabajo;14;47013;356854,38;4611724,59;;Patrimonio Municipal;Ayuntamiento de Valladolid
Vivienda;Calle;Cardenal Torquemada;15;47010;356591,48;4613848,97;;Actividades Sociales;Ayuntamiento de Valladolid
Local de Participaci¢n Ciudadana;Plaza;Nieves;15;47011;357926,23;4613436,25;983426100;Actividades de Participaci¢n Ciudadana;Ayuntamiento de Valladolid
Vivienda;Calle;Salud;15;47012;357588,40;4612465,47;;Patrimonio Municipal;Ayuntamiento de Valladolid
Centro Municipal Las Flores;Calle;Margarita;16;47017;359027,21;4611697,07;983214425;Actividades de Participaci¢n Ciudadana;Ayuntamiento de Valladolid
Galeria alimentaci¢n Lopez G¢mez-I;Calle;L¢pez G¢mez;17;47002;356687,55;4613731,90;983426100;Actividades Comerciales;Ayuntamiento de Valladolid
Centro de Iniciativas Ciudadanas Constanza Mart°n;Calle;Arturo Moliner;17;47011;358098,01;4614363,87;983252435;Actividades de Participaci¢n Ciudadana;Ayuntamiento de Valladolid
Punto PrÇstamo Bibliotecario Barrio San Pedro Regalado;Calle;Arturo Moliner;17;47011;358098,01;4614363,87;983252435;Actividades Culturales;Ayuntamiento de Valladolid
Local de Participaci¢n Ciudadana;Calle;Ecuador;17;47014;354627,83;4610418,66;983271907;Actividades de Participaci¢n Ciudadana;Ayuntamiento de Valladolid
C.P. Mar°a de Molina;Calle;Joaqu°n Velasco Mart°n;17;47014;355159,77;4612044,78;983343226;Actividades Educativas;Ayuntamiento de Valladolid
"Escuela Infantil Municipal ""Cascanueces""";Calle;Boedo;18;47008;354341,11;4611279,44;983244927;Actividades Educativas;Ayuntamiento de Valladolid
Vivienda;Plaza;Maestrazgo;18;47010;357640,29;4614616,11;;Actividades Sociales;Ayuntamiento de Valladolid
Antiguo C.P. Santiago L¢pez;Calle;Pavo Real;18;47012;357685,09;4612476,51;983426100;Sin actividad;Ayuntamiento de Valladolid
C.P. Isabel La Cat¢lica ;Plaza;San Nicol†s;19;47003;356036,75;4613551,80;983350218;Actividades Educativas;Ayuntamiento de Valladolid
C.P. Alonso Berruguete;Cmno. ;Viejo de Simancas;19;47008;354569,38;4609942,62;983457348;Actividades Educativas;Ayuntamiento de Valladolid
Vivienda;Calle;Rambla;20;47009;354998,48;4613911,04;;Patrimonio Municipal;Ayuntamiento de Valladolid
Centro C°vico Esgueva;Calle;Madre de Dios;20;47011;357343,61;4613562,08;983310465;Actividades de Participaci¢n Ciudadana;Ayuntamiento de Valladolid
Vivienda;Calle;Portillo del Prado;20;47011;357106,34;4613556,80;;Patrimonio Municipal;Ayuntamiento de Valladolid
Vivienda;Calle;San Isidro;20;47012;357291,60;4611948,93;;Actividades Sociales;Ayuntamiento de Valladolid
Centro C°vico Delicias ;Paseo;Juan Carlos I;20;47013;356976,03;4610954,14;983472111;Actividades de Participaci¢n Ciudadana;Ayuntamiento de Valladolid
Parque de Bomberos Canterac;Paseo;Juan Carlos I;20;47013;356976,03;4610954,14;983476904;Actividades de Seguridad y Movilidad;Ayuntamiento de Valladolid
Vivienda;Calle;Mariano Miguel L¢pez;20;47013;356899,16;4611053,90;;Patrimonio Municipal;Ayuntamiento de Valladolid
Vivienda;Calle;Real;20;47152;350890,83;4602462,58;;Patrimonio Municipal;Ayuntamiento de Valladolid
Vivienda;Calle;Carmelo;21;47013;356884,81;4612131,20;;Actividades Sociales;Ayuntamiento de Valladolid
Local de Participaci¢n Ciudadana;Calle;Fray Luis de Le¢n;22;47002;356766,93;4612611,31;983426100;Actividades de Participaci¢n Ciudadana;Ayuntamiento de Valladolid
Local de Participaci¢n Ciudadana;Calle;Fray Luis de Le¢n;22;47002;356766,93;4612611,31;983426100;Actividades de Participaci¢n Ciudadana;Ayuntamiento de Valladolid
Vivienda;Calle;Vinos de Rueda;22;47008;354170,88;4608874,91;;Actividades Sociales;Ayuntamiento de Valladolid
Vivienda;Calle;Vinos de Rueda;22;47008;354170,88;4608874,91;;Actividades Sociales;Ayuntamiento de Valladolid
Vivienda;Plaza;Churrer°a;23;47008;354195,47;4608921,28;;Actividades Sociales;Ayuntamiento de Valladolid
Vivienda;Plaza;Maeztrazgo;23;47010;357621,83;4614618,55;;Actividades Sociales;Ayuntamiento de Valladolid
C.P. Gonzalo de Berceo;Calle;Mirabel;23;47010;356622,21;4614105,08;983253356;Actividades Educativas;Ayuntamiento de Valladolid
Vivienda;Calle;Principal (La Flecha-Arroyo);23;47195;352646,41;4609991,44;;Patrimonio Municipal;Ayuntamiento de Valladolid
Vivienda;Calle;Vinos de Rueda;24;47008;354110,00;4608891,62;;Actividades Sociales;Ayuntamiento de Valladolid
Vivienda;Calle;Vinos de Rueda;24;47008;354110,00;4608891,62;;Patrimonio Municipal;Ayuntamiento de Valladolid
Vivienda;Calle;Vinos de Rueda;24;47008;354110,00;4608891,62;;Patrimonio Municipal;Ayuntamiento de Valladolid
Centro de Iniciativas Ciudadanas Conde Ans£rez;Calle;Batuecas;24;47010;357363,99;4614308,69;983426100;Actividades de Participaci¢n Ciudadana;Ayuntamiento de Valladolid
Galeria alimentaci¢n Lopez G¢mez-II;Calle;L¢pez G¢mez;26;47002;356772,40;4613811,92;983301762;Actividades Comerciales;Ayuntamiento de Valladolid
C.P. Crist¢bal Col¢n;Calle;Cigue§a;26;47012;357777,13;4612274,96;983291887;Actividades Educativas;Ayuntamiento de Valladolid
C.P. Pablo Picasso;Paseo;Juan Carlos I;26;47013;357140,87;4611293,94;983270018;Actividades Educativas;Ayuntamiento de Valladolid
C.P. Cardenal Mendoza;Calle;Panaderos;28;47004;356623,83;4612204,31;983309243;Actividades Educativas;Ayuntamiento de Valladolid
