DENOMINACION;USO;LOCALIZACION_TIPO DE VIA;LOCALIZACION_DENOMINACION DE LA  VIA;LOCALIZACION_NUMERO;C‡DIGO POSTAL;COORDENADA X;COORDENADA Y;TELêFONO;ENTIDAD RESPONSABLE;OTRA INFORMACION
Biblioteca Campo Grande;Libre;Calle;Acera de Recoletos;s/n;47004;356096,13;4612169,12;983300632;Ayuntamiento de Valladolid-Caja de Burgos;http://www.valladolid.es/es/ayuntamiento/cartas-servicios/bibliotecas-municipales/bibliotecas-municipales
Biblioteca Francisco Javier Mart°n Abril;Libre;Calle;L¢pez G¢mez;1;47002;356533,51;4612523,15;983211231;Ayuntamiento de Valladolid;http://www.valladolid.es/es/ayuntamiento/cartas-servicios/bibliotecas-municipales/bibliotecas-municipales
Biblioteca Francisco Pino;Libre;Calle;Francisco Hern†ndez Pacheco;s/n;47014;355129,69;4612532,36;983143004;Ayuntamiento de Valladolid;http://www.valladolid.es/es/ayuntamiento/cartas-servicios/bibliotecas-municipales/bibliotecas-municipales
Biblioteca Adolfo Miaja de la Muela;Libre;Plaza;Bi¢logo JosÇ Antonio Valverde;1;47012;357635,03;4611956,91;983143422;Ayuntamiento de Valladolid;http://www.valladolid.es/es/ayuntamiento/cartas-servicios/bibliotecas-municipales/bibliotecas-municipales
Biblioteca Blas Pajarero ;Libre;Paseo;Juan Carlos I;20;47013;356976,03;4610954,14;983456153;Ayuntamiento de Valladolid;http://www.valladolid.es/es/ayuntamiento/cartas-servicios/bibliotecas-municipales/bibliotecas-municipales
Biblioteca Parque Alameda;Libre;Calle;Armu§a;3;47008;354378,67;4609291,17;983131166;Ayuntamiento de Valladolid;http://www.valladolid.es/es/ayuntamiento/cartas-servicios/bibliotecas-municipales/bibliotecas-municipales
Biblioteca Rondilla;Libre;Calle;Alberto Fern†ndez;3;47010;356452,07;4614065,27;983426408;Ayuntamiento de Valladolid;http://www.valladolid.es/es/ayuntamiento/cartas-servicios/bibliotecas-municipales/bibliotecas-municipales
Biblioteca Rosa Chacel ;Libre;Plaza;Juan de Austria;11;47006;355203,76;4611242,86;983426343;Ayuntamiento de Valladolid;http://www.valladolid.es/es/ayuntamiento/cartas-servicios/bibliotecas-municipales/bibliotecas-municipales
Biblioteca Santiago de los Mozos;Libre;Calle;Eusebio Gonz†lez Su†rez;69;47014;353417,88;4610860,27;983132018;Ayuntamiento de Valladolid;http://www.valladolid.es/es/ayuntamiento/cartas-servicios/bibliotecas-municipales/bibliotecas-municipales
Punto de PrÇstamo barrio Las Flores;Libre;Calle;Margarita;16;47017;359027,21;4611697,07;983214425;Ayuntamiento de Valladolid;http://www.valladolid.es/es/ayuntamiento/cartas-servicios/bibliotecas-municipales/puntos-prestamo-bibliotecario
Punto de PrÇstamo barrio La Pilarica;Libre;Calle;Puente La Reina;1;47011;357818,81;4612792,33;983396577;Ayuntamiento de Valladolid;http://www.valladolid.es/es/ayuntamiento/cartas-servicios/bibliotecas-municipales/puntos-prestamo-bibliotecario
Punto de PrÇstamo barrio de Puente Duero;Libre;Calle;Real;105;47152;350755,01;4601965,96;983415133;Ayuntamiento de Valladolid;http://www.valladolid.es/es/ayuntamiento/cartas-servicios/bibliotecas-municipales/puntos-prestamo-bibliotecario
Punto de PrÇstamo Bibliotecario barrio San Pedro Regalado;Libre;Calle;Arturo Moliner;17;47011;358098,01;4614363,87;983252435;Ayuntamiento de Valladolid;http://www.valladolid.es/es/ayuntamiento/cartas-servicios/bibliotecas-municipales/puntos-prestamo-bibliotecario
Punto de PrÇstamo barrio de La Victoria;Libre;Calle;San Sebasti†n;7;47009;355902,72;4614088,16;983424203;Ayuntamiento de Valladolid;http://www.valladolid.es/es/ayuntamiento/cartas-servicios/bibliotecas-municipales/puntos-prestamo-bibliotecario
Punto de PrÇstamo barrio de BelÇn;Libre;Plaza;Nieves;14;47011;357939,67;4613423,11;983266390;Ayuntamiento de Valladolid;http://www.valladolid.es/es/ayuntamiento/cartas-servicios/bibliotecas-municipales/puntos-prestamo-bibliotecario
Punto de PrÇstamo barrio Esgueva;Libre;Calle;Madre de Dios;20;47011;357343,61;4613562,08;983310529;Ayuntamiento de Valladolid;http://www.valladolid.es/es/ayuntamiento/cartas-servicios/bibliotecas-municipales/puntos-prestamo-bibliotecario
Punto de PrÇstamo barrio de La Overuela;Libre;Calle;La 41;12;47009;357958,83;4617129,91;983358698;Ayuntamiento de Valladolid;http://www.valladolid.es/es/ayuntamiento/cartas-servicios/bibliotecas-municipales/puntos-prestamo-bibliotecario
Punto de PrÇstamo barrio de San Juan;Libre;Calle;Traves°a de la Verbena;1;47005;357257,67;4612666,87;983130438;Ayuntamiento de Valladolid;http://www.valladolid.es/es/ayuntamiento/cartas-servicios/bibliotecas-municipales/puntos-prestamo-bibliotecario
Biblioteca de Castilla y Le¢n;Libre;Plaza;Trinidad;2;47003;356050,47;4613386,35;983358599;Junta de Castilla y Le¢n;http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaValladolid/es/Plantilla66y33/1276515979208/_/_/
"Biblioteca ""Entrel°neas Biblioteca Libre""";Libre;Calle;Serran°a de Ronda;27;47010;357387,34;4614283,52;;Asociaci¢n Vecinos Uni¢n Esgueva;http://www.valladolid.es/es/ayuntamiento/atencion-ciudadana/centro-atencion-ciudadano
