LOCALIZACI‡N;ZONA;TIPO;Nß DE PLAZAS;Coordenada X;Coordenada Y;;
CALLE VEINTE DE FEBRERO;1;Normal;39;355905,72;4612598,96;;
CALLE SIM‡N ARANDA (Santuario-Fray Luis de Le¢n);7;Normal;15;356689,04;4612594,96;;
CALLE MALDONADO;7;Normal;95;356987,91;4612594,38;;
CALLE NICASIO PêREZ (Santa Luc°a-Perez Gald¢s);6;Normal;9;357234,59;4612590,67;;
CALLE MENêNDEZ PELAYO;1;Residentes;26;356262,79;4612569,27;;
CALLE ALONSO PESQUERA;7;Normal;8;356812,95;4612569,05;;
CALLE SANTA LUCIA (Nicasio Perez-Bailar°n Vicente Escudero);6;Normal;17;357162,09;4612568,97;;
CALLE CERµMICA;6;Normal;22;357205,19;4612568,77;;
CALLE DON SANCHO (Cervantes-San Juan);7;Normal;59;357048,54;4612547,73;;
CALLE ARTESAN÷A;6;Normal;17;357184,28;4612541,78;;
CALLE DIVINA PASTORA;4;Normal;19;356487,13;4612537,46;;
CALLE LA MERCED;7;Normal;31;356922,29;4612535,64;;
CALLE SANTUARIO;7;Normal;45;356684,81;4612522,46;;
CALLE FIDEL RECIO;7;Normal;15;356872,06;4612512,81;;
CALLE DOCTRINOS;1;Normal;6;355964,45;4612494,97;;
CALLE BAILAR÷N VICENTE ESCUDERO (Hasta PÇrez Gald¢s);6;Normal;20;357149,09;4612493,10;;
CALLE SIMON ARANDA (JosÇ Mar°a Lacort-Santuario);7;Normal;7;356643,53;4612489,66;;
CALLE SANTA LUCIA (Bailar°n Vicente Escudero-Cervantes);6;Normal;4;357063,14;4612485,37;;
CALLE MARIA DE MOLINA;1;Normal;5;356025,77;4612454,19;;
CALLE JOSê MAR÷A LACORT;4;Normal;11;356623,79;4612452,46;;
CALLE PEREZ GALDOS;6;Normal;58;357174,26;4612437,21;;
CALLE JARDINES;6;Normal;20;357097,75;4612432,07;;
CALLE MIGUEL ISCAR ;4;Normal;15;356256,93;4612400,52;;
CALLE DON SANCHO (Tudela-Cervantes);7;Normal;24;356941,11;4612394,80;;
CALLE FLORES;6;Normal;10;357112,30;4612386,83;;
CALLE CERVANTES;6;Normal;32;357035,85;4612369,27;;
CALLE VEGA;4;Normal;13;356590,34;4612363,77;;
PLAZA TENERIAS;3;Normal;27;355777,15;4612361,87;;
CALLE MARINA ESCOBAR;4;Residentes;13;356241,06;4612336,49;;
CALLE MANTILLA;4;Residentes;13;356187,61;4612332,26;;
CALLE RECOLETAS (San Ildefonso-Juan de Juni);3;Normal;10;355827,99;4612322,87;;
CALLE HOSTIEROS;4;Normal;20;356615,07;4612310,85;;
CALLE TUDELA;6;Normal;35;356989,05;4612303,33;;
CALLE PANADEROS (Divina Pastora-General Ruiz);4;Normal;47;356569,70;4612286,51;;
CALLE GALATEA;4;Normal;22;356337,95;4612280,20;;
CALLE CURTIDORES;3;Normal;15;355688,33;4612271,70;;
CALLE DOS DE MAYO (Divina Pastora-General Ruiz);4;Normal;35;356495,60;4612261,68;;
CALLE PERU;4;Residentes;7;356210,93;4612252,65;;
CALLE JUAN DE JUNI;3;Normal;53;355793,43;4612249,81;;
CALLE GARC÷A LESMES;4;Normal;9;356659,65;4612248,28;;
CALLE SAN LUIS (Tudela-Nicolas Salmer¢n);4;Normal;77;356884,56;4612239,42;;
CALLE ACIBELAS;4;Normal;25;356797,49;4612232,31;;
CALLE RECOLETAS (Juan de Juni-Gregorio Fern†ndez);3;Normal;10;355743,86;4612230,80;;
CALLE LABRADORES;4;Normal;20;356824,61;4612228,62;;
