DENOMINACION;LOCALIZACION_TIPO DE VIA;LOCALIZACION_DENOMINACION DE LA  VIA;LOCALIZACION_NUMERO;C‡DIGO POSTAL;TELêFONO;COORDENADA X;COORDENADA Y;SIUACI‡N INMUEBLE;TIPO DE USO;ENTIDAD RESPONSABLE;;
Centro Municipal de Ac£stica;Calle;Olimpiadas;40;47008;983224764;352412,65;4608734,17;Propiedad;Salud y Sanidad;Ayuntamiento de Valladolid;;
Centro Municipal de Difusi¢n Tecnol¢gica;Calle;Enrique IV;1;47002;983426120;356457,99;4612597,68;Propiedad;Actividades Administrativas;Ayuntamiento de Valladolid;;
Centro Municipal Jose Luis Mosquera;Calle;P°o del R°o Hortega;13;47014;690170413;355059,20;4612523,36;Propiedad;Activiades Deportivas;Fundaci¢n Municipal de Deportes;;
Centro Municipal La Overuela;Calle;La 41;12;47009;983358698;357958,83;4617129,91;Propiedad;Actividades de Participaci¢n Ciudadana;Ayuntamiento de Valladolid;;
Centro Municipal Las Flores;Calle;Margarita;16;47017;983214425;359027,21;4611697,07;Propiedad;Actividades de Participaci¢n Ciudadana;Ayuntamiento de Valladolid;;
Centro Municipal Puente Duero;Calle;Real;105;47152;983405133;350755,01;4601965,96;Propiedad;Actividades de Participaci¢n Ciudadana;Ayuntamiento de Valladolid;;
Centro Ocupacional de Personas con Discapacidad Intelectual;Calle;Montes y Mart°n Bar¢;11;47008;983426100;355276,04;4610091,97;Propiedad;Actividades Sociales;Ayuntamiento de Valladolid;;
Centro Regional de Participaci¢n Juvenil;Calle;Callej¢n de la alcoholera;12;47008;983274080;354499,61;4610131,55;Propiedad;Actividades de Participaci¢n Ciudadana;Ayuntamiento de Valladolid;;
Centro Territorial de Educaci¢n de Adultos;Calle;Gaspar de Tordesillas;1;47006;983239308;355094,53;4610598,15;Propiedad;Actividades Educativas;Ayuntamiento de Valladolid;;
Circuito de Footing Pinar de Antequera;Lugar;Pinar de Antequera;s/n;47153;983426306;353765,39;4605750,01;Propiedad;Activiades Deportivas;Fundaci¢n Municipal de Deportes;;
Comedor Social;Calle;Arzobispo JosÇ Delicado;8;47014;983344343;355401,98;4612196,78;Propiedad;Actividades Sociales;Ayuntamiento de Valladolid;;
Comisar°a de Distrito Cuarto;Ctra.;Rueda;29;47008;983426462;355008,92;4610037,84;Propiedad;Actividades de Seguridad y Movilidad;Ayuntamiento de Valladolid;;
Comisar°a de Distrito Primero;Paseo;Juan Carlos I;20;47013;983426429;356976,03;4610954,14;Propiedad;Actividades de Seguridad y Movilidad;Ayuntamiento de Valladolid;;
Comisar°a de Distrito Quinto;Avenida;Burgos;11;47009;983426380;355969,72;4614112,30;Propiedad;Actividades de Seguridad y Movilidad;Ayuntamiento de Valladolid;;
Comisar°a de Distrito Segundo;Avenida;Palencia;41;47010;983426428;357183,91;4613833,97;Propiedad;Actividades de Seguridad y Movilidad;Ayuntamiento de Valladolid;;
Comisar°a de Distrito Tercero;Calle;Federico Landrove Moi§o;4;47014;983426106;353723,22;4610723,07;Propiedad;Actividades de Seguridad y Movilidad;Ayuntamiento de Valladolid;;
Comisar°a Polic°a Nacional- Delicias;Calle;Gerona;16;47013;983456116;356494,35;4610358,48;Cedido por el Ayuntamiento;Comisar°a Polic°a Nacional- Delicias;Cedido a la D.G. Polic°a;;
Complejo de PiragÅismo Tener°as;Calle;Curtidores;s/n;47006;983426305;355701,59;4612336,06;Propiedad;Activiades Deportivas;Fundaci¢n Municipal de Deportes;;
Complejo de Tenis Covaresa;Calle;Federico Garc°a Lorca;1;47008;983249426;354313,91;4608667,93;Propiedad;Activiades Deportivas;Fundaci¢n Municipal de Deportes;;
Complejo Deportivo Barrio Espa§a;Calle;Conde Arteche;4;47010;983426305;357313,54;4614166,23;Propiedad;Activiades Deportivas;Fundaci¢n Municipal de Deportes;;
Complejo Deportivo Canterac;Paseo;Juan Carlos I;16;47013;983477904;356915,71;4610750,02;Propiedad;Activiades Deportivas;Fundaci¢n Municipal de Deportes;;
Complejo Deportivo Ciudad de Valladolid (Renedo);Ctra.;Renedo;KM. 3,7;47011;983251759;360690,07;4613381,36;Propiedad;Activiades Deportivas;Fundaci¢n Municipal de Deportes;;
Complejo Deportivo Giner de los R°os;Calle;Francisco Hern†ndez Pacheco;6;47014;983426305;354959,94;4612649,04;Propiedad;Activiades Deportivas;Fundaci¢n Municipal de Deportes;;
Complejo Deportivo Juan de Austria;Plaza;Juan de Austria;s/n;47006;630136856;355018,50;4611220,03;Propiedad;Activiades Deportivas;Fundaci¢n Municipal de Deportes;;
Complejo Deportivo la Victoria;Calle;Fuente el Sol;62;47009;983344019;355711,97;4614270,68;Propiedad;Activiades Deportivas;Fundaci¢n Municipal de Deportes;;
Complejo Deportivo las Norias de Santa Victoria;Calle;Azucarera;s/n;47008;648236803;355662,68;4610706,00;Propiedad;Activiades Deportivas;Fundaci¢n Municipal de Deportes;;
Complejo Deportivo Los Cerros;Calle;Oriental;8;47009;983333666;354868,66;4613281,66;Propiedad;Activiades Deportivas;Fundaci¢n Municipal de Deportes;;
Complejo Deportivo Parquesol;Calle;Profesor Adolfo Miaja de la Muela;2;47014;983352611;353838,37;4611587,01;Propiedad;Activiades Deportivas;Fundaci¢n Municipal de Deportes;;
Complejo Deportivo San Isidro;Calle;Santa Mar°a de la Cabeza;4;47012;649828162;358315,86;4611790,73;Propiedad;Activiades Deportivas;Fundaci¢n Municipal de Deportes;;
Complejo Deportivo San Pedro Regalado;Calle;Aguilera;8;47011;620974816;358135,18;4614363,71;Propiedad;Activiades Deportivas;Fundaci¢n Municipal de Deportes;;
Complejo Deportivo Soto de Medinilla;Calle;Valle de Ar†n;13;47010;617508422;357493,01;4614811,75;Propiedad;Activiades Deportivas;Fundaci¢n Municipal de Deportes;;
Complejo Motociclismo El Rebollar;Ctra.;Cigu§uela a Robladillo;s/n;47191;983426306;341503,43;4610390,74;Propiedad;Activiades Deportivas;Fundaci¢n Municipal de Deportes;;
C£pula del Milenio;Plaza ;Milenio;s/n;47014;983426245;355598,15;4612468,23;Propiedad;Actividades Culturales;Ayuntamiento de Valladolid;;
Dep¢sito Canino;Calle;Padre Bernardo Hoyos;s/n;47008;983472004;352886,15;4608234,11;Propiedad;Salud y Sanidad;Ayuntamiento de Valladolid;;
Dep¢sito Municipal de Veh°culos El Peral;Calle;Padre Bernardo Hoyos;2;47008;983276968;352674,19;4608573,02;Propiedad;Actividades de Seguridad y Movilidad;Ayuntamiento de Valladolid;;
Edificio Anexo al Museo de la Ciencia;Avenida;Salamanca;59;47014;983144330;354769,92;4611279,44;Propiedad;Actividades Culturales;Fundaci¢n Museo de la Ciencia;;
Edificio Polic°a Municipal;Avenida;Burgos;11;47009;983426150;355969,72;4614112,30;Propiedad;Actividades de Seguridad y Movilidad;Ayuntamiento de Valladolid;;
Edificio San Agust°n. Archivo Municipal;Calle;Santo Domingo de Guzm†n;8;47003;983363870;356000,98;4613165,67;Propiedad;Actividades Administrativas;Ayuntamiento de Valladolid;;
Escuela de M£sica Mariano de las Heras;Calle;P°o del R°o Hortega;13;47014;983209016;355059,20;4612523,36;Propiedad;Actividades Educativas;Ayuntamiento de Valladolid;;
"Escuela Infantil Municipal ""Campanilla""";Calle;Monasterio Sto. Toribio de LiÇbana;5;47015;983375777;354872,97;4612304,74;Propiedad;Actividades Educativas;Ayuntamiento de Valladolid;;
"Escuela Infantil Municipal ""Cascanueces""";Calle;Boedo;18;47008;983244927;354341,11;4611279,44;propiedad;Actividades Educativas;Ayuntamiento de Valladolid;;
"Escuela Infantil Municipal ""El Globo""";Calle;Alcarria;14;47010;983256718;357508,01;4614406,70;Cedido al Ayuntamiento;Actividades Educativas;Ayuntamiento de Valladolid;;
"Escuela Infantil Municipal ""Fantas°a""";Calle;Rastrojo;6;47014;983356549;354898,81;4612775,65;Propiedad;Actividades Educativas;Ayuntamiento de Valladolid;;
"Escuela Infantil Municipal ""La Cometa""";Calle;Arca Real;8;47013;983234285;356610,42;4611323,79;Propiedad;Actividades Educativas;Ayuntamiento de Valladolid;;
"Escuela Infantil Municipal ""Mafalda y Guille"" ";Calle;Remigio Caballero Toral;2;47014;983337828;354230,68;4611066,91;Propiedad;Actividades Educativas;Ayuntamiento de Valladolid;;
"Escuela Infantil Municipal ""Platero""";Calle;Ecuador;12;47014;983473085;354571,53;4610325,38;Propiedad;Actividades Educativas;Ayuntamiento de Valladolid;;
"Escuela Infantil Municipal ""Principito""";Paseo;Jard°n Bot†nico;2;47009;983356942;355743,72;4614518,43;Propiedad;Actividades Educativas;Ayuntamiento de Valladolid;;
"Escuela Infantil Municipal ""Tobog†n"" ";Calle;Doctor Moreno;7;47008;983223813;355135,73;4610067,94;Propiedad;Actividades Educativas;Ayuntamiento de Valladolid;;
Escuela Municipal de Formaci¢n y Animaci¢n Juvenil;Paseo;Zorrilla;101;47007;983134105;355233,18;4610453,61;Propiedad;Actividades Educativas;Ayuntamiento de Valladolid;;
Espacio Joven;Paseo;Zorrilla;101;47007;983134100;355233,18;4610453,61;Propiedad;Actividades Culturales;Ayuntamiento de Valladolid;;
Estaci¢n Depuradora de Aguas Residuales (EDAR);Cmno. ;Viejo de Simancas;239;47008;983236693;352122,30;4608381,73;Propiedad;Limpieza y Tratamiento de Residuos;Ayuntamiento de Valladolid;;
Estaci¢n Potabilizadora Las Eras;Calle;Las Eras;3;47009;983361893;355417,53;4613704,68;Propiedad;Limpieza y Tratamiento de Residuos;Ayuntamiento de Valladolid;;
Estaci¢n Potabilizadora San Isidro;Avda.;Soria;2;47012;983293256;357684,48;4611328,98;Propiedad;Limpieza y Tratamiento de Residuos;Ayuntamiento de Valladolid;;
Estadio JosÇ Zorrilla;Avenida;Mundial 82;s/n;47014;983360342;353513,67;4612009,86;Propiedad;Activiades Deportivas;Fundaci¢n Municipal de Deportes;;
Front¢n Barrio de Parquesol;Avenida;Salamanca;s/n;47014;983426306;354158,18;4610673,06;Propiedad;Activiades Deportivas;Fundaci¢n Municipal de Deportes;;
Galeria alimentaci¢n La Rondilla;calle;Las Moradas;10;47010;983252836;356648,89;4613670,64;Propiedad;Actividades Comerciales;Ayuntamiento de Valladolid;;
Galeria alimentaci¢n Lopez G¢mez-I;Calle;L¢pez G¢mez;17;47002;983426100;356687,55;4613731,90;Propiedad;Actividades Comerciales;Ayuntamiento de Valladolid;;
Galeria alimentaci¢n Lopez G¢mez-II;Calle;L¢pez G¢mez;26;47002;983301762;356772,40;4613811,92;Propiedad;Actividades Comerciales;Ayuntamiento de Valladolid;;
Gimnasio San Pedro Regalado;Calle;Aguilera;6;47011;983251372;358117,45;4614316,35;Propiedad;Activiades Deportivas;Fundaci¢n Municipal de Deportes;;
Hogar socio-cultural Cauce de BelÇn;Plaza;Nieves;14;47011;983310266;357939,67;4613423,11;Propiedad;Actividades de Participaci¢n Ciudadana;Ayuntamiento de Valladolid;;
Imprenta Municipal;Calle;Sementera;s/n;47009;983426003;355271,46;4613618,77;Propiedad;Actividades Administrativas;Ayuntamiento de Valladolid;;
Instalaciones de la Empresa Municipal de Transporte (AUVASA);Calle;Bronce ;3;47008;983457720;355372,15;4608809,07;Propiedad;Actividades de Seguridad y Movilidad;Empresa Municipal de Transporte (AUVASA);;
Instalaciones de Petanca Pajarillos;Calle;Tordo;s/n;47012;620125618;358066,84;4612528,42;Propiedad;Activiades Deportivas;Fundaci¢n Municipal de Deportes;;
Laboratorio de las Artes;Paseo;Zorrilla;101;47007;983132228;355158,99;4610426,94;Propiedad;Actividades Culturales;Fundaci¢n Municipal de Cultura;;
Local Asociaci¢n PROCOMAR Valladolid;Calle;Acequia;2;47010;983309915;357111,68;4614182,81;Propiedad;Actividades Sociales;Ayuntamiento de Valladolid;;
Local Banco de Alimentos;Cmno. ;Viejo de Simancas;10;47008;983275300;354698,52;4610113,64;Propiedad;Actividades Sociales;Ayuntamiento de Valladolid;;
Local de Participaci¢n Ciudadana;Calle;Angel Garc°a;1;47011;983308541;357801,71;4612811,81;Alquiler;Actividades de Participaci¢n Ciudadana;Ayuntamiento de Valladolid;;
Local de Participaci¢n Ciudadana;Calle;Arado;3;47014;983376345;354722,69;4612729,23;Alquiler;Actividades de Participaci¢n Ciudadana;Ayuntamiento de Valladolid;;
Local de Participaci¢n Ciudadana;Paseo;Arco Ladrillo;4;47007;983227561;355867,03;4611863,61;Alquiler;Actividades de Participaci¢n Ciudadana;Ayuntamiento de Valladolid;;
Local de Participaci¢n Ciudadana;Calle;Cabrera;1;47008;983131174;354430,23;4609369,02;Alquiler;Actividades de Participaci¢n Ciudadana;Ayuntamiento de Valladolid;;
Local de Participaci¢n Ciudadana;Calle;Eusebio Gonz†lez Su†rez;1;47014;983340536;353908,87;4610830,55;Alquiler;Actividades de Participaci¢n Ciudadana;Ayuntamiento de Valladolid;;
Local de Participaci¢n Ciudadana;Calle;Felipe S†nchez Rom†n;11;47008;983244929;354315,24;4608341,57;Alquiler;Actividades de Participaci¢n Ciudadana;Ayuntamiento de Valladolid;;
Local de Participaci¢n Ciudadana;Calle;Garc°a Lesmes;3;47004;983426100;356661,96;4612254,03;Alquiler;Actividades de Participaci¢n Ciudadana;Ayuntamiento de Valladolid;;
Local de Participaci¢n Ciudadana;Calle;Industrias;17;47005;983135512;357328,54;4612344,90;Alquiler;Actividades de Participaci¢n Ciudadana;Ayuntamiento de Valladolid;;
Local de Participaci¢n Ciudadana;Calle;Levante;3;47012;636854076;356999,68;4611636,61;Alquiler;Actividades de Participaci¢n Ciudadana;Ayuntamiento de Valladolid;;
Local de Participaci¢n Ciudadana;Calle;Lope de Vega;2;47010;983250656;356588,80;4613709,64;Alquiler;Actividades de Participaci¢n Ciudadana;Ayuntamiento de Valladolid;;
Local de Participaci¢n Ciudadana;Calle;Madre de Dios;15 bajo;47011;983310470;357215,71;4613516,51;Alquiler;Actividades de Participaci¢n Ciudadana;Ayuntamiento de Valladolid;;
Local de Participaci¢n Ciudadana;Calle;MarquÇs de Santillana;4 bajo D;47010;983251090;356864,98;4613897,78;Alquiler;Actividades de Participaci¢n Ciudadana;Ayuntamiento de Valladolid;;
Local de Participaci¢n Ciudadana;Calle;Mateo Seoane Sobral;28;47014;983376647;353846,11;4611088,72;Alquiler;Actividades de Participaci¢n Ciudadana;Ayuntamiento de Valladolid;;
Local de Participaci¢n Ciudadana;Calle;Pel°cano;10;47012;983309664;357786,45;4612139,11;Alquiler;Actividades de Participaci¢n Ciudadana;Ayuntamiento de Valladolid;;
Local de Participaci¢n Ciudadana;Avenida;Ram¢n Pradera;16;47009;983339765;355515,85;4613479,77;Alquiler;Actividades de Participaci¢n Ciudadana;Ayuntamiento de Valladolid;;
Local de Participaci¢n Ciudadana;Ca§ada;Real;30;47152;983249831;350878,25;4602425,09;Alquiler;Actividades de Participaci¢n Ciudadana;Ayuntamiento de Valladolid;;
Local de Participaci¢n Ciudadana;Avenida;Reyes Cat¢licos;1;47006;983339063;355375,25;4611913,41;Alquiler;Actividades de Participaci¢n Ciudadana;Ayuntamiento de Valladolid;;
Local de Participaci¢n Ciudadana;Calle;Sauco;2;47009;983344881;356017,53;4615000,17;Alquiler;Actividades de Participaci¢n Ciudadana;Ayuntamiento de Valladolid;;
Local de Participaci¢n Ciudadana;Calle;Veinte Metros;34;47005;983302435;357324,94;4612474,91;Alquiler;Actividades de Participaci¢n Ciudadana;Ayuntamiento de Valladolid;;
Local de Participaci¢n Ciudadana;Calle;Villafrech¢s;10;47008;983226411;353994,21;4609219,81;Alquiler;Actividades de Participaci¢n Ciudadana;Ayuntamiento de Valladolid;;
Local de Participaci¢n Ciudadana;Calle;Zapico;8 y 10;47003;615443269;356270,97;4612997,08;Alquiler;Actividades de Participaci¢n Ciudadana;Ayuntamiento de Valladolid;;
Local de Participaci¢n Ciudadana;Paseo;Zorrilla;94;47006;983275429;355368,21;4611437,30;Alquiler;Actividades de Participaci¢n Ciudadana;Ayuntamiento de Valladolid;;
Local de Participaci¢n Ciudadana;Paseo;Zorrilla;137;47008;983236834;354890,57;4610055,21;Alquiler;Actividades de Participaci¢n Ciudadana;Ayuntamiento de Valladolid;;
Local de Participaci¢n Ciudadana;Calle;Acacias;5;47153;983244135;353788,43;4605656,09;Propiedad;Actividades de Participaci¢n Ciudadana;Ayuntamiento de Valladolid;;
Local de Participaci¢n Ciudadana;Paseo;Almendros;s/n;47014;983426100;354475,90;4611143,11;Propiedad;Actividades de Participaci¢n Ciudadana;Ayuntamiento de Valladolid;;
Local de Participaci¢n Ciudadana;Calle;AndrÇs de la Orden;8;47003;983305148;357021,03;4612998,39;Propiedad;Actividades de Participaci¢n Ciudadana;Ayuntamiento de Valladolid;;
Local de Participaci¢n Ciudadana;Calle;Aurora;4;47007;983220128;355260,13;4610950,79;Propiedad;Actividades de Participaci¢n Ciudadana;Ayuntamiento de Valladolid;;
Local de Participaci¢n Ciudadana;Paseo;Cauce;75D bajo 1;47011;983426100;357760,36;4612645,63;Propiedad;Actividades de Participaci¢n Ciudadana;Ayuntamiento de Valladolid;;
Local de Participaci¢n Ciudadana;Calle;Ecuador;17;47014;983271907;354627,83;4610418,66;Propiedad;Actividades de Participaci¢n Ciudadana;Ayuntamiento de Valladolid;;
Local de Participaci¢n Ciudadana;Calle;Epifan°a;4;47011;983310084;357780,59;4613277,37;Propiedad;Actividades de Participaci¢n Ciudadana;Ayuntamiento de Valladolid;;
Local de Participaci¢n Ciudadana;Calle;Fray Luis de Le¢n;22 local 1;47002;983426100;356766,93;4612611,31;Propiedad;Actividades de Participaci¢n Ciudadana;Ayuntamiento de Valladolid;;
Local de Participaci¢n Ciudadana;Calle;Fray Luis de Le¢n;22 local 2;47002;983426100;356766,93;4612611,31;Propiedad;Actividades de Participaci¢n Ciudadana;Ayuntamiento de Valladolid;;
Local de Participaci¢n Ciudadana;Paseo;Jard°n Bot†nico;12;47009;983426100;356066,92;4615071,94;Propiedad;Actividades de Participaci¢n Ciudadana;Ayuntamiento de Valladolid;;
Local de Participaci¢n Ciudadana;Calle;Juan Mambrilla;2;47003;983426100;356715,83;4613008,41;Propiedad;Actividades de Participaci¢n Ciudadana;Ayuntamiento de Valladolid;;
Local de Participaci¢n Ciudadana;Calle;Margarita;16;47017;983214435;359027,21;4611697,07;Propiedad;Actividades de Participaci¢n Ciudadana;Ayuntamiento de Valladolid;;
Local de Participaci¢n Ciudadana;Plaza;MarquÇs de Suances;2;47010;983258805;357384,91;4614104,78;Propiedad;Actividades de Participaci¢n Ciudadana;Ayuntamiento de Valladolid;;
Local de Participaci¢n Ciudadana;Calle;Mart°n Lutero King;4;47013;983227351;356311,96;4611149,77;Propiedad;Actividades de Participaci¢n Ciudadana;Ayuntamiento de Valladolid;;
Local de Participaci¢n Ciudadana;Calle;Monasterio Sta. Mar°a de la Vid;6 local 1;47015;626137186;354887,71;4612212,86;Propiedad;Actividades de Participaci¢n Ciudadana;Ayuntamiento de Valladolid;;
Local de Participaci¢n Ciudadana;Calle;Monasterio Sta. Mar°a de la Vid;6 local 2;47015;633197990;354887,71;4612212,86;Propiedad;Actividades de Participaci¢n Ciudadana;Ayuntamiento de Valladolid;;
Local de Participaci¢n Ciudadana;Calle;Nelson Mandela;7, Esc. A,bajo;47013;983226695;356273,74;4611163,55;Propiedad;Actividades de Participaci¢n Ciudadana;Ayuntamiento de Valladolid;;
Local de Participaci¢n Ciudadana;Calle;Nelson Mandela;7, Esc. C,bajo;47013;983226695;356273,74;4611163,55;Propiedad;Actividades de Participaci¢n Ciudadana;Ayuntamiento de Valladolid;;
Local de Participaci¢n Ciudadana;Plaza;Nieves;14;47011;983251975;357939,67;4613423,11;Propiedad;Actividades de Participaci¢n Ciudadana;Ayuntamiento de Valladolid;;
Local de Participaci¢n Ciudadana;Plaza;Nieves;15;47011;983426100;357926,23;4613436,25;Propiedad;Actividades de Participaci¢n Ciudadana;Ayuntamiento de Valladolid;;
Local de Participaci¢n Ciudadana;Calle;Olmo;63;47010;983426100;357169,45;4613985,78;Propiedad;Actividades de Participaci¢n Ciudadana;Ayuntamiento de Valladolid;;
Local de Participaci¢n Ciudadana;Calle;Pato ;3;47012;983426100;357597,20;4612192,94;Propiedad;Actividades de Participaci¢n Ciudadana;Ayuntamiento de Valladolid;;
Local de Participaci¢n Ciudadana;Calle;Peral;13;47007;983426100;355499,98;4611456,81;Propiedad;Actividades de Participaci¢n Ciudadana;Ayuntamiento de Valladolid;;
Local de Participaci¢n Ciudadana;Calle;Puente La Reina;10 bajo 3;47011;983426100;357876,38;4612747,21;Propiedad;Actividades de Participaci¢n Ciudadana;Ayuntamiento de Valladolid;;
Local de Participaci¢n Ciudadana;Calle;San Agust°n;1;47003;983426171;355966,99;4613224,11;Propiedad;Actividades de Participaci¢n Ciudadana;Ayuntamiento de Valladolid;;
Local de Participaci¢n Ciudadana;Calle;Santa Mar°a de la Cabeza;13;47012;983426100;358223,06;4611740,54;Propiedad;Actividades de Participaci¢n Ciudadana;Ayuntamiento de Valladolid;;
Local de Participaci¢n Ciudadana;Plaza;Siete Partidas ;2;47009;983426100;355601,31;4611465,96;Propiedad;Actividades de Participaci¢n Ciudadana;Ayuntamiento de Valladolid;;
Local de Participaci¢n Ciudadana;Plaza;Solidaridad;4;47009;983380500;355535,79;4614015,21;Propiedad;Actividades de Participaci¢n Ciudadana;Ayuntamiento de Valladolid;;
Local de Participaci¢n Ciudadana;Calle;Trepador;1;47012;983391829;357433,65;4611826,52;Propiedad;Actividades de Participaci¢n Ciudadana;Ayuntamiento de Valladolid;;
Local de Participaci¢n Ciudadana;Plaza;Viejo Coso;6 y 7;47003;983357706;356220,47;4613309,90;Propiedad;Actividades de Participaci¢n Ciudadana;Ayuntamiento de Valladolid;;
Local de Participaci¢n Ciudadana;Calle;Villancico;7;47011;983426100;357918,34;4613402,71;Propiedad;Actividades de Participaci¢n Ciudadana;Ayuntamiento de Valladolid;;
Local de Participaci¢n Ciudadana;Calle;Villancico;9;47011;983426100;357940,34;4613399,21;Propiedad;Actividades de Participaci¢n Ciudadana;Ayuntamiento de Valladolid;;
Local Dep¢sito de bienes y muebles abandonados;Calle;Madre de Dios;4;47011;983426100;357103,80;4613426,09;Propiedad;Actividades Administrativas;Ayuntamiento de Valladolid;;
Local Servicio Limpieza;Calle;Garc°a Lesmes;3;47004;983352581;356662,71;4612252,11;Alquiler;Limpieza y Tratamiento de Residuos;Ayuntamiento de Valladolid;;
Mercado del Campillo;Calle;Panaderos;1;47004;983200754;356563,16;4612328,51;Propiedad;Actividades Comerciales;Ayuntamiento de Valladolid;;
Mercado del Val;Calle;Sandoval;2;47003;983330219;356178,41;4612961,98;Propiedad;Actividades Comerciales;Ayuntamiento de Valladolid;;
Mercado Delicias;Paseo;San Vicente ;12;47013;983293523;357136,12;4611924,34;Propiedad;Actividades Comerciales;Ayuntamiento de Valladolid;;
MERCAOLID;Calle;Euro;24;47009;983360880;356991,64;4615141,43;Concesi¢n Municipal;Actividades Comerciales;Ayuntamiento de Valladolid;;
Museo de la Ciencia;Avenida;Salamanca;59;47014;983144300;354720,86;4611237,25;Propiedad;Actividades Culturales;Fundaci¢n Museo de la Ciencia;;
Museo del Toro;Calle;Peral;13;47007;983271509;355499,98;4611456,81;Propiedad;Actividades Culturales;Fundaci¢n Municipal de Cultura;;
Museo Patio Herreriano;Calle;Jorge GuillÇn;6;47003;983362771;356033,48;4613082,40;Propiedad;Actividades Culturales;Fundaci¢n Patio Herreriano;;
Oficina de Objetos Hallados;Avenida;Burgos;11;47009;983426088;355969,72;4614112,30;Propiedad;Actividades Administrativas;Ayuntamiento de Valladolid;;
Oficina Municipal Casa del Barco;Paseo;del Hospital Militar;11bis;47007;983466218;355995,74;4611678,97;Propiedad;Actividades Administrativas;Ayuntamiento de Valladolid;;
Oficina Municipal de atenci¢n al consumidor-OMIC;Calle;Hostieros;1;47004;983303944;356606,12;4612313,87;Propiedad;Actividades Administrativas;Ayuntamiento de Valladolid;;
Oficina Municipal de San Benito;Calle;San Benito;1;47003;983426100;356090,92;4612996,33;Propiedad;Actividades Administrativas;Ayuntamiento de Valladolid;;
Oficinas de Gesti¢n de Ingresos y Recaudaci¢n Municipal;Plaza;Santa Ana;6;47001;983426426;355974,66;4612709,63;Propiedad;Actividades Administrativas;Ayuntamiento de Valladolid;;
Oficinas Sociedad Municipal de Suelo y Vivienda de Valladolid (VIVA);Plaza;Rinconada;5;47001;983370384;356105,76;4612960,29;Propiedad;Actividades Administrativas;Sociedad Municipal de Suelo y Vivienda de Valladolid (VIVA);;
Pabell¢n Polideportivo Crist¢bal Colon;Calle;CigÅe§a;26;47012;983426305;357780,72;4612237,22;Propiedad;Activiades Deportivas;Fundaci¢n Municipal de Deportes;;
Pabell¢n Polideportivo Gonzalo de Berceo;Calle;Mirabel;23;47010;626341552;356504,90;4614200,17;Propiedad;Activiades Deportivas;Fundaci¢n Municipal de Deportes;;
Pabell¢n Polideportivo Gregorio Fern†ndez;Calle;India;3;47007;618509452;355799,92;4611493,74;Propiedad;Activiades Deportivas;Fundaci¢n Municipal de Deportes;;
Pabell¢n Polideportivo Huerta del Rey;Calle;Joaqu°n Velasco Mart°n;9;47014;983426305;355299,76;4612308,24;Propiedad;Activiades Deportivas;Fundaci¢n Municipal de Deportes;;
Pabell¢n Polideportivo La Rubia;Paseo;Zorrilla;220;47008;620319816;354639,36;4609940,66;Propiedad;Activiades Deportivas;Fundaci¢n Municipal de Deportes;;
Pabell¢n Polideportivo La Victoria;Calle;Comuneros de Castilla;2;47009;609614864;355488,13;4614071,50;Propiedad;Activiades Deportivas;Fundaci¢n Municipal de Deportes;;
Pabell¢n Polideportivo Lalo Garc°a;Calle;Enrique Cubero;7;47014;660325806;353019,71;4611004,15;Propiedad;Activiades Deportivas;Fundaci¢n Municipal de Deportes;;
Pabell¢n Polideportivo Narciso Alonso CortÇs;Paseo;Juan Carlos I;84;47012;983426305;357834,96;4611866,01;Propiedad;Activiades Deportivas;Fundaci¢n Municipal de Deportes;;
Pabell¢n Polideportivo Pajarillos;Calle;Escribano;7A;47011;620318496;358426,04;4612532,23;Propiedad;Activiades Deportivas;Fundaci¢n Municipal de Deportes;;
Pabell¢n Polideportivo Pilar Fern†ndez Valderrama;Calle;Boedo;7;47008;648236804;354279,68;4609046,99;Propiedad;Activiades Deportivas;Fundaci¢n Municipal de Deportes;;
Pabell¢n Polideportivo Pisuerga;Plaza;MÇjico;1;47014;983476166;354742,28;4610544,53;Propiedad;Activiades Deportivas;Fundaci¢n Municipal de Deportes;;
Pabell¢n Polideportivo Ponce de Le¢n;Calle;Padre Francisco Su†rez;14;47006;983426305;355319,67;4611804,78;Propiedad;Activiades Deportivas;Fundaci¢n Municipal de Deportes;;
Pabell¢n Polideportivo Rondilla;Calle;Cardenal Torquemada;63;47010;680441148;357111,64;4614321,37;Propiedad;Activiades Deportivas;Fundaci¢n Municipal de Deportes;;
Pabell¢n Polideportivo Tierno Galv†n;Calle;Manuel Silvela;s/n;47014;983426305;353773,08;4611122,82;Propiedad;Activiades Deportivas;Fundaci¢n Municipal de Deportes;;
Parque Cultural Talleres del Pinar;Lugar;Pinar de Antequera;s/n;47153;983340058;353157,25;4606061,86;Propiedad;Actividades Culturales;Fundaci¢n Talleres del Pinar;;
Parque de Bomberos Canterac;Paseo;Juan Carlos I;20;47013;983476904;356976,03;4610954,14;propiedad;Actividades de Seguridad y Movilidad;Ayuntamiento de Valladolid;;
Parque de Bomberos Las Eras;Calle;Mieses;1;47009;983426023;355232,21;4613697,96;Propiedad;Actividades de Seguridad y Movilidad;Ayuntamiento de Valladolid;;
Parque Servicios-Protecci¢n Civil;Calle;Mieses;1;47009;983426147;355232,21;4613697,96;Propiedad;Actividades de Seguridad y Movilidad;Ayuntamiento de Valladolid;;
