DENOMINACION;LOCALIZACION_TIPO DE VIA;LOCALIZACION_DENOMINACION DE LA  VIA;LOCALIZACION_NUMERO;C‡DIGO POSTAL;TELêFONO;COORDENADA X;COORDENADA Y;SIUACI‡N INMUEBLE;TIPO DE USO;ENTIDAD RESPONSABLE;;
C.P. Ignacio Mart°n Bar¢;Calle;Juan de Valladolid;10;47014;983354121;353908,08;4611436,78;Propiedad;Actividades Educativas;Ayuntamiento de Valladolid;;
C.P. Isabel La Cat¢lica ;Plaza;San Nicol†s;19;47003;983350218;356036,75;4613551,80;propiedad;Actividades Educativas;Ayuntamiento de Valladolid;;
C.P. Jorge GuillÇn ;Calle;Argentina;2;47014;983688083;354288,93;4610332,63;Propiedad;Actividades Educativas;Ayuntamiento de Valladolid;;
C.P. JosÇ M¶ Gabriel y Gal†n ;Paseo;Cauce;71;47005;983299322;357607,29;4612862,82;Propiedad;Actividades Educativas;Ayuntamiento de Valladolid;;
C.P. Entre R°os;Calle;Soto;64;47010;983252780;356762,19;4614129,68;Propiedad;Actividades Educativas;Ayuntamiento de Valladolid;;
C.P. JosÇ Zorrilla;Calle;Pinzones;4A;47010;983255934;357165,69;4614039,94;Propiedad;Actividades Educativas;Ayuntamiento de Valladolid;;
C.P. Le¢n Felipe ;Calle;Mirabel;9A;47003;983356168;356308,41;4613771,69;Propiedad;Actividades Educativas;Ayuntamiento de Valladolid;;
C.P. M¶ Teresa I§igo del Toro;Calle;Morena;11;47009;983341028;354966,76;4613495,29;Propiedad;Actividades Educativas;Ayuntamiento de Valladolid;;
C.P. Mac°as Picavea;Calle;Madre de Dios;1;47011;983251385;357070,75;4613432,84;Propiedad;Actividades Educativas;Ayuntamiento de Valladolid;;
C.P. Manuel BartolomÇ de Coss°o ;Calle;Eusebio Gonz†lez Su†rez;47;47014;983355920;353502,16;4610728,23;Propiedad;Actividades Educativas;Ayuntamiento de Valladolid;;
C.P. Mar°a de Molina;Calle;Joaqu°n Velasco Mart°n;17;47014;983343226;355159,77;4612044,78;Propiedad;Actividades Educativas;Ayuntamiento de Valladolid;;
C.P. Marina Escobar;Calle;Eusebio Gonz†lez Su†rez;45;47014;983355920;353501,66;4610727,85;Propiedad;Actividades Educativas;Ayuntamiento de Valladolid;;
C.P. Miguel de Cervantes;Calle;Hermanitas de la Cruz;2A;47013;983230376;356578,86;4611272,84;Propiedad;Actividades Educativas;Ayuntamiento de Valladolid;;
C.P. Miguel Delibes;Paseo ;Obreg¢n;1;47009;983343699;355874,41;4614395,48;Propiedad;Actividades Educativas;Ayuntamiento de Valladolid;;
C.P. Miguel Hern†ndez;Calle;Tordo;7;47012;983303369;358018,95;4612534,51;Propiedad;Actividades Educativas;Ayuntamiento de Valladolid;;
C.P. Miguel Iscar;Calle;Cantabria;4;47010;983257590;357400,03;4614223,77;Propiedad;Actividades Educativas;Ayuntamiento de Valladolid;;
C.P. Narciso Alonso CortÇs;Paseo;Juan Carlos I;84;47012;983299171;357901,31;4611974,21;Propiedad;Actividades Educativas;Ayuntamiento de Valladolid;;
C.P. Nuestra Se§ora del Duero;Calle;Real;115;47152;983405136;350721,37;4601894,63;Propiedad;Actividades Educativas;Ayuntamiento de Valladolid;;
C.P. Pablo Picasso;Paseo;Juan Carlos I;26;47013;983270018;357140,87;4611293,94;Propiedad;Actividades Educativas;Ayuntamiento de Valladolid;;
C.P. Parque Alameda;Calle;Boedo;13;47008;983245329;354219,05;4608997,63;Propiedad;Actividades Educativas;Ayuntamiento de Valladolid;;
C.P. Pedro G¢mez del Bosque;Calle;Manuel L¢pez Antol°;10;47009;983379574;355394,33;4614137,31;Propiedad;Actividades Educativas;Ayuntamiento de Valladolid;;
C.P. Ponce de Le¢n;Calle;Padre Francisco Su†rez;14;47006;983234587;355388,22;4611822,67;Propiedad;Actividades Educativas;Ayuntamiento de Valladolid;;
C.P. Profesor Tierno Galv†n;Calle;Manuel Silvela;3;47014;983344567;353707,24;4611203,57;Propiedad;Actividades Educativas;Ayuntamiento de Valladolid;;
C.P. San Fernando;Calle;Padre Claret;11;47004;983299533;357095,88;4612083,26;Propiedad;Actividades Educativas;Ayuntamiento de Valladolid;;
C.P. Vicente Aleixandre  ;Calle;Doctor Moreno;7;47008;983223813;355135,73;4610067,94;Propiedad;Actividades Educativas;Ayuntamiento de Valladolid;;
C.P. Vicente Aleixandre I;Paseo;Zorrilla;186;47006;983220351;354969,94;4610300,29;Propiedad;Actividades Educativas;Ayuntamiento de Valladolid;;
C.P. Vicente Aleixandre II;Calle;Doctor Moreno;7;47008;983270672;355135,73;4610067,94;Propiedad;Actividades Educativas;Ayuntamiento de Valladolid;;
Campo de F£tbol 7 Mercaolid;Avenida;Burgos;s/n;47009;983426305;356692,67;4615355,78;Propiedad;Activiades Deportivas;Fundaci¢n Municipal de Deportes;;
Campo de F£tbol Arturo Eyries;Plaza;Cuba;s/n;47014;610261251;354737,62;4610437,68;Propiedad;Activiades Deportivas;Fundaci¢n Municipal de Deportes;;
Campo de F£tbol Don Bosco;Calle;Pajarillos;1;47012;659065457;358221,87;4612109,17;Propiedad;Activiades Deportivas;Fundaci¢n Municipal de Deportes;;
Campo de F£tbol Hermanos Lesmes;Calle;Naranjo;s/n;47008;983473408;353687,79;4608567,65;Propiedad;Activiades Deportivas;Fundaci¢n Municipal de Deportes;;
Campo de F£tbol Puente Duero;Calle;Real;2B;47152;983426305;350966,29;4602793,85;Propiedad;Activiades Deportivas;Fundaci¢n Municipal de Deportes;;
Campo de F£tbol Ribera de Castilla;Plaza;Ribera de Castilla;4A;47010;983264625;356945,89;4614369,40;Propiedad;Activiades Deportivas;Fundaci¢n Municipal de Deportes;;
Campo de F£tbol y Pista Polideportiva El Tomillo;Ctra.;Renedo;KM. 0,3;47011;615359308;358513,02;4613582,26;Propiedad;Activiades Deportivas;Fundaci¢n Municipal de Deportes;;
Campo de Tiro El Rebollar;Ctra.;Cigu§uela a Robladillo;s/n;47191;983362156;341632,37;4610492,56;Propiedad;Activiades Deportivas;Fundaci¢n Municipal de Deportes;;
Campos de F£tbol El Palero;Avenida;Medina del Campo;s/n;47014;983471300;354743,45;4610815,37;Propiedad;Activiades Deportivas;Fundaci¢n Municipal de Deportes;;
Campos de F£tbol El Pinar;Ctra.;Rueda;s/n;47008;983426306;353611,53;4605513,96;Propiedad;Activiades Deportivas;Fundaci¢n Municipal de Deportes;;
Campos de F£tbol Emilio Moroll¢n (Nuevo Recinto Ferial);Avenida;Mundial 82;s/n;47014;983426305;353364,42;4612463,83;Propiedad;Activiades Deportivas;Fundaci¢n Municipal de Deportes;;
Campos de F£tbol Felic°simo de la Fuente;Calle;Daniel del Olmo Gonz†lez;s/n;47008;983279808;355188,31;4610260,05;Propiedad;Activiades Deportivas;Fundaci¢n Municipal de Deportes;;
Campos de F£tbol Finca de Canterac;Paseo;Juan Carlos I;28B;47013;983396952;357403,37;4611395,69;Propiedad;Activiades Deportivas;Fundaci¢n Municipal de Deportes;;
Campos de F£tbol Jose Luis Saso;Calle;Mart°n Santos Romero;s/n;47016;983375847;352782,35;4611567,92;Propiedad;Activiades Deportivas;Fundaci¢n Municipal de Deportes;;
Campos de F£tbol Luis Minguela;Calle;Tierra;s/n;47009;639431938;355850,86;4614263,84;Propiedad;Activiades Deportivas;Fundaci¢n Municipal de Deportes;;
Campos de F£tbol Parque de Canterac;Parque;Canterac;s/n;47012;657231573;357104,46;4610745,66;Propiedad;Activiades Deportivas;Fundaci¢n Municipal de Deportes;;
Campos de F£tbol Paula L¢pez;Ctra.;Rueda;s/n;47008;983279808;354992,25;4609217,99;Propiedad;Activiades Deportivas;Fundaci¢n Municipal de Deportes;;
Casa Consistorial;Plaza;Mayor;1;47001;983426100;356169,66;4612831,34;Propiedad;Actividades Administrativas;Ayuntamiento de Valladolid;;
Casa de la India;Calle;Puente Colgante;11;47007;983228711;355811,82;4611572,20;Propiedad;Actividades Culturales;Fundaci¢n Casa de la India;;
Casa del Deporte;Avenida;Vicente Mortes;35;47014;690367324;355081,56;4613149,10;Propiedad;Activiades Deportivas;Fundaci¢n Municipal de Deportes;;
Casa del Peregrino;Cmno. ;Aniago;s/n;47152;678318188;350436,40;4601835,00;Propiedad;Actividades Sociales;Ayuntamiento de Valladolid;;
Casa Museo Col¢n;Calle;Col¢n;1;47005;983291353;357057,92;4612929,95;Propiedad;Actividades Culturales;Fundaci¢n Municipal de Cultura;;
Casa Museo Zorrilla;Calle;Fray Luis de Granada;1;47003;983426266;356596,14;4613271,48;Propiedad;Actividades Culturales;Fundaci¢n Municipal de Cultura;;
Casa Revilla;Calle;Torrecilla;5;47003;983426100;356624,22;4613246,73;Propiedad;Actividades Culturales;Fundaci¢n Municipal de Cultura;;
CEAS Arturo Eyries;Calle;Ecuador;2;47014;983457052;354599,84;4610502,34;Cedido al Ayuntamiento;Actividades Administrativas;Ayuntamiento de Valladolid;;
CEAS Barrio Espa§a-SanPedro Regalado;Calle;Batuecas;24;47010;983265446;357363,99;4614308,69;Propiedad;Actividades Administrativas;Ayuntamiento de Valladolid;;
CEAS BelÇn-Pilarica;Calle;Puente La Reina;1;47011;983396577;357818,81;4612792,33;Propiedad;Actividades Administrativas;Ayuntamiento de Valladolid;;
CEAS Campillo;Calle;Hostieros;1;47004;983305525;356606,12;4612313,87;Propiedad;Actividades Administrativas;Ayuntamiento de Valladolid;;
CEAS Campo Grande;Calle;Puente Colgante;42;47006;983360005;355310,96;4611563,43;Alquiler;Actividades Administrativas;Ayuntamiento de Valladolid;;
CEAS Centro;Calle;San Agust°n;1;47003;983333288;355966,99;4613224,10;Propiedad;Actividades Administrativas;Ayuntamiento de Valladolid;;
CEAS Delicias-Argales;Calle;Monse§or Oscar Romero;3;47013;983232689;356296,68;4611201,74;Propiedad;Actividades Administrativas;Ayuntamiento de Valladolid;;
CEAS Delicias-Canterac;Paseo;Juan Carlos I;20;47013;983472111;356976,03;4610954,14;Propiedad;Actividades Administrativas;Ayuntamiento de Valladolid;;
CEAS Hospital;Calle;Madre de Dios;20;47011;983310465;357343,61;4613562,08;Propiedad;Actividades Administrativas;Ayuntamiento de Valladolid;;
CEAS Huerta del Rey-Barrio Gir¢n;Calle;P°o del R°o Hortega;13;47014;983363515;355059,20;4612523,36;Propiedad;Actividades Administrativas;Ayuntamiento de Valladolid;;
CEAS Juan de Austria Zona Sur;Plaza;Juan de Austria;11;47006;983426336;355203,76;4611242,86;Propiedad;Actividades Administrativas;Ayuntamiento de Valladolid;;
CEAS La Rubia Zona Sur;Paseo;Zorrilla;101;47007;983130030;355233,18;4610453,61;Propiedad;Actividades Administrativas;Ayuntamiento de Valladolid;;
CEAS La Victoria;Calle;San Sebasti†n;7;47009;983424200;355902,72;4614088,16;Propiedad;Actividades Administrativas;Ayuntamiento de Valladolid;;
CEAS Pajarillos Altos ;Calle ;Margarita;16;47012;983143421;359027,21;4611697,07;Propiedad;Actividades Administrativas;Ayuntamiento de Valladolid;;
CEAS Pajarillos Bajos;Plaza;Bi¢logo JosÇ Antonio Valverde;1;47012;983143421;357635,03;4611956,91;Propiedad;Actividades Administrativas;Ayuntamiento de Valladolid;;
CEAS Parquesol;Calle;Eusebio Gonz†lez Su†rez;69;47014;983376670;353417,88;4610860,27;Propiedad;Actividades Administrativas;Ayuntamiento de Valladolid;;
CEAS Puente Colgante;Calle;P°o del R°o Hortega;13;47014;983363515;355059,20;4612523,36;Propiedad;Actividades Administrativas;Ayuntamiento de Valladolid;;
CEAS Rondilla-Santa Clara I;Calle;Cardenal Torquemada;52;47010;983266000;356840,18;4614090,73;Alquiler;Actividades Administrativas;Ayuntamiento de Valladolid;;
