POLÍGON,ANY D'URBANITZACIÓ,EXTENSIÓ (Ha),ACTIVITATS ECONÒMIQUES,NOMBRE DE TREBALLADORS,FACTURACIÓ,BUS URBÀ,APARCAMENT PER COTXES,APARCAMENTS PER CAMIONS,NOMBRE DE BARS,NOMBRE D'HOTELS,NOMBRE DE BENZINERES,NOMBRE DE RENTATS DE VEHICLES,NOMBRE DE CONTENIDORS PÚBLICS DE REBUIG,NOMBRE DE CONTENIDORS PÚBLICS DE RECICLATGE,AIGUA,GAS,ELECTRICITAT,CLAVEGUERAM,DEPURADORA,VIALS,ENLLUMENAT ,OPERADORS DE TELECOMUNICACIONS AMB SERVEI AL POLÍGON,FIBRA ÒPTICA
Jordi Camp,01/01/1973 12:00:00 AM,46.04,120,2274,€1232000000.00,L1,Aparcament 150 places i 600 a vials habilitats,1,6,0,3,4,8,8,"Intèrvals de pressió 5,7 - 7,8 kg/cm2. Estàtica. Dipòsit de reserva 8000m3.",100% cobertura,Potència 10.000 kVA,"100% cobertura. EDAR Granollers. Dreantge Urbans del Besòs , SL.",EDAR Granollers. Consorci per la defensa de la conca del riu Besòs,100% paviment asfaltat,"180 punts, cada 28/40m. 17 lux de visibilitat mitjana.","Movistar, Ono, Orange, Jazztel, Vodafone, Wimax Iberbanda",No consta presència d'un operador amb xarxa pròpia
Palou Nord,01/01/2002 12:00:00 AM,39.71,122,1157,€1854000000.00,L20-L21-L22,Aparcament 120 places i 500 a vials habilitats,0,5,3,2,3,2,12,"Intèrvals de pressió 7,6 - 8,4 kg/cm2. Estàtica. Dipòsit de reserva 8000m3. 24 hidrants, 70% cob., manteniment anual",100% cobertura,Potència 10.000 kVA,"100% cobertura. EDAR Granollers. Dreantge Urbans del Besòs , SL.",EDAR Granollers. Consorci per la defensa de la conca del riu Besòs,"100% paviment asfaltat, bona qualitat.","130 punts, cada 32m. 17 lux de visibilitat mitjana.","Movistar, Ono, Orange, Jazztel, Vodafone, Wimax Iberbanda","Oferta de contractació agrupada per part d'un Oferta de contractació agrupada per part d'un
segon operador"
Cal Gordi - Can Català,01/01/2002 12:00:00 AM,35.15,35,1638,€261000000.00,Línies urbanes empresa Sagalés. Bus interurbà.,350 places a vials habilitats,2,2,2,1,1,0,0,"Intèrvals de pressió 7,6 - 8,4 kg/cm2. Estàtica. Dipòsit de reserva 1000m3. 13 hidrants, 100% cob., manteniment anual",100% cobertura,Potència 10.000 kVA,"100% cobertura. EDAR Granollers. Dreantge Urbans del Besòs , SL.",EDAR Granollers. Consorci per la defensa de la conca del riu Besòs,"100% paviment asfaltat, bona qualitat.","140 punts, cada 20m. 70 lux de visibilitat mitjana.","Movistar, Ono, Orange, Jazztel, Vodafone, Wimax Iberbanda","Amb segon operador identificat
"
Coll de la Manya,01/01/2005 12:00:00 AM,55.4,52,1189,€358000000.00,No,2 aparcaments públics. 300 places a vials habilitats,0,1,0,0,0,0,0,"Intèrvals de pressió 2,9 - 7,7 kg/cm2. Estàtica. Dipòsit de reserva 1000m3. 14 hidrants, 77% cob., manteniment anual",100% cobertura,Potència 14.000 kVA,"100% cobertura. EDAR Granollers. Dreantge Urbans del Besòs , SL.",EDAR Montornès del Vallès. Depuración de aguas del Mediterráneo (DAM),"100% paviment asfaltat, bona qualitat.","150 punts, cada 25/40m. 17 lux de visibilitat mitjana.","Movistar, Ono, Orange, Jazztel, Vodafone, Wimax Iberbanda","En avaluació la presència d'un segon operador
Amb desplegament parcial de l'Ajuntament"
El Congost,01/01/1973 12:00:00 AM,63.01,207,2207,€768000000.00,Línies urbanes empresa Sagalés. Bus interurbà.,Aparcament 61 places i vials habilitats 450 places,1,6,0,0,0,9,7,"Intèrvals de pressió 5 -8,6kg/cm2. Estàtica. Dipòsit de reserva 1000/8000m3. 25 hidrants, 85% cobertura manteniment anual.",100% cobertura,Potència 30.000 kVA,"100% cobertura. EDAR Granollers. Dreantge Urbans del Besòs , SL.",EDAR Granollers. Consorci per la defensa de la conca del riu Besòs,"100% paviment asfaltat, qualitat bona","92 punts, cada 40m. 10 lux de visibilitat mitjana","Movistar, Ono, Orange, Jazztel, Vodafone, Wimax Iberbanda",Si. En procés instal·lació i comercialització segon operador.
Font del Ràdium,01/01/1991 12:00:00 AM,16.100000000000001,88,1619,€780000000.00,No,1 aparcament públic i 430 places a vials habilitats,0,3,0,0,0,0,0,"Intèrvals de pressió 2,1 - 6,4 kg/cm2. Estàtica. Dipòsit de reserva 1000m3. 10 hidrants, 62% cob., manteniment anual",100% cobertura,Potència 7.000 kVA,"100% cobertura. EDAR Granollers. Dreantge Urbans del Besòs , SL.",EDAR Granollers. Consorci per la defensa de la conca del riu Besòs,"100% paviment asfaltat, pendent reforma","70 punts, cada 28/40m. 10 lux visibilitat mitjana.","Movistar, Ono, Orange, Jazztel, Vodafone, Wimax Iberbanda",No consta presència d'un operador amb xarxa pròpia
El Ramassar,01/01/1997 12:00:00 AM,16.190000000000001,72,319,€606000000.00,L1,Aparcament públic 25 places i 350 places a vials habilitats,1,13,1,1,1,7,8,"Intervals de pressió de 7,6 – 8,4 kg/cm2. Estàtica. Dipòsit Reserva, 8.000 m3. 24 hidrants, 70% cob.,manteniment anual  ",100% cobertura,Potència 10.000 kVA,"100% cobertura. EDAR Granollers. Dreantge Urbans del Besòs , SL.",EDAR Vilanova del Vallès. Depuración de aguas del Mediterráneo,"100% paviment asfaltat, qualitat bona","72 punts, cada 30m. 20 lux de visibilitat mitjana","Movistar, Ono, Orange, Jazztel, Vodafone, Wimax Iberbanda",No consta presència d'un operador amb xarxa pròpia
