CODI,NOM,CATEGORIA,LOCALITZACIÓ
51,Jardins de Can Comas,més de 5 anys,"(41.606585, 2.2852)"
40,Parc de la Verneda de Can Gili,totes les edats,"(41.611689, 2.271929)"
50,Carrer de Josep Escobar,més de 5 anys,"(41.613644, 2.273055)"
39,Àrea de Jocs del Mas Lledó,menys de 10 anys,"(41.613798, 2.274084)"
38,Placeta del Camí Vell de Lliçà,de 5 a 10 anys,"(41.613804, 2.274702)"
37,Jardins de Charles Darwin,menys de 10 anys,"(41.613496, 2.275578)"
61,Parc de Can Gili,menys de 10 anys,"(41.614686, 2.275213)"
58,Plaça de la Pau,totes les edats,"(41.614381, 2.280217)"
36,Plaça de la Llibertat,totes les edats,"(41.613587, 2.280369)"
35,Placeta de Céllecs,de 5 a 10 anys,"(41.613348, 2.281114)"
34,Jardins de Fàtima,menys de 10 anys,"(41.611992, 2.280025)"
33,Parc de Ponent,totes les edats,"(41.612762, 2.285282)"
32,Jardins de Can Guitart,menys de 10 anys,"(41.613288, 2.286794)"
59,Jardins de la Font de l'Escot,menys de 10 anys,"(41.613501, 2.289068)"
31,Plaça de Jacint Verdaguer,menys de 10 anys,"(41.614424, 2.290285)"
42,Plaça d'Apel·les Mestres,totes les edats,"(41.615342, 2.291888)"
30,Jardins de Felip II,menys de 10 anys,"(41.613863, 2.292715)"
47,Jardins de Marià Corbera,totes les edats,"(41.621289, 2.293301)"
48,Plaça de Can Mònic,totes les edats,"(41.621056, 2.294243)"
57,Jardins de Puig i Perucho,totes les edats,"(41.620202, 2.294058)"
45,Plaça de Jaume I,totes les edats,"(41.618828, 2.292277)"
44,Jardins de la Bòbila,totes les edats,"(41.616229, 2.293667)"
43,Jardins de Juan de la Cierva,menys de 10 anys,"(41.615672, 2.293447)"
49,Jardins de Bartomeu Brufalt,totes les edats,"(41.616067, 2.295303)"
29,Jardins d'en Pitarra,menys de 10 anys,"(41.614967, 2.29428)"
29,Jardins d'en Pitarra,menys de 10 anys,"(41.614283, 2.294074)"
56,Parc de Can Pinyol,totes les edats,"(41.609627, 2.291388)"
82,Jardins de Tete Montoliu,totes les edats,"(41.609791, 2.296584)"
28,Parc del Puig de les Forques,totes les edats,"(41.610058, 2.296629)"
82,Jardins de Tete Montoliu,Fins a 5 anys,"(41.610395, 2.296937)"
27,Parc del Ramassar,més de 5 anys,"(41.607922, 2.300304)"
26,Carrer de Can Sora,més de 5 anys,"(41.606344, 2.300875)"
25,Jardins dels Cingles de Bertí,menys de 10 anys,"(41.605342, 2.296003)"
23,Jardins de Josep Umbert,totes les edats,"(41.601875, 2.2948)"
24,Parc de les Cinc,menys de 10 anys,"(41.602312, 2.296879)"
