Àrea,Orgànic,Actuació,Servei,% d'execució,Acció ,Una ciutat oberta al món,Governar amb la gent,Igualtat i defensa dels drets socials,Convivència i civisme,Una ciutat educadora,Una ciutat creativa,Espais i serveis de qualitat,Compromís ambiental,Una ciutat econòmicament competitiva,Transparència i eficiència,Cultura de pau,Roca Umbert,Pla de civisme i convivència,Programa global sobre habitatge,Potenciació de la formació professional,Transició energètica i canvi climàtic,C17,Circuit de Catalunya,Redefinició del model comercial,Societat del coneixement,Programa,Grau d'execució,Data actualització grau d'execució,Acció nova o de continuïtat,Any 2015,Any 2016,Any 2017,Any 2018,Any 2019,Barri
Acció Comunitària i Benestar,Centre d'Informació de Recursos per a Dones,"Incrementar l'apoderament de les dones, ja sigui ampliant coneixements i/o estimulant capacitats",Pla d'Igualtat de Gènere,39%,Reforç del treball grupal amb les dones (GAM i GEP) i realització de nous grups en funció de les necessitats detectades (per ex: marentalitat),0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Pendent,Pendent,,Continuïtat,1,1,1,1,1,
Acció Comunitària i Benestar,Centre d'Informació de Recursos per a Dones,Comunicaci&oacute; i informaci&oacute; a la ciutadania envers la igualtat de g&egrave;nere,Pla d'Igualtat de Gènere,0%,Establiment d'una estratègia comunicativa municipal en matèria d'igualtat de gènere,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Igualtat de gènere i atenció a la dona,Pendent,,Nou,0,1,1,0,0,
Acció Comunitària i Benestar,Centre d'Informació de Recursos per a Dones,Consolidar una oferta estable d&rsquo;activitats de formaci&oacute; i sensibilitzaci&oacute; envers de la igualtat de g&egrave;nere,Pla d'Igualtat de Gènere,56%,"Realització de la campanya anual 8 de març, Dia Internacional de les Dones",0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Igualtat de gènere i atenció a la dona,En execució,03/31/2016 02:43:50 PM,Continuïtat,1,1,1,1,1,
Acció Comunitària i Benestar,Centre d'Informació de Recursos per a Dones,Consolidar una oferta estable d&rsquo;activitats de formaci&oacute; i sensibilitzaci&oacute; envers de la igualtat de g&egrave;nere,Pla d'Igualtat de Gènere,56%,"Reforç de la formació en coeducació adreçada a les escoles i IES de la ciutat a través de la Guia Educativa, ampliant a altres col·lectius",0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Pendent,Primeres accions,03/31/2016 02:48:19 PM,Continuïtat,1,1,1,1,1,
Acció Comunitària i Benestar,Centre d'Informació de Recursos per a Dones,"Incrementar l'apoderament de les dones, ja sigui ampliant coneixements i/o estimulant capacitats",Pla d'Igualtat de Gènere,39%,"Consolidació de l’oferta d’activitats d’apoderament de les dones iniciada des del Centre d’Informació i Recursos per a les Dones (CIRD), mitjançant la creació una programació estable i amb increment dels tallers i cursos existents en l’actualitat.",0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Igualtat de gènere i atenció a la dona,En execució,03/31/2016 02:42:21 PM,Continuïtat,1,1,1,1,1,
Acció Comunitària i Benestar,Centre d'Informació de Recursos per a Dones,"Incrementar l'apoderament de les dones, ja sigui ampliant coneixements i/o estimulant capacitats",Pla d'Igualtat de Gènere,39%,Reforç dels tallers d'autodefensa per a dones,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Pendent,Primeres accions,12/27/2016 12:49:25 PM,Continuïtat,1,1,1,1,1,
Acció Comunitària i Benestar,Centre d'Informació de Recursos per a Dones,"Incrementar l'apoderament de les dones, ja sigui ampliant coneixements i/o estimulant capacitats",Pla d'Igualtat de Gènere,39%,Creació d'un mapa local de recursos per a la millora de l'ocupabilitat de les dones,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Igualtat de gènere i atenció a la dona,Pendent,,Nou,0,1,1,0,0,
Acció Comunitària i Benestar,Centre d'Informació de Recursos per a Dones,"Incrementar l'apoderament de les dones, ja sigui ampliant coneixements i/o estimulant capacitats",Pla d'Igualtat de Gènere,39%,Assessorament jurídic a dones,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Pendent,En execució,07/05/2016 10:39:03 AM,Continuïtat,1,1,1,1,1,
Acció Comunitària i Benestar,Centre d'Informació de Recursos per a Dones,Consolidar una oferta estable d&rsquo;activitats de formaci&oacute; i sensibilitzaci&oacute; envers de la igualtat de g&egrave;nere,Pla d'Igualtat de Gènere,56%,"Recuperació de la realització amb el servei de Promoció Econòmica de la campanya anual 1 de maig, Dia Internacional del Treball, amb especial atenció a les desigualtats econòmiques entre dones i homes",0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Pendent,En execució,07/04/2016 10:57:54 AM,Continuïtat,0,1,1,1,1,
Acció Comunitària i Benestar,Centre d'Informació de Recursos per a Dones,Consolidar una oferta estable d&rsquo;activitats de formaci&oacute; i sensibilitzaci&oacute; envers de la igualtat de g&egrave;nere,Pla d'Igualtat de Gènere,56%,"Realització de la campanya anual 25 de novembre, Dia Internacional contra la violència envers les dones",0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Pendent,En execució,03/31/2016 03:36:07 PM,Continuïtat,1,1,1,1,1,
