CODI,PRODUCTE,CARRER,NÚMERO,LOCALITZACIÓ
1173,ROBA ORDINARIA,PL MALUQUER I SALVADOR,2,"(41.608516, 2.288824)"
1180,ROBA DONA,C SANT ROC,19,"(41.608377, 2.288509)"
1197,ROBA INTERIOR,PL CABRITS,4,"(41.608579, 2.287379)"
1008,CALÇATS,C ANSELM CLAVE,16,"(41.607847, 2.288839)"
1022,CALÇATS,C ANSELM CLAVE,46,"(41.606709, 2.288585)"
1040,ROBA HOME/DONA,PL CORONA,5,"(41.605636, 2.288317)"
1245,ROBA DE LA LLAR,PL J. M. FOLCH I TORRES,14,"(41.60823, 2.286341)"
1251,PARAMENT DE LA LLAR,C SANT JAUME,3,"(41.608197, 2.285822)"
1258,ROBA DE LA LLAR,C SANT JAUME,3,"(41.607842, 2.285705)"
1266,CALÇATS,PL ESGLESIA,1,"(41.607721, 2.286324)"
1285,ROBA DE LA LLAR,PL PORXADA,28,"(41.607979, 2.287699)"
1195,ROBA DONA,PL CABRITS,5,"(41.608563, 2.287561)"
1215,RETALLS,C SANTA ANNA,11,"(41.608686, 2.28669)"
1220,ROBA ORDINARIA,C SANTA ANNA,23,"(41.608758, 2.286318)"
1282,LLIBRES,PL PORXADA,28,"(41.607909, 2.287731)"
1287,ROBA TALLES GRANS,PL PORXADA,30,"(41.608005, 2.287497)"
1317,ROBA INTERIOR,PL PORXADA,7,"(41.608233, 2.287391)"
1324,CALÇATS,PL PORXADA,19,"(41.608289, 2.288037)"
1333,AROMES,C SANTA ESPERANÇA,4,"(41.607734, 2.287974)"
1367,FLORS I PLANTES,C SANT JAUME,42,"(41.607567, 2.285623)"
1139,ROBA INFANTIL,PL LLUIS PERPINYA,3,"(41.609298, 2.289145)"
1145,ROBA DONA,PL MALUQUER I SALVADOR,20,"(41.608877, 2.289053)"
1150,ROBA DE LA LLAR,PL MALUQUER I SALVADOR,25,"(41.608601, 2.288999)"
1174,ROBA INFANTIL,PL MALUQUER I SALVADOR,1,"(41.608435, 2.288813)"
1175,MARROQUINERIA,PL MALUQUER I SALVADOR,1,"(41.60839, 2.28881)"
1182,MARROQUINERIA,C SANT ROC,15,"(41.608394, 2.288379)"
1187,ROBA DE LA LLAR,C SANT ROC,3,"(41.608479, 2.288059)"
1216,BASAR,C SANTA ANNA,13,"(41.608698, 2.286627)"
1431,CORTINES I TOLDOS,C REC,7,"(41.609018, 2.285566)"
1435,PIJAMES i BATES,C REC,8,"(41.609067, 2.285595)"
1436,ROBA HOME/DONA,C REC,6,"(41.609019, 2.2857)"
1002,ROBA DONA,C ANSELM CLAVE,4,"(41.608238, 2.288927)"
1010,ROBA DONA,C ANSELM CLAVE,22,"(41.607705, 2.288807)"
1375,FRUITA I VERDURA,C SANT JOSEP,1,"(41.60768, 2.285135)"
1393,FRUITA I VERDURA,C SANT JOSEP,18,"(41.607575, 2.283855)"
1405,FRUITA I VERDURA,C SANT JOSEP,2,"(41.607762, 2.285103)"
1430,ROBA DE LA LLAR,C REC,5,"(41.608978, 2.285643)"
1439,PERFUMERIA I COSMÈTICA,C REC,2,"(41.608926, 2.285908)"
1109,FRUITA I VERDURA,PL LLUIS PERPINYA,30,"(41.609328, 2.28942)"
1007,ROBA DONA,C ANSELM CLAVE,12,"(41.607923, 2.288856)"
1015,ROBA DONA,C ANSELM CLAVE,34,"(41.607327, 2.288723)"
1016,ROBA HOME,C ANSELM CLAVE,36,"(41.607274, 2.288711)"
1019,ROBA HOME/DONA,C ANSELM CLAVE,40,"(41.606923, 2.288631)"
1020,LLANES,C ANSELM CLAVE,40,"(41.606847, 2.288615)"
1332,ROBA DONA,C SANTA ESPERANÇA,2,"(41.607801, 2.287927)"
1336,JOGUINES,C SANTA ESPERANÇA,12,"(41.607656, 2.288286)"
1338,MARROQUINERIA,C SANTA ESPERANÇA,18,"(41.607611, 2.288483)"
1339,QUADRES I MANUALITATS,C SANTA ESPERANÇA,20,"(41.607588, 2.288586)"
1361,CALÇATS,PL ESGLESIA,5,"(41.607768, 2.28594)"
1362,CALÇATS,PL ESGLESIA,4,"(41.607766, 2.285832)"
1368,XARCUTERIA,C SANT JAUME,42,"(41.607653, 2.285618)"
1385,FRUITA I VERDURA,C SANT JOSEP,7,"(41.607555, 2.284294)"
1377,FRUITA I VERDURA,C SANT JOSEP,1,"(41.607645, 2.2849)"
1387,FRUITA I VERDURA,C SANT JOSEP,7,"(41.607504, 2.283983)"
1396,FRUITA I VERDURA,C SANT JOSEP,16,"(41.607618, 2.284142)"
1399,FRUITA I VERDURA,C SANT JOSEP,8,"(41.60767, 2.284489)"
1400,FRUITA I VERDURA,C SANT JOSEP,6,"(41.607688, 2.284613)"
1406,FRUITA I VERDURA,C SANT JOSEP,2,"(41.607772, 2.285174)"
1290,ROBA INFANTIL,PL PORXADA,28,"(41.608048, 2.287714)"
1305,FRUITA I VERDURA,PL PORXADA,0,"(41.608211, 2.287634)"
1316,NO ESPECIFICAT,PL PORXADA,6,"(41.608166, 2.287376)"
1343,ROBA DONA,PL PORXADA,38,"(41.607834, 2.286804)"
1352,CALÇATS,PL ESGLESIA,8,"(41.607612, 2.286363)"
1354,ROBA DONA,PL ESGLESIA,6,"(41.607576, 2.286291)"
1408,FRUITA I VERDURA,C SANT JOSEP,2,"(41.607798, 2.285345)"
1409,FRUITA I VERDURA,C SANT JOSEP,2,"(41.607822, 2.285509)"
1414,ROBA DONA,C SANT JAUME,28,"(41.608193, 2.285644)"
1161,FRUITA I VERDURA,PL MALUQUER I SALVADOR,10,"(41.608921, 2.288734)"
,NO ESPECIFICAT,PL LLUIS PERPINYA,29,"(41.60925, 2.289388)"
1426,ROBA HOME,C SANT JAUME,2,"(41.608823, 2.285856)"
1432,ROBA DE LA LLAR,C REC,7,"(41.609048, 2.285488)"
1434,ROBA DONA,C REC,10,"(41.609101, 2.285518)"
1440,ROBA TALLES GRANS,PL CASERNA,1,"(41.608959, 2.28595)"
1089,CALÇAT I ROBA ESPORTIVA,C ANSELM CLAVE,1,"(41.608224, 2.288969)"
1192,ROBA HOME/DONA,PL OLI,5,"(41.608555, 2.287713)"
1279,ROBA HOME,PL PORXADA,30,"(41.607942, 2.287438)"
1422,BASAR,C SANT JAUME,6,"(41.608677, 2.285835)"
1424,ROBA INTERIOR,C SANT JAUME,2,"(41.608746, 2.285844)"
1442,LLANES,PL CASERNA,9,"(41.608881, 2.286037)"
1185,ROBA DONA,C SANT ROC,7,"(41.608444, 2.288181)"
