CODI,PRODUCTE,CARRER,NÚMERO,LOCALITZACIÓ
1114,PESCA SALADA I OLIVES,PL LLUIS PERPINYA,18,"(41.609422, 2.2894)"
1154,PA,PL MALUQUER I SALVADOR,3,"(41.608534, 2.28891)"
1213,ROBA ORDINARIA,C SANTA ANNA,7,"(41.608665, 2.286805)"
1242,FRUITS SECS I CARAMELS,PL J. M. FOLCH I TORRES,12,"(41.60819, 2.28667)"
1265,ROBA DONA,PL ESGLESIA,1,"(41.607772, 2.286302)"
1327,ROBA HOME,PL PORXADA,23,"(41.60809, 2.287921)"
1401,CARAMELS/FRUITA SECA,C SANT JOSEP,6,"(41.607708, 2.284744)"
1006,ROBA INTERIOR,C ANSELM CLAVE,8,"(41.607985, 2.28887)"
1120,ROBA DE LA LLAR,PL LLUIS PERPINYA,11,"(41.609676, 2.28927)"
1212,ROBA DONA,C SANTA ANNA,5,"(41.608655, 2.286863)"
1106,FRUITA I VERDURA,PL LLUIS PERPINYA,30,"(41.609305, 2.289384)"
,ROBA TALLES GRANS,C ANSELM CLAVE,27,"(41.607701, 2.288843)"
1141,ROBA HOME/DONA,PL MALUQUER I SALVADOR,15,"(41.609146, 2.28911)"
1057,ROBA HOME/DONA,C ANSELM CLAVE,79,"(41.606056, 2.28848)"
1077,ROBA HOME I JOVE,C ANSELM CLAVE,33,"(41.607371, 2.28877)"
1086,CALÇATS,C ANSELM CLAVE,9,"(41.608061, 2.288923)"
1160,FRUITA I VERDURA,PL MALUQUER I SALVADOR,10,"(41.608884, 2.288766)"
1276,ROBA DONA,PL PORXADA,2,"(41.607903, 2.287149)"
1170,FLORS I PLANTES,PL MALUQUER I SALVADOR,4,"(41.608815, 2.28882)"
1119,PARAMENT DE LA LLAR,PL LLUIS PERPINYA,10,"(41.609594, 2.289251)"
1122,ROBA DONA,C JOAN PRIM,2,"(41.609858, 2.28932)"
1229,CALÇATS,C SANT JAUME,1,"(41.608682, 2.285912)"
1234,ROBA INTERIOR,C SANT JAUME,1,"(41.60841, 2.285869)"
1236,ROBA HOME,C SANT JAUME,1,"(41.608295, 2.285836)"
1237,DECORACIO I MANUALITATS,PL J. M. FOLCH I TORRES,16,"(41.608287, 2.286176)"
1250,HULES,C SANT JAUME,3,"(41.608187, 2.285954)"
1146,ROBA DONA,PL MALUQUER I SALVADOR,22,"(41.608833, 2.289044)"
1152,ROBA INTERIOR,PL MALUQUER I SALVADOR,28,"(41.608424, 2.288965)"
1153,HULES,PL MALUQUER I SALVADOR,1,"(41.60843, 2.288895)"
1101,ROBA DONA,PL MALUQUER I SALVADOR,17,"(41.609102, 2.289139)"
1115,BASAR,PL LLUIS PERPINYA,2,"(41.609227, 2.289164)"
1171,ANIMALS I COMPLEMENTS,PL MALUQUER I SALVADOR,3,"(41.608677, 2.288827)"
1191,ROBA TEXANA,PL OLI,6,"(41.608537, 2.287866)"
1221,ROBA DONA,C SANTA ANNA,25,"(41.608772, 2.286243)"
1239,NO ESPECIFICAT,PL J. M. FOLCH I TORRES,8,"(41.608315, 2.286823)"
1240,ROBA HOME/DONA,PL J. M. FOLCH I TORRES,12,"(41.608279, 2.286727)"
1249,XURRERIA,C SANT JAUME,3,"(41.60818, 2.286038)"
