ANY,ID,DATA,DIA,LLOC,INTERSECCIO AMB,NUM/PKM,DILIGÈNCIES,CLASSE,CAUSA,AMPLIACIÓ DE LA CAUSA,NOMBRE PERSONES ALCOHOL +,NOMBRE PERSONES ALCOHOL -,NEGATIVA A PROVA D'ALCHOLÈMIA,JUTJAT,DATA ENTREGA,OBSERVACIONS,TURISMES,CAMIONS,MOTOCICLETES,CICLOMOTORS,BICICLETES,FURGONETES,AUTOBUSOS,ALTRES,TOTAL VEHICLES,CONDUCTORS FERIT LLEUS,CONDUCTORS FERIT GREUS,CONDUCTORS MORTS,VIATGERS FERITS LLEUS,VIATGERS FERITS GREUS,VIATGERS MORTS,PEATONS FERITS LLEUS,PEATONS FERITS GREUS,PEATONS MORTS,VÍCTIMES
2010,164,20/01/2010 08:55:00 PM,Dimecres,EUROPA,CAMI RAL,,NO,Col·lisió,Infracció,CEDIU EL PAS,0,0,0,,,,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1
2010,182,23/01/2010 05:50:00 AM,Dissabte,SANT JULIA,,S/N,SI,Col·lisió,Infracció,CEDIU EL PAS,1,0,0,INSTRUCCIÓ,,ACCIDENT + ALCOHOLÈMIA POSITIVA,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
2010,184,23/01/2010 07:40:00 PM,Dissabte,CAMI ROMA,,63,SI,Col·lisió,Distracció,MANCA D'ATENCIO,1,0,0,INSTRUCCIÓ,,ACCIDENT + ALCOHOLÈMIA POSITIVA (3 V. ESTACIONATS),4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
2010,204,26/01/2010 01:12:00 PM,Dimarts,MUNTANYA,,54,NO,Col·lisió,Distracció,MANCA D'ATENCIO,0,2,0,,,,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1
2010,206,26/01/2010 02:45:00 PM,Dimarts,ESTEVE TERRADES,SERRET I ARGEMI,,NO,Col·lisió,Infracció,PAS DE VIANANTS,0,0,0,,,IMPLICAT CONDUCTOR BICICLETA,1,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,1
2010,243,28/01/2010 06:40:00 PM,Dijous,SANT JULIA,ARQUIMEDES,,NO,Col·lisió,Infracció,ALTRES INFRACCIONS,1,1,0,,,DANYS PATRIMONI (SENYAL),1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0
2010,244,28/01/2010 06:40:00 PM,Dijous,SANT JULIA,ARQUIMEDES,,NO,Col·lisió,Infracció,ALTRES INFRACCIONS,0,2,0,,,ACC+ALC  ADMINISTRATIVA+DANYS PATRIMONI,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0
2010,271,31/01/2010 10:00:00 AM,Diumenge,RAMON LLULL,,S/N,NO,Col·lisió,Distracció,MANCA D'ATENCIO,0,1,0,,,DANYS PATRIMONI (VEHICLE P0LICIAL ESTACIONAT),2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
2010,279,01/02/2010 09:20:00 AM,Dilluns,BV-1432 GRANOLLERS-LLIÇA,,"0,100",NO,Col·lisió,Infracció,DISTANCIA SEGURETAT,0,2,0,,,,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1
2010,315,04/02/2010 09:13:00 AM,Dijous,MAS CARRENCA,MAS ESTAPER,,NO,Atropellament,Infracció,PAS DE VIANANTS,0,1,0,,,,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
2010,316,04/02/2010 03:00:00 PM,Dijous,PONENT,VALENCIA,,NO,Col·lisió,Infracció,STOP,0,0,0,,,,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1
2010,324,05/02/2010 11:35:00 AM,Divendres,TRES TORRES,,,NO,Col·lisió,Infracció,GIR PROHIBIT,0,2,0,,,,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,2
2010,334,06/02/2010 08:00:00 AM,Dissabte,RONDA SUD,,18,NO,Sortida de via,Infracció,VELOCITAT INADEQUADA,0,1,0,,,,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
2010,341,08/02/2010 04:55:00 AM,Dilluns,CAN BASSA,LONDRES,,SI,Col·lisió,Infracció,ALCOHOLEMIA,1,0,0,INSTRUCCIÓ 3,23/02/2010,ALCOHOLÈMIA POSITIVA + DANYS PATRIMONI,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,352,08/02/2010 02:10:00 PM,Dilluns,ISABEL DE VILLENA,,30,NO,Col·lisió,Distracció,MANCA D'ATENCIO,0,0,0,,,DANYS PATRIMONI,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2010,365,08/02/2010 03:20:00 PM,Dilluns,CALDES,MARIA PALAU,,SI,Col·lisió,Infracció,STOP,1,0,0,,,ACCIDENT + ALC POSITIVA,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
2010,377,09/02/2010 08:00:00 PM,Dimarts,SABADELL,,S/N,NO,Col·lisió,Distracció,MANCA D'ATENCIO,0,0,0,,,DANYS PATRIMONI (FANAL),0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2010,414,05/02/2010 04:39:00 AM,Divendres,CONCA DEL BESOS,,36,SI,Col·lisió,Infracció,GIR PROHIBIT,1,0,0,,,ACC IDENT +  ALCOHOLÈMIA POSITIVA,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,2
2010,416,10/02/2010 12:20:00 PM,Dimecres,POMPEU FABRA,,10,NO,Col·lisió,Distracció,MANCA D'ATENCIO,0,1,0,,,DANYS PATRIMONI,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2010,427,14/02/2010 10:22:00 AM,Diumenge,ESTACIO DEL NORD,CANOVELLES,,NO,Col·lisió,Infracció,SEMAFOR,0,0,0,,,,2,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,0,4
2010,447,16/02/2010 05:10:00 PM,Dimarts,CATERINA ALBERT,,,NO,Col·lisió,Distracció,MANCA D'ATENCIO,0,0,0,,,,2,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,2
