Actuació,% d'execució
"Millorar la connexi&oacute; a peu i en bicicleta amb Lli&ccedil;&agrave; d&rsquo;Amunt, d&rsquo;acord amb el projecte que s&rsquo;est&agrave; desenvolupant de millora de la connexi&oacute; de la carretera de Lli&ccedil;&agrave; amb la C-17, la qual cosa permetr&agrave; la creaci&oacute; d&rsquo;itineraris per a vianants i ciclistes",
"Impulsar la urbanitzaci&oacute; de dos nous sectors industrials, al voltant del Circuit de Catalunya i de la C-17, i vetllar per la millora cont&iacute;nua dels actuals pol&iacute;gons industrials, amb l&rsquo;objectiu de potenciar l&rsquo;activitat econ&ograve;mica i atraure activitats",75%
Cooperar amb les associacions d'empresaris dels pol&iacute;gons,67%
Plantejar el desdoblament/variant de la C-17 a la Generalitat,
"Estudiar conjuntament amb l&rsquo;ajuntament de Canovelles, previ acord d&rsquo;aquest municipi amb la Diputaci&oacute; de Barcelona, de millorar la connectivitat a peu i en bicicleta entre Can Gili i Bellulla i el pas sota la C-17 a la carretera de Caldes.",33%
Dinamitzar l'activitat econ&ograve;mica de l'eix productiu de la C-17,83%
