Actuació,% d'execució
"Avan&ccedil;ar en els projectes de recuperaci&oacute;, preservaci&oacute; i difusi&oacute; de la mem&ograve;ria de la ciutat i els seus habitants. Fer noves entrevites i posar-les a disposici&oacute; a trav&eacute;s de la secci&oacute; de fonts orals de l'Arxiu",42%
Commemoraci&oacute; de l&rsquo;aniversari del bombardeig i fomentar la participaci&oacute; d&rsquo;entitats en l&rsquo;organitzaci&oacute; d&rsquo;activitats. Compartir l&rsquo;esdeveniment amb altres ciutats.,67%
"Consolidar el posicionament exterior i internacional  de Granollers com a ciutat constructora de pau, un element de projecci&oacute; de la ciutat i de promoci&oacute; de la seva identitat.",83%
"Desenvolupar accions educatives vinculades a l&rsquo;educaci&oacute; per la pau, el respecte al pluralisme, els drets humans i la democr&agrave;cia. Treball en Xarxa amb altres ciutats i entitats",67%
Programa de solidaritat per donar resposta a la crisi de persones refugiades i de coordinaci&oacute; per a les accions d'acollida,73%
