SCensal,the_geom,Colegi,Adreca
2-2,"MULTIPOLYGON (((2.287168418453287 41.612985723601376, 2.289176990957879 41.61252000179166, 2.2900438984366893 41.612349663653674, 2.289367437696313 41.61021809758887, 2.2893632648974704 41.61020494842339, 2.2889490038570632 41.60833399447838, 2.288942637692231 41.608305241715684, 2.288496064076663 41.60833081791259, 2.288277695188192 41.608368423632356, 2.2878559256771642 41.60849685101194, 2.2872429873529274 41.608549729274635, 2.28588889231548 41.60882739397652, 2.285880820157197 41.60882975746098, 2.285882187046685 41.60883113962516, 2.2861423346934426 41.60909419262784, 2.2869199409747014 41.60916984694518, 2.2872727303098057 41.60917912138061, 2.287875461580609 41.60911202046686, 2.288202189255268 41.61038219217585, 2.28614585522182 41.610659604718336, 2.286364797821479 41.61116712377245, 2.287168418453287 41.612985723601376)))",ANTIGA E. M.MUSICA JM.RUERA,"C SANTA ELISABETH NUM, 16"
2-4,"MULTIPOLYGON (((2.2854719518043867 41.61450076182462, 2.2854805946468155 41.61449814812931, 2.2867199414867425 41.61412334665749, 2.287270888754999 41.61403293814456, 2.287168418453287 41.612985723601376, 2.286364797821479 41.61116712377245, 2.28614585522182 41.610659604718336, 2.2835453670262518 41.610788548130756, 2.282946937820864 41.61103558109761, 2.284757525463581 41.61336007199896, 2.2854719518043867 41.61450076182462)))",C.P. PONENT,"C RAFAEL CASANOVA NUM, 55"
2-6,"MULTIPOLYGON (((2.2863713078332455 41.61766137726436, 2.2864209672810096 41.61777623709588, 2.286436935170948 41.61794809439767, 2.2864222072746205 41.61810613343799, 2.286398083765283 41.61823230077717, 2.2863894343373006 41.61825038763073, 2.28632142399877 41.61845202428215, 2.286299717505525 41.61862244093203, 2.2863162820018736 41.61884691296531, 2.2863779491623952 41.61898364640093, 2.2866405733527606 41.61995570126279, 2.2868166483785766 41.62055469939594, 2.2868152794008343 41.620669244411744, 2.286816709744577 41.620765026776354, 2.2867653652725513 41.621533067178426, 2.2869889222130584 41.621730584383286, 2.2870999092775834 41.62182767609048, 2.2872060842072193 41.62192030633945, 2.2872672675510226 41.62196833340386, 2.287389988000659 41.62203225196234, 2.2874526430453357 41.62205672522681, 2.287575522222761 41.62210624206903, 2.287730601640816 41.622181448472936, 2.2878483279237827 41.62225641447144, 2.2879014953904933 41.62229552850562, 2.2879564051028436 41.6223235744505, 2.2882352063247446 41.622473404733086, 2.2883825019383255 41.622518640212135, 2.288520197373138 41.62254941363922, 2.288643358038045 41.622574548610444, 2.2887569305178004 41.62258411379581, 2.2888024470854806 41.6225799636106, 2.289067772601339 41.62252509219507, 2.2894365422499905 41.622447728574, 2.289716644541216 41.622377436526676, 2.289990459060069 41.62228826194738, 2.2901691061991265 41.62221988271809, 2.2903419220967405 41.62215889817852, 2.2905037348495276 41.62206459997938, 2.2906162929553324 41.62201875382655, 2.2907370619852734 41.621964095099294, 2.2909715995429436 41.621829703131716, 2.2911415002242452 41.62173877752059, 2.291431974322316 41.621610917146334, 2.2915685820531486 41.62159292428514, 2.2918991220568654 41.62159036529217, 2.2920060544489895 41.62161318102099, 2.2920855857532945 41.621618101908666, 2.2921955531062546 41.62166088706926, 2.2930757857975816 41.62219682148611, 2.293010334502257 41.6219409678942, 2.2927330331161553 41.6210589116525, 2.2926446076826688 41.62077763784087, 2.291631216616339 41.61750569738317, 2.2907202197823615 41.61456407274193, 2.2901176076212413 41.614617020831105, 2.290307127597252 41.61531942778837, 2.288144161733558 41.61567439809489, 2.286201462015901 41.61598443961081, 2.2864622174675326 41.616648539290885, 2.2864022099616768 41.6173170958757, 2.2863713078332455 41.61766137726436)))",CENTRE CÍVIC NORD,"C LLEDONER NUM, 6"
2-5,"MULTIPOLYGON (((2.286201462015901 41.61598443961081, 2.288144161733558 41.61567439809489, 2.290307127597252 41.61531942778837, 2.2901176076212413 41.614617020831105, 2.2907202197823615 41.61456407274193, 2.290466910035453 41.61368252502673, 2.2904517388809733 41.61363472341135, 2.2904436607441916 41.6136092706068, 2.2900438984366893 41.612349663653674, 2.289176990957879 41.61252000179166, 2.287168418453287 41.612985723601376, 2.287270888754999 41.61403293814456, 2.2867199414867425 41.61412334665749, 2.2854805946468155 41.61449814812931, 2.2854719518043867 41.61450076182462, 2.2857061471824043 41.61487468056766, 2.2860886330475667 41.61569707910434, 2.286201462015901 41.61598443961081)))",CENTRE CÍVIC NORD,"C LLEDONER NUM, 6"
2-7,"MULTIPOLYGON (((2.291631216616339 41.61750569738317, 2.2922246798086214 41.617404814112014, 2.2930399104092167 41.617259349415306, 2.292847304068055 41.6167229081443, 2.291839752028691 41.61343598835215, 2.2904436607441916 41.6136092706068, 2.2904517388809733 41.61363472341135, 2.290466910035453 41.61368252502673, 2.2907202197823615 41.61456407274193, 2.291631216616339 41.61750569738317)))",CENTRE CÍVIC NORD,"C LLEDONER NUM, 6"
3-1,"MULTIPOLYGON (((2.291839752028691 41.61343598835215, 2.293795675836011 41.61319052038133, 2.292958455258016 41.60798398515524, 2.292415910110461 41.604609553867924, 2.2905752441610745 41.60589444934204, 2.289656248167901 41.60641293680297, 2.2886346668427575 41.606993424489666, 2.288942637692231 41.608305241715684, 2.2889490038570632 41.60833399447838, 2.2889686330888432 41.608332541089545, 2.289674979845686 41.608280239290885, 2.290573806572817 41.60821768085877, 2.290795662086282 41.61019961757433, 2.291839752028691 41.61343598835215)))",CASINO DE GRANOLLERS,"C AGUSTI VINYAMATA NUM, 21"
3-2,"MULTIPOLYGON (((2.292847304068055 41.6167229081443, 2.293008468048381 41.61669650013189, 2.293006077112129 41.61668851046419, 2.2943702890594357 41.61639571576374, 2.293795675836011 41.61319052038133, 2.291839752028691 41.61343598835215, 2.292847304068055 41.6167229081443)))",L. MUNICIPAL GRANOLLERS NORD,"C FIGUERES NUM, 15"
3-3,"MULTIPOLYGON (((2.2927330331161553 41.6210589116525, 2.2927720543306704 41.62105215894966, 2.2931672774269445 41.62098376395732, 2.2934700569700994 41.62092784305791, 2.2936364006952736 41.62080247475172, 2.293998550396957 41.62040539430282, 2.293784120059806 41.61934486707989, 2.293776727246354 41.619308303175046, 2.2930399104092167 41.617259349415306, 2.2922246798086214 41.617404814112014, 2.291631216616339 41.61750569738317, 2.2926446076826688 41.62077763784087, 2.2927330331161553 41.6210589116525)))",CEIP LLEDONER,"C ROSSELLO NUM, 95"
3-4,"MULTIPOLYGON (((2.292958455258016 41.60798398515524, 2.293369377385904 41.60796695410436, 2.2934034491672133 41.60796554190176, 2.295228579185877 41.607155078745045, 2.296923441034076 41.60686795663155, 2.2964835656297966 41.60532112444728, 2.293449617929137 41.603730063514774, 2.292904109528155 41.6042650382881, 2.292415910110461 41.604609553867924, 2.292958455258016 41.60798398515524)))",CASAL D'AVIS,"PG MUNTANYA NUM, 23"
3-10,"MULTIPOLYGON (((2.293386360434789 41.6080620886689, 2.296123445340174 41.608152171611046, 2.2973533949008114 41.60820016056127, 2.2986707003262437 41.60787706395847, 2.298726493744248 41.6074421998261, 2.2987214586633264 41.60719691172773, 2.2986116685322755 41.606612519497524, 2.298605394952181 41.6065943980399, 2.296923441034076 41.60686795663155, 2.295228579185877 41.607155078745045, 2.2934034491672133 41.60796554190176, 2.293369377385904 41.60796695410436, 2.293371014423605 41.607976124360846, 2.293386360434789 41.6080620886689)))",CASAL D'AVIS,"PG MUNTANYA NUM, 23"
