CODI CARRER,NÚMERO,PARITAT,LOCALITZACIÓ
2314,113,O,"(41.598723, 2.286324)"
2314,105,O,"(41.598922, 2.286363)"
2085,154,E,"(41.599091, 2.286773)"
2085,156,E,"(41.598767, 2.286708)"
2085,145,O,"(41.598485, 2.287008)"
2085,155,O,"(41.597022, 2.286745)"
2252,1,O,"(41.596908, 2.286861)"
2252,43,O,"(41.596691, 2.288354)"
2252,72,E,"(41.596072, 2.289695)"
2252,74,E,"(41.596053, 2.289798)"
2252,45,O,"(41.596655, 2.288608)"
2252,75,O,"(41.596515, 2.2896)"
2252,10-12,E,"(41.596432, 2.28703)"
2185,29B,O,"(41.606914, 2.293136)"
2185,31,O,"(41.60712, 2.29316)"
2185,33,O,"(41.607531, 2.293219)"
2260,15,O,"(41.598246, 2.289014)"
2087,1,E,"(41.59808, 2.288937)"
2087,3,E,"(41.598059, 2.289258)"
2084,1,O,"(41.61326, 2.291051)"
1889,2,E,"(41.597, 2.286289)"
1812,28,E,"(41.598411, 2.282548)"
1813,23,O,"(41.598829, 2.280123)"
2257,28,E,"(41.598785, 2.280556)"
1812,67-69,O,"(41.598196, 2.281831)"
1812,63-65,O,"(41.598014, 2.282864)"
2444,35,O,"(41.597466, 2.285382)"
2399,3,O,"(41.597208, 2.286955)"
2399,1,O,"(41.597219, 2.286863)"
2399,4,E,"(41.597048, 2.286908)"
2399,44,E,"(41.596868, 2.28839)"
2395,14,E,"(41.595975, 2.288225)"
2252,44,E,"(41.596282, 2.288262)"
2252,70,E,"(41.59612, 2.289407)"
2242,6,E,"(41.595852, 2.289364)"
2428,32,E,"(41.595497, 2.289834)"
2222,21,O,"(41.618085, 2.292328)"
2222,41,O,"(41.618437, 2.292426)"
2222,32,E,"(41.618494, 2.292584)"
2181,8,E,"(41.618861, 2.293108)"
2087,7,O,"(41.598035, 2.289635)"
2181,10,E,"(41.61884, 2.293216)"
1943,71,O,"(41.61721, 2.292479)"
2138,9,O,"(41.616235, 2.292366)"
1943,44,E,"(41.617204, 2.292664)"
2094,203,O,"(41.617226, 2.29282)"
1943,20,E,"(41.616101, 2.291742)"
2138,18,E,"(41.616069, 2.292447)"
1943,10,E,"(41.615568, 2.291359)"
2100,13,O,"(41.614536, 2.291864)"
1899,27,O,"(41.61548, 2.293063)"
1899,29,O,"(41.61544, 2.293308)"
1899,31,O,"(41.615405, 2.293514)"
2076,1,O,"(41.615026, 2.292678)"
2076,2,E,"(41.614916, 2.2926)"
2076,16-18,E,"(41.614826, 2.293361)"
2113,1,O,"(41.613943, 2.29323)"
2086,5,O,"(41.613623, 2.291135)"
2100,14,E,"(41.614432, 2.291728)"
2100,16,E,"(41.614418, 2.29187)"
2118,162,E,"(41.61376, 2.290587)"
2086,1,O,"(41.613681, 2.290719)"
2107,1,B,"(41.614162, 2.290365)"
2153,1,O,"(41.615296, 2.29003)"
2178,40,E,"(41.615058, 2.289661)"
2244,16,E,"(41.613885, 2.288933)"
2253,2,E,"(41.614013, 2.288799)"
2244,20,E,"(41.613958, 2.28846)"
2244,30,E,"(41.614069, 2.287774)"
2046,2,E,"(41.612161, 2.288792)"
2118,149,O,"(41.613529, 2.290299)"
2118,160,E,"(41.613498, 2.290519)"
2359,2,E,"(41.61204, 2.2897)"
2051,169,O,"(41.613195, 2.289511)"
2193,8,E,"(41.613903, 2.283417)"
2193,1,O,"(41.613682, 2.283872)"
2300,87,O,"(41.610657, 2.284158)"
1912,14,E,"(41.609926, 2.28449)"
1912,11,O,"(41.609866, 2.284676)"
2198,2,E,"(41.609057, 2.285162)"
2086,74,E,"(41.612307, 2.296046)"
2385,110,E,"(41.608056, 2.297409)"
2658,11,O,"(41.611723, 2.302854)"
2658,3,O,"(41.610608, 2.300671)"
2658,1,O,"(41.610409, 2.300331)"
2218,1,O,"(41.609198, 2.293839)"
1909,19,O,"(41.609509, 2.294729)"
2176,32,E,"(41.612129, 2.292523)"
2176,34,E,"(41.612118, 2.292677)"
2297,101,O,"(41.611943, 2.292698)"
2063,16,E,"(41.609488, 2.29093)"
2063,44,E,"(41.609349, 2.291953)"
1921,56,E,"(41.608738, 2.292786)"
1921,58,E,"(41.608734, 2.29284)"
2249,73,O,"(41.606671, 2.2833)"
1895,56,E,"(41.606606, 2.283339)"
2171,12,E,"(41.606208, 2.283805)"
2235,36,E,"(41.605428, 2.284193)"
1895,43,O,"(41.606654, 2.284209)"
2280,1,O,"(41.608542, 2.287038)"
2270,2,E,"(41.607802, 2.285392)"
2306,28,E,"(41.609182, 2.286721)"
2067,61,O,"(41.612251, 2.28802)"
2370,5,B,"(41.607899, 2.286864)"
2212,1,O,"(41.601089, 2.288381)"
2212,21,O,"(41.601016, 2.28896)"
1891,15,O,"(41.600757, 2.288357)"
2212,16,E,"(41.600925, 2.289018)"
2212,2,E,"(41.601004, 2.288377)"
2314,44,E,"(41.60101, 2.286664)"
1900,60,E,"(41.601248, 2.285833)"
2271,158,E,"(41.600169, 2.288935)"
2263,92,E,"(41.601288, 2.290233)"
2271,99,O,"(41.601426, 2.289314)"
1891,31,O,"(41.600649, 2.289231)"
2212,38,E,"(41.60078, 2.290167)"
1891,46,E,"(41.600408, 2.290146)"
2189,37,O,"(41.602276, 2.289474)"
2189,61,O,"(41.602182, 2.290226)"
2045,12,E,"(41.605129, 2.289184)"
2045,2,E,"(41.605189, 2.288752)"
1886,1,O,"(41.605205, 2.288415)"
2204,20,E,"(41.605088, 2.289029)"
2238,2,E,"(41.604319, 2.290761)"
2131,56,E,"(41.605636, 2.290877)"
2263,1,O,"(41.605596, 2.29074)"
2219,1,O,"(41.603988, 2.290808)"
2219,7,O,"(41.603807, 2.291389)"
2347,33,O,"(41.603941, 2.291202)"
2189,63,O,"(41.602114, 2.290755)"
2263,55,O,"(41.602629, 2.290643)"
2144,54,E,"(41.602543, 2.291592)"
2399,75,O,"(41.596861, 2.28984)"
2242,1,O,"(41.596025, 2.289683)"
2339,16,E,"(41.598872, 2.289527)"
2339,14,E,"(41.599092, 2.289578)"
2284,8,E,"(41.599059, 2.28949)"
2135,1,O,"(41.599856, 2.28847)"
2038,22,E,"(41.599874, 2.288543)"
2038,30,E,"(41.599816, 2.289008)"
2038,14,E,"(41.599924, 2.288223)"
2072,22,E,"(41.598308, 2.290032)"
2087,13,E,"(41.598003, 2.28992)"
2238,18,E,"(41.604128, 2.291714)"
2172,2,E,"(41.61256, 2.275185)"
2172,10,E,"(41.612093, 2.275215)"
2019,2,E,"(41.613767, 2.277121)"
2291,23,O,"(41.614806, 2.276616)"
2291,1,O,"(41.614047, 2.276949)"
2019,1,O,"(41.614254, 2.277064)"
0,1,,"(41.613994, 2.280641)"
1911,7,O,"(41.612249, 2.281375)"
1944,19,O,"(41.612599, 2.282208)"
1944,21,O,"(41.612789, 2.282342)"
2160,12-14,E,"(41.613221, 2.27933)"
2259,20,E,"(41.611498, 2.27757)"
2377,38,E,"(41.611235, 2.278509)"
2102,4,E,"(41.61175, 2.278732)"
2102,2,E,"(41.611864, 2.278779)"
2247,31,O,"(41.606224, 2.28637)"
2050,12,B,"(41.605976, 2.288295)"
2197,24,E,"(41.607146, 2.28834)"
2211,9,B,"(41.606356, 2.287783)"
2099,1,O,"(41.606619, 2.287547)"
1804,23-25,O,"(41.600017, 2.2808)"
2042,2,E,"(41.601608, 2.287187)"
2045,1-3,O,"(41.605252, 2.288865)"
2045,24,E,"(41.605039, 2.290155)"
1806,1,O,"(41.598506, 2.286503)"
2101,5,O,"(41.612239, 2.275831)"
2101,1,O,"(41.612459, 2.27577)"
2070,1,O,"(41.612, 2.278199)"
2070,15,O,"(41.61205, 2.277703)"
2071,5,O,"(41.591685, 2.287274)"
2071,1,O,"(41.591889, 2.287316)"
2075,1,O,"(41.613863, 2.292489)"
2075,11,O,"(41.613786, 2.293015)"
2150,9,O,"(41.600216, 2.285935)"
2150,11,O,"(41.600227, 2.285848)"
2314,50,E,"(41.600036, 2.286459)"
2314,68,E,"(41.599546, 2.28638)"
2314,77,O,"(41.600053, 2.286607)"
2033,34,E,"(41.610312, 2.287125)"
2033,36,E,"(41.610402, 2.287149)"
2306,2,E,"(41.609158, 2.287721)"
2227,40,E,"(41.610476, 2.286148)"
1908,4,E,"(41.609577, 2.286137)"
1908,6,E,"(41.609643, 2.286169)"
2198,1,O,"(41.608963, 2.285382)"
2445,6,E,"(41.608994, 2.288237)"
2445,5,O,"(41.609035, 2.288371)"
2043,1,O,"(41.609777, 2.289079)"
2214,23,B,"(41.609369, 2.289643)"
2214,15,B,"(41.609657, 2.289315)"
2214,16,B,"(41.609523, 2.289312)"
2214,21,B,"(41.609495, 2.28962)"
1915,5,O,"(41.609462, 2.290055)"
2063,14,E,"(41.609623, 2.290136)"
2063,5,O,"(41.609738, 2.289771)"
2292,55,O,"(41.611426, 2.290312)"
2338,23,O,"(41.608282, 2.290353)"
2258,28,E,"(41.609354, 2.290185)"
2258,30,E,"(41.609455, 2.290259)"
2258,32,E,"(41.609548, 2.290317)"
2297,1,O,"(41.608218, 2.291731)"
1921,2,E,"(41.608837, 2.290819)"
2059,2,E,"(41.608393, 2.288616)"
2278,14,E,"(41.608266, 2.288815)"
2278,23,O,"(41.608353, 2.28873)"
2151,16,B,"(41.609122, 2.289225)"
2286,8,E,"(41.608296, 2.288283)"
2229,35,B,"(41.607816, 2.287183)"
2146,50,E,"(41.605674, 2.290297)"
2263,2,E,"(41.605578, 2.290371)"
2266,37,O,"(41.606294, 2.285776)"
2118,1,O,"(41.609841, 2.289192)"
2385,82,E,"(41.606982, 2.297107)"
2361,28,E,"(41.605242, 2.294787)"
2126,20,E,"(41.607286, 2.294746)"
2195,1,O,"(41.606768, 2.294097)"
1946,48,E,"(41.605838, 2.293679)"
2370,1,B,"(41.607804, 2.286981)"
2370,3,B,"(41.607781, 2.286784)"
2229,30,B,"(41.607845, 2.287436)"
2229,26,B,"(41.607789, 2.287863)"
2229,22,B,"(41.608041, 2.288086)"
2283,1,O,"(41.607701, 2.288078)"
2283,17,O,"(41.607594, 2.288618)"
2159,17,O,"(41.607486, 2.289315)"
1897,36,E,"(41.607251, 2.288612)"
2146,31,O,"(41.605816, 2.289776)"
2143,19,O,"(41.606023, 2.289073)"
2131,34,E,"(41.606158, 2.289965)"
2271,5,O,"(41.605482, 2.289849)"
2271,7,O,"(41.605372, 2.289831)"
2204,1,O,"(41.605711, 2.289249)"
2185,156,E,"(41.612884, 2.294961)"
2054,21,O,"(41.611921, 2.295603)"
2054,1,O,"(41.612081, 2.294793)"
2054,2,E,"(41.61196, 2.294724)"
2127,65,O,"(41.610979, 2.295333)"
2249,76,E,"(41.606271, 2.282985)"
2249,80,E,"(41.605963, 2.28296)"
2106,12,E,"(41.604813, 2.285547)"
2194,30,E,"(41.604049, 2.285535)"
2106,9,O,"(41.604692, 2.285494)"
2106,27,O,"(41.604682, 2.284622)"
2250,2,E,"(41.603575, 2.28553)"
2235,88,E,"(41.602863, 2.284472)"
1799,4,E,"(41.601443, 2.282479)"
2230,44,E,"(41.60296, 2.285502)"
2230,40,E,"(41.602976, 2.285606)"
2267,35,O,"(41.603278, 2.285582)"
2267,1,O,"(41.603437, 2.285444)"
2247,176,E,"(41.603086, 2.286268)"
2194,43,O,"(41.603931, 2.285852)"
2266,117,O,"(41.603056, 2.285798)"
1913,144,E,"(41.60328, 2.287106)"
2247,141,O,"(41.603198, 2.286386)"
2247,119,O,"(41.603866, 2.286374)"
1913,103,O,"(41.604005, 2.287242)"
2099,74,E,"(41.603932, 2.287544)"
2247,33,O,"(41.606086, 2.286358)"
2032,6,E,"(41.605407, 2.287381)"
2106,2,E,"(41.604771, 2.286182)"
2106,7,O,"(41.604705, 2.285824)"
2230,53,O,"(41.602778, 2.285566)"
2230,55,O,"(41.602764, 2.285503)"
1882,1,O,"(41.602651, 2.285477)"
2095,2,E,"(41.602518, 2.287458)"
2095,1,O,"(41.602404, 2.287448)"
2085,68,E,"(41.601404, 2.287358)"
2314,28,E,"(41.601709, 2.286821)"
1886,91,O,"(41.603238, 2.287993)"
1918,2,E,"(41.603707, 2.288186)"
1918,8,E,"(41.603665, 2.288558)"
2079,1,O,"(41.603215, 2.288063)"
2204,82,E,"(41.602882, 2.288518)"
2079,14,E,"(41.60297, 2.288727)"
2204,98,E,"(41.602226, 2.288386)"
2271,132,E,"(41.601456, 2.289143)"
1913,67,O,"(41.606122, 2.287051)"
2197,10,E,"(41.607094, 2.287392)"
1913,18,E,"(41.607403, 2.286927)"
1913,10,E,"(41.607566, 2.286941)"
2057,4,E,"(41.608425, 2.287647)"
1882,42,E,"(41.60135, 2.284789)"
1882,2,E,"(41.602709, 2.285304)"
2339,29,O,"(41.597859, 2.289493)"
2339,33,O,"(41.597669, 2.289453)"
2339,38,E,"(41.597848, 2.289311)"
2339,40,E,"(41.597661, 2.289273)"
2300,71,O,"(41.610596, 2.285406)"
1912,1,O,"(41.610475, 2.285244)"
2119,174,E,"(41.604364, 2.275163)"
2119,176,E,"(41.604206, 2.275139)"
2119,178,E,"(41.60402, 2.275102)"
2119,180,E,"(41.603829, 2.275067)"
2119,182,E,"(41.603652, 2.275044)"
2119,184,E,"(41.603463, 2.274985)"
2119,186,E,"(41.603297, 2.274963)"
2119,166,E,"(41.604701, 2.275215)"
2119,164,E,"(41.605069, 2.275271)"
2119,274,E,"(41.600194, 2.274858)"
2131,1,O,"(41.606965, 2.288795)"
2131,5,O,"(41.606915, 2.288877)"
2113,27,O,"(41.615463, 2.293643)"
2113,29,O,"(41.615789, 2.293733)"
2330,2,E,"(41.617539, 2.291165)"
2142,1,O,"(41.604696, 2.29328)"
2142,2,E,"(41.604627, 2.293266)"
2142,8,E,"(41.604626, 2.29344)"
1874,3,O,"(41.600202, 2.283686)"
1874,5,O,"(41.600118, 2.283667)"
2138,22,E,"(41.615955, 2.293185)"
2138,24,E,"(41.615918, 2.29342)"
2138,26,E,"(41.615878, 2.293661)"
2037,2,E,"(41.599102, 2.287866)"
2037,23,O,"(41.59917, 2.288454)"
2247,2,E,"(41.607126, 2.28624)"
2179,3,O,"(41.606479, 2.284969)"
2188,21,O,"(41.609736, 2.286015)"
2349,1,O,"(41.618586, 2.292849)"
2349,13,O,"(41.618532, 2.293115)"
2384,1,O,"(41.613894, 2.292339)"
2395,31,O,"(41.596151, 2.288472)"
2395,33,O,"(41.595953, 2.28843)"
2395,29,O,"(41.596762, 2.288603)"
2395,6-8,E,"(41.597153, 2.28847)"
2395,25-27,O,"(41.597286, 2.288729)"
2395,35,O,"(41.595058, 2.288244)"
2241,8,E,"(41.614553, 2.289744)"
2241,16,E,"(41.61465, 2.289084)"
2241,13,O,"(41.614524, 2.289092)"
2244,1,O,"(41.613537, 2.29019)"
2244,3,O,"(41.613549, 2.289965)"
2244,7,O,"(41.613564, 2.289415)"
2244,13,O,"(41.613642, 2.288896)"
2244,17,O,"(41.613745, 2.288229)"
2244,27,O,"(41.61382, 2.287688)"
2253,60,E,"(41.616437, 2.289487)"
2270,7,O,"(41.607479, 2.284155)"
2270,1,O,"(41.60757, 2.284879)"
2294,23,O,"(41.612993, 2.292839)"
2297,2,E,"(41.608244, 2.291834)"
2297,122,E,"(41.612896, 2.293093)"
2271,2,E,"(41.60618, 2.289856)"
2399,2,E,"(41.59706, 2.286813)"
1905,51-53,O,"(41.606277, 2.295005)"
1917,70,E,"(41.616187, 2.295208)"
2019,37,O,"(41.615272, 2.277165)"
2033,23,O,"(41.610083, 2.286937)"
2033,35,O,"(41.610429, 2.287023)"
2039,13,O,"(41.608029, 2.296274)"
2051,42,E,"(41.610523, 2.288277)"
2103,40-42,E,"(41.601215, 2.28933)"
2189,22,E,"(41.602188, 2.289168)"
2216,2,E,"(41.610266, 2.291128)"
2227,78,E,"(41.613769, 2.287542)"
2227,66,E,"(41.613097, 2.287333)"
2228,17,O,"(41.607198, 2.287532)"
2233,150,E,"(41.622023, 2.293133)"
2247,4,E,"(41.60698, 2.286238)"
1905,55-57,O,"(41.606445, 2.295005)"
1946,53,O,"(41.605666, 2.29355)"
2178,7,O,"(41.614057, 2.289218)"
2167,3,O,"(41.614045, 2.274174)"
2154,1,O,"(41.615024, 2.273287)"
2165,8,E,"(41.614955, 2.274613)"
2165,6,E,"(41.614966, 2.274769)"
2165,4,E,"(41.614813, 2.274868)"
2165,2,E,"(41.614647, 2.274965)"
2167,1,O,"(41.614247, 2.274168)"
2165,5,O,"(41.614223, 2.274616)"
2166,3,O,"(41.614157, 2.275175)"
2291,4,E,"(41.61429, 2.276716)"
2291,6,E,"(41.614477, 2.276671)"
2291,8,E,"(41.614598, 2.276715)"
2291,2,E,"(41.614197, 2.276926)"
2019,8,E,"(41.614068, 2.277193)"
2745,6,E,"(41.61451, 2.279131)"
0,7,,"(41.614144, 2.280052)"
0,5,,"(41.614095, 2.280242)"
0,2,,"(41.614168, 2.280622)"
2237,1,O,"(41.614192, 2.280838)"
2237,3,O,"(41.614321, 2.280898)"
2274,8,E,"(41.612176, 2.27407)"
2743,2-8,E,"(41.613444, 2.273116)"
2274,9,O,"(41.611974, 2.273963)"
2743,1-9,O,"(41.613482, 2.274362)"
2165,3,O,"(41.614004, 2.274621)"
2165,1,O,"(41.613813, 2.274629)"
2166,1,O,"(41.613956, 2.27516)"
1945,3,O,"(41.613573, 2.275057)"
1945,2,E,"(41.613838, 2.275507)"
2172,6,E,"(41.612292, 2.2752)"
2274,4,E,"(41.612349, 2.274448)"
2274,2,E,"(41.612466, 2.2747)"
2274,1,O,"(41.612393, 2.274841)"
2172,4,E,"(41.612423, 2.275192)"
2274,6,E,"(41.612263, 2.274252)"
2274,5,O,"(41.612096, 2.274224)"
2274,3,O,"(41.612246, 2.274548)"
2172,1,O,"(41.612538, 2.275341)"
2172,5,O,"(41.612348, 2.27535)"
2101,2,E,"(41.612519, 2.275626)"
2101,4,E,"(41.612311, 2.275661)"
2097,2,E,"(41.612498, 2.275907)"
2264,3,O,"(41.612512, 2.2761)"
2097,4,E,"(41.612393, 2.275942)"
2264,1,O,"(41.612455, 2.27636)"
2172,7,O,"(41.612156, 2.275358)"
2101,6,E,"(41.612108, 2.275683)"
2101,8,E,"(41.611935, 2.275721)"
2097,6,E,"(41.612262, 2.275985)"
2097,8,E,"(41.612132, 2.276026)"
2316,6,E,"(41.612125, 2.276302)"
2101,9,O,"(41.611945, 2.275862)"
2115,1,O,"(41.613241, 2.27743)"
2115,3,O,"(41.611963, 2.277219)"
2115,5,O,"(41.611915, 2.277216)"
2115,7,O,"(41.611861, 2.277212)"
2115,9,O,"(41.611826, 2.27721)"
2259,2,E,"(41.612689, 2.278032)"
2259,5,O,"(41.612515, 2.27815)"
2285,7,O,"(41.612511, 2.278476)"
2285,8,E,"(41.612617, 2.27849)"
2285,9,O,"(41.612531, 2.278429)"
2285,4,E,"(41.612562, 2.278612)"
2285,2,E,"(41.612536, 2.278673)"
2285,6,E,"(41.612593, 2.278544)"
2285,5,O,"(41.61249, 2.278525)"
2285,3,O,"(41.612459, 2.278596)"
2259,9,O,"(41.611956, 2.277921)"
2070,6,E,"(41.612253, 2.27839)"
2070,8,E,"(41.612265, 2.278334)"
2070,4,E,"(41.612242, 2.278444)"
2070,2,E,"(41.612229, 2.278516)"
2119,4,E,"(41.611913, 2.278325)"
2119,2,E,"(41.611972, 2.278368)"
2119,8,E,"(41.611839, 2.278272)"
2119,3,O,"(41.611726, 2.278427)"
2119,1,O,"(41.611828, 2.278506)"
2160,6-8,E,"(41.612935, 2.279217)"
0,3,,"(41.614043, 2.280448)"
2145,5,O,"(41.613736, 2.280118)"
2145,3,O,"(41.613576, 2.280044)"
2237,8,E,"(41.614, 2.280989)"
2237,6,E,"(41.613842, 2.280915)"
2145,4,E,"(41.613509, 2.280853)"
2036,5,O,"(41.613473, 2.281032)"
2145,1,O,"(41.613435, 2.279977)"
2036,3,O,"(41.613315, 2.28107)"
2145,2,E,"(41.613354, 2.280881)"
2036,1,O,"(41.613145, 2.281089)"
2160,4,E,"(41.612539, 2.27903)"
2160,2,E,"(41.612314, 2.278883)"
46,6,E,"(41.611891, 2.280991)"
46,8,E,"(41.611916, 2.280942)"
2296,9,O,"(41.611127, 2.277256)"
2296,1,O,"(41.61082, 2.277015)"
2296,5,O,"(41.611054, 2.27718)"
2296,7,O,"(41.611092, 2.277247)"
2372,1,O,"(41.611067, 2.277485)"
2372,3,O,"(41.611079, 2.277409)"
2119,7,O,"(41.611578, 2.278322)"
2119,5,O,"(41.611644, 2.278374)"
2119,9-11,O,"(41.611482, 2.278251)"
2102,6,E,"(41.611662, 2.278698)"
2102,8,E,"(41.611568, 2.278666)"
2064,8,E,"(41.609701, 2.280146)"
0,6,,"(41.614214, 2.281176)"
0,4,,"(41.614175, 2.281315)"
2180,3,O,"(41.614569, 2.28405)"
2180,4,E,"(41.614682, 2.283955)"
2180,2,E,"(41.614667, 2.284082)"
2180,1,O,"(41.614554, 2.284242)"
2319,1,O,"(41.605991, 2.275931)"
2319,2,E,"(41.605813, 2.275764)"
2319,4,E,"(41.605766, 2.276143)"
2319,6,E,"(41.605747, 2.276332)"
2122,2,E,"(41.608069, 2.277408)"
2122,1,O,"(41.608201, 2.277918)"
2169,1,O,"(41.60914, 2.279932)"
2122,3,O,"(41.607952, 2.277749)"
2122,7,O,"(41.607746, 2.277641)"
2122,5,O,"(41.607844, 2.277693)"
2122,9,O,"(41.607692, 2.277634)"
1904,9,O,"(41.608177, 2.278735)"
2124,1,O,"(41.607426, 2.277654)"
2124,5,O,"(41.607419, 2.277779)"
2124,7,O,"(41.60741, 2.277923)"
2124,9,O,"(41.607399, 2.278065)"
2124,2,E,"(41.607255, 2.277616)"
2124,4,E,"(41.607246, 2.277769)"
2124,6,E,"(41.607235, 2.277913)"
2124,8,E,"(41.607223, 2.278051)"
2139,9,O,"(41.617031, 2.290103)"
2139,3,O,"(41.617007, 2.290392)"
2139,7,O,"(41.617018, 2.290251)"
2139,5,O,"(41.617011, 2.290321)"
2140,4,E,"(41.61645, 2.289611)"
2140,7,O,"(41.616964, 2.289849)"
2140,5,O,"(41.616862, 2.289817)"
2140,3,O,"(41.616704, 2.289772)"
2140,1,O,"(41.6166, 2.289743)"
2140,6,E,"(41.616445, 2.28967)"
2140,8,E,"(41.616442, 2.289706)"
2319,8,E,"(41.60573, 2.276518)"
2248,7,O,"(41.615849, 2.288109)"
2248,5,O,"(41.615755, 2.288084)"
2319,9,O,"(41.605797, 2.277899)"
2153,3,O,"(41.615314, 2.289905)"
2248,8,E,"(41.615839, 2.288282)"
2153,4,E,"(41.615436, 2.289912)"
2248,9,O,"(41.616034, 2.288163)"
2158,8,E,"(41.616019, 2.290003)"
2158,7-9,O,"(41.61591, 2.289891)"
2158,5,O,"(41.615893, 2.290009)"
2158,6,E,"(41.616005, 2.290089)"
2158,4,E,"(41.61599, 2.290184)"
2158,3,O,"(41.615868, 2.290157)"
2158,2,E,"(41.615965, 2.290338)"
2158,1,O,"(41.615844, 2.290301)"
2248,6,E,"(41.615803, 2.288271)"
2153,7,O,"(41.615334, 2.289771)"
2153,8,E,"(41.615461, 2.289752)"
2153,6,E,"(41.615449, 2.28983)"
2153,9,O,"(41.615345, 2.289706)"
2153,5,O,"(41.615324, 2.289832)"
2153,2,E,"(41.61542, 2.290004)"
2107,7,B,"(41.614646, 2.290405)"
2241,9,O,"(41.61445, 2.28958)"
2241,7,O,"(41.614434, 2.289685)"
2241,1,O,"(41.614413, 2.28986)"
2253,6-8,E,"(41.614216, 2.28886)"
2107,6,B,"(41.614175, 2.290279)"
2178,9,O,"(41.614109, 2.289231)"
2266,4,E,"(41.608707, 2.285803)"
2214,5,B,"(41.609356, 2.289078)"
2106,5,O,"(41.604704, 2.28589)"
2734,1,B,"(41.611699, 2.282177)"
2036,6,E,"(41.613402, 2.281509)"
2036,4,E,"(41.61324, 2.281436)"
2036,2,E,"(41.613029, 2.281345)"
2358,5,O,"(41.613391, 2.281798)"
2358,3,O,"(41.613332, 2.282027)"
2358,1,O,"(41.613272, 2.282256)"
2193,9,O,"(41.613854, 2.283127)"
2193,6,E,"(41.613891, 2.283466)"
2193,7,O,"(41.613791, 2.283395)"
1911,4,E,"(41.612251, 2.281703)"
1911,8,E,"(41.612326, 2.281538)"
1911,6,E,"(41.612295, 2.281607)"
1911,5,O,"(41.612219, 2.281435)"
1911,3,O,"(41.612149, 2.281601)"
46,4,E,"(41.611834, 2.281119)"
46,2,E,"(41.611749, 2.281319)"
1944,1,O,"(41.611893, 2.281641)"
1911,2,E,"(41.612201, 2.281811)"
1944,5,O,"(41.61207, 2.281785)"
1911,1,O,"(41.612097, 2.28171)"
1944,9,O,"(41.61228, 2.281943)"
1944,3,O,"(41.612006, 2.281731)"
1944,7,O,"(41.61221, 2.281894)"
1944,8,E,"(41.611844, 2.281817)"
1944,6,E,"(41.611802, 2.281788)"
2734,2,B,"(41.611764, 2.282223)"
1898,4,E,"(41.612619, 2.282752)"
1898,2,E,"(41.612604, 2.282819)"
2734,5,B,"(41.611991, 2.28242)"
2734,8,B,"(41.612117, 2.282516)"
2734,7,B,"(41.612057, 2.282473)"
2734,6,B,"(41.612027, 2.282445)"
2734,9,B,"(41.61222, 2.2826)"
2734,4,B,"(41.611912, 2.282354)"
2734,3,B,"(41.611838, 2.282297)"
2193,3,O,"(41.613711, 2.283741)"
2193,2,E,"(41.613798, 2.283854)"
2193,5,O,"(41.613748, 2.283584)"
2249,2,E,"(41.610438, 2.283347)"
1890,1,O,"(41.611795, 2.287414)"
1890,4,E,"(41.611898, 2.287404)"
1890,2,E,"(41.611873, 2.287506)"
2253,9,O,"(41.614003, 2.288629)"
2178,5,O,"(41.614005, 2.289202)"
2178,3,O,"(41.613945, 2.289184)"
2178,1,O,"(41.613874, 2.289164)"
2178,8,E,"(41.614018, 2.289375)"
2178,6,E,"(41.613961, 2.289351)"
2178,4,E,"(41.613896, 2.289341)"
2178,2,E,"(41.613842, 2.289327)"
2244,4,E,"(41.613726, 2.290135)"
2313,9,O,"(41.612551, 2.288745)"
2313,7,O,"(41.612531, 2.288824)"
2313,5,O,"(41.612487, 2.289012)"
2046,9,O,"(41.612193, 2.288352)"
2046,7,O,"(41.612182, 2.288412)"
2046,1,O,"(41.612143, 2.288609)"
2046,6,E,"(41.612212, 2.288589)"
2046,8,E,"(41.612227, 2.288516)"
2046,5,O,"(41.612169, 2.288479)"
2046,3,O,"(41.612156, 2.288538)"
2046,4,E,"(41.612191, 2.288657)"
2313,4,E,"(41.612479, 2.289469)"
2039,20,E,"(41.608064, 2.296557)"
2313,2,E,"(41.612425, 2.28975)"
2359,9,O,"(41.612065, 2.289373)"
2359,6,E,"(41.612085, 2.289509)"
2176,2B,E,"(41.612272, 2.290343)"
2401,6,E,"(41.611317, 2.286815)"
2188,8,E,"(41.609731, 2.28639)"
2401,2,E,"(41.611239, 2.287158)"
2129,5,O,"(41.610047, 2.286536)"
2129,8,E,"(41.610132, 2.286511)"
2129,9,O,"(41.610063, 2.286428)"
2129,7,O,"(41.610054, 2.286484)"
2129,6,E,"(41.610125, 2.286551)"
2129,4,E,"(41.61011, 2.286664)"
2129,3,O,"(41.610037, 2.286601)"
2129,2,E,"(41.610082, 2.286846)"
2129,1,O,"(41.610021, 2.286699)"
2067,8B,E,"(41.610819, 2.287293)"
1908,5,O,"(41.609414, 2.285948)"
1908,9,O,"(41.609499, 2.285984)"
1908,7,O,"(41.609452, 2.285967)"
1908,2,E,"(41.609453, 2.286078)"
2067,8,E,"(41.61078, 2.287279)"
2188,5,O,"(41.609591, 2.286685)"
2188,6,E,"(41.60972, 2.286448)"
2188,4,E,"(41.609711, 2.286499)"
2112,9,O,"(41.610936, 2.287728)"
2112,7,O,"(41.610865, 2.287721)"
2033,9,O,"(41.609719, 2.286839)"
