CODI,EPÍGRAF,NOM,ADREÇA,SUPERFICIE (m2),ÚS,SERVEI RESPONSABLE
356,1.1.a Parcs i Jardins,Espai lliure,"C FRANCESC DURAN I REYNALS,   59 SUELO",3911,Jardins,Espais Verds
373,1.1.a Parcs i Jardins,Zona verd exterior sector U,"C MARIAN LASSUS,      SUELO",17020,Pendent urbanització,
104,1.1.a Parcs i Jardins,Sobrant atermenament Riu Congost,PLA DE PALOU                  ,5029,parc-camí,Urbanisme
106,1.1.a Parcs i Jardins,Sobrant atermenament Riu Congost,PLA DE PALOU                  ,13048,parc-camí,Urbanisme
107,1.1.a Parcs i Jardins,Sobrant atermenament Riu Congost,PLA DE PALOU                  ,4265,parc-camí,Urbanisme
108,1.1.a Parcs i Jardins,Sobrant atermenament Riu Congost,PLA DE PALOU                  ,2487,parc-camí,Urbanisme
149,1.1.a Parcs i Jardins,Aparcament-vialitat al carrer Mataro,"C MATARO,    1",3215,aparcament,Serveis i Via Pública
151,1.1.a Parcs i Jardins,Parc del Congost,"C PIUS XII,      SUELO",55753,Parc,Espais Verds
153,1.1.a Parcs i Jardins,Sobrant atermenament Riu Congost,PG FLUVIAL,736,zona verde,
156,1.1.a Parcs i Jardins,Jardins de Fàtima,"CTRA CALDES,   13 SUELO",1685,Jardins,Espais Verds
157,1.1.a Parcs i Jardins,jardins de Fàtima,"CTRA CALDES,   11 SUELO",77,Jardins,Espais Verds
160,1.1.a Parcs i Jardins,plaça amb cantonada amb c/Maria Palau,"C JOAN VIDAL I JUMBERT,      SUELO",323,plaça,
170,1.1.a Parcs i Jardins,Espai lliure -Joan Vinyoli,"C JOAN VINYOLI,    2 SUELO",8000,Aparcament,Serveis i Via Pública
171,1.1.a Parcs i Jardins,espai Lliure,"C JOAN VINYOLI,   32 SUELO",3910,Aparcament,Serveis i Via Pública
181,1.1.a Parcs i Jardins,Jardins camí Can Bassa,"CAMI CAN BASSA,      SUELO",2061,Jardins,Espais Verds
186,1.1.a Parcs i Jardins,Lateral Riu Congost,PG RIBERA,636,passeig,Urbanisme
188,1.1.a Parcs i Jardins,Sobrant atermenament riu,"PG RIBERA,    1B",1009,Vials,
195,1.1.a Parcs i Jardins,Jardins  de carrer Balmes,"C JAUME BALMES,      SUELO",581,Jardins,Espais Verds
197,1.1.a Parcs i Jardins,Jardins de c/ Pallars,"CTRA MASNOU,   29C",1113,Jardins,Espais Verds
198,1.1.a Parcs i Jardins,Jardins de c/ Caterina Albert,"CTRA MASNOU,   27B",1434,Jardins,Espais Verds
201,1.1.a Parcs i Jardins,Jardins de c/Can Muntanyola/C Europa,C CAMI RAL,273,Jardins,Espais Verds
212,1.1.a Parcs i Jardins,Jardins en c/ Maria Aurelia Capmany,"C CATERINA ALBERT,    3",4222,Jardins,Espais Verds
213,1.1.a Parcs i Jardins,Jardins en c/ Montserrat Roig,"C MIGDIA,   29",1036,Jardins,Espais Verds
216,1.1.a Parcs i Jardins,Jardins en av/Marie Curie,"AV MARIE CURIE,    1",214,Jardins,Espais Verds
217,1.1.a Parcs i Jardins,Jardins c/ Salvador Casanova,"AV MARIE CURIE,    3",316,Jardins,Espais Verds
219,1.1.a Parcs i Jardins,Jardins de Josep Sala,"C FERNAO MAGALLANES,  116 SUELO",1795,Jardins,Espais Verds
229,1.1.a Parcs i Jardins,Parc de la Mediterrania,"C MONTSERRAT ROIG,   36",4907,Parc,Espais Verds
246,1.1.a Parcs i Jardins,Jardins Mestre Muntanya,"C ESTEVE TERRADES,   60B",2649,Jardins,Espais Verds
253,1.1.a Parcs i Jardins,Jardins de La Tela,"C PALAUDARIES,  100",982,Jardins,Espais Verds
276,1.1.a Parcs i Jardins,Espai verd,"C ESTEVE TERRADES,  303",1719,Jardins,Espais Verds
277,1.1.a Parcs i Jardins,Espai verd,"C ESTEVE TERRADES,  301",2278,Jardins,Espais Verds
281,1.1.a Parcs i Jardins,Jardins en Rosseló-Lledoner,"C ROSSELLO,   74 SUELO",1644,Jardins,Espais Verds
283,1.1.a Parcs i Jardins,Jardins en Llevant/J. Umbet,"C LLEVANT,      SUELO",1304,Jardins,Espais Verds
284,1.1.a Parcs i Jardins,Jardins Enginyers,"C ENGINYER,   11 TODOS",1413,Jardins,Espais Verds
287,1.1.a Parcs i Jardins,Parc Torres Villà,"AV PARC,      TODOS",18375,Parc,Espais Verds
291,1.1.a Parcs i Jardins,Jardins en Apel.les Mestres,C APEL.LES MESTRES,3576,Jardins,Espais Verds
292,1.1.a Parcs i Jardins,Espai lliure,"C JOSEP UMBERT,  112",1832,espai lliure,Urbanisme
294,1.1.a Parcs i Jardins,Espai lliure,"PG MUNTANYA,   29B SUELO",582,Espai lliure,Urbanisme
295,1.1.a Parcs i Jardins,Jardins en Felip II,"C FRANCESC RIBAS,   41 SUELO",669,Jardins,Espais Verds
296,1.1.a Parcs i Jardins,Jardins de la Bobila,"C LOPE DE VEGA,   28 SUELO",1397,Jardins,Espais Verds
304,1.1.a Parcs i Jardins,Jardins en C.Zorrilla,"C JOSE ZORRILLA,    4 SUELO",1171,Jardins,Espais Verds
306,1.1.a Parcs i Jardins,Verd  en Turó d'en Bruguet,C TURO D'EN BRUGUET,2248,Esportiu,Esports
307,1.1.a Parcs i Jardins,Espai lliure rotonda,"C TURO D'EN BRUGUET,      SUELO",803,Jardins,Espais Verds
308,1.1.a Parcs i Jardins,Terreny en carrer de Venezuela,"C VENEÇUELA,   13 SUELO",592,Via pública,
315,1.1.a Parcs i Jardins,Espai lliure en Bartomeu Brufalt,"C BARTOMEU BRUFALT, 40",1672,Aparcament,Serveis i Via Pública
317,1.1.a Parcs i Jardins,Espai Liure en UA-W,C BERTRAN DE SEVA,609,Vialitat,Urbanisme
320,1.1.a Parcs i Jardins,Espai lliure,"C FREDERIC SOLER,    8 SUELO",371,Jardins,Espais Verds
322,1.1.a Parcs i Jardins,Espai lliure,"C FREDERIC SOLER,    6 SUELO",105,Jardins,Espais Verds
326,1.1.a Parcs i Jardins,Parc Puig de les Forques,"CTRA C-251 GRAN. - GIRONA,      SUELO",38348,Parc,Espais Verds
330,1.1.a Parcs i Jardins,Espai lliure,"C JOSEP CARNER,   45",317,Jardins,Espais Verds
427,1.1.a Parcs i Jardins,Jardins-petanca en Pl. de la Font Verda,"Plaça de la Fon Verda, 33",1157,Plaça,Espais Verds
431,1.1.a Parcs i Jardins,Pl. Jardins de Conrad-Salo,,3454,Jardins,Espais Verds
460,1.1.a Parcs i Jardins,Jardins en c. Ripolles,,707,Jardins,Espais Verds
461,1.1.a Parcs i Jardins,Jardins en c. Felip II,,1010,Jardins,Espais Verds
465,1.1.a Parcs i Jardins,Jardins en c.Rafael Casanova,,794,Jardins,Espais Verds
470,1.1.a Parcs i Jardins,Jardins en Rambla Tarradellas,,6072,Jardins,Espais Verds
487,1.1.a Parcs i Jardins,Jardins en C. Mataro/Conca del Besos,,3171,Jardins,Espais Verds
489,1.1.a Parcs i Jardins,Aparcament -C. Severo Ochoa,"C. Severo Ochoa, 50",3076,Aparcament,Serveis i Via Pública
514,1.1.a Parcs i Jardins,Jardins darrera del carrer de l'Urgel,"C/Esteve Terrades, 68",2578,Jardins,Espais Verds
515,1.1.a Parcs i Jardins,Jardins en c/Murillo,"c/ Murillo,12",264,Jardins,Espais Verds
517,1.1.a Parcs i Jardins,Parc en Sector K-Can Gili,Josep Escobar,21229,Parc-jardins,
518,1.1.a Parcs i Jardins,Jardins en Sector K-Can Gili,"crta.BV-1432, Granollers-Lliça",9677,Jardins,Espais Verds
321,1.1.a Parcs i Jardins,Espai lliure,"C FREDERIC SOLER,    6 SUELO",319,Jardins,Espais Verds
293,1.1.a Parcs i Jardins,Jardins en Plaça Font Verda,"PG MUNTANYA,   33 SUELO",417,Jardins,Espais Verds
516,1.1.a Parcs i Jardins,Aparcament en c/ Mataró,"C/Mataró, 25",908,Aparcament,Serveis i Via Pública
901,1.1.a Parcs i Jardins,PARC DE LES CINC,,1005,parc,
375,1.1.a Parcs i Jardins,Verneda de Can Gil,"C CAMI VELL LLIÇA A.,      Bl 28 SUELO",3467,Jardins,Espais Verds
376,1.1.a Parcs i Jardins,Atermenament rio Congost,"AV SANT JULIA,  227-229",16333,Vial-horts-zona verda,Urbanisme
378,1.1.a Parcs i Jardins,Pistes de Casting,"C ARQUIMEDES,      SUELO",28307,Esportiu,
379,1.1.a Parcs i Jardins,Verneda-gran de Can Gili,"C CAMI VELL LLIÇA A.,      Bl 25 SUELO",11580,Jardins,Espais Verds
380,1.1.a Parcs i Jardins,Pistes de conducció,"C GUGLIELMO MARCONI,      SUELO",15806,Pràctiques conduïr-examens,
381,1.1.a Parcs i Jardins,Atermenament rio Gongost,"C LOUIS PASTEUR,    5 SUELO",2882,Espai lliure,Urbanisme
383,1.1.a Parcs i Jardins,Escola FPO-Atermenament rio Gongost,"AV SANT JULIA,   81-83 TODOS",13622,Aparcament+2 barracons metàlics,Serveis i Via Pública
384,1.1.a Parcs i Jardins,Atermenament rio Gongost,"AV SANT JULIA,  227-229",7887,Jardins,Urbanisme
386,1.1.a Parcs i Jardins,Espais lliures-via Renfe,"C JOANOT MARTORELL,  164 SUELO",1560,Jardins,Espais Verds
391,1.1.a Parcs i Jardins,Parc Firal,"C LONDRES,   20-26 SUELO",72056,Parc Firal,Urbanisme
393,1.1.a Parcs i Jardins,Atermenament riu Congost,"AV SANT JULIA,  227-229",2680,Jardins,Urbanisme
394,1.1.a Parcs i Jardins,Atermenament riu Congost,"AV SANT JULIA,    5 SUELO",1485,vials i jardins,Urbanisme
401,1.1.a Parcs i Jardins,Parc de Ponent,Carrer de Rafael Casanova,26825,Parc,Espais Verds
865,1.1.a Parcs i Jardins,Jardins Lluís Companys,,11750,jardins,
159,1.1.b Places i vials urbans,Plaça de la Pau,"C NARCIS MONTURIOL,   43 SUELO",2439,Plaça,
165,1.1.b Places i vials urbans,plaça interior,C JOAN VIDAL I JUMBERT,767,plaça,
205,1.1.b Places i vials urbans,Plaça en PMU 14-B,"C JOAN PERE FONTANELLA,    2",180,Plaça,
209,1.1.b Places i vials urbans,Plaça en PMU-14-B,"C JOAN PERE FONTANELLA,    2",1047,Plaça,
