CODI,EPÍGRAF,NOM,ADREÇA,SUPERFICIE (m2),ÚS,SERVEI RESPONSABLE
705,1.1.b Places i vials urbans,C SALVADOR ESPRIU,,1389,carrer,
706,1.1.b Places i vials urbans,C JOAN VINYOLI,,1738,carrer,
667,1.1.b Places i vials urbans,C NOU,,709,carrer,
668,1.1.b Places i vials urbans,C MUSEU,,651,carrer,
669,1.1.b Places i vials urbans,C CORREDOSSOS DE CAN GINEBREDA,,176,carrer,
670,1.1.b Places i vials urbans,C SANT JOAN BAPTISTA,,113,carrer,
707,1.1.b Places i vials urbans,AV SANT JULIA,,49275,carrer,
708,1.1.b Places i vials urbans,CTRA RONDA SUD,,59104,carretera,
671,1.1.b Places i vials urbans,C ANNIBAL,,3905,carrer,
672,1.1.b Places i vials urbans,C MOLI,,266,carrer,
673,1.1.b Places i vials urbans,C MENENDEZ PELAYO,,1084,carrer,
674,1.1.b Places i vials urbans,C ISABEL DE VILLENA,,3903,carrer,
676,1.1.b Places i vials urbans,C JULI GONZALEZ,,323,carrer,
677,1.1.b Places i vials urbans,C LLUIS COMPANYS,,15456,carrer,
847,1.1.b Places i vials urbans,PG FLUVIAL,,54982,carrer,
850,1.1.b Places i vials urbans,CAMI CAL PASTOR,,843,carrer,
852,1.1.b Places i vials urbans,PL JOAN OLIVER,,4145,plaça,
854,1.1.b Places i vials urbans,PL CONSTITUCIO,,3181,plaça,
855,1.1.b Places i vials urbans,CRTA. VIA INTERPOLAR,,30279,carretera,
856,1.1.b Places i vials urbans,C CAN PUIG,,1648,carrer,
857,1.1.b Places i vials urbans,CAMI CAN MANY,,1530,carrer,
766,1.1.b Places i vials urbans,C RONÇANA,,2958,carrer,
783,1.1.b Places i vials urbans,C JAUME BALMES,,3118,carrer,
784,1.1.b Places i vials urbans,C MURALLA,,496,carrer,
787,1.1.b Places i vials urbans,C TRIOMF,,166,carrer,
795,1.1.b Places i vials urbans,C ROGER DE FLOR,,19739,carrer,
802,1.1.b Places i vials urbans,C JOAN VIDAL I JUMBERT,,7008,carrer,
803,1.1.b Places i vials urbans,C CELLECS,,2102,carrer,
804,1.1.b Places i vials urbans,C PUIGGRACIOS,,1078,carrer,
811,1.1.b Places i vials urbans,C MAS GILI,,1635,carrer,
768,1.1.b Places i vials urbans,C SALVADOR CASANOVA,,2549,carrer,
797,1.1.b Places i vials urbans,C CAMI VELL CANOVELLES,,3198,carrer,
807,1.1.b Places i vials urbans,CTRA CANOVELLES,,2836,carretera,
815,1.1.b Places i vials urbans,C IGNASI IGLESIAS,,988,carrer,
816,1.1.b Places i vials urbans,AV ESTACIO DEL NORD,,10088,carrer,
827,1.1.b Places i vials urbans,C EMILI HUGUET DEL VILLAR,,2396,carrer,
798,1.1.b Places i vials urbans,C ANTONI GAUDI,,4455,carrer,
809,1.1.b Places i vials urbans,CTRA CALDES,,8218,carrer,
818,1.1.b Places i vials urbans,C SANT ANTONI,,813,carrer,
830,1.1.b Places i vials urbans,C GABRIEL FERRATER,,726,carrer,
842,1.1.b Places i vials urbans,PL JORDI CAMP,,2736,plaça,
810,1.1.b Places i vials urbans,C MAS CARRENCA,,1447,carrer,
813,1.1.b Places i vials urbans,C MAS LLEDO,,1691,carrer,
833,1.1.b Places i vials urbans,C FRANCESC DURAN I REYNALS,,13217,carrer,
841,1.1.b Places i vials urbans,PG FRANCESC FABREGAS,,4567,carrer,
819,1.1.b Places i vials urbans,PG RIBERA,,15226,carrer,
820,1.1.b Places i vials urbans,C PAU CARBO,,989,carrer,
821,1.1.b Places i vials urbans,PG JOANOT MARTORELL,,120,carrer,
822,1.1.b Places i vials urbans,C ARENYS,,2444,carrer,
823,1.1.b Places i vials urbans,C SANT FERRAN,,3800,carrer,
834,1.1.b Places i vials urbans,C HERMENEGILD CARRERA,,1299,carrer,
845,1.1.b Places i vials urbans,C JOAN MARAGALL,,4115,carrer,
846,1.1.b Places i vials urbans,CAMI MIRANDA (LA),,281,carrer,
836,1.1.b Places i vials urbans,AV PARC,,6859,carrer,
837,1.1.b Places i vials urbans,C JAUME CAMP I LLOREDA,,140,carrer,
838,1.1.b Places i vials urbans,C FRANCESC GIMENO,,1546,carrer,
826,1.1.b Places i vials urbans,C GRECO,,400,carrer,
902,1.1.b Places i vials urbans,C MATAGALLS,,4565,carrer,
770,1.1.b Places i vials urbans,C TOMAS ALBA EDISON,,119,carrer,
771,1.1.b Places i vials urbans,C SASTRE,,134,carrer,
773,1.1.b Places i vials urbans,C SANTA APOL.LONIA,,158,carrer,
775,1.1.b Places i vials urbans,C UNIO,,332,carrer,
776,1.1.b Places i vials urbans,C FONT DE L'ESCOT,,1598,carrer,
758,1.1.b Places i vials urbans,C CATERINA ALBERT,,6906,carrer,
760,1.1.b Places i vials urbans,C MAS DRAPER,,859,carrer,
761,1.1.b Places i vials urbans,C CAPCIR,,901,carrer,
778,1.1.b Places i vials urbans,C CONGOST,,725,carrer,
779,1.1.b Places i vials urbans,C ALMOGAVERS,,1311,carrer,
789,1.1.b Places i vials urbans,C ANTONI ESPI I GRAU,,229,carrer,
791,1.1.b Places i vials urbans,C CONSTANCIA,,352,carrer,
762,1.1.b Places i vials urbans,C URGELL,,738,carrer,
763,1.1.b Places i vials urbans,C GARROTXA,,2949,carrer,
780,1.1.b Places i vials urbans,C SOL,,1058,carrer,
781,1.1.b Places i vials urbans,C GREGORI RESINA,,950,carrer,
782,1.1.b Places i vials urbans,C JOAN COLL,,600,carrer,
792,1.1.b Places i vials urbans,C POMPEU FABRA,,1464,carrer,
794,1.1.b Places i vials urbans,C SANT JOSEP,,2568,carrer,
796,1.1.b Places i vials urbans,C SANT TOMAS D'AQUINO,,2199,carrer,
887,1.1.b Places i vials urbans,C RAMON LLULL,,9058,carrer,
886,1.1.b Places i vials urbans,C JOSEP ESCOBAR,,5022,carrer,
694,1.1.b Places i vials urbans,C ANGEL GUIMERA,,1172,carrer,
530,1.1.b Places i vials urbans,C PONENT,,8327,carrer,
531,1.1.b Places i vials urbans,C JOSEP TORRAS I BAGES,,6973,carrer,
532,1.1.b Places i vials urbans,C CATALUNYA,,834,carrer,
533,1.1.b Places i vials urbans,C JOSEP MARIA RUERA,,833,carrer,
685,1.1.b Places i vials urbans,C CAN CORTS,,4430,carrer,
686,1.1.b Places i vials urbans,C JOAN FUSTER,,296,carrer,
687,1.1.b Places i vials urbans,C EDUARD TOLDRA,,454,carrer,
688,1.1.b Places i vials urbans,C PABLO PICASSO,,617,carrer,
689,1.1.b Places i vials urbans,C JOAN MIRO,,597,carrer,
690,1.1.b Places i vials urbans,C SANTIAGO RAMON I CAJAL,,1767,carrer,
691,1.1.b Places i vials urbans,C MIGUEL DE CERVANTES,,2019,carrer,
693,1.1.b Places i vials urbans,C CRISTOFOL COLOM,,5384,carrer,
539,1.1.b Places i vials urbans,C BRUNIQUER,,1492,carrer,
543,1.1.b Places i vials urbans,TRVA FRANCESC TARAFA,,308,carrer,
541,1.1.b Places i vials urbans,C PINOS,,1893,carrer,
542,1.1.b Places i vials urbans,C FRANCESC TARAFA,,3535,carrer,
696,1.1.b Places i vials urbans,C ISAAC ALBENIZ,,2113,carrer,
698,1.1.b Places i vials urbans,C FRANCESC SERRA,,859,carrer,
699,1.1.b Places i vials urbans,C VOLUNTARIS 92,,2805,carrer,
701,1.1.b Places i vials urbans,C PLA DE BAIX,,7891,carrer,
702,1.1.b Places i vials urbans,C EMILI BOTEY ALSINA,,6193,carrer,
536,1.1.b Places i vials urbans,C ENGINYER,,2271,carrer,
537,1.1.b Places i vials urbans,C MARIA SANS,,1022,carrer,
547,1.1.b Places i vials urbans,C HOSPITAL,,1927,carrer,
548,1.1.b Places i vials urbans,C PIRINEUS,,323,carrer,
889,1.1.b Places i vials urbans,C FRANCESC MACIA,,22218,carrer,
890,1.1.b Places i vials urbans,Sense Nom,,831,carrer,
544,1.1.b Places i vials urbans,C MINETES,,1855,carrer,
545,1.1.b Places i vials urbans,C FRANCESC LLOBET,,250,carrer,
892,1.1.b Places i vials urbans,Sense Nom,,2109,carrer,
893,1.1.b Places i vials urbans,CAMI SERRA (LA),,2837,carrer,
896,1.1.b Places i vials urbans,CAMI PARETS,,1745,carrer,
895,1.1.b Places i vials urbans,CAMI PARETS,,2214,carrer,
552,1.1.b Places i vials urbans,C APEL.LES MESTRES,,1865,carrer,
554,1.1.b Places i vials urbans,C CAMI ROMÀ,,2765,carrer,
569,1.1.b Places i vials urbans,C ALBERT EINSTEIN,,559,carrer,
570,1.1.b Places i vials urbans,C JOSEP PLA,,3810,carrer,
557,1.1.b Places i vials urbans,C ROSSELLO,,10639,carrer,
558,1.1.b Places i vials urbans,C RIPOLLES,,8505,carrer,
561,1.1.b Places i vials urbans,C JAUME CORBERA,,5086,carrer,
565,1.1.b Places i vials urbans,C FREDERIC MOMPOU,,1383,carrer,
567,1.1.b Places i vials urbans,C FRANCISCO PIZARRO,,871,carrer,
564,1.1.b Places i vials urbans,C 1R MARQUES FRANQUESES,,7083,carrer,
555,1.1.b Places i vials urbans,C CORRO,,11693,carrer,
592,1.1.b Places i vials urbans,C JOSEP MARIA SAGARRA,,9281,carrer,
595,1.1.b Places i vials urbans,C LLUIS VIVES,,6977,carrer,
596,1.1.b Places i vials urbans,C CARLES RIBA,,6682,carrer,
572,1.1.b Places i vials urbans,C JOAN COROMINES,,3078,carrer,
574,1.1.b Places i vials urbans,TRVA LLEDONER,,677,carrer,
575,1.1.b Places i vials urbans,C LLEDONER,,3890,carrer,
413,1.1.b Places i vials urbans,Pl. Amadeu Castellanos,,948,Plaça,
415,1.1.b Places i vials urbans,Pl. de Can Monic,,8095,Plaça,
416,1.1.b Places i vials urbans,Pl.Can Bassa,,1584,Plaça,
860,1.1.b Places i vials urbans,CTRA C-17,,36796,carrer,
861,1.1.b Places i vials urbans,C TURO D'EN BRUGUET,,2050,carrer,
862,1.1.b Places i vials urbans,C JOAQUIM MIR,,4522,carrer,
878,1.1.b Places i vials urbans,C SANTA ANNA,,541,carrer,
864,1.1.b Places i vials urbans,C M. LLUÏSA ALGARRA COMA,,900,carrer,
868,1.1.b Places i vials urbans,C GAS,,211,carrer,
879,1.1.b Places i vials urbans,C SANT ROC,,734,carrer,
880,1.1.b Places i vials urbans,C SANTA ELISABETH,,290,carrer,
884,1.1.b Places i vials urbans,C MANUEL DE FALLA,,2220,carrer,
885,1.1.b Places i vials urbans,C MATARO,,3526,carrer,
881,1.1.b Places i vials urbans,C LLEVANT,,5533,carrer,
869,1.1.b Places i vials urbans,C ROMA,,1270,carrer,
870,1.1.b Places i vials urbans,C MONTORNES,,1971,carrer,
882,1.1.b Places i vials urbans,C PEDRO CALDERON LA BARCA,,1264,carrer,
872,1.1.b Places i vials urbans,C PUIG I PERUCHO,,3670,carrer,
874,1.1.b Places i vials urbans,C JULI GARRETA,,640,carrer,
875,1.1.b Places i vials urbans,C ESPANYA,,1406,carrer,
876,1.1.b Places i vials urbans,PL COSTURA,,315,plaça,
883,1.1.b Places i vials urbans,C ESTEVE TERRADES,,22580,carrer,
877,1.1.b Places i vials urbans,PL CONVENT VELL,,1478,plaça,
859,1.1.b Places i vials urbans,AUTO AP7,,44031,autopista,
863,1.1.b Places i vials urbans,C FREDERIC SOLER,,1925,carrer,
899,1.1.b Places i vials urbans,CAMI CAN BASSA,,18092,carrer,
900,1.1.b Places i vials urbans,C CAMI RAL,,32041,carrer,
828,1.1.b Places i vials urbans,C PIUS XII,,12579,carrer,
831,1.1.b Places i vials urbans,C CONCORDIA,,392,carrer,
808,1.1.b Places i vials urbans,C TAGAMANENT,,1573,carrer,
756,1.1.b Places i vials urbans,CTRA MASNOU,,33289,carrer,
832,1.1.b Places i vials urbans,CRTA N-152A,,30509,carretera,
844,1.1.b Places i vials urbans,C DIEGO RODRIGO VELAZQUEZ,,1055,carrer,
757,1.1.b Places i vials urbans,C PALLARS,,6259,carrer,
759,1.1.b Places i vials urbans,C ESTEVE GARRELL,,2245,carrer,
812,1.1.b Places i vials urbans,C CAMI VELL LLIÇA A.,,5334,carrer,
814,1.1.b Places i vials urbans,C SANT MARC,,2649,carrer,
817,1.1.b Places i vials urbans,C SARDANA,,762,carrer,
765,1.1.b Places i vials urbans,C VALLESPIR,,3148,carrer,
767,1.1.b Places i vials urbans,CAMI CAL TARONJAIRE,,2965,carrer,
835,1.1.b Places i vials urbans,C JOAN VILA AYATS,,945,carrer,
769,1.1.b Places i vials urbans,C BERNAT DE ROCAFORT,,121,carrer,
772,1.1.b Places i vials urbans,C DR. RIERA,,66,carrer,
774,1.1.b Places i vials urbans,C COMTES DE BELL-LLOC,,506,carrer,
858,1.1.b Places i vials urbans,CAMI CAN GURI,,3439,carrer,
848,1.1.b Places i vials urbans,C MAS ESTAPER,,2112,carrer,
851,1.1.b Places i vials urbans,AV AUTOVIA DE L'AMETLLA,,2715,carrer,
853,1.1.b Places i vials urbans,C TERRASSA,,1085,carrer,
866,1.1.b Places i vials urbans,C JOSEP TRUETA,,4034,carrer,
867,1.1.b Places i vials urbans,CAMI CAN GENER,,1970,carrer,
871,1.1.b Places i vials urbans,C COSTA RICA,,1868,carrer,
873,1.1.b Places i vials urbans,C GIRONA,,38761,carrer,
888,1.1.b Places i vials urbans,C VENEÇUELA,,16424,carrer,
717,1.1.b Places i vials urbans,CAMI CAN CATALA,,2684,carrer,
829,1.1.b Places i vials urbans,C JOAN CAMPS,,4017,carrer,
764,1.1.b Places i vials urbans,C CONFLENT,,1088,carrer,
589,1.1.b Places i vials urbans,C AGUSTINA D'ARAGO,,724,carrer,
594,1.1.b Places i vials urbans,C PINTORS VERGOS,,803,carrer,
625,1.1.b Places i vials urbans,RBLA JOSEP TARRADELLAS,,4673,carrer,
806,1.1.b Places i vials urbans,C JOSEP FONTDEVILA,,998,carrer,
805,1.1.b Places i vials urbans,C MARIA PALAU,,5705,carrer,
801,1.1.b Places i vials urbans,C MOLI DE LA SAL,,291,carrer,
800,1.1.b Places i vials urbans,C NARCIS MONTURIOL,,4239,carrer,
724,1.1.b Places i vials urbans,TRVA JORDI CAMP,,1576,carrer,
562,1.1.b Places i vials urbans,C JULES VERNE,,559,carrer,
540,1.1.b Places i vials urbans,C TETUAN,,3386,carrer,
777,1.1.b Places i vials urbans,C VALENCIA,,2846,carrer,
843,1.1.b Places i vials urbans,C MANUEL MASJUAN,,1181,carrer,
849,1.1.b Places i vials urbans,C ALGUER,,2983,carrer,
715,1.1.b Places i vials urbans,CAMI CAN GORDI,,10245,carrer,
692,1.1.b Places i vials urbans,C JULIA CENTELLES,,838,carrer,
695,1.1.b Places i vials urbans,C SANTIAGO RUSINYOL,,1049,carrer,
697,1.1.b Places i vials urbans,C SANT ANTONI MARIA CLARET,,820,carrer,
700,1.1.b Places i vials urbans,C VICENÇ ALBARRANCH,,2816,carrer,
534,1.1.b Places i vials urbans,C JOSEP IRLA,,518,carrer,
535,1.1.b Places i vials urbans,C JOAN PRIM,,12273,carrer,
538,1.1.b Places i vials urbans,C BENET MORATO,,186,carrer,
546,1.1.b Places i vials urbans,C FRANCESC RIBAS,,15126,carrer,
549,1.1.b Places i vials urbans,C JUAN DE LA CIERVA,,2626,carrer,
550,1.1.b Places i vials urbans,TRVA HOSPITAL,,163,carrer,
891,1.1.b Places i vials urbans,Sense Nom,,868,carrer,
894,1.1.b Places i vials urbans,CAMI CA L'ESQUELLA,,1917,carrer,
897,1.1.b Places i vials urbans,Sense Nom,,1322,carrer,
898,1.1.b Places i vials urbans,CAMI CAN NINOU,,3984,carrer,
551,1.1.b Places i vials urbans,C FIGUERES,,844,carrer,
553,1.1.b Places i vials urbans,C LOPE DE VEGA,,1639,carrer,
556,1.1.b Places i vials urbans,C MANRESA,,1904,carrer,
560,1.1.b Places i vials urbans,C RAFAEL CASANOVA,,25916,carrer,
559,1.1.b Places i vials urbans,C MARIA FORTUNY,,1767,carrer,
563,1.1.b Places i vials urbans,C MARIA ANGELS ANGLADA,,1421,carrer,
566,1.1.b Places i vials urbans,C MONTCADA,,453,carrer,
568,1.1.b Places i vials urbans,TRVA FRANCISCO PIZARRO,,556,carrer,
571,1.1.b Places i vials urbans,C SANT PLACID,,3063,carrer,
573,1.1.b Places i vials urbans,C MARIA ANNA MOGAS,,376,carrer,
576,1.1.b Places i vials urbans,PTGE LLEDONER,,768,carrer,
598,1.1.b Places i vials urbans,C COLOMBIA,,1866,carrer,
597,1.1.b Places i vials urbans,C BRASIL,,8411,carrer,
599,1.1.b Places i vials urbans,C CANIGO,,564,carrer,
628,1.1.b Places i vials urbans,C JOSEP PINYOL,,1019,carrer,
629,1.1.b Places i vials urbans,C MARTI GRIVE,,1766,carrer,
618,1.1.b Places i vials urbans,C TURO DE L'HOME,,1260,carrer,
621,1.1.b Places i vials urbans,C DIONIS PUIG,,3542,carrer,
623,1.1.b Places i vials urbans,AV SANT ESTEVE,,17574,carrer,
610,1.1.b Places i vials urbans,C LLEIDA,,245,carrer,
612,1.1.b Places i vials urbans,C URUGUAI,,3239,carrer,
631,1.1.b Places i vials urbans,C INDUSTRIA,,2585,carrer,
632,1.1.b Places i vials urbans,C PEP VENTURA,,854,carrer,
638,1.1.b Places i vials urbans,C LLEO,,475,carrer,
641,1.1.b Places i vials urbans,C VALLES,,5035,carrer,
642,1.1.b Places i vials urbans,C COMERÇ,,1562,carrer,
645,1.1.b Places i vials urbans,C FRANCISCO DE GOYA,,953,carrer,
636,1.1.b Places i vials urbans,C PALAUDARIES,,3183,carrer,
655,1.1.b Places i vials urbans,C BARCELONA,,3848,carrer,
652,1.1.b Places i vials urbans,C NAVARRA,,4807,carrer,
653,1.1.b Places i vials urbans,C SANT JAUME,,7434,carrer,
647,1.1.b Places i vials urbans,PTGE FERRER I GUARDIA,,403,carrer,
658,1.1.b Places i vials urbans,C ALFONS IV,,3392,carrer,
660,1.1.b Places i vials urbans,C PRINCEP DE VIANA,,1538,carrer,
675,1.1.b Places i vials urbans,C JOAN PERE FONTANELLA,,1929,carrer,
678,1.1.b Places i vials urbans,C PAU GARGALLO,,597,carrer,
679,1.1.b Places i vials urbans,C LLUIS MILLET,,433,carrer,
712,1.1.b Places i vials urbans,C ARQUIMEDES,,2020,carrer,
681,1.1.b Places i vials urbans,C ENRIC MORERA,,455,carrer,
683,1.1.b Places i vials urbans,C MERCE RODOREDA,,637,carrer,
684,1.1.b Places i vials urbans,C LLORENÇ VILLALONGA,,1576,carrer,
704,1.1.b Places i vials urbans,C SALVADOR DALI,,1011,carrer,
733,1.1.b Places i vials urbans,CAMI CAL ROS DELS OCELLS,,16855,carrer,
731,1.1.b Places i vials urbans,C GALILEU GALILEI,,18859,carrer,
735,1.1.b Places i vials urbans,C ALFRED NOBEL,,6369,carrer,
718,1.1.b Places i vials urbans,CAMI DE CAN FERRAN,,3842,carrer,
755,1.1.b Places i vials urbans,PTGE FABRICA,,301,carrer,
720,1.1.b Places i vials urbans,C JORDI CAMP,,11702,carrer,
722,1.1.b Places i vials urbans,C JOANOT MARTORELL,,16525,carrer,
732,1.1.b Places i vials urbans,C LEONARDO TORRES QUEVEDO,,6041,carrer,
727,1.1.b Places i vials urbans,PTGE JORDI CAMP,,1115,carrer,
737,1.1.b Places i vials urbans,C ARBECA,,1434,carrer,
739,1.1.b Places i vials urbans,C LLINARS,,2710,carrer,
742,1.1.b Places i vials urbans,CAMI DE CAN MUNTANYOLA,,3641,carrer,
729,1.1.b Places i vials urbans,C JAUME FERRAN,,1246,carrer,
745,1.1.b Places i vials urbans,C PALAUTORDERA,,6208,carrer,
748,1.1.b Places i vials urbans,C FERNAO MAGALLANES,,4352,carrer,
750,1.1.b Places i vials urbans,C BARTOMEU SERRET I ARGEMI,,2857,carrer,
753,1.1.b Places i vials urbans,C MARGARIDA XIRGU,,931,carrer,
785,1.1.b Places i vials urbans,C AURELI FONT,,243,carrer,
786,1.1.b Places i vials urbans,C TRAVESSERES,,901,carrer,
788,1.1.b Places i vials urbans,C REC,,2744,carrer,
790,1.1.b Places i vials urbans,C SANT BARTOMEU,,169,carrer,
824,1.1.b Places i vials urbans,C MERCE,,675,carrer,
839,1.1.b Places i vials urbans,C JOAN ENRIC DUNANT,,5639,carrer,
793,1.1.b Places i vials urbans,C MARE DE DEU DE NURIA,,2742,carrer,
840,1.1.b Places i vials urbans,CTRA C-251 GRAN. - GIRONA,,12274,carretera,
799,1.1.b Places i vials urbans,TRVA TOMAS BALBEY,,438,carrer,
825,1.1.b Places i vials urbans,CRTA. BV-1432 GRANOLLERS-LLIÇA,,12749,carretera,
11,1.1.c Vials no urbans,Camí de la Miranda,SERRA DE LLEVANT              ,966,camí,Urbanisme
12,1.1.c Vials no urbans,Camí de Santa Quiteria,SERRA DE LLEVANT              ,6848,Camí,Urbanisme
13,1.1.c Vials no urbans,Camí De la Torre de les Aigües,SERRA DE LLEVANT              ,2937,Camí,Urbanisme
14,1.1.c Vials no urbans,Camí de Can  Xolino,SERRA DE LLEVANT              ,580,Camí,Urbanisme
16,1.1.c Vials no urbans,Camí,SERRA DE LLEVANT              ,393,Camí entre parcel.les,Urbanisme
17,1.1.c Vials no urbans,Camí-corriol,SERRA DE LLEVANT              ,1494,Camí entre parcel.les,Urbanisme
18,1.1.c Vials no urbans,Camí de Can Casaca,SERRA DE PONENT               ,4180,Camí,Urbanisme
19,1.1.c Vials no urbans,Camí accés a Can Jané de Baix,SERRA DE PONENT               ,1286,camí,Urbanisme
21,1.1.c Vials no urbans,Camí de Can Gener-Can Climent,SERRA DE LLEVANT              ,1572,Camí,Urbanisme
22,1.1.c Vials no urbans,Camí,SERRA DE LLEVANT              ,1859,Camí paralel.l via,Urbanisme
23,1.1.c Vials no urbans,Camí de Can Bassa,SERRA DE LLEVANT              ,437,Camí,Urbanisme
24,1.1.c Vials no urbans,Camí den Pepe Julià,SERRA DE LLEVANT              ,3463,cami accés vivendes,Urbanisme
26,1.1.c Vials no urbans,Camí de Can Salelles,SERRA DE LLEVANT              ,2814,Camí,Urbanisme
27,1.1.c Vials no urbans,Camí de Can Bassa,SERRA DE LLEVANT              ,1784,Camí,Urbanisme
28,1.1.c Vials no urbans,Camí de la Miranda,SERRA DE LLEVANT              ,1535,Camí,Urbanisme
30,1.1.c Vials no urbans,Camí de Can Rosselló,SERRA DE PONENT               ,5346,Camí,Urbanisme
31,1.1.c Vials no urbans,Camí de Can Casaca,SERRA DE PONENT               ,1819,Camí,Urbanisme
32,1.1.c Vials no urbans,Camí de Can Puça,SERRA DE PONENT               ,1505,Camí,Urbanisme
33,1.1.c Vials no urbans,Camí a Font del Radium i Can Coll,SERRA DE PONENT               ,5595,Camí,Urbanisme
35,1.1.c Vials no urbans,Camí de la Font del Radium,SERRA DE PONENT               ,1031,camí,Urbanisme
36,1.1.c Vials no urbans,Camí de Font del Radium,SERRA DE PONENT               ,1591,Camí,Urbanisme
37,1.1.c Vials no urbans,Camí,SERRA DE PONENT               ,1401,Camí,Urbanisme
39,1.1.c Vials no urbans,Camí de can Rosselló,SERRA DE PONENT               ,2492,Camí,Urbanisme
40,1.1.c Vials no urbans,Camí,SERRA DE PONENT               ,709,Camí,Urbanisme
42,1.1.c Vials no urbans,Camí de Terra Alta,TERRA ALTA                    ,1607,Camí,Urbanisme
44,1.1.c Vials no urbans,Camí de Can Rosselló,SERRA DE PONENT               ,1413,camí,Urbanisme
45,1.1.c Vials no urbans,Camí de Can Quadros,TERRA ALTA                    ,858,Camí,Urbanisme
3,1.1.c Vials no urbans,Camí d'enllaç amb camí Vell de Lliça de Munt,Camí Vell de Lliça de Munt fins 5º Avenida,3564,Camí,Urbanisme
1,1.1.c Vials no urbans,Cami lateral a carrer 5ª Avinguda,Carrer 5ª Avinguda,583,Camí,Urbanisme
2,1.1.c Vials no urbans,Carrer 5ª Avinguda,Carrer 5ª Avinguda,1497,Accés vivendes,Urbanisme
4,1.1.c Vials no urbans,Camí conexió amb Belulla,5ª Avinguda,228,camí,Urbanisme
5,1.1.c Vials no urbans,camí (a casa Maria Cunillera),camí d'accés Poligón-1-Can Gili,1184,camí,Urbanisme
6,1.1.c Vials no urbans,Camí,5ª Avinguda,648,Camí accés a vivendes,Urbanisme
9,1.1.c Vials no urbans,Camí de Santa Quiteria,SERRA DE LLEVANT              ,8139,Camí-pavimentat,Urbanisme
15,1.1.c Vials no urbans,Camí de Santa Quiteria,SERRA DE LLEVANT              ,2392,Camí,Urbanisme
20,1.1.c Vials no urbans,Camí de Santa Quiteria,SERRA DE LLEVANT              ,3052,Camí,Urbanisme
25,1.1.c Vials no urbans,Camí,SERRA DE LLEVANT              ,2536,cami paral.lel via tren,Urbanisme
29,1.1.c Vials no urbans,Camí,SERRA DE PONENT               ,6945,Camí,Urbanisme
34,1.1.c Vials no urbans,Camí,SERRA DE PONENT               ,1763,Camí,Urbanisme
38,1.1.c Vials no urbans,Camí de Can Coll,SERRA DE PONENT               ,10878,Camí,Urbanisme
43,1.1.c Vials no urbans,Camí Vinya Curenya,SERRA DE PONENT               ,1105,Camí,Urbanisme
51,1.1.c Vials no urbans,Camí al Molí de Can Many,SERRA DE PONENT               ,4746,Camí,Urbanisme
54,1.1.c Vials no urbans,Camí a Can Ferran (variant),SERRA DE PONENT               ,4539,Camí,Urbanisme
62,1.1.c Vials no urbans,Camí de Can Ferran,SERRA DE PONENT               ,3961,camí,Urbanisme
67,1.1.c Vials no urbans,variant a Camí-carrer Julio Rey Pastor,SERRA DE PONENT               ,937,camí,Urbanisme
71,1.1.c Vials no urbans,Camí can Ribes,SERRA DE PONENT               ,2396,camí,Urbanisme
76,1.1.c Vials no urbans,camí servitut lateral riu,PLA DE PALOU                  ,7998,camí,Urbanisme
81,1.1.c Vials no urbans,Camí Cal l'Usel,PLA DE PALOU                  ,1133,camí,Urbanisme
89,1.1.c Vials no urbans,Camí de Santa Quiteria,SERRA DE LLEVANT              ,3167,camí,Urbanisme
93,1.1.c Vials no urbans,Camí paralel.l a Autopista,SERRA DE LLEVANT              ,4215,camí,Urbanisme
97,1.1.c Vials no urbans,Lateral camí can Belitre,SERRA DE LLEVANT              ,894,camí,Urbanisme
114,1.1.c Vials no urbans,camí accés a(Ca L'Estrada),SERRA DE LLEVANT              ,38,camí,Urbanisme
118,1.1.c Vials no urbans,Camí de Can Bou,SERRA DE LLEVANT              ,2553,camí,Urbanisme
123,1.1.c Vials no urbans,Camí de Can Titus,SERRA DE LLEVANT              ,284,camí,Urbanisme
127,1.1.c Vials no urbans,Sobrant atermenament Riu Congost,PLA DE PALOU                  ,8628,parc-camí,Urbanisme
131,1.1.c Vials no urbans,Sobrant atermenament Riu Congost,PLA DE PALOU                  ,5815,camí-parc,Urbanisme
139,1.1.c Vials no urbans,Sobrant atermenament Riu Congost,PLA DE PALOU                  ,255,camí,Urbanisme
143,1.1.c Vials no urbans,Camí de Can Mayol,PLA DE PALOU                  ,210,camí,Urbanisme
513,1.1.c Vials no urbans,Cami de la Torre Pinós,Torre Pinós,1533,Accés depósits aigua,Urbanisme
46,1.1.c Vials no urbans,Camí dels Escanyats (enllaç),TERRA ALTA                    ,2528,camí,Urbanisme
48,1.1.c Vials no urbans,Camí de la Pelada,SERRA DE PONENT               ,2196,Camí,Urbanisme
49,1.1.c Vials no urbans,Camí de Can Joia,SERRA DE PONENT               ,274,Camí,Urbanisme
50,1.1.c Vials no urbans,Cami de Can Joia,SERRA DE PONENT               ,208,Camí,Urbanisme
52,1.1.c Vials no urbans,Camí de Can Ferran,SERRA DE PONENT               ,2447,Camí,Urbanisme
53,1.1.c Vials no urbans,Camí de Can Barraca,SERRA DE PONENT               ,1485,Camí,Urbanisme
55,1.1.c Vials no urbans,Camí de Can Ferran,SERRA DE PONENT               ,1180,camí,Urbanisme
