DATA DE RECOLLIDA,NO (µg/m³),NO2 (µg/m³),O3 (µg/m³)
01/01/2015 12:00:00 AM,73.29,52.74,13.19
04/01/2009 12:00:00 AM,16.70,32.83,52.57
10/01/2010 12:00:00 AM,33.10,42.90,35.23
09/01/2015 12:00:00 AM,8.73,25.63,52.47
01/01/2016 12:00:00 AM,49.77,47.03,20.55
06/01/2016 12:00:00 AM,8.20,30.30,54.97
11/01/2011 12:00:00 AM,47.00,43.43,23.67
10/01/2014 12:00:00 AM,31.81,43.32,27.23
06/01/2012 12:00:00 AM,9.70,32.00,59.97
03/01/2011 12:00:00 AM,25.19,38.19,45.97
10/01/2015 12:00:00 AM,19.83,37.83,33.23
11/01/2013 12:00:00 AM,50.17,44.73,23.20
05/01/2016 12:00:00 AM,9.55,25.59,53.16
04/01/2017 12:00:00 AM,16.57,40.43,51.43
01/01/2012 12:00:00 AM,93.29,61.87,10.55
04/01/2015 12:00:00 AM,15.23,36.93,51.90
08/01/2012 12:00:00 AM,7.81,27.39,59.61
06/01/2017 12:00:00 AM,9.03,35.30,61.23
08/01/2014 12:00:00 AM,6.10,18.58,58.10
08/01/2013 12:00:00 AM,5.50,23.95,64.68
04/01/2013 12:00:00 AM,12.60,32.00,55.37
02/01/2014 12:00:00 AM,36.61,43.54,29.21
02/01/2010 12:00:00 AM,33.57,47.89,28.82
07/01/2012 12:00:00 AM,7.55,27.13,59.35
03/01/2017 12:00:00 AM,28.65,50.42,35.74
11/01/2016 12:00:00 AM,41.44,46.88,21.80
12/01/2014 12:00:00 AM,74.10,49.35,11.10
11/01/2009 12:00:00 AM,64.47,55.53,16.57
12/01/2015 12:00:00 AM,95.81,54.58,6.32
02/01/2009 12:00:00 AM,38.21,46.07,23.75
02/01/2011 12:00:00 AM,64.04,56.96,19.21
07/01/2010 12:00:00 AM,6.94,29.42,65.81
10/01/2016 12:00:00 AM,26.33,38.03,31.50
10/01/2009 12:00:00 AM,30.16,45.81,29.97
12/01/2011 12:00:00 AM,71.13,49.74,13.77
02/01/2016 12:00:00 AM,36.48,49.36,24.54
01/01/2009 12:00:00 AM,46.13,43.42,12.97
09/01/2014 12:00:00 AM,10.18,26.39,46.25
10/01/2011 12:00:00 AM,28.45,44.90,37.00
09/01/2012 12:00:00 AM,10.31,30.52,55.03
07/01/2017 12:00:00 AM,5.23,23.68,63.65
06/01/2015 12:00:00 AM,8.70,36.47,67.70
07/01/2015 12:00:00 AM,6.03,29.48,67.10
02/01/2017 12:00:00 AM,37.54,48.89,30.93
02/01/2012 12:00:00 AM,55.76,59.83,24.28
02/01/2013 12:00:00 AM,28.64,43.89,36.21
08/01/2009 12:00:00 AM,8.68,31.58,58.10
05/01/2017 12:00:00 AM,10.55,33.26,62.10
05/01/2010 12:00:00 AM,8.97,29.13,55.35
09/01/2011 12:00:00 AM,15.07,34.00,46.47
11/01/2015 12:00:00 AM,63.07,49.70,19.23
09/01/2010 12:00:00 AM,13.25,36.50,50.37
12/01/2009 12:00:00 AM,81.13,60.87,15.42
11/01/2010 12:00:00 AM,62.31,60.03,15.41
06/01/2013 12:00:00 AM,6.83,29.03,67.10
07/01/2014 12:00:00 AM,7.48,23.13,63.52
08/01/2016 12:00:00 AM,8.55,24.45,61.52
01/01/2013 12:00:00 AM,88.39,63.45,14.06
02/01/2015 12:00:00 AM,34.96,44.43,25.71
06/01/2014 12:00:00 AM,8.93,30.70,64.57
05/01/2009 12:00:00 AM,11.13,34.87,55.61
01/01/2010 12:00:00 AM,36.94,44.97,24.39
05/01/2013 12:00:00 AM,10.03,28.84,51.65
01/01/2014 12:00:00 AM,58.42,46.42,16.06
07/01/2013 12:00:00 AM,6.81,34.00,71.06
03/01/2013 12:00:00 AM,14.97,36.48,45.35
12/01/2010 12:00:00 AM,82.32,70.94,10.13
07/01/2011 12:00:00 AM,6.32,26.19,57.45
11/01/2012 12:00:00 AM,54.00,49.76,18.31
03/01/2014 12:00:00 AM,22.74,41.26,48.52
04/01/2014 12:00:00 AM,12.27,29.13,55.17
03/01/2012 12:00:00 AM,35.39,50.45,38.00
12/01/2016 12:00:00 AM,84.28,56.62,15.23
08/01/2015 12:00:00 AM,5.74,22.39,55.45
03/01/2009 12:00:00 AM,27.94,44.81,36.87
05/01/2012 12:00:00 AM,14.52,38.93,54.26
09/01/2016 12:00:00 AM,13.27,32.93,51.10
06/01/2010 12:00:00 AM,9.67,30.87,56.30
04/01/2016 12:00:00 AM,13.40,32.07,45.80
05/01/2014 12:00:00 AM,10.84,27.39,58.26
09/01/2009 12:00:00 AM,14.07,34.93,56.93
01/01/2011 12:00:00 AM,68.97,49.03,12.00
07/01/2016 12:00:00 AM,7.89,31.89,63.52
09/01/2013 12:00:00 AM,12.19,31.70,47.33
05/01/2011 12:00:00 AM,10.77,30.71,61.77
12/01/2012 12:00:00 AM,72.03,56.97,13.65
06/01/2009 12:00:00 AM,10.13,34.17,59.40
03/01/2016 12:00:00 AM,18.13,37.39,38.03
07/01/2009 12:00:00 AM,8.19,30.45,59.52
08/01/2011 12:00:00 AM,9.58,27.19,52.45
10/01/2013 12:00:00 AM,24.50,37.75,31.58
10/01/2012 12:00:00 AM,22.48,34.59,35.77
04/01/2010 12:00:00 AM,17.27,37.07,49.80
12/01/2008 12:00:00 AM,67.13,47.84,12.87
04/01/2011 12:00:00 AM,15.60,27.57,59.40
03/01/2010 12:00:00 AM,19.00,38.10,38.35
12/01/2013 12:00:00 AM,106.61,63.52,10.39
08/01/2010 12:00:00 AM,4.83,23.97,61.45
06/01/2011 12:00:00 AM,7.80,24.93,56.13
04/01/2012 12:00:00 AM,10.47,29.17,55.13
05/01/2015 12:00:00 AM,10.77,37.52,58.32
11/01/2008 12:00:00 AM,70.05,50.58,11.84
11/01/2014 12:00:00 AM,45.20,41.17,23.13
01/01/2017 12:00:00 AM,56.45,52.74,23.71
03/01/2015 12:00:00 AM,19.90,38.71,44.77
