ANY,IDENTIFICADOR,NOM,ADREÇA,BARRI,CODI CATEGORIA,CATEGORIA,GRUP,DATA LLICÈNCIA,LOCALITZACIÓ
2015,102588,BODEGA LAS TINAS,,,bode,bodega,Alimentació,,"(41.613512, 2.278818)"
2015,102585,PEIXATERIA PILAR,,,peix,peix i marisc,Alimentació,,"(41.608567, 2.285959)"
2015,102577,ENQUADERNACIONS ROVIRA PONT SCP,,,arte,galeria d'art i quadres,"Decoració de la llar, mobiliari i regal",,"(41.60464, 2.285787)"
2015,102350,Bodega Montse,,,bode,bodega,Alimentació,,"(41.60418, 2.286243)"
2015,102348,Castellà Cribillés Associats,,,ofic,gestoria i serveis a empreses,Serveis tècnics i professionals,,"(41.604654, 2.286257)"
2015,102345,Electrolux,,,elect,electrodomèstics,"Decoració de la llar, mobiliari i regal",,"(41.604051, 2.283731)"
2015,102340,Instal·lacions Henares,,,constr,instal·lacions i construcció,Serveis tècnics i professionals,,"(41.604049, 2.284296)"
2015,102337,RS Microsistemes,,,info,informàtica,Serveis tècnics i professionals,,"(41.612439, 2.291665)"
2015,102335,Finques Maspons,,,inmo,agència inmobiliària,Serveis tècnics i professionals,,"(41.603992, 2.286781)"
2015,102333,Acquarium,,,bar,bar,"Lleure, cultura i esport",,"(41.611069, 2.294069)"
2015,102331,Polleria Brunal,,,avir,aviram,Alimentació,,"(41.603928, 2.287902)"
2015,102329,Colomina,,,perfu,perfumeria i drogueria,"Perfumeria, perruqueria i complements",,"(41.608333, 2.287387)"
2015,102327,Pep Llasera,,,moda,roba i complements,Roba i calçat,,"(41.608649, 2.287198)"
2015,102324,CATALANA  OCCIDENTE,,,ofic,gestoria i serveis a empreses,Serveis tècnics i professionals,,"(41.608311, 2.290797)"
2015,102317,BBVA,,,banca,banca i serveis financers,Serveis tècnics i professionals,,"(41.608487, 2.290787)"
2015,102315,Racó De Món,,,bar,bar,"Lleure, cultura i esport",,"(41.606941, 2.287437)"
2015,102313,Dipinto Di Blu,,,rega,regals i souvenirs,"Decoració de la llar, mobiliari i regal",,"(41.608176, 2.291553)"
2015,102308,Ab,,,arte,galeria d'art i quadres,"Decoració de la llar, mobiliari i regal",,"(41.608148, 2.291839)"
2015,102303,Esports L'Aire,,,ardep,articles esportius,"Lleure, cultura i esport",,"(41.609784, 2.28697)"
2015,102302,Halcon Viatges,,,viat,agència de viatges,"Lleure, cultura i esport",,"(41.604491, 2.288)"
2015,102300,Centre Estètica Aracel Pla,,,salud,estètica i bellesa,Serveis tècnics i professionals,,"(41.609811, 2.286071)"
2015,102283,Bar Javi's 2,,,bar,bar,"Lleure, cultura i esport",,"(41.610409, 2.291018)"
2015,100034,Repsol,,,benz,benzinera,Serveis a vehicles,,"(41.594664, 2.285762)"
2015,101464,Quick Sec,,,tint,tintoreria i bugaderia,Roba i calçat,,"(41.611737, 2.289744)"
