DATA,ANY,TIPUS ELECCIONS,NOM PARTIT,PARTIT,SIGLES,NOMBRE VOTS,NOMBRE REGIDORS
22/05/2011,2011,Municipals,Vots en blanc,BLANCS,BLANCS,1007,0
22/05/2011,2011,Municipals,Vots nuls,NULS,NULS,392,0
27/05/2007,2007,Municipals,Vots en blanc,BLANCS,BLANCS,760,0
27/05/2007,2007,Municipals,Vots nuls,NULS,NULS,101,0
25/05/2003,2003,Municipals,Vots en blanc,BLANCS,BLANCS,384,0
25/05/2003,2003,Municipals,Vots nuls,NULS,NULS,105,0
13/06/1999,1999,Municipals,Vots en blanc,BLANCS,BLANCS,339,0
13/06/1999,1999,Municipals,Vots nuls,NULS,NULS,142,0
28/05/1995,1995,Municipals,Vots en blanc,BLANCS,BLANCS,248,0
28/05/1995,1995,Municipals,Vots nuls,NULS,NULS,114,0
24/05/2015,2015,Municipals,Vots en blanc,BLANCS,BLANCS,288,
24/05/2015,2015,Municipals,Vots nuls,NULS,NULS,126,
02/06/1991,1991,Municipals,Vots en blanc,BLANCS,BLANCS,130,
03/06/1991,1991,Municipals,Vots nuls,NULS,NULS,76,
16/06/1987,1987,Municipals,Vots en blanc,BLANCS,BLANCS,220,
17/06/1987,1987,Municipals,Vots nuls,NULS,NULS,217,
