Actuació,% d'execució
"Elaborar, aprovar i desenvolupar l&rsquo;Estrat&egrave;gia d'estalvi i efici&egrave;ncia energ&egrave;tica en els equipaments municipals 2015-2020,&nbsp;vinculat al PAES,  per estendre i donar continu&iuml;tat als programes d'estalvi fets en equipaments esportius, docents i culturals",67%
"Desenvolupar i consolidar projectes vinculats a Medi Ambient amb potencialitat per esdevenir de refer&egrave;ncia internacional, com un element de projecci&oacute; i atractivitat de ciutat",33%
"C&agrave;lcul, control i seguiment coordinat intermunicipal dels indicadors de la qualitat de l&rsquo;aire: inventari de focus emissors  de les activitats industrials potencialment contaminadores de l&rsquo;atmosfera i dels impactes associats a la mobilitat",0%
"Optimitzar l'&uacute;s de l'aigua de reg, automatitzaci&oacute; i telegesti&oacute; del reg de tota la jardineria de la ciutat.",100%
"Preparar la ciutat per les noves realitats de mobilitat sostenible, que es faran evidents en els propers anys, i que estaran protagonitzats pels vehicles h&iacute;brids i el&egrave;ctrics.",58%
"En la mesura que el marc legal canvi&iuml; i es torni a facilitar la instal&middot;laci&oacute; d&rsquo;energies renovables, estudiar la implantaci&oacute; d'energia solar fotovoltaica per a l'autoconsum de fins a 100 KW.",67%
Elaborar i seguir un pla estrat&egrave;gic de la bicicleta incorporant-lo al Pla de Mobilitat Urbana.,100%
Garantir una bona certificaci&oacute; energ&egrave;tica i efici&egrave;ncia dels nous edificis municipals.,67%
Incentivar mesures d&rsquo;efici&egrave;ncia energ&egrave;tica i l&rsquo;&uacute;s d&rsquo;energies renovables en l'edificaci&oacute;,50%
"Fomentar les campanyes de sensibilitzaci&oacute;, informaci&oacute; i formaci&oacute; de la ciutadania respecte a la mobilitat sostenible.",
