DIA,TEMPERATURA MÍNIMA (ºC),TEMPERATURA MÀXIMA (ºC),PRECIPITACIÓ (l/m2),HUMITAT,DIRECCIÓ DEL VENT,VELOCITAT DEL VENT (Km/h),HORES DE SOL,ESTAT DEL CEL,NÚVOLS ALTS,NÚVOLS MITJANS,NÚVOLS BAIXOS
01/01/1991,9.2,13.4,0,83%,SW,20,1.5,C,OO,AC,SC
02/01/1991,2.2,14.5,0,69%,SW,30,7.5,N,CS,AC,SC
03/01/1991,2.8,17,0,61%,SW,18,7.8,O,CI,AC,OO
04/01/1991,3.6,12.6,0,75%,W,20,2.5,C,CS,AC,SC
05/01/1991,0.8,13.4,0,69%,SW,25,7.8,O,CI,OO,SC
06/01/1991,2.6,15.4,0,67%,SW,35,6.5,N,CI,AC,OO
07/01/1991,9,15.4,0,76%,,0,2.2,N,CI,AC,FC
08/01/1991,6,17,0,71%,SW,28,7.9,O,CI,AC,CU
09/01/1991,5.6,15.6,0,70%,SW,29,0,N,CI,AC,OO
10/01/1991,7.8,21.8,0,70%,,0,7.8,N,CS,AC,OO
11/01/1991,7.2,19.2,0,71%,SW,21,7.7,O,CI,OO,OO
12/01/1991,4.8,12,10.5,88%,NE,40,0,C,OO,AC,SC
13/01/1991,5,12.2,0.5,76%,N,20,6.9,N,CS,AC,CU
14/01/1991,-0.2,12.2,0,69%,NE,10,2.2,N,CI,AC,OO
15/01/1991,5,10.2,1.6,81%,NE,14,0.7,C,CS,AC,SC
16/01/1991,4.6,12.4,0,72%,NE,17,2.7,C,CI,AC,CU
17/01/1991,4.5,9,0.9,71%,NE,25,0,C,OO,AC,FC
18/01/1991,7,9.6,1,88%,NE,7,0,C,OO,AC,SC
19/01/1991,5.6,12,1.8,82%,SW,16,1,C,OO,AC,SC
20/01/1991,6.6,8.6,0.5,77%,NE,29,0,C,OO,NS,FC
21/01/1991,1,13.8,0,64%,S,23,8.3,N,CS,OO,OO
22/01/1991,4.2,10.6,0,77%,NE,39,0.4,C,OO,AC,CU
23/01/1991,6.2,11.8,5.5,71%,NE,38,6.7,N,OO,NS,FC
24/01/1991,-1,13,0,70%,N,21,6.7,N,CS,AC,OO
25/01/1991,0.6,10.4,0,75%,NE,43,2,C,CI,AC,OO
26/01/1991,8.4,11.6,0.3,71%,NE,47,0,C,OO,NS,FC
27/01/1991,2.6,14.4,0,67%,SW,20,8.5,O,CI,OO,OO
28/01/1991,3.5,10.8,0,73%,N,19,1,C,CS,OO,SC
29/01/1991,0.8,12.2,0,80%,SW,19,7.1,O,OO,AC,OO
30/01/1991,4.6,13.2,0,78%,S,16,4.2,N,CI,AC,SC
31/01/1991,1.6,7.4,0.7,90%,NE,10,0.4,C,CI,NS,FC
01/02/1991,5.4,11.2,2.5,80%,CA,14,3.2,N,CI,AC,CU
02/02/1991,5.8,8.8,23.7,93%,NE,50,0,C,,NS,SC
03/02/1991,7.2,11,0,82%,,0,2.7,C,OO,AS,SC
04/02/1991,3.8,12.6,0.2,82%,,0,3.5,C,CI,AC,CB
05/02/1991,3.6,11.8,0,85%,,0,5.2,N,OO,OO,SC
06/02/1991,2,9.8,0,80%,,0,3.7,C,OO,NS,SC
07/02/1991,5.4,15.4,0,68%,,0,7.5,N,OO,AC,SC
08/02/1991,5.2,12.8,0,66%,,0,8.1,N,CI,OO,CU
09/02/1991,1.6,16.4,0,71%,,0,7.7,N,CI,AC,SC
10/02/1991,3.8,13.2,0,68%,,0,4.2,N,CS,AC,CU
11/02/1991,1.2,8,0,66%,,0,7.1,N,OO,AC,CU
12/02/1991,-1.8,10.4,0,69%,,0,8.6,N,CI,AC,CU
13/02/1991,-0.6,10.2,0,68%,,0,8.2,O,OO,AC,CU
14/02/1991,0.8,9.6,0,72%,,0,5.3,N,CI,AC,CU
15/02/1991,-3.2,10.6,0,62%,,0,9.2,N,CI,AC,OO
16/02/1991,1.4,15.6,0,64%,,0,4.7,N,CI,AC,SC
17/02/1991,2.6,9.6,15.4,90%,,0,0,C,,NS,FS
18/02/1991,5.8,13.4,0.1,78%,,0,3.8,C,CS,AC,CB
19/02/1991,8.6,14.6,7.1,78%,,0,1.5,C,CI,AC,SC
20/02/1991,8.4,11.8,4.1,87%,,0,0.4,C,CI,NS,FS
21/02/1991,5.2,17.4,0,74%,,0,9.2,N,CS,AC,CU
22/02/1991,6.4,15.8,0,73%,,0,7.5,N,CI,AC,CU
23/02/1991,3.8,18.4,0,71%,,0,9.3,O,CI,OO,OO
24/02/1991,4.4,18.8,0,71%,,0,9.4,O,CI,OO,OO
25/02/1991,5,19,0,67%,,0,8.2,O,CI,AC,OO
26/02/1991,2.8,19,0,69%,,0,8.9,O,OO,OO,OO
27/02/1991,4.8,15.6,5.7,76%,,0,1,C,CS,AS,OO
28/02/1991,6.4,13.8,0,74%,,0,4,C,CS,AC,CB
01/03/1991,8.8,11.6,38.8,89%,,0,0,C,OO,NS,FC
02/03/1991,9.6,15.8,1.5,82%,,0,3,C,CI,AC,CU
03/03/1991,10,16,0,81%,,0,2.5,C,CI,AC,SC
04/03/1991,8.8,14.4,0,82%,,0,1.2,C,OO,NS,SC
05/03/1991,10.2,15.6,0,87%,,0,1.5,C,OO,AC,SC
06/03/1991,9.6,16.4,2.3,83%,,0,0,C,CI,NS,FC
07/03/1991,11.2,15.8,3.4,86%,,0,0,C,OO,AC,OO
08/03/1991,11,15.4,0,81%,,0,0.8,C,CI,AC,ST
09/03/1991,7.8,18.4,0,71%,,0,9.8,N,CI,AC,SC
10/03/1991,5.4,20.4,0,68%,,0,9.9,N,CI,AC,SC
11/03/1991,9.6,19.6,0,74%,,0,8.4,N,CS,AC,SC
12/03/1991,6.8,19.4,0,74%,,0,8.4,N,CI,OO,CU
13/03/1991,10.6,16.8,0,77%,,0,3,C,CI,AC,CU
14/03/1991,8.2,19.8,0,64%,,0,9.3,N,CI,AC,SC
15/03/1991,6,20.2,0,68%,,0,9.5,N,CI,OO,CU
16/03/1991,6,21.4,0,71%,,0,9.6,N,CI,OO,CU
17/03/1991,10.4,19,10.1,74%,,0,5.6,N,OO,OO,CB
18/03/1991,4.8,20,0,68%,,0,10.5,N,CS,OO,OO
19/03/1991,6.2,20.4,0,67%,,0,5.6,N,CS,AC,SC
20/03/1991,8.2,23.4,0,71%,,0,9.5,N,CS,AC,CU
21/03/1991,9,21.6,0,77%,,0,9.1,N,CI,OO,CU
22/03/1991,10,19.4,0,68%,,0,9.1,N,CI,AC,CU
23/03/1991,10,12.4,2.3,78%,,0,0,C,OO,NS,FC
24/03/1991,10.4,12.8,13.7,79%,,0,0,C,OO,NS,FC
25/03/1991,9,12.6,16.7,87%,,0,0,C,OO,AC,SC
26/03/1991,9.4,13.6,0.5,80%,,0,0.7,C,OO,AC,SC
27/03/1991,6.4,17.4,0,74%,,0,5.2,N,OO,AC,CU
28/03/1991,6.6,20,9.5,73%,,0,9.5,N,CI,AC,CU
29/03/1991,6.6,15.4,0,75%,,0,2.7,N,CI,AC,OO
30/03/1991,8.4,16.2,0,68%,,0,9.2,N,CI,AC,CU
31/03/1991,4.6,17.6,0,73%,,0,9,N,CI,AC,CU
01/04/1991,5,19.6,0,67%,,0,8.8,O,OO,OO,CU
02/04/1991,5.6,19.8,0,64%,,0,9.4,O,OO,OO,OO
03/04/1991,6,19,0,65%,,0,7.9,N,CI,AC,OO
04/04/1991,9.2,16.8,0.4,66%,,0,4.1,C,CI,AC,FC
05/04/1991,6.6,18.2,0,62%,,0,10.2,N,CI,AC,SC
06/04/1991,4.4,20.2,0,48%,,0,9.9,N,CS,AC,OO
07/04/1991,4.8,20.4,0,62%,,0,11,N,CI,AC,CU
08/04/1991,6.8,20.2,0,68%,,0,10.1,N,CS,AC,CB
09/04/1991,8,19.8,0,69%,,0,8.2,N,CS,AC,CU
10/04/1991,6.6,21.2,0,69%,,0,10.7,O,OO,OO,CB
11/04/1991,6.2,21.2,0,69%,,0,10.6,O,OO,OO,OO
12/04/1991,8.8,19.2,0,76%,,0,10.5,N,CI,AC,CU
13/04/1991,9.6,18.6,0,65%,,0,8.8,N,CI,AC,SC
14/04/1991,11,16.8,0,66%,,0,0,C,OO,AC,SC
15/04/1991,12.8,17.2,0.2,69%,,0,0.8,C,CI,AS,CU
16/04/1991,13.6,17.4,0,77%,,0,2.2,C,OO,AS,FS
17/04/1991,8.6,20,11.3,76%,,0,4.4,C,CI,AS,CU
18/04/1991,4.4,18.4,0,60%,,0,11.2,O,OO,OO,CU
19/04/1991,6.4,18.4,2,68%,,0,10.4,N,OO,AC,SC
20/04/1991,3,15.4,0.8,62%,,0,8.2,N,CI,AC,CU
21/04/1991,1.2,13.8,0,66%,,0,11.1,N,OO,OO,CU
22/04/1991,5.4,14.2,0,66%,,0,8.2,N,OO,AC,SC
