ID,EQUIPAMENT,ÀREA,CATEGORIA,ADREÇA,LOCALITZACIÓ
2,EDIFICI MUNICIPAL AV.PARC - AISS,Administracions Públiques,Ajuntament,"Avda. del Parc, 9","(41.607276, 2.290334)"
3,BIBLIOTECA CAN PEDRALS,Cultura,Biblioteca,"C/ Espí i Grau, 2","(41.608947, 2.288388)"
5,CAMP DE FUTBOL DE 1R DE MAIG,Esports,Instal.lació esportiva,"Avda. Prat de la Riba, s/n.","(41.60337, 2.281039)"
6,CAMP DE FUTBOL DE CAN GILI,Esports,Instal.lació esportiva,"carrer Camí Vell de Lliçà d'Amunt,1","(41.613321, 2.276311)"
7,CAMP DE FUTBOL DE LA FONT VERDA,Esports,Instal.lació esportiva,C/ Josep Carner s/n,"(41.607297, 2.297939)"
8,CAMP DE FUTBOL DE PONENT,Esports,Instal.lació esportiva,"C/ Rafael de Casanovas, s/n.","(41.611705, 2.284519)"
9,CAMP DE FUTBOL DEL CARRER DE GIRONA,Esports,Instal.lació esportiva,"C/ Girona, 50-54","(41.610897, 2.292149)"
10,CASA DE CULTURA SANT FRANCESC,Cultura,Centre cultural - cívic,"C/ Espí i Grau, 1","(41.609134, 2.288075)"
11,CASAL DE L'ESPORT,Esports,Associació,"C/ Girona, 52","(41.610866, 2.291221)"
13,ESCOLA FÀTIMA,Educació,Escola Infantil,"C/ Maria Palau, 2-4","(41.612352, 2.2791)"
14,ESCOLA FERRER I GUÀRDIA,Educació,Escola Infantil,"C/ Roger de Flor, 123-129","(41.603037, 2.283053)"
15,ESCOLA GRANULLARIUS,Educació,Escola Infantil,"C/ Maresme, 2-4","(41.602195, 2.296485)"
16,ESCOLA JOAN SOLANS,Educació,Escola Infantil,"Pl. Sant Miquel, 1","(41.601247, 2.285486)"
17,ESCOLA MESTRES MONTAÑA,Educació,Escola Infantil,"C/ Esteve Terrades, s/n","(41.593381, 2.289413)"
18,ESCOLA PAU VILA,Educació,Escola Infantil,"C/ del Mestre Manel Masjoan, 1","(41.614889, 2.273133)"
19,ESCOLA PEREANTON,Educació,Escola Infantil,"C/ Espí i Grau, 3","(41.609123, 2.288394)"
20,ESCOLA PONENT,Educació,Escola Infantil,"C/ Rafael de Casanovas, 55","(41.613555, 2.285817)"
21,ESCOLA SALVADOR ESPRIU,Educació,Escola Infantil,"C/ Joan Camps i Giró, 6-8","(41.607868, 2.28153)"
22,CENTRE CÍVIC CAN BASSA,Cultura,Centre cultural - cívic,"Pl. Joan Oliver, 1","(41.590483, 2.286521)"
23,CENTRE CÍVIC CAN GILI,Cultura,Centre cultural - cívic,Cami Vell Lliçà d'Amunt,"(41.613284, 2.275357)"
24,CENTRE CÍVIC PALOU,Cultura,Centre cultural - cívic,"Pg. Francesc Fabregas, 43","(41.586134, 2.28151)"
25,CENTRE CÍVIC JAUME OLLER,Cultura,Centre cultural - cívic,"C/ Mare de Déu de Montserrat, 47","(41.600289, 2.285015)"
27,CENTRE CULTURAL MUNICIPAL,Cultura,Centre cultural - cívic,"C/ Joan Camps i Giró, 1","(41.607206, 2.282342)"
28,CENTRE DE DIA DE MALALTS MENTALS,Sanitat i Benestar Social,Assistència psiquiàtrica,"C/ Alexander Fleming, 33","(41.611764, 2.296197)"
29,CENTRE D'EDUCACIÓ ESPECIAL MONTSERRAT MONTERO,Educació,Educació especial,"Camí de Santa Quitèria, s/n","(41.58943, 2.294584)"
30,CENTRE OBERT NORD,Sanitat i Benestar Social,Centre obert,"C/ del Lledoner, 6","(41.617347, 2.289295)"
31,CENTRE OBERT SUD,Sanitat i Benestar Social,Centre obert,"C/ Julià Centelles, 14-16","(41.599404, 2.288129)"
32,CENTRE TECNOLÒGIC I UNIVERSITARI DE GRANOLLERS (CTUG),Educació,Centre universitari,"C/ Mare de Déu de Montserrat, 36","(41.601731, 2.284702)"
33,CENTRE VALLÈS,Educació,Formació Professional,"C/ Veneçuela, 86","(41.60872, 2.298212)"
40,EBASP ZONA 4,Sanitat i Benestar Social,Atenció social primària,"C/ Portalet, 4","(41.607603, 2.287501)"
45,ESPAI CANGUR,Educació,Escola bressol - Llar d'infants,"C/ Prat de la Riba, 84","(41.602632, 2.283222)"
50,ESCOLA MUNICIPAL DE MÚSICA JOSEP M. RUERA,Educació,Escola de música,"C/ Gregori Resina, 1","(41.611054, 2.287074)"
51,ESCOLA MUNICIPAL DEL TREBALL (Edifici antic),Educació,Formació Professional,"C/ Roger de Flor, 66","(41.607946, 2.282796)"
52,ESCOLA MUNICIPAL SALVADOR LLOBET,Educació,Escola Infantil,"C/ Roger de Flor, 64","(41.608504, 2.28297)"
58,GRA. EQUIPAMENT JUVENIL,Cultura,Centre cultural - cívic,"Pl. Esglèsia, 8","(41.607494, 2.286528)"
59,GRANOLLERS PROMOCIONS S.A,Administracions Públiques,Ajuntament,"C/ Sant Jaume, 16, 5è depatx 1","(41.608333, 2.285459)"
61,EDIFICI MUNICIPAL PORXADA 6,Administracions Públiques,Ajuntament,"Pl. Porxada, 6","(41.608138, 2.287235)"
70,MASIA TRES TORRES,Administracions Públiques,Ajuntament,"C/ Tres Torres, 18-20","(41.598349, 2.28401)"
72,MUSEU DE GRANOLLERS,Cultura,Museu,"C/ Anselm Clavé, 40-42","(41.606904, 2.288475)"
74,MUSEU DE GRANOLLERS. CIÈNCIES NATURALS (Edifici vell),Cultura,Museu,"Avda. Francesc Macià, 51","(41.601732, 2.287777)"
75,OFICINA D'INFORMACIÓ TURÍSTICA DEL VALLÈS ORIENTAL,Administracions Públiques,Administració autonòmica,"C/ Anselm Clavé, 2","(41.608257, 2.288815)"
77,PALAU D'ESPORTS (Sala 1),Esports,Instal.lació esportiva,"C/ Voluntaris 92, 2","(41.598413, 2.287807)"
79,PAVELLÓ MUNICIPAL DEL CONGOST,Esports,Instal.lació esportiva,"C/ Maria Palau,19-21","(41.613872, 2.279053)"
80,PAVELLÓ MUNICIPAL DEL TUB,Esports,Instal.lació esportiva,"C/ Camp de les Moreres, 23 ¿ 25","(41.599834, 2.280601)"
