CODI DE PARADA,TIPUS,LOCALITZACIÓ
404,Altres,"(41.608306, 2.288062)"
319,Entitats,"(41.607328, 2.288703)"
320,Entitats,"(41.607133, 2.288661)"
321,Entitats,"(41.607102, 2.288655)"
342,Entitats,"(41.605971, 2.290389)"
201,Llibreters,"(41.608152, 2.287621)"
202,Llibreters,"(41.608141, 2.287708)"
203,Llibreters,"(41.60813, 2.287794)"
124,Floristes,"(41.622203, 2.294264)"
121,Floristes,"(41.609133, 2.287901)"
117,Floristes,"(41.609367, 2.289297)"
224,Llibreters,"(41.609239, 2.285874)"
132,Entitats,"(41.613702, 2.280609)"
350,Entitats,"(41.607608, 2.286663)"
206,Llibreters,"(41.608087, 2.287606)"
205,Llibreters,"(41.608076, 2.287692)"
204,Llibreters,"(41.608065, 2.287778)"
101,Floristes,"(41.60796, 2.287523)"
302,Entitats,"(41.607927, 2.288844)"
102,Floristes,"(41.607955, 2.287565)"
301,Entitats,"(41.607923, 2.288879)"
104,Floristes,"(41.607936, 2.287707)"
103,Floristes,"(41.607944, 2.287648)"
303,Entitats,"(41.607865, 2.28883)"
304,Altres,"(41.60786, 2.288866)"
340,Entitats,"(41.605819, 2.288294)"
306,Entitats,"(41.607838, 2.288824)"
305,Entitats,"(41.607834, 2.28886)"
307,Entitats,"(41.607776, 2.288811)"
223,Llibreters,"(41.607954, 2.28885)"
403,Altres,"(41.607949, 2.288885)"
322,Entitats,"(41.607071, 2.288648)"
308,Entitats,"(41.607772, 2.288846)"
310,Entitats,"(41.607749, 2.288805)"
309,Entitats,"(41.607745, 2.288841)"
215,Llibreters,"(41.607238, 2.288684)"
328,Entitats,"(41.606784, 2.288585)"
217,Llibreters,"(41.608738, 2.286372)"
355,Entitats,"(41.607537, 2.286359)"
354,Entitats,"(41.607547, 2.286399)"
341,Entitats,"(41.605794, 2.288508)"
216,Llibreters,"(41.608838, 2.286082)"
356,Entitats,"(41.607805, 2.285747)"
354,Entitats,"(41.607556, 2.286439)"
353,Entitats,"(41.607565, 2.286479)"
352,Entitats,"(41.607589, 2.286582)"
351,Entitats,"(41.607599, 2.286622)"
115,Floristes,"(41.601974, 2.290538)"
111,Floristes,"(41.608595, 2.289021)"
111,Floristes,"(41.608599, 2.288985)"
219,Llibreters,"(41.613004, 2.290361)"
122,Floristes,"(41.609731, 2.290863)"
120,Floristes,"(41.605936, 2.283143)"
116,Floristes,"(41.600373, 2.282657)"
119,Floristes,"(41.600562, 2.287311)"
330,Entitats,"(41.606721, 2.288571)"
380,Entitats,"(41.617244, 2.289587)"
360,Entitats,"(41.611934, 2.291261)"
126,Floristes,"(41.611718, 2.302748)"
405,Altres,"(41.602608, 2.287657)"
406,Altres,"(41.609588, 2.291178)"
133,Floristes,"(41.61002, 2.290255)"
123,Floristes,"(41.596905, 2.286685)"
343,Entitats,"(41.608744, 2.286082)"
118,Floristes,"(41.599743, 2.290837)"
364,Entitats,"(41.612919, 2.285796)"
365,Entitats,"(41.613688, 2.280652)"
323,Entitats,"(41.607039, 2.288641)"
324,Entitats,"(41.607008, 2.288634)"
325,Entitats,"(41.606877, 2.288606)"
327,Entitats,"(41.606815, 2.288592)"
326,Entitats,"(41.606846, 2.288599)"
109,Floristes,"(41.608519, 2.288985)"
109,Floristes,"(41.608492, 2.28898)"
105,Floristes,"(41.608443, 2.288951)"
105,Floristes,"(41.608438, 2.288987)"
105,Floristes,"(41.608416, 2.288945)"
105,Floristes,"(41.608412, 2.288981)"
208,Llibreters,"(41.608216, 2.288943)"
208,Llibreters,"(41.608189, 2.288938)"
212,Llibreters,"(41.608127, 2.288924)"
211,Llibreters,"(41.608131, 2.288888)"
319,Entitats,"(41.607359, 2.28871)"
319,Entitats,"(41.607391, 2.288717)"
329,Entitats,"(41.606753, 2.288578)"
401,Altres,"(41.608038, 2.288905)"
402,Altres,"(41.608011, 2.288899)"
213,Llibreters,"(41.6081, 2.288918)"
221,Llibreters,"(41.608043, 2.288869)"
221,Llibreters,"(41.608016, 2.288863)"
128,Floristes,"(41.610736, 2.28326)"
358,Entitats,"(41.604773, 2.290344)"
129,Floristes,"(41.60776, 2.293173)"
220,Llibreters,"(41.608755, 2.285992)"
207,Llibreters,"(41.60822, 2.288908)"
111,Floristes,"(41.608568, 2.289015)"
111,Floristes,"(41.608573, 2.288979)"
207,Llibreters,"(41.608194, 2.288902)"
211,Llibreters,"(41.608105, 2.288883)"
317,Entitats,"(41.607571, 2.288766)"
317,Entitats,"(41.607567, 2.288802)"
361,Entitats,"(41.602556, 2.282903)"
130,Floristes,"(41.602507, 2.282679)"
127,Floristes,"(41.601189, 2.277099)"
331,Entitats,"(41.60669, 2.288565)"
125,Floristes,"(41.577192, 2.273127)"
131,Floristes,"(41.614884, 2.284882)"
