IDENTIFICADOR,ANY,NOM,CODI CATEGORIA,CATEGORIA,GRUP,LOCALITZACIÓ
100411,2017,McDonalds,rapi,bar i menjar ràpid,"Lleure, cultura i esport","(41.611583, 2.303178)"
100553,2017,Notre Dame,rapi,bar i menjar ràpid,"Lleure, cultura i esport","(41.610918, 2.303014)"
103297,2017,Gaizka Euskal Taberna,rest,restaurant,"Lleure, cultura i esport","(41.610869, 2.302998)"
100292,2017,Parrilla Argentina El Quincho,rest,restaurant,"Lleure, cultura i esport","(41.610821, 2.302978)"
104232,2017,Goalie's,disco,bar musical,"Lleure, cultura i esport","(41.610791, 2.302982)"
100412,2017,Saras,benz,benzinera,Serveis a vehicles,"(41.611623, 2.30247)"
100608,2017,Bar Can Mesa,bar,bar,"Lleure, cultura i esport","(41.611317, 2.302295)"
100410,2017,Dia,ccom,supermercat,Alimentació,"(41.611217, 2.302324)"
100300,2017,El Nou Vell,rest,restaurant,"Lleure, cultura i esport","(41.610651, 2.302947)"
100305,2017,El Barrilet,rest,restaurant,"Lleure, cultura i esport","(41.61056, 2.30291)"
100302,2017,Michelangelo,rest,restaurant,"Lleure, cultura i esport","(41.610436, 2.302867)"
100298,2017,Restaurante Mexicano Nachos,rest,restaurant,"Lleure, cultura i esport","(41.610386, 2.302856)"
100555,2017,Pans & Company,rapi,bar i menjar ràpid,"Lleure, cultura i esport","(41.610283, 2.30276)"
100407,2017,Ramassar,tall,taller mecànic,Serveis a vehicles,"(41.609595, 2.303644)"
100416,2017,J. Enrique,tall,taller mecànic,Serveis a vehicles,"(41.608656, 2.303258)"
100301,2017,Grup Lober,llar,"decoració de la llar, mobiliari i regal","Decoració de la llar, mobiliari i regal","(41.60942, 2.302961)"
100296,2017,Torrents Il·luminació,llar,"decoració de la llar, mobiliari i regal","Decoració de la llar, mobiliari i regal","(41.609184, 2.302784)"
104741,2017,Fashion Markt,moda,roba i complements,Roba i calçat,"(41.609062, 2.302789)"
100297,2017,Restaurante Wok Hong Kong,rest,restaurant,"Lleure, cultura i esport","(41.609807, 2.30264)"
100299,2017,Merkal Calçats,saba,sabateria,Roba i calçat,"(41.608715, 2.302705)"
100295,2017,"Codesgra Meat, S. L.",carn,carnisseria,Alimentació,"(41.608588, 2.302526)"
104057,2017,Caprabo,ccom,supermercat,Alimentació,"(41.610753, 2.302054)"
100413,2017,Exclusives Armengol,perfu,perfumeria i drogueria,"Perfumeria, perruqueria i complements","(41.609168, 2.301608)"
100386,2017,Lidle,ccom,supermercat,Alimentació,"(41.609798, 2.301054)"
101298,2017,Grup Eurosomni,llar,"decoració de la llar, mobiliari i regal","Decoració de la llar, mobiliari i regal","(41.612757, 2.29549)"
101241,2017,Restaurant Grivé,rest,restaurant,"Lleure, cultura i esport","(41.612024, 2.295844)"
105411,2017,MOTOS GASPAR SL,tall,taller mecànic,Serveis a vehicles,"(41.611204, 2.296469)"
100643,2017,Movistar,movi,telefonia,Serveis tècnics i professionals,"(41.61104, 2.296455)"
101229,2017,Yamaha Motos Gaspar,conc,cotxes i motos,Serveis a vehicles,"(41.610756, 2.296361)"
103931,2017,El Mirador,bar,bar,"Lleure, cultura i esport","(41.610123, 2.296112)"
103951,2017,"ROMO-MELGUIZO, CB",ofic,gestoria i serveis a empreses,Serveis tècnics i professionals,"(41.611176, 2.295391)"
103950,2017,Juan Pulido Perruquers,pelu,perruqueria,"Perfumeria, perruqueria i complements","(41.610906, 2.295292)"
104023,2017,GREMI D'ELECTRICITAT FONTANERIA I GAS,ofic,gestoria i serveis a empreses,Serveis tècnics i professionals,"(41.610668, 2.295428)"
104474,2017,Ortosoluciones,farm,farmàcia i ortopèdia,Serveis tècnics i professionals,"(41.610589, 2.295418)"
103785,2017,Artic Estètics,salud,estètica i bellesa,Serveis tècnics i professionals,"(41.610007, 2.295286)"
103811,2017,Dret I Gestió Dante,ofic,gestoria i serveis a empreses,Serveis tècnics i professionals,"(41.609989, 2.295283)"
101325,2017,Comerga,elect,electrodomèstics,"Decoració de la llar, mobiliari i regal","(41.608022, 2.296527)"
105585,2017,"JONES*RODRIGUEZ,PATRICIA YVONNE",llar,"decoració de la llar, mobiliari i regal","Decoració de la llar, mobiliari i regal","(41.608922, 2.295697)"
105648,2017,"MARTINEZ*MICHELE DE,ARIEL ALBERTO",rapi,bar i menjar ràpid,"Lleure, cultura i esport","(41.608067, 2.295984)"
105016,2017,"BERRUEZO*MATEOS,MINERVA",salud,estètica i bellesa,Serveis tècnics i professionals,"(41.608062, 2.295862)"
105564,2017,"EASY CHEMICALS,SL",ofic,gestoria i serveis a empreses,Serveis tècnics i professionals,"(41.608661, 2.29561)"
104918,2017,"COFFEE YAGUNA, SL",bar,bar,"Lleure, cultura i esport","(41.608406, 2.29553)"
101228,2017,Iceland S. L.,constr,instal·lacions i construcció,Serveis tècnics i professionals,"(41.612913, 2.295194)"
104796,2017,Cerveceria Hg,bar,bar,"Lleure, cultura i esport","(41.612897, 2.295113)"
102038,2017,Peluquería Javier,pelu,perruqueria,"Perfumeria, perruqueria i complements","(41.612904, 2.295067)"
101226,2017,Floristeria Sant Jordi,flor,floristeria,"Perfumeria, perruqueria i complements","(41.612911, 2.295022)"
103786,2017,Bar Els 4 Vents,bar,bar,"Lleure, cultura i esport","(41.612799, 2.294938)"
104398,2017,Consum,ccom,supermercat,Alimentació,"(41.61258, 2.294899)"
105627,2017,"REQUENA*PEREZ,JESICA",cons,centre de salut,Serveis tècnics i professionals,"(41.611149, 2.294982)"
103970,2017,"PUGLISI*BARRERA,JUAN EDGARDO",salud,estètica i bellesa,Serveis tècnics i professionals,"(41.610891, 2.29518)"
100645,2017,C.S. Publicitat,rega,regals i souvenirs,"Decoració de la llar, mobiliari i regal","(41.611578, 2.294569)"
104965,2017,"HABIB*ALLAM,BOUCHRA",fruit,fruites i verdures,Alimentació,"(41.61136, 2.294463)"
105118,2017,"FERRER*MOLINA,FERNANDO",constr,instal·lacions i construcció,Serveis tècnics i professionals,"(41.611328, 2.294441)"
101681,2017,Merceria Pepi,merce,merceria i llenceria,"Perfumeria, perruqueria i complements","(41.61129, 2.294428)"
101709,2017,"Ferresuin, S.L.",ferret,ferreteria,"Decoració de la llar, mobiliari i regal","(41.611214, 2.294408)"
102333,2017,Acquarium,bar,bar,"Lleure, cultura i esport","(41.611069, 2.294069)"
102280,2017,Pub Evening,disco,bar musical,"Lleure, cultura i esport","(41.610839, 2.293989)"
104684,2017,Body Shop Vallès,ardep,articles esportius,"Lleure, cultura i esport","(41.610774, 2.293953)"
103953,2017,Taller Lluis,tall,taller mecànic,Serveis a vehicles,"(41.610519, 2.294154)"
102917,2017,"DAUTOMOVILEX 2006, SL",tall,taller mecànic,Serveis a vehicles,"(41.610476, 2.294158)"
101655,2017,Joan Roca,xarc,xarcuteria,Alimentació,"(41.610406, 2.294117)"
102056,2017,AntGar,constr,instal·lacions i construcció,Serveis tècnics i professionals,"(41.610325, 2.294092)"
105550,2017,ZONA DULCE SCP,forn,forn de pa,Alimentació,"(41.610304, 2.294092)"
104593,2017,ACE Granollers,elect,electrodomèstics,"Decoració de la llar, mobiliari i regal","(41.610279, 2.294081)"
101768,2017,Forn I Pastisseria J. Plana,forn,forn de pa,Alimentació,"(41.610247, 2.294083)"
100744,2017,"FERNANDEZ SANCHEZ DE LEON, CAROLINA",pelu,perruqueria,"Perfumeria, perruqueria i complements","(41.610676, 2.293941)"
105452,2017,"HERRERO Y BONET, SL",locu,locutori,Serveis tècnics i professionals,"(41.610617, 2.293873)"
101239,2017,Pla T,pelu,perruqueria,"Perfumeria, perruqueria i complements","(41.609603, 2.295157)"
100640,2017,Forn De Pa El Xivarri,forn,forn de pa,Alimentació,"(41.609641, 2.295154)"
103768,2017,Estètica Montse,salud,estètica i bellesa,Serveis tècnics i professionals,"(41.609334, 2.295033)"
101273,2017,Centre Dental Fontverd,dent,dentista,Serveis tècnics i professionals,"(41.60972, 2.294876)"
101919,2017,MAQUINARIA ANDREU,maqui,maquinària,Serveis tècnics i professionals,"(41.608322, 2.294682)"
100887,2017,Impremta Gargot,pape,"papereria, llibreria i copisteria",Serveis tècnics i professionals,"(41.609617, 2.294131)"
101656,2017,Indelalba,bar,bar,"Lleure, cultura i esport","(41.609771, 2.293941)"
105577,2017,"PORRAS*HINOSTROZA,MARICELA YBONNE",colma,queviures al detall,Alimentació,"(41.609644, 2.293911)"
104769,2017,Instal·lacions,constr,instal·lacions i construcció,Serveis tècnics i professionals,"(41.608227, 2.294314)"
105266,2017,"SALVADO*TOMAS,JOSEP",elect,electrodomèstics,"Decoració de la llar, mobiliari i regal","(41.608201, 2.294272)"
100675,2017,La Caixa,banca,banca i serveis financers,Serveis tècnics i professionals,"(41.608192, 2.29402)"
105115,2017,DOLÇ & SALAT,forn,forn de pa,Alimentació,"(41.610561, 2.293858)"
102281,2017,Perruqueria Canina Pilar Perales,masco,mascotes,"Lleure, cultura i esport","(41.610399, 2.293844)"
105077,2017,"SUBMINISTRAMENTS COINPRO, SL",tronic,electrònica,Serveis tècnics i professionals,"(41.610285, 2.293802)"
100719,2017,Jovent Dental,dent,dentista,Serveis tècnics i professionals,"(41.609346, 2.293793)"
