Nom_Barri,the_geom,ID,ID1
CAN BASSA,"MULTIPOLYGON (((2.286761688730203 41.59666599512997, 2.289861207842607 41.596241540702266, 2.2900044651687574 41.59611329699598, 2.2902064837158207 41.59601770650997, 2.290417923723034 41.596140058746315, 2.290476497282603 41.59618884280842, 2.29104477725674 41.596111649567504, 2.2904504350408486 41.59239800468512, 2.290163304166404 41.59061431342716, 2.2900509146669172 41.59008089575002, 2.2898560486347557 41.58952274849306, 2.2850722967872596 41.59019535930849, 2.286396757230999 41.596526543465814, 2.286761688730203 41.59666599512997, 2.286761688730203 41.59666599512997)))",1,1
GRANOLLERS CENTRE,"MULTIPOLYGON (((2.287534775737076 41.614001714257235, 2.2892067704656793 41.613747525328, 2.289821906382699 41.61365400120463, 2.289172329005299 41.612504057255606, 2.2890336790535804 41.612248224595334, 2.289401270425939 41.61215365881121, 2.2894499828112176 41.61202484129888, 2.2889763739575866 41.611005100824244, 2.289079097484356 41.61026329818816, 2.289967432696721 41.61012352396986, 2.2906413350829484 41.61229042868959, 2.293632374475388 41.612108040486994, 2.2926596789257063 41.60593806829115, 2.292444499829432 41.604588307411156, 2.292444499829432 41.604588307411156, 2.2922479520175165 41.603355367962735, 2.2922469563078516 41.60335624076321, 2.289511380217068 41.60364434902915, 2.2863099142493457 41.60397335061441, 2.285703030798816 41.603993472049766, 2.2856564531993664 41.606911736927536, 2.285644025345341 41.607690325263604, 2.2857678489705 41.608255990359815, 2.285914124414263 41.6088395298095, 2.28542689343876 41.60906246899571, 2.2861506877137963 41.61066786509095, 2.2871928538372135 41.61297927269645, 2.287534775737076 41.614001714257235, 2.287534775737076 41.614001714257235)))",2,2
CAN GILI,"MULTIPOLYGON (((2.2726686794805784 41.61508186700429, 2.277407112448005 41.61503568402167, 2.2759005939422567 41.60858474556425, 2.268219816327804 41.607904739178565, 2.2656416449887153 41.61335570505403, 2.265990470127359 41.614370439247395, 2.2726686794805784 41.61508186700429, 2.2726686794805784 41.61508186700429)))",3,3
CONGOST,"MULTIPOLYGON (((2.285861248605042 41.61582065198906, 2.285330235686989 41.61464761661295, 2.285268576734688 41.614558369282186, 2.284596982746268 41.61358626267414, 2.282882538112578 41.611437792956856, 2.2826639109883886 41.611153747901696, 2.28088368482216 41.60884073228695, 2.280880405253619 41.608841993778064, 2.277221370139849 41.61024935844698, 2.276182951039646 41.60887372601698, 2.2760517683040544 41.6085746089336, 2.2759005939422567 41.60858474556425, 2.277407112448005 41.61503568402167, 2.2784129750736564 41.61502585527189, 2.280327219821698 41.61468066361219, 2.2829319450703567 41.6140587924739, 2.2862271791623314 41.61720407774975, 2.2862271791623314 41.61720407774975, 2.285861248605042 41.61582065198906)))",5,4
SOTA EL CAMÍ RAL,"MULTIPOLYGON (((2.2856564531993664 41.606911736927536, 2.285703030798816 41.603993472049766, 2.2857203969660946 41.602905318396516, 2.284607794568628 41.60271541836861, 2.2827948335741266 41.60240595506235, 2.279234373587094 41.60181747826286, 2.2792921041799494 41.602102440738335, 2.2795865817498946 41.60526905232638, 2.2796727237634165 41.60602817036117, 2.2797823251776896 41.60645986980564, 2.283139208828007 41.60654539584507, 2.283941887571044 41.60666337124545, 2.2856564531993664 41.606911736927536, 2.2856564531993664 41.606911736927536)))",6,5
FONT VERDA,"MULTIPOLYGON (((2.2938086903132926 41.61318353860563, 2.2948517934555976 41.613048765793366, 2.29530187938946 41.61297889804189, 2.2957057314186256 41.61281190003594, 2.2960042175397724 41.612547419490674, 2.296761799483922 41.61138190734682, 2.2972820979785955 41.61094536296555, 2.297948226759804 41.61057821488907, 2.298482448347038 41.610379720516384, 2.2990389359254073 41.61031048670417, 2.299641136341796 41.61038677876393, 2.300112064090462 41.61057525577046, 2.303094045966444 41.612219841228026, 2.3039630648023532 41.610607396831654, 2.3030236577000545 41.60742419287196, 2.30159473100183 41.60636775203478, 2.3013232660497698 41.605868139883846, 2.300163087506933 41.60648346154693, 2.2986116685322755 41.606612519497524, 2.2982277731131027 41.60550360586223, 2.29808149573411 41.60509462349983, 2.297755740513484 41.60417588088018, 2.297609675437837 41.60364705802161, 2.2975249382029115 41.60337149616661, 2.2974157400135833 41.602923656828544, 2.2973730198433837 41.60282281230527, 2.2972605294300257 41.60254601790043, 2.297022473708894 41.602115045280826, 2.2967497632356393 41.60172183482089, 2.296543412029304 41.60143653543668, 2.296513746229583 41.60139551951804, 2.296762357073621 41.60074335763089, 2.2967734497673185 41.60067764563648, 2.2967380934842283 41.60043911631832, 2.296691216438844 41.60014206865897, 2.2966871251678382 41.60014000434453, 2.2964355518585235 41.60021032980012, 2.2955548022410373 41.600456531259795, 2.2922479520175165 41.603355367962735, 2.292444499829432 41.604588307411156, 2.2926596789257063 41.60593806829115, 2.293632374475388 41.612108040486994, 2.2938086903132926 41.61318353860563, 2.2938086903132926 41.61318353860563)))",7,6
GRANOLLERS NORD,"MULTIPOLYGON (((2.2928470458586876 41.61672308462555, 2.293008468048381 41.61669650013189, 2.293006077112129 41.61668851046419, 2.2943702890594357 41.61639571576374, 2.2951979577008745 41.61621806773705, 2.295360289635861 41.61618322453759, 2.2955283316892117 41.6161471554268, 2.3002731359527746 41.61512859630004, 2.301219431019321 41.61467341217768, 2.302513651914149 41.614050850106516, 2.302514041304119 41.61337681599724, 2.3030908620395363 41.61222574876156, 2.303094045966444 41.612219841228026, 2.300112064090462 41.61057525577046, 2.299641136341796 41.61038677876393, 2.2990389359254073 41.61031048670417, 2.298482448347038 41.610379720516384, 2.297948226759804 41.61057821488907, 2.2972820979785955 41.61094536296555, 2.296761799483922 41.61138190734682, 2.2960042175397724 41.612547419490674, 2.2957057314186256 41.61281190003594, 2.29530187938946 41.61297889804189, 2.2948517934555976 41.613048765793366, 2.2938086903132926 41.61318353860563, 2.2918427686765055 41.61346197469562, 2.292471149144275 41.61550250374162, 2.2928470458586876 41.61672308462555, 2.2928470458586876 41.61672308462555)))",8,7
L'HOSTAL,"MULTIPOLYGON (((2.28627562811595 41.61737077568279, 2.290802451487165 41.617053224769485, 2.290315795377936 41.61541512079143, 2.290026929847788 41.614442748406326, 2.2894115032860323 41.61454571179904, 2.2892067705808534 41.61374752577008, 2.2892067704656793 41.613747525328, 2.287534775737076 41.614001714257235, 2.2866594315942566 41.61413477998323, 2.285268576734688 41.614558369282186, 2.285330235686989 41.61464761661295, 2.285861248605042 41.61582065198906, 2.2862271791623314 41.61720407774975, 2.28627562811595 41.61737077568279, 2.28627562811595 41.61737077568279)))",9,8
INSTITUTS,"MULTIPOLYGON (((2.2826639109883886 41.611153747901696, 2.283588947165455 41.61078079405442, 2.2861506877137963 41.61066786509095, 2.28542689343876 41.60906246899571, 2.285914124414263 41.6088395298095, 2.2857678489705 41.608255990359815, 2.285644025345341 41.607690325263604, 2.2856564531993664 41.606911736927536, 2.283941887571044 41.60666337124545, 2.283139208828007 41.60654539584507, 2.2797823251776896 41.60645986980564, 2.279955914734559 41.60714359487136, 2.280371762489017 41.608025822819634, 2.28083634846493 41.60877922639323, 2.28088368482216 41.60884073228695, 2.2826639109883886 41.611153747901696, 2.2826639109883886 41.611153747901696)))",10,9
JOAN PRIM CENTRE,"MULTIPOLYGON (((2.2913715057803663 41.61569494088119, 2.292471149144275 41.61550250374162, 2.2918427686765055 41.61346197469562, 2.2938086903132926 41.61318353860563, 2.293632374475388 41.612108040486994, 2.2906413350829484 41.61229042868959, 2.289967432696721 41.61012352396986, 2.289079097484356 41.61026329818816, 2.2889763739575866 41.611005100824244, 2.2894499828112176 41.61202484129888, 2.289401270425939 41.61215365881121, 2.2890336790535804 41.612248224595334, 2.289172329005299 41.612504057255606, 2.289821906382699 41.61365400120463, 2.2892067704656793 41.613747525328, 2.2892067705808534 41.61374752577008, 2.2894115032860323 41.61454571179904, 2.290026929847788 41.614442748406326, 2.290315795377936 41.61541512079143, 2.290315795377936 41.61541512079143, 2.290315795377936 41.61541512079143, 2.291044760107254 41.61529750287075, 2.2913715057803663 41.61569494088119, 2.2913715057803663 41.61569494088119)))",11,10
