ANY,PUNT DE RECOLLIDA,ID MOSTRA,DATA RECOLLIDA,DATA D'ENTRADA,DATA FINAL ANÀLISI,GRUP,PARÀMETRE,RESULTAT,UNITAT,LLOC,ORDRE
01/01/2004 12:00:00 AM,CONGOST - DESPRÉS DE DEPURADORA,36083,29/09/2004,29/09/2004,20/10/2004,PARÀMETRES FISICOQUÍMICS,Nitrits,0.24,mg/l,,1210
01/01/2004 12:00:00 AM,CONGOST - SANT TOMÀS D'AQUINO,36084,29/09/2004,29/09/2004,20/10/2004,PARÀMETRES FISICOQUÍMICS,Manganès,0.03,mg/l,,1340
01/01/2004 12:00:00 AM,CONGOST - SANT TOMÀS D'AQUINO,36084,29/09/2004,29/09/2004,20/10/2004,PARÀMETRES FISICOQUÍMICS,Nitrats,31.8,mg/l,,1200
01/01/2004 12:00:00 AM,CONGOST - SANT TOMÀS D'AQUINO,36084,29/09/2004,29/09/2004,20/10/2004,PARÀMETRES FISICOQUÍMICS,Partícules sedimentables,0,g/l,,1402
01/01/2004 12:00:00 AM,CONGOST - SANT TOMÀS D'AQUINO,36084,29/09/2004,29/09/2004,20/10/2004,PARÀMETRES FISICOQUÍMICS,Residu sec a 110ºC,0.2,g/l,,1172
01/01/2004 12:00:00 AM,CONGOST - SANT TOMÀS D'AQUINO,36084,29/09/2004,29/09/2004,20/10/2004,PARÀMETRES FISICOQUÍMICS,Magnesi,46.2,mg/l,,1120
01/01/2004 12:00:00 AM,CONGOST - SANT TOMÀS D'AQUINO,36084,29/09/2004,29/09/2004,20/10/2004,PARÀMETRES FISICOQUÍMICS,Clorurs,332.76,mg/l,,1080
01/01/2004 12:00:00 AM,CONGOST - SANT TOMÀS D'AQUINO,36084,29/09/2004,29/09/2004,20/10/2004,PARÀMETRES FISICOQUÍMICS,Níquel,0.07,mg/l,,1501
01/01/2004 12:00:00 AM,CONGOST - SANT TOMÀS D'AQUINO,36084,29/09/2004,29/09/2004,20/10/2004,PARÀMETRES FISICOQUÍMICS,Nitrits,0.5,mg/l,,1210
01/01/2004 12:00:00 AM,CONGOST - SANT TOMÀS D'AQUINO,36084,29/09/2004,29/09/2004,20/10/2004,PARÀMETRES FISICOQUÍMICS,Fosfats (P2O5),2.41,mg/l,,1370
01/01/2004 12:00:00 AM,CONGOST - SANT TOMÀS D'AQUINO,36084,29/09/2004,29/09/2004,20/10/2004,PARÀMETRES FISICOQUÍMICS,Sílice,2,mg/l,,1100
01/01/2004 12:00:00 AM,CONGOST - SANT TOMÀS D'AQUINO,36084,29/09/2004,29/09/2004,20/10/2004,PARÀMETRES FISICOQUÍMICS,Calci,104.2,mg/l,,1110
01/01/2004 12:00:00 AM,CONGOST - SANT TOMÀS D'AQUINO,36084,29/09/2004,29/09/2004,20/10/2004,PARÀMETRES FISICOQUÍMICS,Duresa total,450,mg CaCO3/l,,1160
01/01/2004 12:00:00 AM,CONGOST - SANT TOMÀS D'AQUINO,36084,29/09/2004,29/09/2004,20/10/2004,PARÀMETRES FISICOQUÍMICS,Sulfats,101.9,mg/l,,1090
01/01/2004 12:00:00 AM,CONGOST - SANT TOMÀS D'AQUINO,36084,29/09/2004,29/09/2004,20/10/2004,PARÀMETRES FISICOQUÍMICS,Oxidabilitat al permanganat,6.29,mg O2/l,,1240
01/01/2004 12:00:00 AM,CONGOST - SANT TOMÀS D'AQUINO,36084,29/09/2004,29/09/2004,20/10/2004,PARÀMETRES FISICOQUÍMICS,pH,8.12,unitats,,1060
01/01/2004 12:00:00 AM,CONGOST - SANT TOMÀS D'AQUINO,36084,29/09/2004,29/09/2004,20/10/2004,PARÀMETRES FISICOQUÍMICS,Conductivitat (25ºC),1853,µS/cm,,1071
01/01/2004 12:00:00 AM,CONGOST - SANT TOMÀS D'AQUINO,36084,29/09/2004,29/09/2004,20/10/2004,PARÀMETRES FISICOQUÍMICS,Amoni,0.2,mg/l,,1220
01/01/2004 12:00:00 AM,CONGOST - SANT TOMÀS D'AQUINO,36084,29/09/2004,29/09/2004,20/10/2004,PARÀMETRES FISICOQUÍMICS,Alcalinitat (TAC),352,mg CaCO3/l,,1161
01/01/2004 12:00:00 AM,CONGOST - SANT TOMÀS D'AQUINO,36084,29/09/2004,29/09/2004,20/10/2004,PARÀMETRES FISICOQUÍMICS,Ferro (mg/l),0.03,mg/l,,1330
01/01/2004 12:00:00 AM,CONGOST - DESPRÉS DE DEPURADORA,35676,31/03/2004,31/03/2004,,PARÀMETRES FISICOQUÍMICS,Magnesi,13.13,mg/l,AIGUA RIU CONGOST,1120
01/01/2004 12:00:00 AM,CONGOST - DESPRÉS DE DEPURADORA,35676,31/03/2004,31/03/2004,,PARÀMETRES FISICOQUÍMICS,pH,7.82,unitats,AIGUA RIU CONGOST,1060
01/01/2004 12:00:00 AM,CONGOST - DESPRÉS DE DEPURADORA,35676,31/03/2004,31/03/2004,,PARÀMETRES FISICOQUÍMICS,Clorurs,14.16,mg/l,AIGUA RIU CONGOST,1080
01/01/2004 12:00:00 AM,CONGOST - DESPRÉS DE DEPURADORA,35676,31/03/2004,31/03/2004,,PARÀMETRES FISICOQUÍMICS,Sulfats,70,mg/l,AIGUA RIU CONGOST,1090
01/01/2004 12:00:00 AM,CONGOST - DESPRÉS DE DEPURADORA,35676,31/03/2004,31/03/2004,,PARÀMETRES FISICOQUÍMICS,Alcalinitat (TAC),155,mg CaCO3/l,AIGUA RIU CONGOST,1161
01/01/2004 12:00:00 AM,CONGOST - DESPRÉS DE DEPURADORA,35676,31/03/2004,31/03/2004,,PARÀMETRES FISICOQUÍMICS,Duresa total,164,mg CaCO3/l,AIGUA RIU CONGOST,1160
01/01/2004 12:00:00 AM,CONGOST - DESPRÉS DE DEPURADORA,35676,31/03/2004,31/03/2004,,PARÀMETRES FISICOQUÍMICS,Calci,44.1,mg/l,AIGUA RIU CONGOST,1110
