DATA DE RECOLLIDA,SO2 (µg/m³),NO (µg/m³),NO2 (µg/m³),O3 (µg/m³),CO (mg/m³),PM10 (µg/m³)
01/01/2014,3,32,41,16,0.3,
02/01/2014,16,72,57,7,0.6,
03/01/2014,6,92,57,7,0.6,
04/01/2014,2,52,40,17,0.6,
05/01/2014,2,3,10,55,0.2,
06/01/2014,2,16,33,23,0.3,
07/01/2014,7,121,66,6,0.6,
08/01/2014,11,140,71,5,0.6,
09/01/2014,2,92,65,5,0.5,
10/01/2014,1,48,53,9,0.4,
11/01/2014,,26,35,24,0.3,
12/01/2014,1,15,42,6,0.4,
13/01/2014,3,41,45,12,0.2,
14/01/2014,2,51,42,22,0.3,
15/01/2014,3,138,67,5,0.5,
16/01/2014,4,104,66,3,0.6,
17/01/2014,7,70,60,13,0.5,
18/01/2014,8,27,35,24,0.3,
19/01/2014,1,9,25,18,0.4,
20/01/2014,,42,34,22,,
21/01/2014,,87,54,16,,
22/01/2014,,121,63,4,,
23/01/2014,,66,42,10,,
24/01/2014,,66,48,12,,
25/01/2014,,63,46,7,,
26/01/2014,,30,36,18,,
27/01/2014,,32,32,24,,
28/01/2014,,14,31,39,,
29/01/2014,,38,44,32,,
30/01/2014,,21,40,21,,
31/01/2014,,82,59,16,,
01/02/2014,,137,72,4,,
02/02/2014,,9,29,35,,
03/02/2014,,68,57,13,,
04/02/2014,,44,57,25,,
05/02/2014,,47,67,19,,
06/02/2014,,118,81,15,,
07/02/2014,,39,60,26,,
08/02/2014,,9,30,41,,
09/02/2014,,4,25,48,,
10/02/2014,,23,33,35,,
11/02/2014,,6,19,53,,
12/02/2014,,28,39,32,,
13/02/2014,,26,36,38,,
14/02/2014,,51,49,30,,
15/02/2014,,25,40,24,,
16/02/2014,,4,22,37,,
17/02/2014,,24,40,24,,
18/02/2014,,12,30,36,,
19/02/2014,,13,30,31,,
20/02/2014,,58,55,15,,
21/02/2014,,50,42,25,,
22/02/2014,,29,42,27,,
23/02/2014,,21,41,28,,
24/02/2014,,29,49,29,,
25/02/2014,,48,55,23,,
26/02/2014,,11,30,51,,
27/02/2014,,53,49,22,,
28/02/2014,,39,40,32,,
01/03/2014,,6,24,53,,
02/03/2014,,12,35,31,,
03/03/2014,,14,28,46,,
04/03/2014,,6,19,65,,
05/03/2014,,32,46,31,,
06/03/2014,,23,45,33,,
07/03/2014,,71,70,29,,
08/03/2014,,29,51,47,,
09/03/2014,,9,41,54,,
10/03/2014,,56,72,22,,
11/03/2014,,29,51,48,,
12/03/2014,,32,40,58,,
13/03/2014,,7,32,69,,
14/03/2014,,63,77,25,,
15/03/2014,,48,71,35,,
16/03/2014,,12,49,48,,
17/03/2014,,56,70,28,,
18/03/2014,,48,55,51,,
19/03/2014,,24,54,40,,
20/03/2014,,12,41,51,,
21/03/2014,,21,47,41,,
22/03/2014,,3,26,66,,
23/03/2014,,3,16,60,,
24/03/2014,,21,35,46,,
25/03/2014,,11,23,57,,
26/03/2014,,9,34,49,,
27/03/2014,,12,39,41,,
28/03/2014,,20,34,54,,
29/03/2014,,1,9,95,,
30/03/2014,,1,10,81,,
31/03/2014,,14,35,50,,
01/04/2014,,18,39,40,,
02/04/2014,,2,17,70,,
03/04/2014,,2,15,68,,
04/04/2014,,9,23,56,,
05/04/2014,,13,31,47,,
06/04/2014,,5,30,51,,
07/04/2014,,36,54,30,,
08/04/2014,,11,40,42,,
09/04/2014,,27,50,33,,
10/04/2014,,25,50,41,,
11/04/2014,,12,43,55,,
12/04/2014,,7,28,51,,
13/04/2014,,13,33,50,,
14/04/2014,,8,41,51,,
15/04/2014,,20,51,47,,
16/04/2014,,20,29,74,,
17/04/2014,,4,22,78,,
