CODI,NOM DEL CENTRE,ADREÇA,LOCALITZACIÓ,TIPUS SUBMINISTRAMENT,ANY,MES,DATA,CONSUM,COST
BOM001,AFORES 100 BOMBA AGUA horts?,AFORES 100 BOMBA AGUA Horts?,"(41.6082, 2.287556)",Electricitat,2011,Gener,01/01/2011 12:00:00 AM,55,€122.73
BOM001,AFORES 100 BOMBA AGUA horts?,AFORES 100 BOMBA AGUA Horts?,"(41.6082, 2.287556)",Electricitat,2011,Febrer,02/01/2011 12:00:00 AM,35,€80.18
BOM001,AFORES 100 BOMBA AGUA horts?,AFORES 100 BOMBA AGUA Horts?,"(41.6082, 2.287556)",Electricitat,2011,Març,03/01/2011 12:00:00 AM,61,€103.80
BOM001,AFORES 100 BOMBA AGUA horts?,AFORES 100 BOMBA AGUA Horts?,"(41.6082, 2.287556)",Electricitat,2011,Abril,04/01/2011 12:00:00 AM,42,€87.59
BOM001,AFORES 100 BOMBA AGUA horts?,AFORES 100 BOMBA AGUA Horts?,"(41.6082, 2.287556)",Electricitat,2011,Juny,06/01/2011 12:00:00 AM,107,€199.41
BOM001,AFORES 100 BOMBA AGUA horts?,AFORES 100 BOMBA AGUA Horts?,"(41.6082, 2.287556)",Electricitat,2011,Juliol,07/01/2011 12:00:00 AM,61,€102.35
BOM001,AFORES 100 BOMBA AGUA horts?,AFORES 100 BOMBA AGUA Horts?,"(41.6082, 2.287556)",Electricitat,2011,Agost,08/01/2011 12:00:00 AM,57,€110.41
BOM001,AFORES 100 BOMBA AGUA horts?,AFORES 100 BOMBA AGUA Horts?,"(41.6082, 2.287556)",Electricitat,2011,Setembre,09/01/2011 12:00:00 AM,47,€97.53
BOM001,AFORES 100 BOMBA AGUA horts?,AFORES 100 BOMBA AGUA Horts?,"(41.6082, 2.287556)",Electricitat,2011,Octubre,10/01/2011 12:00:00 AM,49,€98.49
BOM001,AFORES 100 BOMBA AGUA horts?,AFORES 100 BOMBA AGUA Horts?,"(41.6082, 2.287556)",Electricitat,2011,Novembre,11/01/2011 12:00:00 AM,51,€98.47
BOM001,AFORES 100 BOMBA AGUA horts?,AFORES 100 BOMBA AGUA Horts?,"(41.6082, 2.287556)",Electricitat,2011,Desembre,12/01/2011 12:00:00 AM,36,€97.98
BOM001,AFORES 100 BOMBA AGUA horts?,AFORES 100 BOMBA AGUA Horts?,"(41.6082, 2.287556)",Electricitat,2012,Gener,01/01/2012 12:00:00 AM,30,€100.52
BOM001,AFORES 100 BOMBA AGUA horts?,AFORES 100 BOMBA AGUA Horts?,"(41.6082, 2.287556)",Electricitat,2012,Febrer,02/01/2012 12:00:00 AM,34,€102.20
BOM001,AFORES 100 BOMBA AGUA horts?,AFORES 100 BOMBA AGUA Horts?,"(41.6082, 2.287556)",Electricitat,2012,Març,03/01/2012 12:00:00 AM,45,€124.91
BOM001,AFORES 100 BOMBA AGUA horts?,AFORES 100 BOMBA AGUA Horts?,"(41.6082, 2.287556)",Electricitat,2012,Abril,04/01/2012 12:00:00 AM,28,€94.19
BOM001,AFORES 100 BOMBA AGUA horts?,AFORES 100 BOMBA AGUA Horts?,"(41.6082, 2.287556)",Electricitat,2012,Maig,05/01/2012 12:00:00 AM,49,€127.83
BOM001,AFORES 100 BOMBA AGUA horts?,AFORES 100 BOMBA AGUA Horts?,"(41.6082, 2.287556)",Electricitat,2012,Juny,06/01/2012 12:00:00 AM,52,€121.58
BOM001,AFORES 100 BOMBA AGUA horts?,AFORES 100 BOMBA AGUA Horts?,"(41.6082, 2.287556)",Electricitat,2012,Agost,08/01/2012 12:00:00 AM,53,€133.54
BOM001,AFORES 100 BOMBA AGUA horts?,AFORES 100 BOMBA AGUA Horts?,"(41.6082, 2.287556)",Electricitat,2012,Setembre,09/01/2012 12:00:00 AM,47,€118.07
BOM001,AFORES 100 BOMBA AGUA horts?,AFORES 100 BOMBA AGUA Horts?,"(41.6082, 2.287556)",Electricitat,2012,Octubre,10/01/2012 12:00:00 AM,55,€120.95
BOM001,AFORES 100 BOMBA AGUA horts?,AFORES 100 BOMBA AGUA Horts?,"(41.6082, 2.287556)",Electricitat,2012,Novembre,11/01/2012 12:00:00 AM,42,€116.39
BOM001,AFORES 100 BOMBA AGUA horts?,AFORES 100 BOMBA AGUA Horts?,"(41.6082, 2.287556)",Electricitat,2012,Desembre,12/01/2012 12:00:00 AM,35,€115.42
BOM001,AFORES 100 BOMBA AGUA horts?,AFORES 100 BOMBA AGUA Horts?,"(41.6082, 2.287556)",Electricitat,2013,Gener,01/01/2013 12:00:00 AM,70,€96.26
BOM001,AFORES 100 BOMBA AGUA horts?,AFORES 100 BOMBA AGUA Horts?,"(41.6082, 2.287556)",Electricitat,2013,Febrer,02/01/2013 12:00:00 AM,82,€97.40
BOM001,AFORES 100 BOMBA AGUA horts?,AFORES 100 BOMBA AGUA Horts?,"(41.6082, 2.287556)",Electricitat,2013,Març,03/01/2013 12:00:00 AM,88,€97.54
