Data Inici,Data Final,President,Assumpte públic
20/10/2017 08:00:00 PM,20/10/2017 09:00:00 PM,Josep Mayoral Antigas,"Inauguració exposició ""Utopies persistents"""
20/10/2017 07:00:00 PM,20/10/2017 08:00:00 PM,Josep Mayoral Antigas,Casament
20/10/2017 06:30:00 PM,20/10/2017 07:30:00 PM,Josep Mayoral Antigas,Diada del càncer de mama. Encesa d'espelma
20/10/2017 06:00:00 PM,20/10/2017 07:00:00 PM,Josep Mayoral Antigas,DiverCirc: Taller de Malabars i acrobàcies en familia
20/10/2017 05:00:00 PM,20/10/2017 06:00:00 PM,Josep Mayoral Antigas,Casament
20/10/2017 01:00:00 PM,20/10/2017 01:30:00 PM,Josep Mayoral Antigas,Director de Serveis Jurídics
20/10/2017 12:00:00 PM,20/10/2017 01:00:00 PM,Josep Mayoral Antigas,Director de Granollers Mercat
19/10/2017 08:00:00 PM,19/10/2017 09:00:00 PM,Josep Mayoral Antigas,Presentació tunel del terror
19/10/2017 06:00:00 PM,19/10/2017 07:00:00 PM,Josep Mayoral Antigas,Inauguració botiga fruits Segarra - Origo
19/10/2017 05:00:00 PM,19/10/2017 06:00:00 PM,Josep Mayoral Antigas,nauguració del campus professional de l'UVic
19/10/2017 01:00:00 PM,19/10/2017 02:00:00 PM,Josep Mayoral Antigas,Preparació publicació UNESCO
19/10/2017 12:00:00 PM,19/10/2017 01:00:00 PM,Josep Mayoral Antigas,Regidor d'Educació
19/10/2017 11:30:00 AM,19/10/2017 12:00:00 PM,Josep Mayoral Antigas,Regidor de Serveis i Via Pública
19/10/2017 10:00:00 AM,19/10/2017 11:00:00 AM,Josep Mayoral Antigas,Comissió de Civisme
18/10/2017 08:00:00 PM,18/10/2017 09:00:00 PM,Josep Mayoral Antigas,"Taula ""Volem saber"""
18/10/2017 05:00:00 PM,18/10/2017 06:00:00 PM,Josep Mayoral Antigas,President del Club BM. Granollers
18/10/2017 01:15:00 PM,18/10/2017 02:15:00 PM,Josep Mayoral Antigas,Presentació Vehicle Elèctric 
18/10/2017 11:00:00 AM,18/10/2017 12:00:00 PM,Josep Mayoral Antigas,Primera Tinent d'Alcalde
18/10/2017 09:00:00 AM,18/10/2017 10:00:00 AM,Josep Mayoral Antigas,Tinent d'Alcalde de l'Àrea Territorial
17/10/2017 05:15:00 PM,17/10/2017 06:15:00 PM,Josep Mayoral Antigas,Equip de govern
17/10/2017 05:00:00 PM,17/10/2017 05:15:00 PM,Josep Mayoral Antigas,Junta de Govern Local
17/10/2017 03:00:00 PM,17/10/2017 03:30:00 PM,Josep Mayoral Antigas,Presentació del desfibril·lador instal·lat als polígons Congost i Jordi Camp 
17/10/2017 12:00:00 PM,17/10/2017 12:15:00 PM,Josep Mayoral Antigas,Concentració de rebuig per les detencions Jordi Cuixart i Jordi Sànchez
17/10/2017 10:00:00 AM,17/10/2017 12:00:00 PM,Josep Mayoral Antigas,Visita a empresa
17/10/2017 09:30:00 AM,17/10/2017 10:00:00 AM,Josep Mayoral Antigas,Gerència
17/10/2017 08:30:00 AM,17/10/2017 09:30:00 AM,Josep Mayoral Antigas,Direcció de serveis jurídics
16/10/2017 08:00:00 PM,16/10/2017 09:00:00 PM,Josep Mayoral Antigas,Lliurament premi recapta i al millor Aparador
16/10/2017 06:00:00 PM,16/10/2017 07:00:00 PM,Josep Mayoral Antigas,Constitució del consell dels infants i reconeixement d'antics membres
16/10/2017 05:00:00 PM,16/10/2017 06:00:00 PM,Josep Mayoral Antigas,"Recepció Toni Barnils, campió del món veterà de càsting"
16/10/2017 01:00:00 PM,16/10/2017 02:00:00 PM,Josep Mayoral Antigas,Orquestra de Cambra
16/10/2017 12:00:00 PM,16/10/2017 01:00:00 PM,Josep Mayoral Antigas,Visita al parc del Lledoner
15/10/2017 07:00:00 PM,15/10/2017 08:30:00 PM,Josep Mayoral Antigas,Retrats d'un sentiment
15/10/2017 12:00:00 PM,15/10/2017 01:00:00 PM,Josep Mayoral Antigas,Acte d'homenatge al President Companys 
14/10/2017 08:00:00 PM,14/10/2017 09:00:00 PM,Josep Mayoral Antigas,Cantem
14/10/2017 05:00:00 PM,14/10/2017 06:00:00 PM,Josep Mayoral Antigas,KH7 BMG - Prosetecnisa Zuazo
14/10/2017 12:00:00 PM,14/10/2017 01:00:00 PM,Josep Mayoral Antigas,V sardinada i V concurs de truites - AV Lledoner
14/10/2017 10:00:00 AM,14/10/2017 11:00:00 AM,Josep Mayoral Antigas,"Les Golfes, fira de trastos i roba vella"
13/10/2017 10:00:00 PM,13/10/2017 11:00:00 PM,Josep Mayoral Antigas,45è cicle de Jazz - Francesc Vidal Quintet
12/10/2017 10:30:00 AM,12/10/2017 11:30:00 AM,Josep Mayoral Antigas,Presentació dels equips del Club Atlètic del Vallès
11/10/2017 08:00:00 PM,11/10/2017 09:00:00 PM,Josep Mayoral Antigas,Inauguració del  primer establiment [0% Gluten] de la comarca
11/10/2017 06:00:00 PM,11/10/2017 07:00:00 PM,Josep Mayoral Antigas,Inauguració  del curs 17-18 de l'Escola de Música
11/10/2017 04:00:00 PM,11/10/2017 05:00:00 PM,Josep Mayoral Antigas,Ple extraordinari
10/10/2017 06:30:00 PM,10/10/2017 07:30:00 PM,Josep Mayoral Antigas,Inici curs AGEVO
10/10/2017 05:15:00 PM,10/10/2017 06:15:00 PM,Josep Mayoral Antigas,Equip de Govern
10/10/2017 05:00:00 PM,10/10/2017 06:00:00 PM,Josep Mayoral Antigas,Junta de Govern Local
10/10/2017 01:00:00 PM,10/10/2017 04:00:00 PM,Josep Mayoral Antigas,Dinar tertulia del Cercle d'Empresaris
10/10/2017 11:00:00 AM,10/10/2017 12:00:00 PM,Josep Mayoral Antigas,Visita exposició 5000 anys jugant
10/10/2017 09:30:00 AM,10/10/2017 10:00:00 AM,Josep Mayoral Antigas,Gerència
09/10/2017 07:00:00 PM,09/10/2017 08:00:00 PM,Josep Mayoral Antigas,Presentació de l’espectacle SARAU
09/10/2017 05:00:00 PM,09/10/2017 06:00:00 PM,Josep Mayoral Antigas,Regidora de Promoció Econòmica
09/10/2017 02:00:00 PM,09/10/2017 03:00:00 PM,Josep Mayoral Antigas,Cap de l'Àrea de Serveis a la persona
09/10/2017 10:00:00 AM,09/10/2017 11:00:00 AM,Josep Mayoral Antigas,Projecte pediatria Cat Salut 
09/10/2017 08:30:00 AM,09/10/2017 09:00:00 AM,Josep Mayoral Antigas,Direcció de serveis jurídics
08/10/2017 08:00:00 PM,08/10/2017 09:00:00 PM,Josep Mayoral Antigas,Inauguració nou local Milnotes
08/10/2017 11:00:00 AM,08/10/2017 12:00:00 PM,Josep Mayoral Antigas,Itinerari modernista
07/10/2017 06:00:00 PM,07/10/2017 07:00:00 PM,Josep Mayoral Antigas,Actes 50è. aniv. del barri de Can Gili
07/10/2017 02:00:00 PM,07/10/2017 03:00:00 PM,Josep Mayoral Antigas,Casament
07/10/2017 01:00:00 PM,07/10/2017 02:00:00 PM,Josep Mayoral Antigas,Casament
07/10/2017 12:00:00 PM,07/10/2017 12:15:00 PM,Josep Mayoral Antigas,"Concentració ""Parlem"""
07/10/2017 11:30:00 AM,07/10/2017 12:00:00 PM,Josep Mayoral Antigas,"Passejada pel mercat de joc ""Jugatú"""
07/10/2017 10:00:00 AM,07/10/2017 11:00:00 AM,Josep Mayoral Antigas,Sessió plenària Consell de Ciutat
06/10/2017 08:00:00 PM,06/10/2017 09:00:00 PM,Josep Mayoral Antigas,"Inauguració exposició ""Signis.Terra Lab"""
06/10/2017 07:00:00 PM,06/10/2017 08:00:00 PM,Josep Mayoral Antigas,Casament
06/10/2017 05:00:00 PM,06/10/2017 06:00:00 PM,Josep Mayoral Antigas,Casament
06/10/2017 04:00:00 PM,06/10/2017 05:00:00 PM,Josep Mayoral Antigas,Lliurament medalla centenària
06/10/2017 02:30:00 PM,06/10/2017 03:30:00 PM,Josep Mayoral Antigas,Entrevista diari ARA
05/10/2017 08:30:00 PM,05/10/2017 09:30:00 PM,Josep Mayoral Antigas,Inauguració conncessionari SOLMÒBIL
05/10/2017 06:00:00 PM,05/10/2017 07:00:00 PM,Josep Mayoral Antigas,Lliurament diplomes afiliats UGT amb més antigüitat
05/10/2017 04:30:00 PM,05/10/2017 05:30:00 PM,Josep Mayoral Antigas,Entrevista El 9 Nou
05/10/2017 11:30:00 AM,05/10/2017 12:00:00 PM,Josep Mayoral Antigas,Recepció intercanvi 19 alumnes alemanys 4rt ESO Jardi
04/10/2017 08:30:00 PM,04/10/2017 09:30:00 PM,Josep Mayoral Antigas,Jornada de portes obertes Llevant Teatre
04/10/2017 07:00:00 PM,04/10/2017 08:00:00 PM,Josep Mayoral Antigas,Consell directiu del pla estratègic 
04/10/2017 06:30:00 PM,04/10/2017 07:00:00 PM,Josep Mayoral Antigas,Junta de portaveus
04/10/2017 05:00:00 PM,04/10/2017 06:00:00 PM,Josep Mayoral Antigas,Junta de Govern
04/10/2017 02:00:00 PM,04/10/2017 03:00:00 PM,Josep Mayoral Antigas,Secretaria General
04/10/2017 12:00:00 PM,04/10/2017 01:00:00 PM,Josep Mayoral Antigas,Prèvia al consell de ciutat
04/10/2017 09:30:00 AM,04/10/2017 10:30:00 AM,Josep Mayoral Antigas,Gerència
04/10/2017 08:30:00 AM,04/10/2017 09:30:00 AM,Josep Mayoral Antigas,Direcció de serveis jurídics
03/10/2017 08:00:00 AM,03/10/2017 09:00:00 AM,Josep Mayoral Antigas,Aturada General
02/10/2017 01:00:00 PM,02/10/2017 02:00:00 PM,Josep Mayoral Antigas,Bus urbà
02/10/2017 12:15:00 PM,02/10/2017 01:00:00 PM,Josep Mayoral Antigas,Sorea
02/10/2017 12:00:00 PM,02/10/2017 12:15:00 PM,Josep Mayoral Antigas,Concentració en rebuig a les càrregues policials del dia 1 d'Octubre
01/10/2017 01:30:00 PM,01/10/2017 02:30:00 PM,Josep Mayoral Antigas,Recepció delegació internacional de parlamentaris
30/09/2017 07:00:00 PM,30/09/2017 08:00:00 PM,Josep Mayoral Antigas,Conferència en motiu del 500 aniv. reforma protestant
30/09/2017 06:00:00 PM,30/09/2017 08:00:00 PM,Josep Mayoral Antigas,Inauguració de la Gatera Pre Colònia
29/09/2017 08:00:00 PM,29/09/2017 09:00:00 PM,Josep Mayoral Antigas,Casament
29/09/2017 06:00:00 PM,29/09/2017 07:00:00 PM,Josep Mayoral Antigas,Casament
29/09/2017 05:00:00 PM,29/09/2017 06:00:00 PM,Josep Mayoral Antigas,Seguretat
29/09/2017 04:00:00 PM,29/09/2017 05:00:00 PM,Josep Mayoral Antigas,Casament
29/09/2017 01:00:00 PM,29/09/2017 02:00:00 PM,Josep Mayoral Antigas,Pressupost
29/09/2017 11:00:00 AM,29/09/2017 12:00:00 PM,Josep Mayoral Antigas,Comissió de civisme
29/09/2017 09:00:00 AM,29/09/2017 10:00:00 AM,Josep Mayoral Antigas,Visita d'obres
28/09/2017 07:30:00 PM,28/09/2017 08:30:00 PM,Josep Mayoral Antigas,Presentació llibre sobre Marius Torres. Premi Joan Camps
28/09/2017 07:00:00 PM,28/09/2017 08:00:00 PM,Josep Mayoral Antigas,Inauguració del curs de la Universitat Popular 
28/09/2017 05:30:00 PM,28/09/2017 07:00:00 PM,Josep Mayoral Antigas,Presentació Voluntariat educatiu
28/09/2017 04:00:00 PM,28/09/2017 05:00:00 PM,Josep Mayoral Antigas,Seguretat
28/09/2017 12:00:00 PM,28/09/2017 01:00:00 PM,Josep Mayoral Antigas,Pla director biblioteques
28/09/2017 09:30:00 AM,28/09/2017 10:30:00 AM,Josep Mayoral Antigas,Ciutats defensores dels drets Humans - Valdenia Paulino / Hatice Kamer
27/09/2017 06:00:00 PM,27/09/2017 07:00:00 PM,Josep Mayoral Antigas,Ple del Consorci de VOTV
27/09/2017 04:30:00 PM,27/09/2017 05:30:00 PM,Josep Mayoral Antigas,Cap de l'Àrea de Serveis a la Persona
27/09/2017 02:00:00 PM,27/09/2017 03:00:00 PM,Josep Mayoral Antigas,Intervenció
27/09/2017 09:30:00 AM,27/09/2017 10:30:00 AM,Josep Mayoral Antigas,Patronat de la Fundació Privada Hospital Asil de Granollers
27/09/2017 08:30:00 AM,27/09/2017 09:30:00 AM,Josep Mayoral Antigas,Direcció de serveis jurídics
26/09/2017 05:15:00 PM,26/09/2017 06:15:00 PM,Josep Mayoral Antigas,Equip de Govern
26/09/2017 05:00:00 PM,26/09/2017 06:00:00 PM,Josep Mayoral Antigas,Junta de Govern Local
26/09/2017 04:00:00 PM,26/09/2017 05:00:00 PM,Josep Mayoral Antigas,Equipaments
26/09/2017 02:00:00 PM,26/09/2017 03:00:00 PM,Josep Mayoral Antigas,Secretaria General
26/09/2017 01:00:00 PM,26/09/2017 02:00:00 PM,Josep Mayoral Antigas,Direcció de Serveis Jurídics
26/09/2017 12:00:00 PM,26/09/2017 01:00:00 PM,Josep Mayoral Antigas,"Miquel Darnés, degà del Col·legi d’Enginyers Graduats i Enginyers Tècnics Industrials de Barcelona"
26/09/2017 11:00:00 AM,26/09/2017 12:00:00 PM,Josep Mayoral Antigas,Seguretat
26/09/2017 09:30:00 AM,26/09/2017 10:00:00 AM,Josep Mayoral Antigas,Gerència
25/09/2017 07:00:00 PM,25/09/2017 08:00:00 PM,Josep Mayoral Antigas,Presentació nous concerts temporada VEUS
25/09/2017 06:00:00 PM,25/09/2017 07:00:00 PM,Josep Mayoral Antigas,Junta de portaveus
24/09/2017 07:00:00 PM,24/09/2017 08:00:00 PM,Josep Mayoral Antigas,Inauguració bar de la Troca de RU
24/09/2017 05:30:00 PM,24/09/2017 06:30:00 PM,Josep Mayoral Antigas,25è aniv. perruqueria Cristina Pardo
24/09/2017 10:30:00 AM,24/09/2017 11:30:00 AM,Josep Mayoral Antigas,Diada de la bicicleta
23/09/2017 10:00:00 PM,23/09/2017 11:00:00 PM,Josep Mayoral Antigas,Festes de Can Bassa
23/09/2017 09:30:00 PM,23/09/2017 10:30:00 PM,Grup Municipal Socialista,Aceptada: FESTA DEL BARRI SANT MIQUEL 
23/09/2017 08:00:00 PM,23/09/2017 11:00:00 PM,Josep Mayoral Antigas,Gala Inici temporada TAG
23/09/2017 11:30:00 AM,23/09/2017 12:30:00 PM,Josep Mayoral Antigas,Recepció Institucional Associació Sords de Catalunya
23/09/2017 09:00:00 AM,23/09/2017 10:00:00 AM,Josep Mayoral Antigas,Consell de Cooperació - Exposició de projectes 2017
22/09/2017 08:00:00 PM,22/09/2017 09:00:00 PM,Josep Mayoral Antigas,Festa dels esportives del CNG 2017
22/09/2017 07:00:00 PM,22/09/2017 08:00:00 PM,Josep Mayoral Antigas,Concert - homenatge a l'Orquestra Selecció
22/09/2017 06:00:00 PM,22/09/2017 07:00:00 PM,Josep Mayoral Antigas,Casament
22/09/2017 05:30:00 PM,22/09/2017 06:30:00 PM,Josep Mayoral Antigas,Festa d'inici de l'album de cromos de Granollers
22/09/2017 05:00:00 PM,22/09/2017 06:00:00 PM,Josep Mayoral Antigas,Casament
21/09/2017 08:00:00 PM,21/09/2017 09:00:00 PM,Josep Mayoral Antigas,Inauguració de La Gata Parda
21/09/2017 07:00:00 PM,21/09/2017 08:00:00 PM,Josep Mayoral Antigas,Presentació guanyadors concurs Microteatre
21/09/2017 06:30:00 PM,21/09/2017 07:30:00 PM,Josep Mayoral Antigas,Junta de Portaveus
21/09/2017 05:15:00 PM,21/09/2017 06:15:00 PM,Josep Mayoral Antigas,Rebuda mestres nouvinguts
21/09/2017 02:00:00 PM,21/09/2017 03:00:00 PM,Josep Mayoral Antigas,Regidora d'Urbanisme
21/09/2017 12:00:00 PM,21/09/2017 01:30:00 PM,Josep Mayoral Antigas,Inauguració de la reforma de Carrefour
21/09/2017 11:15:00 AM,21/09/2017 11:45:00 AM,Josep Mayoral Antigas,Dia mundial de l'Alzheimer. Presentació nou himne programa REMS
20/09/2017 05:30:00 PM,20/09/2017 06:30:00 PM,Josep Mayoral Antigas,Visita equipaments i barris
20/09/2017 04:30:00 PM,20/09/2017 05:30:00 PM,Josep Mayoral Antigas,DIrector gerent de VOTV
20/09/2017 01:00:00 PM,20/09/2017 02:00:00 PM,Josep Mayoral Antigas,Presentació projecte europeu ALNUS 
20/09/2017 12:00:00 PM,20/09/2017 01:00:00 PM,Josep Mayoral Antigas,Rodes Solidàries
20/09/2017 11:00:00 AM,20/09/2017 12:00:00 PM,Josep Mayoral Antigas,Consell general Consorci Montserrat Montero
20/09/2017 10:00:00 AM,20/09/2017 11:00:00 AM,Josep Mayoral Antigas,Cap de l'Àrea de Serveis Persones
20/09/2017 09:00:00 AM,20/09/2017 10:00:00 AM,Josep Mayoral Antigas,1a. Tinent d'alcalde
20/09/2017 08:30:00 AM,20/09/2017 09:00:00 AM,Josep Mayoral Antigas,Seguretat
19/09/2017 05:16:00 PM,19/09/2017 06:16:00 PM,Josep Mayoral Antigas,Equip de Govern
19/09/2017 05:00:00 PM,19/09/2017 05:15:00 PM,Josep Mayoral Antigas,Junta de Govern Local
19/09/2017 04:00:00 PM,19/09/2017 05:00:00 PM,Josep Mayoral Antigas,Regidor d'Obres i Projectes i Medi Ambient
19/09/2017 02:00:00 PM,19/09/2017 03:00:00 PM,Josep Mayoral Antigas,Secretaria General
19/09/2017 11:00:00 AM,19/09/2017 12:00:00 PM,Josep Mayoral Antigas,Prèvia consell directiu pla estratègic
19/09/2017 10:00:00 AM,19/09/2017 11:00:00 AM,Josep Mayoral Antigas,Regidor d'Esports
19/09/2017 09:30:00 AM,19/09/2017 10:00:00 AM,Josep Mayoral Antigas,Gerència
19/09/2017 08:30:00 AM,19/09/2017 09:00:00 AM,Josep Mayoral Antigas,Direcció de Serveis Jurídics
18/09/2017 06:00:00 PM,18/09/2017 07:00:00 PM,Josep Mayoral Antigas,Comitè estratègic del Pla Específic de Mobilitat del Vallès
18/09/2017 11:45:00 AM,18/09/2017 12:45:00 PM,Josep Mayoral Antigas,Primera Tinent d'Alcalde
18/09/2017 11:00:00 AM,18/09/2017 11:30:00 AM,Josep Mayoral Antigas,Cap de l'àrea de Projectes Estratègic
