ANY,PARTIT,NOMBRE VOTS
2015,BLANCS,180
2003,NULS,63
2010,BLANCS,718
2012,NULS,230
1995,NULS,76
1999,BLANCS,230
2006,NULS,91
2010,NULS,139
2012,BLANCS,379
1995,BLANCS,471
1999,NULS,68
2006,BLANCS,445
2015,NULS,129
2003,BLANCS,233
