DATA,ANY,TIPUS ELECCIONS,NOM PARTIT,PARTIT,SIGLES,NOMBRE VOTS,% VOTS,NOMBRE REGIDORS
22/05/2011,2011,Municipals,Partit Socialistes Catalunya - Progrés Municipal,PSC-PM,PSC,8858,42.49%,13
22/05/2011,2011,Municipals,Iniciativa per Catalunya Verds - EUiA - Entesa,ICV-EUiA-E,ICV,1240,5.95%,1
22/05/2011,2011,Municipals,Acció Granollers - Esquerra - Reagrupament - GI-AM,AG,ERC,1216,5.83%,1
22/05/2011,2011,Municipals,Solidaritat catalana per la Independència,SI,SI,398,1.91%,0
22/05/2011,2011,Municipals,Plataforma per Catalunya,PxC,PxC,377,1.81%,0
22/05/2011,2011,Municipals,Ciutadans - Partit de la Ciutadania,C's,C's,311,1.49%,0
22/05/2011,2011,Municipals,Som! Granollers,SOM,SOM,289,1.39%,0
22/05/2011,2011,Municipals,"Partit ""Família i Vida""",PFiV,PFiV,52,0.25%,0
27/05/2007,2007,Municipals,Partit Socialistes Catalunya - Progrés Municipal,PSC-PM,PSC,9870,46.33%,14
27/05/2007,2007,Municipals,Convergència i Unió,CiU,CiU,4271,20.05%,6
27/05/2007,2007,Municipals,Partit Popular,PP,PP,2102,9.87%,3
27/05/2007,2007,Municipals,Esquerra Republicana de Catalunya - Acord Municipal,ERC-AM,ERC,1883,8.84%,2
27/05/2007,2007,Municipals,Iniciativa per Catalunya - Verds - Entesa Progrés Municipal,ICV-EPM,ICV,916,4.3%,0
27/05/2007,2007,Municipals,Ciutadans - Partit de la Ciutadania,C's,C's,642,3.01%,0
27/05/2007,2007,Municipals,Candidatura d'Unió Popular + Els Verds,CUP+EV,CUP,444,2.08%,0
27/05/2007,2007,Municipals,Esquerra Unida - Izquierda Unida,EU-IU,ICV,334,1.57%,0
27/05/2007,2007,Municipals,Centro Democrático y Social,CDS,CDS,81,0.38%,0
25/05/2003,2003,Municipals,Partit Socialistes Catalunya - Progrés Municipal,PSC-PM,PSC,9627,37.43%,10
25/05/2003,2003,Municipals,Convergència i Unió,CiU,CiU,7249,28.18%,8
25/05/2003,2003,Municipals,Esquerra Republicana de Catalunya - Acord Municipal,ERC-AM,ERC,3256,12.66%,3
25/05/2003,2003,Municipals,Els Verds del Vallès Oriental,EVVO,EVVO,670,2.61%,0
25/05/2003,2003,Municipals,Centro Democrático y Social,CDS,CDS,44,0.17%,0
22/05/2011,2011,Municipals,Vots en blanc,BLANCS,BLANCS,1007,4.74%,0
22/05/2011,2011,Municipals,Vots nuls,NULS,NULS,392,1.85%,0
27/05/2007,2007,Municipals,Vots en blanc,BLANCS,BLANCS,760,3.55%,0
27/05/2007,2007,Municipals,Vots nuls,NULS,NULS,101,0.47%,0
13/06/1999,1999,Municipals,Partit Socialistes Catalunya,PSC,PSC,8475,37.26%,11
13/06/1999,1999,Municipals,Convergència i Unió,CiU,CiU,7794,34.26%,10
