CODI,NOM DEL CENTRE,ADREÇA,TIPUS SUBMINISTRAMENT,ANY,MES,CONSUM,COST
BOM009,FONT ARGENTINA/COSTA RICA,FONT ARGENTINA/COSTA RICA,Electricitat,2011,Juliol,0,€59.39
FLO015,SISTEMES INFORMACIO,SISTEMES INFORMACIO,Gasoil,2013,Octubre,919,€141.22
ESP018,CAMP FUTBOL FONT VERDA,C/ JOSEP CARNER S/N,Electricitat,2016,Febrer,3078,€644.65
ESC024,ESCOLA BRESSOL EL TELER,C/ JAUME CORBERA CANTONADA C/ CORRO,Electricitat,2012,Agost,1136,€453.30
EDI001,PIS AJUDA POBLE SAHARAUI (7è),1ª MARQUES DE LES FRANQUESES 146 7- 4,Gas,2016,Agost,1019,€75.59
ESC002,ESCOLA GRANOLLERS,CTRA DE CALDES,Gas,2014,Setembre,1246,€223.16
ESC008,COL.LEGI MESTRES MONTAÑA,CAMI CAN BASSA 1,Gas,2015,Juny,3901,€361.71
ESP018,CAMP FUTBOL FONT VERDA,C/ JOSEP CARNER S/N,Aigua,2015,Octubre,0,€29.92
FLO017,OBRES I PROJECTES,OBRES I PROJECTES,Gasoil,2013,Maig,295,€46.40
EDI128,Can Muntanyola,Can Muntanyola,Electricitat,2014,Desembre,14800,€2453.42
EDI012,EDIFICI AJUNTAMENT,PL FOLCH I TORRES S/N,Electricitat,2011,Novembre,17578,€2598.49
EDI030,EDIFICI PORTALET,PORTALET 4,Gas,2013,Febrer,2785,€214.48
EDI022,EBASP ZONA 1 LUDOTECA,ANTONI GAUDI S/N LOCAL 13,Electricitat,2014,Agost,3494,€623.04
EDI089,CENTRE PER LA NORMALITZACIO LINGUISTICA,PRAT DE LA RIBA 82,Electricitat,2012,Juny,3512,€747.97
EDI121,TEATRE AUDITORI,C/ GREGORI RESINA,Aigua,2015,Març,129,€700.95
EDI128,Can Muntanyola,Can Muntanyola,Electricitat,2013,Juliol,12371,€2448.56
REG190,FONT ORNAMENTAL PL SERRAT I BONASTRE,PL SERRAT I BONASTRE s/n,Electricitat,2011,Novembre,785,€217.85
EDI006,CENTRE CIVIC  CAN GILI,CTRA DE CALDES BXS,Gas,2012,Febrer,13165,€923.36
ESP001,PALAU D'ESPORTS,AV FRANCESC MACIA S/N,Gas,2013,Febrer,143738,€9826.57
EDI027,OFICINA D'INFORMACIO TURÍSTICA,SANT ROC 14,Aigua,2012,Gener,2,€21.86
ESP005,CAMP DE FUTBOL CAN GILI,CTRA DE CALDES S/N,Aigua,2011,Gener,85,€46.43
EDI095,ROCA UMBERT EL BAR,ENRIC PRAT DE LA RIBA 77,Gas,2014,Juny,1659,€172.39
EDI006,CENTRE CIVIC  CAN GILI,CTRA DE CALDES BXS,Electricitat,2011,Setembre,4071,€684.90
ESP010,CAMP DE FUTBOL PRIMER DE MAIG,C/ PIUS XII S/N,Electricitat,2011,Maig,8092,€1316.14
ESP010,CAMP DE FUTBOL PRIMER DE MAIG,C/ PIUS XII S/N,Gas,2014,Desembre,10230,€674.84
FLO001,SERVEIS UOS,SERVEIS UOS,Gasoil,2012,Abril,4330,€645.61
ESC010,COL.LEGI GRANULARIUS,C/ MARESME 4,Electricitat,2012,Febrer,12942,€2131.33
EDI010,CENTRE CIVIC JAUME OLLER,MARE DE DÉU DE MONTSERRAT 47,Electricitat,2016,Febrer,1890,€348.61
EDI083,EDIFICI El GRA,PLAÇA DE L´ESGLESIA S/N,Aigua,2013,Octubre,113,€151.03
EDI017,ROCA UMBERT - IMPREMTA,LLUIS COMPANYS Nº 1,Aigua,2016,Gener,163,€203.32
EDI124,MAGATZEM MUSEU GRANOLLERS,"Av. Sant Julià 206, Nau 24",Electricitat,2013,Juny,0,€78.07
FLO008,SALUT PUBLICA I CONSUM,SALUT PUBLICA I CONSUM,Gasoil,2013,Febrer,1574,€270.15
EDI066,CTUG CENTRE TECNOLÒGIC I UNIVERSITARI DE GRANOLLERS,MONTSERRAT Nº 36,Gas,2016,Setembre,0,€109.18
EDI010,CENTRE CIVIC JAUME OLLER,MARE DE DÉU DE MONTSERRAT 47,Aigua,2015,Octubre,27,€56.02
EDI011,MASIA TRES TORRES,DE LES TRES TORRES 18 - 20,Gas,2012,Desembre,19127,€1428.76
EDI024,SALA CULTURA SANT FRANCESC,ESPI I GRAU 1,Electricitat,2014,Març,2566,€958.46
ESC010,COL.LEGI GRANULARIUS,C/ MARESME 4,Gas,2011,Setembre,3044,€268.62
BOM012,SISTEMA DE REG DE LA CONCA Jordi Camp,PASSEIG FLUVIAL C/ Jordi Camp,Electricitat,2011,Maig,53,€18.27
FLO010,ESPORTS,ESPORTS,Gasoil,2012,Juny,787,€108.36
EDI015,CENTRE CIVIC CAN BASSA CULTURA,PL JOAN OLIVER 1,Electricitat,2014,Març,3322,€578.90
ESP009,PAVELLO MUNICIPAL D'ESPORTS (PARQUET),C/ LLUIS COMPANYS 1,Gas,2011,Febrer,6301,€335.79
ESP019,PAVELLO D' ESPORT CAN BASSA,C/ ESTEVE TERRADES S/N,Electricitat,2011,Abril,5751,€1358.81
EDI013,AAVV PONENT,C/RAFAEL CASANOVA. 52,Electricitat,2012,Agost,309,€93.73
EDI125,OFICINES MEDI AMBIENT i GRANOLLERS PROMOCIONS,"SANT JAUME 16, 5è, 1a",Electricitat,2012,Març,1699,€443.57
ESC004,ESCOLA MUNICIPAL SALVADOR LLOBET,C/ ROGER DE FLOR 64,Electricitat,2013,Febrer,5089,€1002.73
ESP008,PAVELLÓ CLUB BÀSQUET GRANOLLERS,C/ GIRONA S/N,Electricitat,2016,Febrer,11972,€1875.39
EDI132,CENTRE OBERT PASSEIG DE LA MUNTANYA,PG / MUNTANYA 0143 BJ - LOCAL,Gas,2015,Abril,1512,€112.31
EDI048,MAGATZEM INFORMÀTICA,C/ TORRAS I BAGES 15 2n,Electricitat,2016,Setembre,269,€100.16
ESP009,PAVELLO MUNICIPAL D'ESPORTS (PARQUET),C/ LLUIS COMPANYS 1,Electricitat,2012,Setembre,390,€191.79
EDI131,ESPAI CANGUR,AV PRAT DE LA RIBA 84,Gas,2016,Agost,206,€30.03
ESP008,PAVELLÓ CLUB BÀSQUET GRANOLLERS,C/ GIRONA S/N,Aigua,2015,Octubre,218,€273.62
FLO011,ESPAIS VERDS,ESPAIS VERDS,Gasoil,2011,Març,6127,€815.55
ESC003,COL·LEGI FERRER I GUÀRDIA,C/ ROGER DE FLOR 179,Gas,2011,Abril,12329,€750.95
EDI130,OFICINES B.M. GRANOLLERS,"VOLUNTARIS 92, 1",Aigua,2014,Gener,0,€24.76
ESC009,COL.LEGI JOAN SOLANS,PLAÇA SANT MIQUEL 20,Electricitat,2014,Agost,3958,€928.59
EDI131,ESPAI CANGUR,AV PRAT DE LA RIBA 84,Gas,2014,Abril,0,€24.74
EDI066,CTUG CENTRE TECNOLÒGIC I UNIVERSITARI DE GRANOLLERS,MONTSERRAT Nº 36,Electricitat,2011,Desembre,7559,€1483.94
EDI066,CTUG CENTRE TECNOLÒGIC I UNIVERSITARI DE GRANOLLERS,MONTSERRAT Nº 36,Gas,2014,Maig,244,€120.64
EDI011,MASIA TRES TORRES,DE LES TRES TORRES 18 - 20,Gas,2016,Febrer,22571,€1429.68
ESC009,COL.LEGI JOAN SOLANS,PLAÇA SANT MIQUEL 20,Electricitat,2016,Abril,2625,€469.14
EDI058,EDIFICI ST JOSEP,SANT JOSEP 7,Electricitat,2014,Desembre,19579,€3216.28
EDI103,SIRIUS (CENTRE AUTONOMIA PERSONAL),C/ ALMOGAVARS. 24 A,Electricitat,2015,Maig,539,€159.45
EDI081,CENTRE CIVIC NORD,ROSSELLO 79,Electricitat,2011,Novembre,6673,€1445.78
EDI010,CENTRE CIVIC JAUME OLLER,MARE DE DÉU DE MONTSERRAT 47,Electricitat,2012,Desembre,1038,€222.34
EDI074,ROCA UMBERT CUB BUCS MUSICALS,MONTSERRAT S/N,Aigua,2016,Octubre,37,€58.31
ESC012,COL.LEGI PEREANTON,C/ ESPI I GRAU 3,Gas,2011,Novembre,13187,€835.04
ESC016,ESCOLA LLEDONER,C/ ROSELLÓ 95,Gas,2013,Febrer,50309,€3392.34
ESP020,PISTES DE PETANCA GRANOLLERS,CAMP DE LES MORERES,Electricitat,2014,Juny,1816,€372.70
ESP017,CASAL DE L'ESPORT,C/ GIRONA 52 - 54,Aigua,2014,Març,28,€39.88
ESC025,ESCOLA BRESSOL GIRAVOLTES,"CRTA. CALDES, 52",Gas,2013,Octubre,1906,€216.93
ESP013,PAVELLO EL CONGOST,MARIA PALAU S/N CTDA A GAUDI,Gas,2012,Desembre,14050,€1002.57
EDI048,MAGATZEM INFORMÀTICA,C/ TORRAS I BAGES 15 2n,Electricitat,2014,Maig,2360,€514.79
EDI058,EDIFICI ST JOSEP,SANT JOSEP 7,Electricitat,2013,Juliol,21165,€4097.07
EDI042,EDIFICI ADMINISTRATIU CAN PUNTES,SANTA ELISABET 16,Gas,2011,Juny,105,€28.54
EDI089,CENTRE PER LA NORMALITZACIO LINGUISTICA,PRAT DE LA RIBA 82,Aigua,2014,Gener,89,€100.84
ESP008,PAVELLÓ CLUB BÀSQUET GRANOLLERS,C/ GIRONA S/N,Electricitat,2012,Desembre,10207,€2230.89
EDI073,ESCOLA DE MUSICA JOSEP Ma RUERA,GREGORI RESINA,Electricitat,2016,Juny,8370,€1737.18
ESP012,CAMP DE FUTBOL C/ GIRONA,C/ GIRONA S/N,Electricitat,2015,Març,5166,€1270.68
EDI006,CENTRE CIVIC  CAN GILI,CTRA DE CALDES BXS,Electricitat,2015,Gener,2690,€503.37
EDI127,ALBERG ROQUES BLANQUES,Barri Rocas Blancas s/n baix,Electricitat,2012,Gener,1770,€421.97
ESC005,COL.LEGI PONENT,C/ RAFAEL DE CASANOVA,Gas,2013,Setembre,0,€116.28
EDI052,MUSEU MUNICIPAL,ANSELM CLAVÉ 40 - 42,Electricitat,2013,Gener,4205,€989.10
EDI072,AAVV CONGOST,CELLECS 18,Aigua,2011,Octubre,0,€21.33
ESP019,PAVELLO D' ESPORT CAN BASSA,C/ ESTEVE TERRADES S/N,Aigua,2013,Juliol,89,€234.99
EDI017,ROCA UMBERT - IMPREMTA,LLUIS COMPANYS Nº 1,Gas,2012,Octubre,8031,€635.21
ESC001,COL.LEGI SALVADOR ESPRIU,C/ JOAN CAMPS 6 - 8,Gas,2016,Juliol,2665,€226.02
EDI082,CAN JONCH CENTRE CIVIC PER LA PAU,REC 19,Aigua,2013,Octubre,5,€33.84
EDI023,MUSEU CIÈNCIES NATURALS LA TELA,FRANCESC MACIÀ 51,Aigua,2013,Gener,174,€328.26
EDI071,CENTRE D'EDUCACIÓ AMBIENTAL CAN CABANYES,CAN GORDI - CAN CATALÀ,Aigua,2014,Març,4,€26.37
ESC002,ESCOLA GRANOLLERS,CTRA DE CALDES,Gas,2016,Maig,1119,€169.93
ESC010,COL.LEGI GRANULARIUS,C/ MARESME 4,Gas,2015,Gener,44521,€2793.77
ESP018,CAMP FUTBOL FONT VERDA,C/ JOSEP CARNER S/N,Electricitat,2012,Desembre,1182,€331.11
EDI022,EBASP ZONA 1 LUDOTECA,ANTONI GAUDI S/N LOCAL 13,Electricitat,2016,Abril,459,€223.21
EDI100,AAVV CAN MONIC,PUIG I PERUCHO 2,Electricitat,2015,Març,376,€118.27
EDI021,BIBLIOTECA CAN PEDRALS,ESPI I GRAU 2,Aigua,2015,Març,132,€178.03
ESP003,PAVELLO EL TUB,C/ CAMP DE LES MORERES S/N,Gas,2015,Juliol,4563,€355.61
BOM011,SISTEMA DE REG DE LA PLAÇA DE LA PAU,MARIA PALAU C/JOAN VIDAL JUMBERT,Electricitat,2012,Abril,626,€136.87
EDI001,PIS AJUDA POBLE SAHARAUI (7è),1ª MARQUES DE LES FRANQUESES 146 7- 4,Gas,2014,Abril,2340,€174.31
FLO014,ALCALDIA,ALCALDIA,Gasoil,2012,Maig,521,€75.05
EDI093,ROCA UMBERT ESPAI D'ARTS,C/ LLUIS COMPANYS 1º BIS,Aigua,2013,Juliol,18,€36.46
ESP006,CAMP DE FUTBOL PONENT,C/ RAFAEL DE CASANOVA S/N,Gas,2014,Març,4704,€368.86
EDI091,UOS - UNITAT OPERATIVA SERVEIS (Edifici Nou),CAMI CAN MANY N 8,Electricitat,2013,Juliol,23289,€3810.18
ESP010,CAMP DE FUTBOL PRIMER DE MAIG,C/ PIUS XII S/N,Electricitat,2014,Agost,2722,€653.52
