DIA,TEMPERATURA MÍNIMA (ºC),TEMPERATURA MÀXIMA (ºC)
01/01/2001 12:00:00 AM,11.3,21.8
01/01/1992 12:00:00 AM,10.1,20.3
01/01/2000 12:00:00 AM,11.2,21.7
01/01/2009 12:00:00 AM,11.2,22.2
01/01/1996 12:00:00 AM,10.6,20.2
01/01/1993 12:00:00 AM,9.8,20.2
01/01/1999 12:00:00 AM,11.1,21.6
01/01/1997 12:00:00 AM,11.5,21.5
01/01/2015 12:00:00 AM,12.0,22.9
01/01/2012 12:00:00 AM,11.2,21.9
01/01/2008 12:00:00 AM,10.9,21.2
01/01/2003 12:00:00 AM,11.9,21.8
01/01/2010 12:00:00 AM,10.0,19.9
01/01/2011 12:00:00 AM,11.8,22.2
01/01/2006 12:00:00 AM,11.8,22.1
01/01/1991 12:00:00 AM,10.4,20.5
01/01/1998 12:00:00 AM,10.6,21.1
01/01/2002 12:00:00 AM,11.2,21.2
01/01/2007 12:00:00 AM,10.7,21.9
01/01/2014 12:00:00 AM,12.2,21.9
01/01/1994 12:00:00 AM,12.2,22.7
01/01/1995 12:00:00 AM,11.5,22.0
01/01/2017 12:00:00 AM,10.7,22.3
01/01/2016 12:00:00 AM,11.1,21.7
01/01/2013 12:00:00 AM,10.6,21.0
01/01/2005 12:00:00 AM,10.4,21.1
01/01/2004 12:00:00 AM,11.1,21.2
