CODI CARRER,CODI CARRER INE,SIGLA,NOM OFICIAL,NOM CURT,NÚMERO MÍNIM,NÚMERO MÀXIM
46,46,CTRA,CALDES,CALDES,1,142
232,232,BARRI,JUNYENT,JUNYENT,2,22
272,272,CTRA,MONTMELO,MONTMELO,50,108
425,425,CAMI,CAL TARONJAIRE,CAL TARONJAIRE,1,20
625,625,C,CASTELLTERÇOL,CASTELLTERÇOL,1,26
1785,1785,C,CAMI RAL,CAMI RAL,2,155
1796,1796,C,MANUEL CORNELLA,MANUEL CORNELLA,1,20
1799,1799,C,LLUIS COMPANYS,LLUIS COMPANYS,1,70
1802,1802,C,LLINARS,LLINARS,1,26
1804,1804,C,CAMP DE LES MORERES,CAMP DE LES MORERES,1,31
1806,1806,C,CORTS,CAN CORTS,1,26
1812,1812,C,TRES TORRES,TRES TORRES,1,87
1813,1813,C,MERCE RODOREDA,MERCE RODOREDA,1,23
1874,1874,C,LLUIS MILLET,LLUIS MILLET,3,5
1875,1875,C,CONFLENT,CONFLENT,1,7
1876,1876,C,JOAN FUSTER,JOAN FUSTER,2,16
1877,1877,C,JOAN VINYOLI,JOAN VINYOLI,1,32
1882,1882,C,MARE DE DEU DE MONTSERRAT,M.DEU MONTSERRAT,1,67
1884,1884,C,AGUSTINA D'ARAGO,AGUSTINA D'ARAGO,1,20
1886,1886,C,ALFONS IV,ALFONS IV,1,91
1888,1888,C,ALFRED NOBEL,ALFRED NOBEL,1,19
1889,1889,C,ALGUER,ALGUER,2,32
1890,1890,C,ALMOGAVERS,ALMOGAVERS,1,25
1891,1891,C,MARIANO ALVAREZ DE CASTRO,ALVAREZ DE CASTRO,1,49
1892,1892,C,AMADEU VIVES,AMADEU VIVES,0,0
1893,1893,C,ANGEL GUIMERA,ANGEL GUIMERA,1,27
1895,1895,C,ANNIBAL,ANNIBAL,2,62
1897,1897,C,ANSELM CLAVE,ANSELM CLAVE,1,81
1898,1898,C,ANTONI GAUDI,ANTONI GAUDI,1,81
1899,1899,C,APEL.LES MESTRES,APEL.LES MESTRES,1,39
1900,1900,C,ARAGO,ARAGO,2,60
1901,1901,JDIN,APEL.LES MESTRES,APEL.LES MESTRES,0,0
1902,1902,PG,ARAGO,ARAGO,4,4
1904,1904,C,ARENYS,ARENYS,1,14
1905,1905,C,ARGENTINA,ARGENTINA,1,69
1906,1906,C,ARQUIMEDES,ARQUIMEDES,1,6
1907,1907,PL,ARTS,ARTS,1,12
1908,1908,C,AURELI FONT,AURELI FONT,1,17
1909,1909,C,AUSIAS MARCH,AUSIAS MARCH,1,19
1910,1910,C,BADALONA,BADALONA,1,24
1911,1911,TRAV,TOMAS BALBEY,TOMAS BALBEY,1,12
1912,1912,C,JAUME BALMES,JAUME BALMES,1,31
1913,1913,C,BARCELONA,BARCELONA,1,144
1915,1915,C,BENET MORATO,BENET MORATO,1,5
1916,1916,C,BERNAT DE ROCAFORT,BERNAT DE ROCAFORT,2,8
1917,1917,C,BERTRAN DE SEVA,BERTRAN DE SEVA,1,70
