EQUIPAMENT,ÀREA,CATEGORIA,ADREÇA,LOCALITZACIÓ
EDIFICI MUNICIPAL AV.PARC - AISS,Administracions Públiques,Ajuntament,"Avda. del Parc, 9","(41.607276, 2.290334)"
BIBLIOTECA CAN PEDRALS,Cultura,Biblioteca,"C/ Espí i Grau, 2","(41.608947, 2.288388)"
CAMP DE FUTBOL DE 1R DE MAIG,Esports,Instal.lació esportiva,"Avda. Prat de la Riba, s/n.","(41.60337, 2.281039)"
CAMP DE FUTBOL DE CAN GILI,Esports,Instal.lació esportiva,"carrer Camí Vell de Lliçà d'Amunt,1","(41.613321, 2.276311)"
CAMP DE FUTBOL DE LA FONT VERDA,Esports,Instal.lació esportiva,C/ Josep Carner s/n,"(41.607297, 2.297939)"
CAMP DE FUTBOL DE PONENT,Esports,Instal.lació esportiva,"C/ Rafael de Casanovas, s/n.","(41.611705, 2.284519)"
CAMP DE FUTBOL DEL CARRER DE GIRONA,Esports,Instal.lació esportiva,"C/ Girona, 50-54","(41.610897, 2.292149)"
CASA DE CULTURA SANT FRANCESC,Cultura,Centre cultural - cívic,"C/ Espí i Grau, 1","(41.609134, 2.288075)"
CASAL DE L'ESPORT,Esports,Associació,"C/ Girona, 52","(41.610866, 2.291221)"
ESCOLA FÀTIMA,Educació,Escola Infantil,"C/ Maria Palau, 2-4","(41.612352, 2.2791)"
ESCOLA FERRER I GUÀRDIA,Educació,Escola Infantil,"C/ Roger de Flor, 123-129","(41.603037, 2.283053)"
ESCOLA GRANULLARIUS,Educació,Escola Infantil,"C/ Maresme, 2-4","(41.602195, 2.296485)"
ESCOLA JOAN SOLANS,Educació,Escola Infantil,"Pl. Sant Miquel, 1","(41.601247, 2.285486)"
ESCOLA MESTRES MONTAÑA,Educació,Escola Infantil,"C/ Esteve Terrades, s/n","(41.593381, 2.289413)"
ESCOLA PAU VILA,Educació,Escola Infantil,"C/ del Mestre Manel Masjoan, 1","(41.614889, 2.273133)"
ESCOLA PEREANTON,Educació,Escola Infantil,"C/ Espí i Grau, 3","(41.609123, 2.288394)"
ESCOLA PONENT,Educació,Escola Infantil,"C/ Rafael de Casanovas, 55","(41.613555, 2.285817)"
ESCOLA SALVADOR ESPRIU,Educació,Escola Infantil,"C/ Joan Camps i Giró, 6-8","(41.607868, 2.28153)"
CENTRE CÍVIC CAN BASSA,Cultura,Centre cultural - cívic,"Pl. Joan Oliver, 1","(41.590483, 2.286521)"
CENTRE CÍVIC CAN GILI,Cultura,Centre cultural - cívic,Cami Vell Lliçà d'Amunt,"(41.613284, 2.275357)"
CENTRE CÍVIC PALOU,Cultura,Centre cultural - cívic,"Pg. Francesc Fabregas, 43","(41.586134, 2.28151)"
CENTRE CÍVIC JAUME OLLER,Cultura,Centre cultural - cívic,"C/ Mare de Déu de Montserrat, 47","(41.600289, 2.285015)"
CENTRE CULTURAL MUNICIPAL,Cultura,Centre cultural - cívic,"C/ Joan Camps i Giró, 1","(41.607206, 2.282342)"
CENTRE DE DIA DE MALALTS MENTALS,Sanitat i Benestar Social,Assistència psiquiàtrica,"C/ Alexander Fleming, 33","(41.611764, 2.296197)"
CENTRE D'EDUCACIÓ ESPECIAL MONTSERRAT MONTERO,Educació,Educació especial,"Camí de Santa Quitèria, s/n","(41.58943, 2.294584)"
CENTRE OBERT NORD,Sanitat i Benestar Social,Centre obert,"C/ del Lledoner, 6","(41.617347, 2.289295)"
CENTRE OBERT SUD,Sanitat i Benestar Social,Centre obert,"C/ Julià Centelles, 14-16","(41.599404, 2.288129)"
CENTRE TECNOLÒGIC I UNIVERSITARI DE GRANOLLERS (CTUG),Educació,Centre universitari,"C/ Mare de Déu de Montserrat, 36","(41.601731, 2.284702)"
CENTRE VALLÈS,Educació,Formació Professional,"C/ Veneçuela, 86","(41.60872, 2.298212)"
EBASP ZONA 4,Sanitat i Benestar Social,Atenció social primària,"C/ Portalet, 4","(41.607603, 2.287501)"
ESPAI CANGUR,Educació,Escola bressol - Llar d'infants,"C/ Prat de la Riba, 84","(41.602632, 2.283222)"
ESCOLA MUNICIPAL DE MÚSICA JOSEP M. RUERA,Educació,Escola de música,"C/ Gregori Resina, 1","(41.611054, 2.287074)"
