DATA,ANY,TIPUS ELECCIONS,MESA ELECTORAL,CENS,NOMBRE VOTS TOTAL,NOM PARTIT,PARTIT,NOMBRE VOTS
22/05/2011,2011,Municipals,01-01 U,495,295,Partit Socialistes Catalunya - Progrés Municipal,PSC-PM,85
22/05/2011,2011,Municipals,01-01 U,495,295,Iniciativa per Catalunya Verds - EUiA - Entesa,ICV-EUiA-E,9
22/05/2011,2011,Municipals,01-01 U,495,295,Solidaritat catalana per la Independència,SI,10
22/05/2011,2011,Municipals,01-01 U,495,295,Acció Granollers - Esquerra - Reagrupament - GI-AM,AG,25
22/05/2011,2011,Municipals,01-01 U,495,295,"Partit ""Família i Vida""",PFiV,5
22/05/2011,2011,Municipals,01-01 U,495,295,Convergència i Unió,CiU,108
22/05/2011,2011,Municipals,01-01 U,495,295,Partit Popular,PP,19
22/05/2011,2011,Municipals,01-01 U,495,295,Ciutadans - Partit de la Ciutadania,C's,2
22/05/2011,2011,Municipals,01-01 U,495,295,Som! Granollers,SOM,3
22/05/2011,2011,Municipals,01-01 U,495,295,Plataforma per Catalunya,PxC,0
22/05/2011,2011,Municipals,01-01 U,495,295,Vots en blanc,BLANCS,24
22/05/2011,2011,Municipals,01-01 U,495,295,Vots nuls,NULS,5
22/05/2011,2011,Municipals,01-02 A,447,261,Partit Socialistes Catalunya - Progrés Municipal,PSC-PM,86
22/05/2011,2011,Municipals,01-02 A,447,261,Iniciativa per Catalunya Verds - EUiA - Entesa,ICV-EUiA-E,8
22/05/2011,2011,Municipals,01-02 A,447,261,Solidaritat catalana per la Independència,SI,15
22/05/2011,2011,Municipals,01-02 A,447,261,Acció Granollers - Esquerra - Reagrupament - GI-AM,AG,22
22/05/2011,2011,Municipals,01-02 A,447,261,"Partit ""Família i Vida""",PFiV,0
22/05/2011,2011,Municipals,01-02 A,447,261,Convergència i Unió,CiU,89
22/05/2011,2011,Municipals,01-02 A,447,261,Partit Popular,PP,14
22/05/2011,2011,Municipals,01-02 A,447,261,Ciutadans - Partit de la Ciutadania,C's,3
22/05/2011,2011,Municipals,01-02 A,447,261,Som! Granollers,SOM,2
22/05/2011,2011,Municipals,01-02 A,447,261,Plataforma per Catalunya,PxC,2
22/05/2011,2011,Municipals,01-02 A,447,261,Vots en blanc,BLANCS,19
22/05/2011,2011,Municipals,01-02 A,447,261,Vots nuls,NULS,1
22/05/2011,2011,Municipals,01-02 B,543,327,Partit Socialistes Catalunya - Progrés Municipal,PSC-PM,96
22/05/2011,2011,Municipals,01-02 B,543,327,Iniciativa per Catalunya Verds - EUiA - Entesa,ICV-EUiA-E,10
22/05/2011,2011,Municipals,01-02 B,543,327,Solidaritat catalana per la Independència,SI,9
22/05/2011,2011,Municipals,01-02 B,543,327,Acció Granollers - Esquerra - Reagrupament - GI-AM,AG,28
22/05/2011,2011,Municipals,01-02 B,543,327,"Partit ""Família i Vida""",PFiV,0
22/05/2011,2011,Municipals,01-02 B,543,327,Convergència i Unió,CiU,129
22/05/2011,2011,Municipals,01-02 B,543,327,Partit Popular,PP,20
22/05/2011,2011,Municipals,01-02 B,543,327,Ciutadans - Partit de la Ciutadania,C's,0
22/05/2011,2011,Municipals,01-02 B,543,327,Som! Granollers,SOM,1
22/05/2011,2011,Municipals,01-02 B,543,327,Plataforma per Catalunya,PxC,6
22/05/2011,2011,Municipals,01-02 B,543,327,Vots en blanc,BLANCS,22
22/05/2011,2011,Municipals,01-02 B,543,327,Vots nuls,NULS,6
22/05/2011,2011,Municipals,01-03 A,587,332,Partit Socialistes Catalunya - Progrés Municipal,PSC-PM,154
22/05/2011,2011,Municipals,01-03 A,587,332,Iniciativa per Catalunya Verds - EUiA - Entesa,ICV-EUiA-E,12
22/05/2011,2011,Municipals,01-03 A,587,332,Solidaritat catalana per la Independència,SI,8
22/05/2011,2011,Municipals,01-03 A,587,332,Acció Granollers - Esquerra - Reagrupament - GI-AM,AG,18
22/05/2011,2011,Municipals,01-03 A,587,332,"Partit ""Família i Vida""",PFiV,0
