OBRA,BARRI,DATA APROVACIÓ,PRESSUPOST PROJECTE,DATA ADJUDICACIÓ,CONTRACTISTA,DATA INICI OBRES,DATA FI OBRES,PRESSUPOST FINAL
PAVIMENT SALA POLIVALENT PAVELLÓ CONGOST,Congost,06/06/2013,€8243.86,10/06/2013,"EXCLUSIVAS CONGOST, SA",10/06/2013,18/06/2013,€8223.70
AMPLIACIÓ BAR CAMP FUTBOL 1er MAIG,Sota el Camí Ral,18/06/2013,€27843.59,26/05/2013,"Estructuras y Obras la Roca, SL (ESOROSA)",09/07/2013,09/09/2013,€25499.55
REPARACIÓ FORMIGÓ ACCES LAVABOS EXT PALAU ESPORTS,Tres Torres,13/06/2013,€3562.54,13/06/2013,"LIRTEC BCN, SLU",12/06/2013,17/06/2013,€4016.29
CANVI PORTES EB TORTUGA,Can Bassa,15/05/2013,€5724.51,27/05/2013,CARPINTERIA MANUEL ROMERO SL,09/07/2013,19/07/2013,€5922.35
CONTROL ENTRADA PISTES ATLETISME,Tres Torres,29/05/2013,€7876.40,05/06/2013,"PORTES MORELL, SL",09/09/2013,13/09/2013,€7876.40
REPARACIÓ VORERES C GIRONA (NORD),Granollers Nord,31/10/2014,€25187.97,02/12/2014,"OBRES I SERVEIS ROIG, SA",21/01/2015,30/01/2015,€25187.97
ADEQUACIÓ MAGATZEM ESCOLES PALOU,Palou,07/05/2013,€3593.22,23/05/2013,"CORBERA BREGANTE, LLUIS",25/03/2013,07/05/2013,€3593.22
NOU SISTEMA RFID BIBLIOTECA CAN PEDRALS,Granollers Centre,24/09/2013,€40289.56,11/03/2014,"IDENTIFICATION CARE, SL",28/03/2014,02/07/2014,€33347.59
ADEQUACIO PAVIMENTS 2012-2013,Ciutat,23/12/2013,€36461.38,24/12/2013,"CONSTRUCCIONS DEUMAL, SA",20/01/2014,24/01/2014,€36461.38
BARANA PROTECCIO NETEJA MUSEU TELA,Sant Miquel,11/07/2013,€1190.64,16/07/2013,"TALLER DE MANYERIA ANDREU, SL",26/08/2013,30/08/2013,€1190.64
PAVIMENT PATI S.ESPRIU,Instituts,15/07/2013,€4207.78,15/07/2013,"PEDRO GUARDIA, SL",29/07/2013,02/08/2013,€4207.78
ADEQUACIO VESTIDORS GIMNÀS PISCINES,Tres Torres,04/12/2013,€60467.44,04/12/2012,"PEDRO GUARDIA, SL",07/01/2014,26/06/2014,€60467.44
ADEQUACIÓ CAMINS 2013,Palou,22/07/2013,€30691.53,31/07/2013,"EXCAVACIONS I OBRES PÚBLIQUES REQUENA, SA",05/08/2013,18/02/2014,€29700.94
PROTECCIO ANTICOLOMS PORXO PARC PONENT (2),Ponent,12/06/2014,€12463.00,19/09/2014,"MEDINA SANCHEZ, RAFAEL",21/10/2014,07/11/2014,€11383.68
NOU ENLLUMENAT OFICINA TURISME,Granollers Centre,,€5371.19,,"ELECTROCAMPS INSTAL·LACIONS, SL",05/11/2013,19/11/2013,€5371.19
TRAM VORERA NORD CARRER SANT FERRAN,Can Gili,07/07/2014,€25778.47,23/09/2014,"BIGAS GRUP, SLU",06/10/2014,05/11/2014,€21802.92
CONDICIONAMENT TORRE PINÓS I ENTORN,Granollers Nord,19/06/2014,€25244.53,29/09/2014,"ARVISA OBRES I PROJECTES, SL",20/10/2014,17/12/2014,€23982.30
ENLLUMENAT PALOU  zona Can Batzacs,Palou,27/05/2014,€44871.01,17/06/2014,"SECE, SA",14/07/2014,01/09/2014,€32731.85
MILLORA VORERA VERGE DE MONTSERRAT,Tres Torres,26/02/2014,€23247.84,19/05/2014,"CONSTRUCCIONS DEUMAL, SA",10/06/2014,19/06/2014,€21250.61
TRAVESSIA HOSPITAL,Granollers Nord,10/06/2014,€42192.86,28/07/2014,"EXCAVACIONS I OBRES PÚBLIQUES REQUENA, SA",22/09/2014,04/12/2014,€40504.03
ADEQUACIO SALA TARAFA,Granollers Centre,08/04/2014,€24997.85,27/06/2014,"DUIN, SA",23/07/2014,18/08/2014,€23830.51
MILLORA TRAVESSIA ENGINYER,Granollers Centre,28/05/2014,€33967.81,25/08/2014,"CONSTRUCCIONS DEUMAL, SA",29/09/2014,22/12/2014,€33880.00
PROTECCIÓ FAÇANA CAN GINEBREDA,Granollers Centre,02/12/2013,€2134.44,12/12/2013,"TALLER DE MANYERIA ANDREU, SL",16/12/2013,19/12/2013,€2134.44
SEGELLAT JUNTES GRADA CAMP FUTBOL C GIRONA,Granollers Centre,12/12/2013,€7744.00,23/12/2013,"LIRTEC BCN, SLU",20/01/2014,14/02/2014,€7696.68
MILLORES LOCAL IMPREMPTA MUNICIPAL,Tres Torres,29/05/2014,€20539.90,09/07/2014,"Estructuras y Obras la Roca, SL (ESOROSA)",14/07/2014,28/08/2014,€18076.29
REPARACIO ESCALA PATI CAN PEDRALS,Granollers Centre,13/10/2013,€4157.79,14/10/2013,"LIRTEC BCN, SLU",27/11/2013,05/12/2013,€4157.79
ADEQUACIÓ INSTAL·LACIONS TALLERS IMPREMPTA ROCA UMBERT,Tres Torres,21/11/2013,€20600.21,17/12/2013,"ELECTROCAMPS INSTAL·LACIONS, SL",08/01/2014,10/02/2014,€19931.74
CLIMATITZACIO VESTIDORS CAMP FUTBOL C GIRONA,Granollers Centre,09/12/2013,€21980.36,16/12/2013,"SUPLÀ, SL",13/01/2014,05/02/2014,€19558.25
1A FASE PATI EBM TORTUGA,Can Bassa,27/05/2014,€17785.97,10/06/2014,"Estructuras y Obras la Roca, SL (ESOROSA)",08/07/2014,15/09/2014,€16391.64
EMT CONDICIONAMENT ARXIU,Instituts,27/05/2014,€2540.10,10/06/2014,"ARVISA OBRES I PROJECTES, SL",07/07/2014,10/07/2014,€2387.69
E. PONENT REIXA  PRACTICABLE FINESTRALS GRANS,Ponent,24/04/2014,€3012.90,10/06/2014,"TALLER DE MANYERIA ANDREU, SL",03/07/2014,09/07/2014,€2943.93
GRANULLARIUS REFORMA PATIS,Font Verda,06/06/2014,€38792.26,25/06/2014,"EXCAVACIONS I OBRES PÚBLIQUES REQUENA, SA",08/07/2014,07/08/2014,€32316.18
REPARACIO COBERTA NAU BUCS MUSICALS A ROCA UMBERT,Tres Torres,14/11/2013,€8397.98,09/12/2013,"PEDRO GUARDIA, SL",16/12/2013,24/12/2013,€8397.98
MILLORA ENLLUMENAT SALA SANT FRANCESC,Granollers Centre,27/05/2014,€11960.53,17/06/2014,"SUPLÀ, SL",08/09/2014,22/09/2014,€10718.98
NOVA DISTRIBUCIO PLANTA PRIMERA EDIFICI AVDA DEL PARC,Granollers Centre,26/02/2014,€14658.58,28/04/2014,"ELECTROCAMPS INSTAL·LACIONS, SL",28/04/2014,05/05/2014,€2845.28
SUBSTITUCIÓ PARCIAL FUSTERIA P1 MASIA TRES TORRES,Tres Torres,27/05/2014,€5804.35,09/07/2014,SERGIO CASTRO PINO (MONTAJES METALICOS),04/08/2014,08/08/2014,€5804.35
RECORREGUT EXTERIOR ACCESSIBLE MASIA TRES TORRES,Tres Torres,12/06/2014,€18404.29,17/07/2014,ABOLAFIO CONSTRUCCIONS SL,01/08/2014,24/09/2014,€16977.49
PAVIMENT LOCAL MARIA PALAU,Congost,14/04/2014,€2588.67,28/07/2014,"CORBERA BREGANTE, LLUIS",28/08/2014,09/09/2014,€2588.67
MILLORES PIS C MANRESA,Can Bassa,17/07/2014,€14529.10,25/08/2014,VARIS INDUSTRIALS,01/09/2014,15/09/2014,€6748.63
TRASLLAT CENTRE OBERT CENTRE A LOCAL AAVV FONT VERDA,Font Verda,12/06/2014,€15107.46,28/07/2014,"MAYNOU, SL",25/08/2014,02/10/2014,€11949.06
TANCA PARC TORRAS VILLÀ COSTAT NORD,Granollers Centre,01/04/2014,€75436.74,17/06/2014,"FEGARI, S.L.",30/06/2014,06/08/2014,€67311.85
NOU SISTEMA RFID BIBLIOTECA ROCA UMBERT,Tres Torres,12/11/2014,€33725.31,03/02/2015,"IDENTIFICATION CARE, SL",20/02/2015,29/06/2015,€28132.50
ARRANJAMENT XEMENEIA RAMBLA TARRADELLAS,Granollers Centre,29/05/2014,€22889.57,09/07/2014,"CONOCI-3, SL (FAÇANES)",18/09/2014,19/09/2014,€20054.90
PLAT. ÚNICA C.CATALUNYA,Granollers Centre,22/07/2014,€92828.22,30/09/2014,"COYNSA 2000, SL",06/10/2014,21/11/2014,€86599.45
ADEQUACIÓ PAVIMENTS 2014,Ciutat,13/05/2014,€123717.81,29/07/2014,"CONSTRUCCIONS DEUMAL, SA",01/08/2014,29/01/2015,€123420.00
CAMINS 2014,Palou,17/03/2014,€30000.00,28/07/2014,"EXCAVACIONS I OBRES PÚBLIQUES REQUENA, SA",08/10/2014,11/12/2014,€29400.00
REPARACIO COBERTES ACCESSOS ESCOLES PALOU,Palou,09/05/2014,€3530.85,06/06/2014,"R. GALBANY, SL",01/07/2014,04/07/2014,€3529.58
REPARACIÓ GRAONS PLAÇA CAN MONIC,Can Monic,17/03/2014,€5057.07,25/03/2014,"EXCAVACIONS I OBRES PÚBLIQUES REQUENA, SA",06/05/2014,22/05/2014,€5057.07
SUBSTITUCIÓ PAVIMENT DUTXES CAMP FUTBOL,Granollers Centre,09/05/2014,€5784.43,06/06/2014,"LIRTEC BCN, SLU",03/07/2014,16/07/2014,€4755.30
REPARACIONS PUNTUALS TANQUES LÍNIA FERROVIARIA,Ciutat,26/03/2014,€1635.68,26/03/2014,"ADO CERRAMIENTOS METALICOS, SA",07/04/2014,08/04/2014,€1635.68
MILLORES AL CARRER TARAFA,Joan Prim Centre,10/04/2014,€11331.82,08/05/2014,"SERXAR, S.A.",16/06/2014,11/07/2014,€9632.00
RENOVACIO EQUIPS CLIMA TAG,Granollers Centre,13/05/2014,€70043.16,29/07/2014,"AMBITEC, SAU",15/09/2014,16/10/2014,€65274.18
MILLORA PLANTA PRIMERA SANT JOSEP,Granollers Centre,27/05/2014,€4417.10,17/06/2014,"DANIEL ALMENDRO CORBACHO ""CRISTALLERIES ALMIC""",02/07/2014,31/07/2014,€4417.11
MILORA CRUÏLLA ALFONS IV AMB PLAÇA CORONA,Granollers Centre,06/06/2014,€27665.08,09/07/2014,"COYNSA 2000, SL",28/07/2014,08/08/2014,€17740.50
FUSTERIA ALUMINI ESCOLES DIVERSES,Granollers Centre,08/05/2014,€26949.12,10/06/2014,"DANIEL ALMENDRO CORBACHO ""CRISTALLERIES ALMIC""",01/07/2014,23/07/2014,€25280.53
NOVA AMPLIACIÓ CEMENTIRI (FASE 1),Font Verda,28/10/2014,€805380.21,24/02/2015,"CONSTRUCTORA DEL CARDONER, SA",14/04/2015,24/12/2015,€586924.98
ARRANJAMENT APARCAMENTS 2014,Ciutat,28/07/2014,€28900.09,25/08/2014,"EXCAVACIONS I OBRES PÚBLIQUES REQUENA, SA",29/09/2014,20/03/2015,€28322.09
PROJECTE MODIFICAT CARRER LLEVANT,Sant Miquel,03/06/2014,€454251.52,25/06/2014,"SERXAR, S.A.",04/04/2014,08/08/2014,€305806.57
REMONTABLES C CAN BATZACS,Palou,14/11/2014,€10333.40,02/12/2014,"COYNSA 2000, SL",20/01/2015,03/02/2015,€10333.40
ENLLUMENAT I TELECOS VESTÍBUL CAN PEDRALS,Granollers Centre,19/05/2014,€6461.04,10/06/2014,"ELECTROCAMPS INSTAL·LACIONS, SL",16/06/2014,02/07/2014,€5990.93
MOBILIARI VESTÍBUL CAN PEDRALS,Granollers Centre,03/06/2014,€5506.48,03/06/2014,"BERNADI, SA",09/06/2014,27/06/2014,€5236.50
SUBSTITUCIÓ FUSTERIES PB CAN PEDRALS,Granollers Centre,31/07/2014,€8173.26,30/09/2014,"ALUMINIS GRANOLLERS, SL",31/10/2014,09/12/2014,€8173.26
SSBBAA VESTIBUL CAN PEDRALS,Granollers Centre,05/09/2014,€10799.13,26/09/2014,"EDIFICACIONS BARÓ, SL",20/10/2014,18/11/2014,€11192.67
SORTIDA EMERGENCIA SALA LLUITES PISTES ATLETISME,Tres Torres,24/10/2014,€15168.98,14/11/2014,"DUIN, SA",15/12/2014,24/12/2014,€14880.33
REG PISTES ATLETISME,Tres Torres,16/07/2014,€34936.28,22/07/2014,ANTONIO BATLLE TRESSERRAS,25/08/2014,18/09/2014,€28663.25
AMPLIACIO PAVIMENTS 2014,Ciutat,30/09/2014,€124928.22,09/12/2014,"CONSTRUCCIONS DEUMAL, SA",29/01/2015,18/01/2016,€123904.00
ADEQUACIÓ D'ESPAIS INTERIORS A L'EDIFICI ANTIC DEL MUSEU DE CIÈNCIES NATURALS,Sant Miquel,27/11/2014,€39954.20,09/12/2014,"ELECTROCAMPS INSTAL·LACIONS, SL",03/02/2015,17/03/2015,€34762.84
PINTURA INTERIOR SALA TARAFA,Granollers Centre,06/06/2014,€14639.48,09/07/2014,"DUIN, SA",06/08/2014,18/08/2014,€13663.28
ADEQUACIÓ ESPAI DANSA ROCA UMBERT,Tres Torres,22/07/2014,€299999.98,28/10/2014,"Estructuras y Obras la Roca, SL (ESOROSA)",24/11/2014,09/02/2015,€279044.48
MILLORA VENTILACIO AULES EB GIRAVOLTES,Congost,12/06/2014,€8228.00,25/06/2014,"ALUMINIS RETANA, SL",08/09/2014,12/09/2014,€7870.40
MODIF LAVABOS CC CAN BASSA,Can Bassa,08/05/2015,€5670.80,09/06/2015,"PEDRO GUARDIA, SL",03/08/2015,13/08/2015,€5500.66
ADEQUACIÓ NOVES OFICINES EDIFICI C SANT JAUME,Granollers Centre,28/07/2014,€5992782.00,09/09/2014,"EDIFICACIONS BARÓ, SL",16/09/2014,19/12/2014,€58129.99
TANCAMENT ESCALA PB EDIFICI AVDA PARC,Granollers Centre,15/07/2014,€1858.68,15/07/2014,"EDIFICACIONS BARÓ, SL",21/07/2014,24/07/2014,€1858.65
PAS VIANANTS JOANOT MARTORELL,Can Gili,21/11/2014,€60160.79,03/12/2014,"SERXAR, S.A.",03/03/2015,09/04/2015,€48113.21
MILLORES PLAÇA CAN MONIC,Can Monic,05/11/2014,€10664.56,09/12/2014,"EUROCATALANA OBRES I SERVEIS, SL",20/01/2015,23/01/2015,€10664.56
AMPLIACIO VORERA CARRER PERE FONTANELLA,Sota el Camí Ral,14/11/2014,€20029.58,02/12/2014,"BIGAS GRUP, SLU",10/12/2014,24/12/2014,€19332.34
MILLORA ENLLUMENAT MUSEU DE GRANOLLERS,Granollers Centre,25/11/2014,€89055.82,10/03/2015,"ELECTROCAMPS INSTAL·LACIONS, SL",20/04/2015,05/05/2015,€88057.86
FAÇANA OEST PALAU D'ESPORTS,Tres Torres,01/06/2015,€49852.00,08/06/2015,"CERVERA, Sistemas de Pinturas, SL",01/07/2015,27/08/2015,€48254.80
REP FLONJALL C. TRES TORRES N 10,Tres Torres,13/10/2014,€4452.80,20/10/2014,"CONSTRUCCIONS DEUMAL, SA",06/11/2014,06/11/2014,€4452.80
ARRANJAMENT TANCA CAMP FUTBOL CAN GILI,Can Gili,30/07/2014,€10621.94,01/08/2014,"OLIVENZA-PASCUAL, SCP",11/08/2014,25/08/2014,€10621.94
FOSSA COMÚ CEMENTIRI,Font Verda,14/11/2014,€18747.74,02/12/2014,"CONSTE 3.0, SL",12/01/2015,22/01/2015,€18191.94
PERSIANA ACCÉS CAN PEDRALS,Granollers Centre,13/11/2014,€3468.53,14/11/2014,J.A. MANSERGAS S.A.,24/11/2014,24/11/2014,€3468.53
ADEQUACIO NOU ESPAI EQUIPAMENTS AVDA SANT JULIA PER APARCAMENT CAMIONS,Can Bassa,12/12/2014,€41453.74,22/12/2014,"EXCAVACIONS I OBRES PÚBLIQUES REQUENA, SA",26/01/2015,27/03/2015,€41453.74
ARRANJAMENT JUNTES PONT CTRA CALDES,Congost,10/12/2014,€59996.28,22/12/2014,"TRELLEBORG IZARRA, SAU",27/01/2015,13/02/2015,€59983.31
NOU ENLLUMENAT A ROCA UMBERT,Tres Torres,09/12/2014,€88580.53,24/03/2015,"SECE, SA",13/04/2015,12/06/2015,€64530.91
PROPOSTA ADEQÜACIÓ ESPAI TALLER DE CUINA CENTRE CÍVIC PALOU,Palou,06/10/2016,€0.34,,"PEDRO GUARDIA, SL",,,€0.00
