OBRA,BARRI,DATA APROVACIÓ,PRESSUPOST PROJECTE,DATA ADJUDICACIÓ,CONTRACTISTA,DATA INICI OBRES,DATA FI OBRES,PRESSUPOST FINAL
VORERES PROVISIONALS SOLAR EQUADOR-ARGENTINA,Font Verda,18/03/2011,€15566.60,14/04/2011,"EXCAVACIONS I OBRES PÚBLIQUES REQUENA, SA",03/05/2011,23/05/2011,€15566.60
PLATAFORMA ÚNICA TRAVESSERA LLEDONER,Lledoner,24/05/2013,€51840.72,17/06/2013,"EXCAVACIONS I OBRES PÚBLIQUES REQUENA, SA",25/06/2013,30/09/2013,€45636.54
JARDINS D'ANTONI JONCH,Sant Miquel,12/09/2011,€49987.14,15/09/2011,CYCONS GRUPO CAÑA S.L.U.,21/09/2011,17/01/2012,€49987.14
CANVI PORTA ENTRA EB LA TORTUGA,Can Bassa,18/02/2011,€4998.01,21/02/2011,"DANIEL ALMENDRO CORBACHO ""CRISTALLERIES ALMIC""",19/04/2011,19/04/2011,€4998.01
ARRANJAMENT PAS SOTERRAT BARRI CONGOST,Congost,31/10/2011,€57126.30,24/11/2011,"EDIFICACIONS BARÓ, SL",21/12/2011,20/03/2012,€40456.34
ADEQUACIÓ LOCAL EBASP BARRI CONGOST,Congost,03/05/2011,€5580.93,30/05/2011,"CATALANA ELECTRA I SANEJAMENT, SLU",27/06/2011,19/07/2011,€5580.93
ADEQUACIÓ TANCA JOAN SOLANS,Sant Miquel,16/05/2011,€31696.64,20/06/2011,"ORCALINFA, SL",02/08/2011,09/09/2011,€31696.64
MILLORA PASSERA JOAN CAMPS,Instituts,25/01/2011,€21134.48,11/02/2011,"ORCALINFA, SL",14/02/2011,03/03/2011,€13256.83
ADEQUACIÓ PAVIMENTS 2011-2012,Can Bassa,19/09/2011,€82758.09,22/09/2011,"CONSTRUCCIONS DEUMAL, SA",13/02/2012,08/08/2012,€78620.00
MILLORA RECOLLIDA AIGÜES NARCÍS MONTURIOL (2),Congost,21/02/2011,€48066.38,12/04/2011,ABOLAFIO CONSTRUCCIONS SL,02/03/2011,15/04/2011,€44633.29
MILLORA PAVIMENT VORERA CELLECS,Congost,28/02/2011,€24368.71,12/04/2011,"OSERGA, SL",21/03/2011,01/04/2011,€19859.08
ADEQUACIÓ QUADRES BARRI CONGOST,Congost,03/03/2011,€31843.40,12/04/2011,IMES API,20/04/2011,27/04/2011,€31657.67
SUBSTITUCIÓ LLUMINÀRIES BARRI CONGOST,Congost,03/03/2011,€46815.07,12/04/2011,IMES API,18/04/2011,29/04/2011,€46547.41
MILLORA VENTILACIÓ GIMNÀS EMT,Instituts,16/05/2011,€13927.27,20/06/2011,"ALUCRAF INSERCION, S.L.",04/08/2011,14/09/2011,€13856.47
REHABILITACIÓ TERRAT MUSEU,Granollers Centre,03/05/2011,€2358.01,05/05/2011,"EDIFICACIONS BARÓ, SL",06/06/2011,10/06/2011,€2358.01
"ADEQUACIÓ C/GUAYAQUIL, PÇA DEL PEIX",Granollers Centre,30/04/2013,€119775.35,20/08/2013,"EXCAVACIONS I OBRES PÚBLIQUES REQUENA, SA",09/09/2013,18/12/2013,€99388.10
PLATAFORMA ÚNICA CARRER MARIÀ MASPONS,Granollers Centre,17/10/2011,€52767.25,23/12/2011,"EXCAVACIONS I OBRES PÚBLIQUES REQUENA, SA",09/01/2012,16/03/2012,€51711.90
PLAT. ÚNICA PRÍNCEP DE VIANA,Granollers Centre,23/04/2013,€53484.54,17/12/2013,"SERXAR, S.A.",13/01/2014,21/02/2014,€49546.22
ADEQUACIÓ INSTAL·LACIÓ ELÈCTRICA EMT,Instituts,25/07/2011,€182316.34,19/12/2011,"ELECTROCAMPS INSTAL·LACIONS, SL",22/03/2012,01/06/2012,€148651.33
REHABILITACIÓ COBERTA EMT,Instituts,31/05/2011,€44946.16,08/07/2011,"CONOCI-3, SL (FAÇANES)",14/07/2011,12/08/2011,€44256.90
CANVI DE TANQUES EMT-SALVADOR ESPRIU,Instituts,31/05/2011,€13931.23,20/06/2011,"ORCALINFA, SL",02/08/2011,09/09/2011,€13931.23
ITINERARI SSBBAA FONT VERDA,Font Verda,19/01/2011,€17833.35,19/04/2011,"ANTONIO NAVÍO, S.L.",11/04/2011,04/07/2011,€17478.49
MILLORES COBERTA PAVELLÓ BÀSKET,Granollers Nord,25/10/2011,€57225.87,09/11/2011,"NOVAPOX, SL",29/11/2011,22/02/2012,€42439.61
RECOLLIDA PLUVIALS ACCES PISTES ATLETISME,Tres Torres,22/02/2013,€6572.67,26/02/2013,"EXCAVACIONS I OBRES PÚBLIQUES REQUENA, SA",27/02/2013,08/03/2013,€6572.67
URBANITZACIÓ ACCÉS CAN MUNTANYOLA,Palou,17/01/2012,€184842.50,17/07/2012,"BARNASFALT, SA",03/09/2012,29/11/2012,€157116.12
REPARACIÓ FAÇANES EMT,Instituts,06/06/2011,€13895.49,20/06/2011,"CONOCI-3, SL (FAÇANES)",14/07/2011,12/08/2011,€13883.02
ADEQUACIÓ CASA CONSERGE CENTRE VALLÈS,Font Verda,24/03/2014,€40593.52,26/09/2014,"EDIFICACIONS BARÓ, SL",17/10/2014,05/12/2014,€37762.65
REPARACIÓ MUR CARRER JOAN VINYOLI,Tres Torres,18/01/2012,€11327.51,27/01/2012,"EXCAVACIONS I OBRES PÚBLIQUES REQUENA, SA",12/03/2012,27/03/2012,€10777.47
BARANES ESTACIÓ DEL NORD,Congost,31/05/2011,€12352.70,31/05/2011,"FEGARI, S.L.",05/07/2011,08/07/2011,€12352.70
ADEQUACIÓ INTERIOR NOU MUSEU LA TELA,Sant Miquel,28/09/2011,€179226.26,03/07/2012,"Estructuras y Obras la Roca, SL (ESOROSA)",03/09/2012,09/11/2012,€179406.01
RECONSTRUCCIÓ MUR ENDEGAMENT RIU CONGOST,Palou,14/02/2012,€89532.59,06/11/2012,"EXCAVACIONS I OBRES PÚBLIQUES REQUENA, SA",03/01/2013,19/02/2013,€77452.91
MILLORA ACCESSOS HOSPITAL,Granollers Nord,19/09/2011,€905500.00,24/07/2012,"UTE CONSTRUCCIONS DEUMAL, SA - EXCAVACIONS I OBRES PÚBLIQUES REQUENA, SA",03/09/2012,11/02/2013,€788689.22
ADEQUACIÓ PIS C SANT JAUME Tancaments interiors,Granollers Centre,24/11/2011,€17579.95,05/12/2011,"EDIFICACIONS BARÓ, SL",12/12/2011,08/03/2012,€17492.05
CANVI MÀQUINA CLIMA CAN PEDRALS,Granollers Centre,08/05/2012,€52938.76,21/06/2012,"AMBITEC, SAU",31/07/2012,30/08/2012,€48263.30
MOBILIARI MUSEU,Granollers Centre,28/11/2011,€9389.92,20/12/2011,"FJC4, SL",13/04/2012,19/04/2012,€9389.92
CAMINS PALOU 2011,Ciutat,22/11/2011,€19488.38,20/12/2011,"EXCAVACIONS I OBRES PÚBLIQUES REQUENA, SA",14/03/2006,03/08/2012,€19098.61
MODIFICACIONS CLIMA PAV CONGOST I OFICINES,Granollers Centre,22/11/2011,€30114.33,16/12/2011,"ELECTROCAMPS INSTAL·LACIONS, SL",20/12/2011,10/04/2012,€30114.33
ADEQUACIÓ PASSATGE FONT DE L'ESCOT,Ponent,02/12/2011,€9962.04,23/12/2011,"EXCAVACIONS I OBRES PÚBLIQUES REQUENA, SA",26/01/2012,30/07/2012,€12104.06
ADEQUACIÓ PIS C SANT JAUME. Climatització,Granollers Centre,14/12/2011,€19942.92,23/12/2011,"ELECTROCAMPS INSTAL·LACIONS, SL",09/12/2011,08/03/2012,€19942.92
TANCAMENTS INTERIORS ROCA UMBERT,Tres Torres,24/02/2012,€8051.21,28/05/2012,"FEGARI, S.L.",26/03/2012,30/03/2012,€6818.11
CANVI TANCA JOAN SOLANS Fase 2,Sant Miquel,05/07/2012,€25801.12,27/06/2012,"TALLER DE MANYERIA ANDREU, SL",19/07/2012,27/07/2012,€25801.12
REHAB.LAVABOS GRANULLARIUS,Font Verda,25/05/2012,€21690.89,14/06/2012,"EDIFICACIONS BARÓ, SL",27/06/2012,10/08/2012,€21690.64
ADEQUACIÓ PB EDIFICI PRAT DE LA RIBA,Sota el Camí Ral,29/02/2012,€39906.38,24/05/2012,"DUIN, SA",04/06/2012,11/07/2012,€39906.38
ARRANJAMENT PARTERRES TARAFA,Joan Prim Centre,16/02/2012,€31026.39,04/06/2012,"SERXAR, S.A.",12/06/2012,04/07/2012,€25069.33
MILLORES ARXIU SANT JOSEP,Granollers Centre,04/03/2013,€8968.94,21/05/2013,"ELECTROCAMPS INSTAL·LACIONS, SL",13/06/2013,20/06/2013,€8612.78
ENDERROC TERRASSA NAU G1,Tres Torres,05/11/2012,€4710.34,15/11/2012,"ARIDS PEREZ, SL",03/12/2012,11/12/2012,€4710.34
PROTECCIÓ SOLAR ESCOLA BRESSOL EL TELER,Lledoner,26/06/2012,€14968.57,29/06/2012,"MAS-INTERIORISME, SL",09/08/2012,14/08/2012,€14968.57
REFORMA VESTIDORS PALAU OLÍMPIC,Tres Torres,15/05/2012,€602774.74,12/09/2012,TEYCO,28/09/2012,08/01/2013,€517163.87
CONFORT TÈRMIC S. LLOBET,Instituts,15/05/2012,€1604.28,15/05/2012,"ALUCRAF INSERCION, S.L.",29/06/2012,02/07/2012,€1604.28
AULA PSICOMOTRICITAT S.ESPRIU,Instituts,10/05/2012,€9231.58,20/06/2012,"PEDRO GUARDIA, SL",02/07/2012,02/08/2012,€9231.58
CANVI GESPA ARTIFICIAL CAMP FUTBOL C GIRONA,Granollers Centre,28/06/2012,€190779.69,24/07/2012,LIMONTA SPORTS IBERICA,13/08/2012,27/08/2012,€185866.39
APARCAMENT RAMON LLULL,L'Hostal,01/07/2014,€200000.00,07/10/2014,"CONSTRUCCIONS DEUMAL, SA",27/10/2014,05/12/2014,€195621.15
CALÇADA ÚNICA CARRER DEL LLIRI,Granollers Centre,15/07/2014,€241749.09,23/09/2014,"EXCAVACIONS I OBRES PÚBLIQUES REQUENA, SA",29/09/2014,24/12/2014,€198749.10
URBANIT. BASSES D'EN JOANET,Lledoner,26/07/2012,€6853.96,29/10/2012,"ARVISA OBRES I PROJECTES, SL",22/11/2012,04/12/2012,€6583.56
