nombre,direccion,telefono,longitud,latitud
"Estación de Tren Sutullena","Avda de la Estación s/n","968 466998","-1.69640979839482","37.6720300328112"
"Estación de Autobuses Sutullena","Avda de la Estación s/n","968 469270","-1.69697842670597","37.6711638325952"
"Estación de Tren Lorca-San Diego","C/ Canal de San Diego","","-1.68560586048283","37.6808315821785"
